PLACEID	RSID	AGERES	SEXRES	CAPAC
301	1	38	1	1
301	2	45	2	2
301	3	24	2	4
301	4	45	1	8
301	5	55	1	8
301	6	39	1	8
301	7	40	1	8
301	8	54	1	8
301	9	54	1	8
301	10	40	1	8
301	11	45	1	8
301	12	35	1	8
301	13	25	1	8
302	1	35	2	1
302	2	48	2	4
302	3	44	2	2
302	4	34	1	8
302	5	55	1	8
302	6	39	1	8
302	7	40	1	8
302	8	54	1	8
302	9	54	1	8
302	10	40	1	8
302	11	45	1	8
302	12	35	1	8
302	13	25	1	8
302	14	28	2	3
302	15	30	2	3
303	1	50	1	1
303	2	37	2	4
303	3	42	2	6
303	4	34	1	8
303	5	45	1	8
303	6	39	1	8
303	7	40	1	8
303	8	54	1	8
303	9	54	1	8
303	10	40	1	8
303	11	45	1	8
303	12	35	1	8
303	13	25	1	8
304	1	40	2	1
304	2	42	2	4
304	3	45	2	6
304	4	43	1	8
304	5	50	1	8
304	6	48	2	8
304	7	44	1	8
304	8	52	1	8
304	9	49	1	8
304	10	42	1	8
304	11	38	1	8
304	12	33	1	8
304	13	35	1	8
305	1	45	1	1
305	2	33	2	4
305	3	40	2	6
305	4	56	1	8
305	5	50	1	8
305	6	50	1	8
305	7	42	1	8
305	8	52	1	8
306	1	50	2	1
306	2	30	1	1
306	3	45	2	4
306	4	40	1	8
306	5	50	1	8
306	6	49	1	8
306	7	38	1	8
306	8	60	1	8
306	9	46	1	8
306	10	42	1	8
306	11	42	1	8
306	12	36	1	8
306	13	43	1	8
307	1	40	2	1
307	2	55	2	6
307	3	40	1	9
307	4	40	1	8
307	5	50	1	8
307	6	38	1	8
307	7	42	1	8
307	8	39	1	8
307	9	50	1	8
307	10	35	1	8
307	11	43	1	8
307	12	40	1	8
307	13	37	1	8
308	1	40	1	1
308	2	35	2	4
308	3	30	2	2
308	4	40	1	7
308	5	50	1	7
308	6	38	1	7
308	7	42	1	7
308	8	39	1	7
308	9	50	1	7
308	10	35	1	7
308	11	43	1	7
308	12	40	1	7
308	13	37	1	7
309	1	50	2	1
309	2	45	1	1
309	3	39	2	4
309	4	55	1	7
309	5	50	1	7
309	6	38	1	7
309	7	42	1	7
309	8	39	1	7
309	9	50	1	7
309	10	35	1	7
309	11	43	1	7
309	12	40	1	7
309	13	37	1	7
310	1	35	2	1
310	2	25	2	6
310	3	37	2	4
310	4	42	1	8
310	5	48	1	8
310	6	54	1	8
310	7	53	1	8
310	8	45	1	8
310	9	50	1	8
310	10	39	1	8
310	11	45	1	8
310	12	45	1	8
310	13	49	1	8
311	1	30	1	1
311	2	25	2	4
311	3	25	2	6
311	4	48	1	8
311	5	52	1	8
311	6	55	1	8
311	7	55	1	8
311	8	45	1	8
311	9	50	1	8
311	10	55	1	8
311	11	58	1	8
311	12	45	1	8
311	13	50	1	8
312	1	35	1	1
312	2	27	2	4
312	3	30	2	6
312	4	48	1	8
312	5	52	1	8
312	6	44	1	8
312	7	55	1	8
312	8	45	1	8
312	9	50	1	8
312	10	55	1	8
312	11	58	1	8
312	12	45	1	8
312	13	50	1	8
313	1	50	1	9
313	2	45	1	2
313	3	48	1	2
313	4	40	1	8
313	5	53	1	8
313	6	38	1	8
313	7	39	1	8
313	8	42	1	8
313	9	36	1	8
313	10	32	1	8
313	11	37	1	8
313	12	40	1	8
313	13	44	1	8
314	1	38	1	1
314	2	50	1	9
314	3	40	2	6
314	4	53	1	8
314	5	48	1	8
314	6	45	1	8
314	7	38	1	8
314	8	58	1	8
314	9	48	1	8
314	10	42	1	8
314	11	42	1	8
314	12	36	1	8
314	13	43	1	8
315	1	30	2	1
315	2	38	2	4
315	3	60	1	9
315	4	40	1	8
315	5	48	1	8
315	6	50	1	8
315	7	42	1	8
315	8	52	1	8
315	9	54	1	8
315	10	44	1	8
315	11	42	1	8
315	12	37	1	8
315	13	40	1	8
316	1	52	1	1
316	2	38	2	4
316	3	36	2	4
316	4	62	1	8
316	5	45	1	8
316	6	46	1	8
316	7	45	1	8
316	8	58	1	8
316	9	40	2	8
316	10	40	2	8
316	11	45	1	8
316	12	38	1	8
316	13	40	1	8
317	1	36	1	1
317	2	42	1	1
317	3	45	2	4
317	4	50	1	8
317	5	40	1	8
317	6	50	1	8
317	7	48	1	8
317	8	52	1	8
317	9	45	1	8
317	10	50	1	8
317	11	46	2	8
317	12	40	1	8
317	13	45	1	8
318	1	37	1	1
318	2	31	2	4
318	3	40	2	4
318	4	45	1	8
318	5	40	1	8
318	6	43	1	8
318	7	40	1	8
318	8	50	1	8
318	9	48	1	8
318	10	40	1	8
318	11	46	1	8
318	12	50	1	8
318	13	39	1	8
319	1	40	1	1
319	2	35	2	4
319	3	35	2	4
319	4	60	1	8
319	5	46	1	8
319	6	52	1	8
319	7	33	1	8
319	8	58	1	8
319	9	42	1	8
319	10	45	1	8
319	11	56	1	8
319	12	55	1	8
319	13	44	1	8
320	1	42	1	1
320	2	39	1	1
320	3	45	2	4
320	4	50	1	8
320	5	46	1	8
320	6	50	1	8
320	7	45	1	8
320	8	50	1	8
320	9	45	1	8
320	10	48	2	8
320	11	50	1	8
320	12	42	1	8
320	13	35	1	8
321	1	45	1	1
321	2	34	2	1
321	3	32	2	4
321	4	48	1	8
321	5	42	1	8
321	6	40	1	8
321	7	39	2	8
321	8	35	1	8
321	9	46	1	8
321	10	50	1	8
321	11	53	1	8
321	12	52	1	8
321	13	45	1	8
322	1	28	2	1
322	2	40	2	4
322	3	42	2	6
322	4	28	1	8
322	5	45	1	8
322	6	40	1	8
322	7	43	1	8
322	8	48	1	8
322	9	40	1	8
322	10	40	1	8
322	11	45	1	8
322	12	30	1	8
322	13	35	1	8
323	1	35	1	1
323	2	45	2	4
323	3	40	2	4
323	4	36	1	8
323	5	60	1	8
323	6	50	1	8
323	7	38	1	8
323	8	45	1	8
323	9	48	1	8
323	10	40	1	8
323	11	60	1	8
323	12	36	1	8
323	13	42	1	8
324	1	28	2	1
324	2	42	1	1
324	3	55	1	9
324	4	48	1	8
324	5	39	1	8
324	6	53	1	8
324	7	42	1	8
324	8	40	1	8
324	9	40	1	8
324	10	46	1	8
324	11	43	1	8
324	12	36	1	8
324	13	39	1	8
325	1	55	1	1
325	2	40	2	4
325	3	42	2	1
325	4	48	1	8
325	5	56	1	8
325	6	43	1	8
325	7	51	1	8
325	8	45	1	8
325	9	38	1	8
325	10	36	1	8
325	11	32	1	8
325	12	43	1	8
325	13	38	1	8
326	1	35	1	1
326	2	45	2	1
326	3	35	2	4
326	4	35	1	8
326	5	58	1	8
326	6	33	1	8
326	7	30	1	8
326	8	35	1	8
326	9	28	1	8
326	10	40	1	8
326	11	45	1	8
326	12	50	1	8
326	13	45	1	8
327	1	40	2	1
327	2	42	1	1
327	3	28	2	4
327	4	58	1	8
327	5	55	1	8
327	6	50	1	8
327	7	45	1	8
327	8	55	1	8
327	9	48	1	8
327	10	39	1	8
327	11	35	1	8
328	1	55	1	1
328	2	50	2	1
328	3	33	2	4
328	4	45	1	8
328	5	40	1	8
328	6	38	1	8
328	7	40	1	8
328	8	42	1	8
328	9	52	1	8
328	10	48	1	8
328	11	43	1	8
328	12	35	1	8
328	13	40	1	8
329	1	52	1	1
329	2	48	2	6
329	3	45	1	2
329	4	38	1	8
329	5	45	1	8
329	6	50	1	8
329	7	46	1	8
329	8	44	1	8
329	9	48	1	8
329	10	50	1	8
329	11	49	1	8
329	12	46	1	8
329	13	47	1	8
330	1	35	2	1
330	2	33	1	4
330	3	42	1	1
330	4	50	1	8
330	5	44	1	8
330	6	42	1	8
330	7	40	1	8
330	8	30	1	8
330	9	42	2	8
330	10	50	1	8
330	11	42	1	8
331	1	52	2	1
331	2	50	2	1
331	3	55	1	9
331	4	40	1	8
331	5	42	1	8
331	6	45	1	8
331	7	52	1	8
331	8	45	1	8
331	9	39	1	8
331	10	40	1	8
331	11	45	1	8
332	1	36	1	1
332	2	30	1	1
332	3	33	2	4
332	4	40	1	8
332	5	50	1	8
332	6	55	1	8
332	7	45	1	8
332	8	40	1	8
332	9	45	1	8
332	10	38	1	8
332	11	42	1	8
332	12	40	1	8
333	1	55	1	1
333	2	37	2	4
333	3	45	1	2
333	4	52	1	8
333	5	48	1	8
333	6	55	1	8
333	7	45	1	8
333	8	48	1	8
333	9	52	1	8
333	10	45	1	8
333	11	38	1	8
333	12	42	1	8
333	13	50	1	8
334	1	42	1	1
334	2	29	2	4
334	3	38	2	6
334	4	35	1	8
334	5	32	1	8
334	6	40	1	8
334	7	45	1	8
334	8	50	1	8
334	9	50	1	8
334	10	30	1	8
334	11	55	1	8
334	12	25	1	8
334	13	27	1	8
335	1	52	2	1
335	2	50	2	4
335	3	45	1	1
335	4	47	1	8
335	5	55	1	8
335	6	60	1	8
335	7	32	1	8
335	8	40	1	8
335	9	47	1	8
335	10	37	1	8
335	11	44	1	8
335	12	35	1	8
335	13	52	1	8
336	1	65	1	1
336	2	50	1	1
336	3	41	2	6
336	4	45	1	8
336	5	32	1	8
336	6	55	1	8
336	7	48	1	8
336	8	40	1	8
336	9	40	1	8
336	10	50	1	8
336	11	55	1	8
336	12	42	1	8
336	13	43	1	8
337	1	55	1	1
337	2	45	1	4
337	3	45	1	4
337	4	50	1	8
337	5	58	1	8
337	6	60	1	8
337	7	47	1	8
337	8	50	1	8
337	9	40	1	8
337	10	29	1	8
337	11	35	1	8
337	12	40	1	8
337	13	26	1	8
338	1	60	1	1
338	2	35	2	6
338	3	42	2	4
338	4	53	1	8
338	5	48	1	8
338	6	36	1	8
338	7	58	1	8
338	8	44	1	8
338	9	36	1	8
338	10	56	1	8
338	11	39	1	8
338	12	46	1	8
338	13	48	1	8
339	1	32	2	1
339	2	41	2	4
339	3	35	2	4
339	4	50	1	8
339	5	43	1	8
339	6	42	1	8
339	7	36	1	8
339	8	53	1	8
339	9	34	1	8
339	10	56	1	8
339	11	30	1	8
339	12	32	1	8
339	13	47	1	8
340	1	50	1	1
340	2	41	1	2
340	3	39	2	6
340	4	42	1	8
340	5	39	1	8
340	6	42	1	8
340	7	45	1	8
340	8	49	1	8
340	9	52	1	8
340	10	39	1	8
340	11	43	1	8
340	12	35	1	8
340	13	42	1	8
341	1	45	1	1
341	2	42	2	4
341	3	30	2	4
341	4	48	1	8
341	5	51	1	8
341	6	38	1	8
341	7	28	1	8
341	8	30	1	8
341	9	27	1	8
341	10	27	1	8
341	11	33	1	8
341	12	43	1	8
341	13	28	1	8
342	1	40	1	1
342	2	31	1	4
342	3	50	2	4
342	4	48	1	8
342	5	53	1	8
342	6	37	1	8
342	7	39	1	8
342	8	42	1	8
342	9	50	1	8
342	10	43	1	8
342	11	40	1	8
342	12	34	1	8
342	13	40	1	8
343	1	35	2	1
343	2	32	2	4
343	3	37	2	1
343	4	50	1	8
343	5	52	1	8
343	6	46	1	8
343	7	32	1	8
343	8	45	1	8
343	9	24	1	8
343	10	45	1	8
343	11	24	1	8
343	12	32	1	8
343	13	29	1	8
344	1	60	2	1
344	2	26	2	4
344	3	35	2	3
344	4	52	1	8
344	5	46	1	8
344	6	38	1	8
344	7	45	1	8
344	8	49	1	8
344	9	37	1	8
344	10	40	1	8
344	11	38	1	8
344	12	43	1	8
344	13	40	1	8
345	1	45	1	1
345	2	58	1	1
345	3	35	2	4
345	4	40	1	8
345	5	50	1	8
345	6	45	1	8
345	7	54	1	8
345	8	57	1	8
345	9	52	1	8
345	10	46	1	8
345	11	38	1	8
345	12	34	1	8
345	13	48	1	8
346	1	45	2	1
346	2	48	1	2
346	3	53	1	2
346	4	46	1	8
346	5	50	1	8
346	6	45	1	8
346	7	40	1	8
346	8	60	1	8
346	9	49	1	8
346	10	36	1	8
346	11	42	1	8
346	12	37	1	8
346	13	45	1	8
347	1	44	1	1
347	2	37	2	4
347	3	30	2	6
347	4	40	1	8
347	5	42	1	8
347	6	45	1	8
347	7	54	1	8
347	8	50	1	8
347	9	49	1	8
347	10	40	1	8
347	11	38	2	8
347	12	36	1	8
347	13	42	1	8
348	1	39	1	1
348	2	35	1	1
348	3	48	2	4
348	4	35	1	8
348	5	42	1	8
348	6	45	1	8
348	7	54	1	8
348	8	50	1	8
348	9	49	1	8
348	10	39	2	8
348	11	44	1	8
348	12	43	1	8
348	13	48	1	8
349	1	20	2	1
349	2	45	1	2
349	3	46	1	2
349	4	49	1	8
349	5	53	1	8
349	6	37	1	8
349	7	41	1	8
349	8	32	1	8
349	9	47	1	8
349	10	44	1	8
349	11	55	1	8
349	12	35	1	8
349	13	28	1	8
350	1	65	2	1
350	2	56	1	2
350	3	45	2	4
350	4	38	1	8
350	5	43	1	8
350	6	45	1	8
350	7	42	1	8
350	8	48	1	8
350	9	39	1	8
350	10	60	2	8
350	11	56	1	8
350	12	48	1	8
350	13	42	1	8
351	1	50	1	1
351	2	48	1	1
351	3	36	2	4
351	4	42	1	8
351	5	56	1	8
351	6	39	1	8
351	7	28	1	8
351	8	44	1	8
351	9	47	1	8
351	10	40	1	8
351	11	35	1	8
351	12	45	1	8
351	13	52	1	8
401	1	62	1	9
401	2	38	1	6
401	3	47	1	2
401	4	45	1	8
401	5	28	1	8
401	6	52	1	8
401	7	31	1	1
401	8	48	1	7
401	9	36	1	8
401	10	37	1	8
401	11	55	1	8
401	12	49	1	8
401	13	46	1	8
401	14	50	1	8
401	15	48	1	7
401	16	56	1	7
401	17	38	1	8
401	18	47	1	8
401	19	40	1	8
401	20	48	1	8
401	21	48	1	8
401	22	56	1	8
401	23	39	1	8
401	24	45	1	8
401	25	42	2	8
401	26	37	1	8
401	27	38	1	8
401	28	34	1	8
401	29	46	1	8
401	30	42	1	8
401	31	38	2	8
401	32	45	1	8
401	33	51	1	8
402	1	65	1	9
402	2	20	1	1
402	3	40	2	8
402	4	30	2	3
402	5	46	1	7
402	6	50	1	10
402	7	50	1	9
402	8	46	1	8
402	9	50	1	8
402	10	49	1	8
402	11	55	1	8
402	12	48	1	8
402	13	56	1	8
402	14	45	1	8
402	15	51	1	8
402	16	38	1	8
402	17	47	1	8
402	18	47	1	8
402	19	48	1	8
402	20	36	1	8
402	21	37	1	8
402	22	48	1	8
402	23	56	1	8
402	24	45	1	8
402	25	46	1	8
402	26	42	2	8
402	27	37	1	8
402	28	38	1	8
402	29	34	1	8
402	30	42	2	8
402	31	38	2	8
403	1	46	1	1
403	2	54	1	2
403	3	34	1	4
403	4	25	1	11
403	5	32	2	3
403	6	30	1	2
403	7	32	1	1
403	8	44	2	6
403	9	43	1	8
403	10	53	1	8
403	11	32	1	8
403	12	54	1	8
403	13	43	1	8
403	14	32	1	8
403	15	35	2	7
403	16	42	1	7
403	17	34	1	7
403	18	55	1	7
403	19	41	1	7
403	20	46	1	7
403	21	23	1	7
403	22	33	1	8
403	23	42	1	8
403	24	51	1	8
403	25	37	1	8
403	26	43	1	8
403	27	44	1	8
403	28	36	1	8
403	29	43	1	8
403	30	43	1	8
403	31	44	1	8
403	32	55	1	8
404	1	48	1	1
404	2	27	2	3
404	3	42	2	8
404	4	66	1	8
404	5	35	1	4
404	6	31	2	6
404	7	28	1	11
404	8	35	2	7
404	9	50	1	8
404	10	42	2	8
404	11	52	1	7
404	12	45	1	7
404	13	49	1	8
404	14	44	1	8
404	15	48	1	8
404	16	32	1	8
404	17	55	1	8
404	18	46	1	8
404	19	40	2	8
404	20	55	2	8
404	21	30	1	8
404	22	42	1	8
404	23	50	1	8
404	24	38	1	8
404	25	45	1	8
404	26	44	1	8
404	27	34	1	8
404	28	28	1	8
404	29	48	1	8
404	30	49	1	8
404	31	38	1	8
404	32	36	1	8
404	33	50	1	8
404	34	60	1	8
404	35	49	1	8
404	36	53	1	8
406	1	35	1	7
406	2	30	1	2
406	3	46	1	10
406	4	50	1	4
406	5	48	1	4
406	6	35	2	3
406	7	42	2	6
406	8	38	1	3
406	9	50	1	8
406	10	42	2	8
406	11	52	1	8
406	12	45	1	8
406	13	49	1	8
406	14	44	1	8
406	15	48	1	8
406	16	32	1	8
406	17	55	1	8
406	18	46	1	8
406	19	40	2	8
406	20	55	2	8
406	21	30	1	8
406	22	42	1	8
406	23	50	1	8
406	24	38	1	8
406	25	45	1	8
406	26	44	1	8
406	27	34	1	8
406	28	28	1	8
406	29	48	1	8
406	30	49	1	8
406	31	38	1	8
406	32	36	1	8
406	33	50	1	8
406	34	60	1	8
406	35	49	1	8
406	36	53	1	8
407	1	61	1	9
407	2	38	2	1
407	3	36	1	1
407	4	48	2	8
407	5	50	1	8
407	6	42	2	8
407	7	52	1	8
407	8	45	1	8
407	9	49	1	8
407	10	44	1	8
407	11	48	1	8
407	12	32	1	8
407	13	55	1	8
407	14	46	1	8
407	15	40	2	8
407	16	55	2	8
407	17	30	1	8
407	18	42	1	8
407	19	50	1	8
407	20	38	1	8
407	21	45	1	8
407	22	44	1	8
407	23	34	1	8
407	24	28	1	8
407	25	48	1	8
407	26	49	1	8
407	27	38	1	8
407	28	36	1	8
407	29	50	1	8
407	30	60	1	8
407	31	49	1	8
407	32	53	1	8
407	33	45	1	8
407	34	56	1	8
408	1	35	1	2
408	2	45	1	4
408	3	35	2	6
408	4	30	2	3
408	5	45	1	8
408	6	28	1	10
408	7	46	1	8
408	8	50	1	8
408	9	49	1	8
408	10	55	1	8
408	11	48	1	8
408	12	56	1	8
408	13	45	1	8
408	14	51	1	8
408	15	38	1	8
408	16	47	1	8
408	17	40	1	8
408	18	48	1	8
408	19	36	1	8
408	20	37	1	8
408	21	48	1	8
408	22	56	1	8
408	23	45	1	8
408	24	46	1	8
408	25	42	2	8
408	26	37	1	8
408	27	38	1	8
408	28	34	1	8
408	29	42	2	8
408	30	38	2	8
409	1	45	1	2
409	2	39	1	1
409	3	50	1	7
409	4	36	1	10
409	5	35	1	8
409	6	31	2	3
409	7	28	1	8
409	8	46	1	8
409	9	50	1	8
409	10	49	1	8
409	11	55	1	8
409	12	48	1	8
409	13	56	1	8
409	14	45	1	8
409	15	51	1	8
409	16	38	1	8
409	17	47	1	8
409	18	40	1	8
409	19	48	1	8
409	20	36	1	8
409	21	37	1	8
409	22	48	1	8
409	23	56	1	8
409	24	45	1	8
409	25	46	1	8
409	26	42	2	8
409	27	37	1	8
409	28	38	1	8
409	29	34	1	8
409	30	42	2	8
409	31	38	2	8
410	1	42	1	7
410	2	30	1	7
410	3	65	2	9
410	4	30	2	8
410	5	50	2	8
410	6	40	2	2
410	7	43	1	8
410	8	34	1	8
410	9	26	1	8
410	10	25	1	8
410	11	43	2	8
410	12	34	2	8
410	13	54	1	8
410	14	32	1	8
410	15	34	1	7
410	16	43	1	7
410	17	30	2	8
410	18	43	1	8
410	19	41	1	8
410	20	54	1	8
410	21	54	2	8
410	22	43	1	8
410	23	55	1	8
410	24	43	1	8
410	25	37	1	8
410	26	28	1	8
410	27	45	1	8
410	28	42	1	8
410	29	34	1	8
410	30	37	1	8
411	1	48	1	1
411	2	27	2	3
411	3	42	2	8
411	4	66	1	8
411	5	35	1	4
411	6	31	2	6
411	7	28	1	11
411	8	35	2	7
411	9	50	1	8
411	10	42	2	8
411	11	52	1	7
411	12	45	1	7
411	13	49	1	8
411	14	44	1	8
