PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
301	15/10/2013 14:07:00	WESTGODAVARI	99	0	1	2	3	180	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
302	28/10/2013 10:30:14	WEST GODAVARI DIST	02	0	1	2	3	141	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
303	01/11/2013 14:34:16	WESTGODAVARI	99	0	1	2	3	5000	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
304	28/10/2013 11:07:50	WEST GODAVARI DIST	99	0	1	2	3	1358	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
305	01/11/2013 14:39:12	WESTGODAVARI	99	0	1	2	3	1685	0	1	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	1	2	3	 	 
306	05/12/2013 19:47:46	WEST GODAVARI	99	0	1	2	3	2400	0	1	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
108	10/12/2013 07:20:41	WEST GODAVARI	99	0	1	2	3	2850	0	0	1	0	0	0	0	3	1	4	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
308	06/11/2013 07:28:18	WEST GODAVARI	99	0	1	2	3	1286	0	0	1	0	0	0	0	3	1	4	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
309	08/11/2013 08:13:15	WEST GODAVARI	99	0	1	2	3	2350	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
310	05/12/2013 20:11:07	KAMMAM	99	0	1	2	3	1180	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
311	09/11/2013 23:13:25	KAMMAM	99	0	1	2	3	600	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
312	10/11/2013 08:12:40	KAMMAM	99	0	1	2	3	600	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
113	29/11/2013 09:43:14	EAST GODAVARI	99	0	1	2	3	3000	0	0	1	0	0	1	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
127	03/12/2013 20:42:24	EAST GODAVARI	99	0	1	2	3	132	0	1	1	0	1	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
315	25/10/2013 08:56:02	WESTGODAVARI	99	0	1	2	3	610	0	0	1	0	0	0	0	3	1	8	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
316	05/12/2013 20:31:36	KRISHNA	99	0	1	2	3	3865	0	0	1	0	0	1	0	3	1	17	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
110	14/12/2013 14:38:25	WESTGODAVARI	99	0	1	2	3	1735	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
318	05/12/2013 21:44:33	KRISHNA	99	0	1	2	3	2653	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
319	05/12/2013 22:18:35	KRISHNA	99	0	1	2	3	1890	0	0	1	0	0	0	0	3	1	8	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
320	05/12/2013 22:37:02	KRISHNA	99	0	1	2	3	7350	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
321	28/11/2013 12:39:19	KRISHNA	99	0	1	2	3	5374	0	0	1	0	0	1	0	3	1	8	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
