PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT
301	1	2	2012	9	8	88	1
302	1	2	2012	9	8	88	1
303	1	2	2012	9	8	88	2
304	1	2	2012	10	8	88	1
305	1	2	2012	9	8	88	2
306	1	2	2012	9	8	88	1
307	1	2	2012	8	8	5	1
308	1	2	2012	9	8	5	1
309	1	2	2012	9	8	88	1
310	1	2	2012	9	8	88	1
311	1	2	2012	9	8	88	2
312	1	2	2012	9	8	88	2
314	1	2	2012	9	18	88	2
315	1	2	2012	11	8	5	1
316	1	2	2012	11	8	88	3
316	2	6	2011	10	8	88	3
317	1	6	2011	10	8	4	2
317	2	2	2012	9	8	88	2
318	1	2	2012	9	8	12	2
319	1	2	2012	9	8	88	1
320	1	2	2012	9	8	88	3
321	1	2	2012	10	8	12	2
322	1	2	2012	10	8	88	2
323	1	2	2012	9	8	88	2
325	1	2	2012	9	8	5	1
326	1	2	2012	9	8	88	3
327	1	6	2011	9	8	88	3
327	2	2	2012	10	11	8	2
328	1	6	2011	10	8	4	2
328	2	2	2012	9	8	88	2
329	1	6	2011	10	8	88	3
329	2	2	2012	11	8	88	3
330	1	2	2012	10	8	88	3
332	1	2	2012	11	8	88	2
334	1	2	2012	10	8	88	2
335	1	2	2012	10	8	88	1
336	1	2	2012	10	8	88	2
340	1	2	2012	10	18	11	2
342	1	2	2012	10	8	88	2
343	1	2	2012	10	8	88	2
344	1	2	2012	10	8	88	1
345	1	2	2012	10	8	88	2
347	1	2	2012	9	8	12	3
348	1	2	2012	9	8	12	2
349	1	2	2012	10	8	11	2
351	1	2	2012	9	8	88	1
401	1	6	2011	11	8	9	2
401	2	2	2013	10	8	18	3
402	1	2	2011	8	8	12	4
402	2	6	2012	10	8	9	3
403	1	6	2009	9	8	1	2
403	2	2	2013	10	12	15	4
404	1	3	2011	10	8	88	3
404	2	6	2012	9	8	88	3
406	1	6	2010	10	1	11	2
407	1	6	2010	11	8	88	2
