PLACEID	PPIDR4	POLLAFFCT
301	1	0
301	2	0
301	3	0
301	4	1
301	5	2
301	6	0
301	7	0
301	8	0
301	9	0
301	10	0
301	11	2
301	12	0
301	13	0
301	14	88
302	1	0
302	2	0
302	3	0
302	4	1
302	5	2
302	6	0
302	7	0
302	8	0
302	9	0
302	10	0
302	11	0
302	12	0
302	13	0
302	14	0
303	1	0
303	2	0
303	3	0
303	4	1
303	5	1
303	6	0
303	7	0
303	8	2
303	9	0
303	10	1
303	11	0
303	12	2
303	13	2
303	14	0
304	1	0
304	2	0
304	3	0
304	4	1
304	5	2
304	6	0
304	7	0
304	8	0
304	9	0
304	10	1
304	11	0
304	12	1
304	13	0
304	14	0
305	1	0
305	2	0
305	3	0
305	4	1
305	5	2
305	6	0
305	7	0
305	8	2
305	9	0
305	10	0
305	11	0
305	12	0
305	13	0
305	14	0
306	1	0
306	2	0
306	3	0
306	4	1
306	5	0
306	6	0
306	7	0
306	8	0
306	9	0
306	10	0
306	11	0
306	12	0
306	13	0
306	14	0
307	1	0
307	2	2
307	3	0
307	4	2
307	5	2
307	6	1
307	7	0
307	8	0
307	9	0
307	10	0
307	11	0
307	12	1
307	13	0
307	14	0
308	1	0
308	2	0
308	3	0
308	4	0
308	5	2
308	6	0
308	7	2
308	8	0
308	9	0
308	10	0
308	11	0
308	12	0
308	13	2
308	14	88
309	1	0
309	2	0
309	3	0
309	4	2
309	5	1
309	6	0
309	7	0
309	8	0
309	9	0
309	10	0
309	11	0
309	12	0
309	13	0
309	14	0
310	1	0
310	2	0
310	3	0
310	4	1
310	5	2
310	6	0
310	7	0
310	8	0
310	9	0
310	10	0
310	11	0
310	12	1
310	13	0
310	14	0
311	1	0
311	2	0
311	3	0
311	4	2
311	5	0
311	6	0
311	7	0
311	8	0
311	9	0
311	10	0
311	11	0
311	12	0
311	13	0
311	14	0
312	1	0
312	2	0
312	3	0
312	4	2
312	5	1
312	6	0
312	7	0
312	8	0
312	9	0
312	10	0
312	11	0
312	12	0
312	13	0
312	14	0
313	1	0
313	2	0
313	3	0
313	4	0
313	5	2
313	6	0
313	7	0
313	8	2
313	9	2
313	10	1
313	11	0
313	12	1
313	13	1
313	14	0
314	1	0
314	2	0
314	3	0
314	4	2
314	5	1
314	6	0
314	7	0
314	8	0
314	9	0
314	10	0
314	11	0
314	12	0
314	13	0
314	14	0
315	1	0
315	2	0
315	3	0
315	4	2
315	5	2
315	6	2
315	7	0
315	8	0
315	9	0
315	10	0
315	11	0
315	12	0
315	13	2
315	14	0
316	1	0
316	2	0
316	3	0
316	4	1
316	5	0
316	6	0
316	7	0
316	8	0
316	9	0
316	10	2
316	11	0
316	12	2
316	13	1
316	14	0
317	1	0
317	2	0
317	3	0
317	4	2
317	5	1
317	6	0
317	7	2
317	8	0
317	9	0
317	10	0
317	11	2
317	12	0
317	13	1
317	14	88
318	1	0
318	2	2
318	3	0
318	4	2
318	5	1
318	6	0
318	7	0
318	8	0
318	9	0
318	10	0
318	11	2
318	12	0
318	13	1
318	14	0
319	1	0
319	2	0
319	3	0
319	4	1
319	5	0
319	6	0
319	7	0
319	8	0
319	9	1
319	10	0
319	11	0
319	12	0
319	13	1
319	14	0
320	1	0
320	2	0
320	3	0
320	4	0
320	5	1
320	6	0
320	7	1
320	8	0
320	9	0
320	10	0
320	11	1
320	12	0
320	13	0
320	14	0
321	1	0
321	2	2
321	3	0
321	4	2
321	5	1
321	6	0
321	7	0
321	8	0
321	9	0
321	10	0
321	11	2
321	12	0
321	13	1
321	14	0
322	1	0
322	2	1
322	3	0
322	4	1
322	5	2
322	6	0
322	7	0
322	8	0
322	9	0
322	10	0
322	11	0
322	12	0
322	13	0
322	14	0
323	1	0
323	2	0
323	3	0
323	4	1
323	5	2
323	6	0
323	7	0
323	8	0
323	9	0
323	10	0
323	11	0
323	12	0
323	13	0
323	14	0
324	1	0
324	2	0
324	3	0
324	4	1
324	5	0
324	6	0
324	7	0
324	8	0
324	9	0
324	10	0
324	11	0
324	12	0
324	13	0
324	14	0
325	1	0
325	2	0
325	3	0
325	4	1
325	5	2
325	6	0
325	7	0
325	8	0
325	9	0
325	10	0
325	11	0
325	12	0
325	13	0
325	14	0
326	1	0
326	2	0
326	3	0
326	4	2
326	5	2
326	6	0
326	7	0
326	8	0
326	9	0
326	10	0
326	11	0
326	12	0
326	13	1
326	14	88
327	1	0
327	2	0
327	3	0
327	4	0
327	5	2
327	6	2
327	7	0
327	8	0
327	9	0
327	10	0
327	11	2
327	12	2
327	13	2
327	14	0
328	1	88
328	2	0
328	3	0
328	4	1
328	5	1
328	6	0
328	7	0
328	8	0
328	9	88
328	10	2
328	11	2
328	12	2
328	13	2
328	14	88
329	1	0
329	2	0
329	3	0
329	4	2
329	5	1
329	6	0
329	7	0
329	8	1
329	9	0
329	10	2
329	11	0
329	12	2
329	13	1
329	14	0
330	1	0
330	2	0
330	3	0
330	4	2
330	5	2
330	6	0
330	7	2
330	8	0
330	9	0
330	10	0
330	11	2
330	12	0
330	13	1
330	14	0
331	1	0
331	2	0
331	3	0
331	4	2
331	5	2
331	6	0
331	7	2
331	8	2
331	9	0
331	10	1
331	11	0
331	12	0
331	13	0
331	14	0
332	1	0
332	2	0
332	3	0
332	4	0
332	5	2
332	6	2
332	7	0
332	8	0
332	9	0
332	10	0
332	11	0
332	12	2
332	13	1
332	14	0
333	1	0
333	2	2
333	3	0
333	4	1
333	5	1
333	6	2
333	7	0
333	8	2
333	9	2
333	10	2
333	11	0
333	12	2
333	13	1
333	14	0
334	1	1
334	2	0
334	3	0
334	4	1
334	5	2
334	6	2
334	7	0
334	8	0
334	9	1
334	10	1
334	11	0
334	12	1
334	13	0
334	14	0
335	1	0
335	2	0
335	3	0
335	4	1
335	5	0
335	6	0
335	7	0
335	8	0
335	9	0
335	10	0
335	11	0
335	12	0
335	13	0
335	14	0
336	1	0
336	2	0
336	3	0
336	4	1
336	5	2
336	6	0
336	7	0
336	8	0
336	9	0
336	10	0
336	11	0
336	12	0
336	13	0
336	14	0
337	1	0
337	2	0
337	3	0
