PLACEID	HSTFIDR4	STAFFLL	STFFLNG1	STFFLNG2
101	1	26	1	88
101	2	5	1	88
101	3	4	1	88
101	4	0	 	 
101	5	0	 	 
101	6	39	1	88
101	7	65	1	88
101	8	1	1	88
101	9	2	1	88
101	10	1	1	88
101	11	2	1	88
101	12	1	1	88
101	13	4	1	88
101	14	19	1	88
101	15	7	1	88
101	16	6	1	88
101	17	10	1	88
102	1	4	1	88
102	2	0	 	 
102	3	4	1	88
102	4	0	 	 
102	5	0	 	 
102	6	9	1	88
102	7	9	1	88
102	8	2	1	88
102	9	1	1	88
102	10	2	1	88
102	11	0	 	 
102	12	0	 	 
102	13	0	 	 
102	14	6	1	88
102	15	3	1	88
102	16	2	1	88
102	17	3	1	88
201	1	0	 	 
201	2	0	 	 
201	3	0	 	 
201	4	0	 	 
201	5	0	 	 
201	6	1	1	88
201	7	2	1	88
201	8	0	 	 
201	9	0	 	 
201	10	0	 	 
201	11	0	 	 
201	12	0	 	 
201	13	0	 	 
201	14	0	 	 
201	15	1	1	88
201	16	0	 	 
201	17	0	 	 
202	1	0	 	 
202	2	0	 	 
202	3	0	 	 
202	4	0	 	 
202	5	0	 	 
202	6	2	1	88
202	7	1	1	88
202	8	0	 	 
202	9	0	 	 
202	10	0	 	 
202	11	0	 	 
202	12	0	 	 
202	13	0	 	 
202	14	1	1	88
202	15	0	 	 
202	16	0	 	 
202	17	0	 	 
203	1	1	1	88
203	2	0	 	 
203	3	0	 	 
203	4	0	 	 
203	5	0	 	 
203	6	1	1	88
203	7	4	1	88
203	8	0	 	 
203	9	0	 	 
203	10	0	 	 
203	11	0	 	 
203	12	0	 	 
203	13	0	 	 
203	14	1	88	88
203	15	0	 	 
203	16	0	 	 
203	17	0	 	 
204	1	1	1	88
204	2	0	 	 
204	3	1	1	88
204	4	0	 	 
204	5	0	 	 
204	6	1	1	88
204	7	4	1	88
204	8	0	 	 
204	9	0	 	 
204	10	0	 	 
204	11	0	 	 
204	12	0	 	 
204	13	0	 	 
204	14	2	1	88
204	15	1	1	88
204	16	1	1	88
204	17	0	 	 
205	1	1	1	88
205	2	0	 	 
205	3	0	 	 
205	4	0	 	 
205	5	0	 	 
205	6	2	1	88
205	7	6	1	88
205	8	0	 	 
205	9	0	 	 
205	10	0	 	 
205	11	0	 	 
205	12	1	1	88
205	13	0	 	 
205	14	2	1	88
205	15	0	 	 
205	16	0	 	 
205	17	0	 	 
301	1	1	1	88
301	2	0	 	 
301	3	0	 	 
301	4	0	 	 
301	5	0	 	 
301	6	0	 	 
301	7	1	1	88
301	8	0	 	 
301	9	0	 	 
301	10	0	 	 
301	11	0	 	 
301	12	0	 	 
301	13	0	 	 
301	14	0	 	 
301	15	0	 	 
301	16	0	 	 
301	17	0	 	 
304	1	1	1	88
304	2	0	 	 
304	3	0	 	 
304	4	0	 	 
304	5	0	 	 
304	6	1	1	88
304	7	2	1	88
304	8	0	 	 
304	9	0	 	 
304	10	0	 	 
304	11	0	 	 
304	12	0	 	 
304	13	0	 	 
304	14	1	1	88
304	15	1	1	88
304	16	1	1	88
304	17	0	 	 
305	1	0	 	 
305	2	0	 	 
305	3	0	 	 
305	4	0	 	 
305	5	0	 	 
305	6	1	1	88
305	7	1	1	88
305	8	0	 	 
305	9	0	 	 
305	10	0	 	 
305	11	0	 	 
305	12	0	 	 
305	13	0	 	 
305	14	1	1	88
305	15	0	 	 
305	16	0	 	 
305	17	0	 	 
306	1	1	1	88
306	2	0	 	 
306	3	1	1	88
306	4	0	 	 
306	5	0	 	 
306	6	1	1	88
306	7	1	1	88
306	8	1	1	88
306	9	0	 	 
306	10	1	1	88
306	11	0	 	 
306	12	1	1	88
306	13	1	1	88
306	14	1	1	88
306	15	1	1	88
306	16	1	1	88
306	17	1	1	88
307	1	1	1	88
307	2	0	 	 
307	3	1	1	88
307	4	0	 	 
307	5	0	 	 
307	6	1	1	88
307	7	1	1	88
307	8	1	1	88
307	9	0	 	 
307	10	1	1	88
307	11	0	 	 
307	12	1	1	88
307	13	1	1	88
307	14	1	1	88
307	15	1	1	88
307	16	1	1	88
307	17	1	1	88
308	1	1	1	88
308	2	0	 	 
308	3	1	1	88
308	4	0	 	 
308	5	0	 	 
308	6	1	1	88
308	7	1	1	88
308	8	1	1	88
308	9	0	 	 
308	10	1	1	88
308	11	0	 	 
308	12	1	1	88
308	13	1	1	88
308	14	1	1	88
308	15	1	1	88
308	16	1	1	88
308	17	1	1	88
309	1	0	 	 
309	2	0	 	 
309	3	0	 	 
309	4	0	 	 
309	5	0	 	 
309	6	1	1	88
309	7	1	1	88
309	8	0	 	 
309	9	0	 	 
309	10	0	 	 
309	11	0	 	 
309	12	0	 	 
309	13	0	 	 
309	14	0	 	 
309	15	0	 	 
309	16	0	 	 
309	17	0	 	 
310	1	0	 	 
310	2	0	 	 
310	3	0	 	 
310	4	0	 	 
310	5	0	 	 
310	6	1	1	88
310	7	1	1	88
310	8	0	 	 
310	9	0	 	 
310	10	0	 	 
310	11	0	 	 
310	12	0	 	 
310	13	0	 	 
310	14	1	1	88
310	15	0	 	 
310	16	0	 	 
310	17	0	 	 
311	1	1	1	88
311	2	0	 	 
311	3	0	 	 
311	4	0	 	 
311	5	0	 	 
311	6	1	1	88
311	7	1	1	88
311	8	0	 	 
311	9	0	 	 
311	10	0	 	 
311	11	0	 	 
311	12	0	 	 
311	13	0	 	 
311	14	0	 	 
311	15	0	 	 
311	16	0	 	 
311	17	0	 	 
312	1	1	1	88
312	2	0	 	 
312	3	1	1	88
312	4	0	 	 
312	5	0	 	 
312	6	1	1	88
312	7	1	1	88
312	8	1	1	88
312	9	0	 	 
312	10	1	1	88
312	11	0	 	 
312	12	1	1	88
312	13	1	1	88
312	14	1	1	88
312	15	1	1	88
312	16	1	1	88
312	17	1	1	88
313	1	1	1	88
313	2	0	 	 
313	3	1	1	88
313	4	0	 	 
