PLACEID	HLEQIDR4	HAVEEQ	EQPWRK
101	1	1	1
101	2	1	1
101	3	1	1
101	4	1	1
101	5	0	 
101	6	0	 
101	7	0	 
101	8	1	1
101	9	1	88
101	10	1	1
101	11	1	2
101	12	1	1
101	13	1	2
101	14	1	1
101	15	1	1
101	16	1	1
101	17	0	 
101	18	1	3
101	19	1	1
101	20	0	 
102	1	0	 
102	2	0	 
102	3	0	 
102	4	1	1
102	5	0	 
102	6	0	 
102	7	0	 
102	8	1	1
102	9	0	 
102	10	1	1
102	11	0	 
102	12	0	 
102	13	0	 
102	14	0	 
102	15	0	 
102	16	1	1
102	17	0	 
102	18	1	1
102	19	1	1
102	20	1	1
201	1	0	 
201	2	0	 
201	3	0	 
201	4	1	1
201	5	0	 
201	6	0	 
201	7	0	 
201	8	0	 
201	9	0	 
201	10	0	 
201	11	0	 
201	12	0	 
201	13	0	 
201	14	1	1
201	15	0	 
201	16	0	 
201	17	0	 
201	18	0	 
201	19	0	 
201	20	0	 
202	1	0	 
202	2	0	 
202	3	1	1
202	4	0	 
202	5	0	 
202	6	0	 
202	7	0	 
202	8	0	 
202	9	0	 
202	10	0	 
202	11	0	 
202	12	0	 
202	13	0	 
202	14	0	 
202	15	0	 
202	16	0	 
202	17	0	 
202	18	1	2
202	19	1	1
202	20	1	1
203	1	0	 
203	2	0	 
203	3	0	 
203	4	0	 
203	5	0	 
203	6	0	 
203	7	0	 
203	8	1	1
203	9	0	 
203	10	0	 
203	11	0	 
203	12	0	 
203	13	0	 
203	14	1	1
203	15	0	 
203	16	0	 
203	17	0	 
203	18	0	 
203	19	0	 
203	20	0	 
204	1	0	 
204	2	0	 
204	3	0	 
204	4	1	1
204	5	0	 
204	6	0	 
204	7	0	 
204	8	1	2
204	9	0	 
204	10	1	1
204	11	0	 
204	12	0	 
204	13	0	 
204	14	1	1
204	15	0	 
204	16	0	 
204	17	0	 
204	18	1	2
204	19	1	2
204	20	1	1
205	1	0	 
205	2	0	 
205	3	0	 
205	4	1	1
205	5	0	 
205	6	0	 
205	7	0	 
205	8	1	1
205	9	0	 
205	10	1	1
205	11	0	 
205	12	0	 
205	13	0	 
205	14	1	1
205	15	0	 
205	16	1	1
205	17	0	 
205	18	1	1
205	19	1	1
205	20	1	1
301	1	0	 
301	2	0	 
301	3	0	 
301	4	0	 
301	5	0	 
301	6	0	 
301	7	0	 
301	8	0	 
301	9	0	 
301	10	0	 
301	11	0	 
301	12	0	 
301	13	0	 
301	14	0	 
301	15	0	 
301	16	0	 
301	17	0	 
301	18	0	 
301	19	1	1
301	20	0	 
304	1	0	 
304	2	0	 
304	3	0	 
304	4	1	1
304	5	0	 
304	6	0	 
304	7	0	 
304	8	0	 
304	9	0	 
304	10	0	 
304	11	0	 
304	12	1	1
304	13	0	 
304	14	0	 
304	15	0	 
304	16	1	1
304	17	0	 
304	18	0	 
304	19	1	1
304	20	1	1
305	1	0	 
305	2	0	 
305	3	0	 
305	4	0	 
305	5	0	 
305	6	0	 
305	7	0	 
305	8	0	 
305	9	0	 
305	10	0	 
305	11	0	 
305	12	0	 
305	13	0	 
305	14	1	1
305	15	0	 
305	16	0	 
305	17	0	 
305	18	0	 
305	19	1	1
305	20	1	1
306	1	1	2
306	2	0	 
306	3	1	1
306	4	1	1
306	5	0	 
306	6	0	 
306	7	0	 
306	8	1	1
306	9	1	1
306	10	1	1
306	11	1	2
306	12	0	 
306	13	1	2
306	14	1	2
306	15	0	 
306	16	1	2
306	17	0	 
306	18	1	88
306	19	1	1
306	20	0	 
307	1	1	2
307	2	0	 
307	3	1	1
307	4	1	1
307	5	0	 
307	6	0	 
307	7	0	 
307	8	1	1
307	9	1	1
307	10	1	1
307	11	1	2
307	12	0	 
307	13	1	2
307	14	1	2
307	15	0	 
307	16	1	2
307	17	0	 
307	18	1	1
307	19	1	1
307	20	0	 
308	1	1	2
308	2	0	 
308	3	1	1
308	4	1	1
308	5	0	 
308	6	0	 
308	7	0	 
308	8	1	1
308	9	1	1
308	10	1	1
308	11	1	2
308	12	0	 
308	13	1	2
308	14	1	2
308	15	0	 
308	16	1	2
308	17	0	 
308	18	1	88
308	19	1	1
308	20	0	 
309	1	0	 
309	2	0	 
309	3	0	 
309	4	0	 
309	5	0	 
309	6	0	 
309	7	0	 
309	8	1	1
309	9	0	 
309	10	0	 
309	11	0	 
309	12	0	 
309	13	0	 
309	14	0	 
309	15	0	 
309	16	1	1
309	17	0	 
309	18	0	 
309	19	1	1
309	20	1	1
310	1	0	 
310	2	0	 
310	3	0	 
310	4	0	 
310	5	0	 
310	6	0	 
310	7	0	 
310	8	0	 
310	9	0	 
310	10	0	 
310	11	0	 
310	12	0	 
310	13	0	 
310	14	1	1
310	15	0	 
310	16	0	 
310	17	0	 
310	18	0	 
310	19	1	1
310	20	1	1
311	1	0	 
311	2	0	 
311	3	0	 
311	4	0	 
311	5	0	 
311	6	0	 
311	7	0	 
311	8	0	 
311	9	0	 
311	10	0	 
311	11	0	 
311	12	0	 
311	13	0	 
311	14	0	 
311	15	0	 
311	16	0	 
311	17	0	 
311	18	0	 
311	19	1	1
311	20	0	 
312	1	1	2
312	2	0	 
312	3	1	1
312	4	1	1
312	5	0	 
312	6	0	 
312	7	0	 
312	8	1	1
312	9	1	1
312	10	1	1
312	11	1	2
312	12	0	 
312	13	1	2
312	14	1	2
312	15	0	 
312	16	1	2
312	17	0	 
312	18	1	1
312	19	1	1
312	20	0	 
313	1	1	2
313	2	0	 
313	3	1	1
313	4	1	1
313	5	0	 
313	6	0	 
313	7	0	 
313	8	1	1
313	9	1	1
313	10	1	1
313	11	1	2
313	12	0	 
