PLACEID	HLTHIDR4	HLTHCURR	HLTHTIM	HLTHTRN
101	1	1	 	 
101	2	1	 	 
101	3	1	 	 
101	4	1	 	 
101	5	1	 	 
101	6	1	 	 
101	7	1	 	 
101	8	1	 	 
101	9	1	 	 
101	10	1	 	 
101	11	0	360	8
101	12	88	 	 
102	1	0	8	6
102	2	0	5	6
102	3	1	 	 
102	4	1	 	 
102	5	0	30	6
102	6	0	8	6
102	7	0	20	6
102	8	1	 	 
102	9	0	8	6
102	10	1	 	 
102	11	0	8	6
102	12	88	 	 
201	1	0	50	6
201	2	0	50	6
201	3	0	50	6
201	4	0	45	6
201	5	0	45	6
201	6	0	50	6
201	7	1	 	 
201	8	0	50	6
201	9	0	50	6
201	10	1	 	 
201	11	0	50	6
201	12	88	 	 
202	1	0	30	6
202	2	0	30	6
202	3	0	30	6
202	4	0	20	6
202	5	0	30	6
202	6	0	30	6
202	7	1	 	 
202	8	0	30	6
202	9	0	30	6
202	10	0	30	6
202	11	0	30	6
202	12	0	20	6
203	1	0	20	6
203	2	0	20	6
203	3	0	20	6
203	4	0	10	6
203	5	0	8	6
203	6	0	20	6
203	7	1	 	 
203	8	0	20	6
203	9	0	20	6
203	10	1	 	 
203	11	0	20	6
203	12	88	 	 
204	1	0	20	6
204	2	0	20	6
204	3	0	20	6
204	4	0	5	6
204	5	0	20	6
204	6	0	5	6
204	7	1	 	 
204	8	0	20	6
204	9	0	20	6
204	10	1	 	 
204	11	0	20	6
204	12	88	 	 
205	1	0	10	6
205	2	0	10	6
205	3	0	10	6
205	4	0	5	6
205	5	0	10	6
205	6	0	10	6
205	7	1	 	 
205	8	0	10	6
205	9	0	10	6
205	10	1	 	 
205	11	0	10	6
205	12	88	 	 
301	1	0	300	8
301	2	0	360	8
301	3	0	360	8
301	4	0	60	8
301	5	0	240	8
301	6	0	300	8
301	7	0	20	1
301	8	0	300	8
301	9	0	300	8
301	10	0	20	1
301	11	0	360	8
301	12	88	 	 
304	1	0	180	6
304	2	0	180	6
304	3	0	180	6
304	4	1	 	 
304	5	0	90	6
304	6	0	180	6
304	7	0	120	1
304	8	0	180	6
304	9	0	180	6
304	10	0	120	6
304	11	0	180	6
304	12	88	 	 
305	1	0	360	8
305	2	0	360	8
305	3	0	360	8
305	4	0	120	1
305	5	0	360	8
305	6	0	360	8
305	7	0	60	1
305	8	0	360	8
305	9	0	360	8
305	10	0	60	1
305	11	0	360	8
305	12	88	 	 
306	1	0	210	8
306	2	0	300	8
306	3	0	300	8
306	4	0	90	1
306	5	0	180	8
306	6	0	300	8
306	7	0	60	1
306	8	0	180	8
306	9	0	300	8
306	10	0	90	1
306	11	0	90	1
306	12	88	 	 
307	1	0	240	8
307	2	0	300	8
307	3	0	300	8
307	4	0	30	1
307	5	0	180	8
307	6	0	300	8
307	7	0	60	1
307	8	0	300	8
307	9	0	300	8
307	10	0	30	1
307	11	0	300	8
307	12	88	 	 
308	1	0	210	8
308	2	0	300	8
308	3	0	300	8
308	4	1	 	 
308	5	0	180	8
308	6	0	300	8
308	7	0	60	1
308	8	0	180	8
308	9	0	300	8
308	10	1	 	 
308	11	0	300	8
308	12	88	 	 
309	1	0	150	6
309	2	0	120	6
309	3	0	150	6
309	4	0	120	6
309	5	0	120	6
309	6	0	120	6
309	7	0	30	4
309	8	0	120	6
309	9	0	120	6
309	10	0	120	6
309	11	0	240	6
309	12	88	 	 
310	1	0	300	8
310	2	0	300	8
310	3	0	300	8
310	4	0	60	1
310	5	0	300	8
310	6	0	300	8
310	7	1	 	 
310	8	0	300	8
310	9	0	300	8
310	10	1	 	 
310	11	0	300	8
310	12	88	 	 
311	1	0	300	8
311	2	0	360	8
311	3	0	360	8
311	4	0	60	8
311	5	0	240	8
311	6	0	300	8
311	7	1	 	 
311	8	0	300	8
311	9	0	300	8
311	10	1	 	 
311	11	0	360	8
311	12	88	 	 
312	1	0	210	8
312	2	0	300	8
312	3	0	300	8
312	4	1	 	 
312	5	0	180	8
312	6	0	300	8
312	7	0	60	1
312	8	0	180	8
312	9	0	300	8
312	10	1	 	 
312	11	0	300	8
312	12	88	 	 
313	1	0	210	8
313	2	0	300	8
313	3	0	300	8
313	4	1	 	 
313	5	0	180	8
313	6	0	300	8
313	7	0	60	1
313	8	0	180	8
313	9	0	300	8
313	10	1	 	 
313	11	0	300	8
313	12	88	 	 
314	1	0	210	8
314	2	0	300	8
314	3	0	300	8
314	4	1	 	 
314	5	0	180	8
314	6	0	300	8
314	7	0	60	1
314	8	0	180	8
314	9	0	300	8
314	10	1	 	 
314	11	0	300	8
314	12	88	 	 
401	1	0	120	7
401	2	0	120	7
401	3	0	120	7
401	4	0	15	7
401	5	0	120	7
401	6	0	120	7
401	7	0	15	7
401	8	0	120	7
401	9	0	120	7
401	10	1	 	 
401	11	0	120	7
401	12	88	 	 
402	1	0	90	7
402	2	0	90	7
402	3	0	90	7
402	4	1	 	 
402	5	0	90	7
402	6	0	90	7
402	7	0	20	7
402	8	0	90	7
402	9	0	90	7
402	10	1	 	 
402	11	3	 	 
402	12	88	 	 
403	1	0	120	7
403	2	0	120	7
403	3	0	120	7
403	4	1	 	 
403	5	0	120	7
403	6	0	120	7
403	7	0	60	7
403	8	0	120	7
403	9	0	120	7
403	10	1	 	 
403	11	0	120	7
403	12	88	 	 
404	1	0	150	7
404	2	0	150	7
404	3	0	150	7
404	4	0	60	7
404	5	0	150	7
404	6	0	150	7
404	7	1	 	 
404	8	0	150	7
404	9	0	150	7
404	10	1	 	 
404	11	3	 	 
404	12	88	 	 
405	1	0	150	7
405	2	0	150	7
405	3	0	150	7
405	4	0	90	1
405	5	0	150	7
405	6	0	150	7
405	7	1	 	 
405	8	0	150	7
405	9	0	150	8
405	10	1	 	 
405	11	0	150	7
405	12	88	 	 
406	1	0	120	7
406	2	0	120	7
406	3	0	120	7
406	4	0	20	7
406	5	0	120	7
406	6	0	120	7
406	7	1	 	 
406	8	0	120	7
406	9	0	120	7
406	10	1	 	 
406	11	0	120	7
406	12	88	 	 
408	1	0	120	7
408	2	0	120	7
408	3	0	120	7
408	4	0	40	1
408	5	0	120	7
408	6	0	120	7
408	7	1	 	 
408	8	0	120	7
408	9	0	120	7
408	10	1	 	 
408	11	0	120	7
408	12	88	 	 
501	1	0	90	6
501	2	0	90	6
501	3	0	90	6
501	4	0	20	6
501	5	0	60	6
501	6	0	90	6
501	7	1	 	 
501	8	0	20	6
501	9	0	90	6
501	10	1	 	 
501	11	0	90	6
501	12	88	 	 
503	1	0	60	6
503	2	0	90	6
503	3	0	60	6
503	4	0	15	6
503	5	0	90	6
503	6	0	15	6
503	7	1	 	 
503	8	0	15	6
503	9	0	60	6
503	10	1	 	 
503	11	0	90	6
503	12	88	 	 
504	1	0	90	6
504	2	0	90	6
504	3	0	90	6
504	4	0	15	5
504	5	0	45	6
504	6	0	90	6
504	7	1	 	 
504	8	0	15	5
504	9	0	45	6
504	10	1	 	 
504	11	1	 	 
504	12	88	 	 
505	1	0	60	6
505	2	0	90	6
505	3	0	60	6
505	4	1	 	 
505	5	0	30	6
505	6	0	60	6
505	7	0	10	5
505	8	0	60	5
505	9	0	60	5
505	10	1	 	 
505	11	0	180	6
505	12	88	 	 
507	1	0	25	6
507	2	0	25	6
