PLACEID	STPFIDR4	STDDROP	STDREP
101	1	0	3
101	2	0	4
102	1	0	2
102	2	0	5
201	1	0	1
201	2	1	1
202	1	2	2
202	2	3	2
203	1	3	2
203	2	2	1
204	1	1	3
204	2	1	6
205	1	2	1
205	2	5	9
301	1	2	2
301	2	4	1
304	1	 	 
304	2	 	 
305	1	 	 
305	2	 	 
306	1	 	 
306	2	 	 
307	1	 	 
307	2	 	 
308	1	 	 
308	2	 	 
309	1	 	 
309	2	 	 
310	1	 	 
310	2	 	 
311	1	 	 
311	2	 	 
312	1	 	 
312	2	 	 
313	1	 	 
313	2	 	 
314	1	 	 
314	2	 	 
401	1	 	 
401	2	 	 
402	1	8	8
402	2	10	10
403	1	5	8
403	2	4	10
404	1	5	12
404	2	5	6
405	1	 	 
405	2	 	 
406	1	 	 
406	2	 	 
408	1	 	 
408	2	 	 
501	1	1	3
501	2	1	4
503	1	10	2
503	2	10	2
504	1	 	 
504	2	 	 
505	1	 	 
505	2	 	 
507	1	 	 
507	2	 	 
508	1	 	 
508	2	 	 
509	1	 	 
509	2	 	 
510	1	 	 
510	2	 	 
511	1	5	4
511	2	5	1
512	1	 	 
512	2	 	 
601	1	1	1
601	2	2	2
602	1	1	1
602	2	1	1
701	1	0	1
701	2	2	14
702	1	 	 
702	2	 	 
703	1	 	 
703	2	 	 
704	1	 	 
704	2	 	 
801	1	1	1
801	2	5	9
802	1	4	6
802	2	6	8
901	1	0	2
901	2	0	5
902	1	9	1
902	2	5	1
903	1	 	 
903	2	 	 
904	1	0	1
904	2	0	1
905	1	3	0
905	2	6	0
906	1	1	10
906	2	5	3
907	1	 	 
907	2	 	 
908	1	 	 
908	2	 	 
909	1	 	 
909	2	 	 
910	1	 	 
910	2	 	 
911	1	 	 
911	2	 	 
912	1	 	 
912	2	 	 
1001	1	0	2
1001	2	1	9
1003	1	0	2
1003	2	0	1
1004	1	0	2
1004	2	0	1
1005	1	0	2
1005	2	0	1
1006	1	 	 
1006	2	 	 
1101	1	 	 
1101	2	 	 
1102	1	4	5
1102	2	6	6
1103	1	 	 
1103	2	 	 
1104	1	6	7
1104	2	14	0
1105	1	 	 
1105	2	 	 
1106	1	 	 
1106	2	 	 
1107	1	2	7
1107	2	3	0
1108	1	 	 
1108	2	 	 
1202	1	5	1
1202	2	2	7
1203	1	2	3
1203	2	3	4
1302	1	 	 
1302	2	 	 
1303	1	10	10
1303	2	10	10
1304	1	0	6
1304	2	0	5
1402	1	 	 
1402	2	 	 
1403	1	15	20
1403	2	20	15
1404	1	0	11
1404	2	0	10
1501	1	3	4
1501	2	10	4
1502	1	 	 
1502	2	 	 
1503	1	 	 
1503	2	 	 
1504	1	0	3
1504	2	14	0
1505	1	 	 
1505	2	 	 
1506	1	 	 
1506	2	 	 
1507	1	 	 
1507	2	 	 
1508	1	 	 
1508	2	 	 
1509	1	 	 
1509	2	 	 
1601	1	 	 
1601	2	 	 
1602	1	 	 
1602	2	 	 
1603	1	 	 
1603	2	 	 
1604	1	 	 
1604	2	 	 
1605	1	 	 
1605	2	 	 
1606	1	 	 
1606	2	 	 
1607	1	 	 
1607	2	 	 
1608	1	 	 
1608	2	 	 
1701	1	 	 
1701	2	 	 
1702	1	 	 
1702	2	 	 
1703	1	 	 
1703	2	 	 
1704	1	 	 
1704	2	 	 
1705	1	 	 
1705	2	 	 
1706	1	 	 
1706	2	 	 
1708	1	 	 
1708	2	 	 
1709	1	 	 
1709	2	 	 
1710	1	 	 
1710	2	 	 
1711	1	 	 
1711	2	 	 
1801	1	 	 
1801	2	 	 
1802	1	 	 
1802	2	 	 
1803	1	 	 
1803	2	 	 
1804	1	 	 
1804	2	 	 
1806	1	 	 
1806	2	 	 
1807	1	 	 
1807	2	 	 
1901	1	0	6
1901	2	4	5
1902	1	 	 
1902	2	 	 
1903	1	 	 
1903	2	 	 
1904	1	 	 
1904	2	 	 
1905	1	 	 
1905	2	 	 
2001	1	 	 
2001	2	 	 
2002	1	 	 
2002	2	 	 
2003	1	 	 
2003	2	 	 
2004	1	 	 
2004	2	 	 
2005	1	 	 
2005	2	 	 
2006	1	 	 
2006	2	 	 
2007	1	 	 
2007	2	 	 
2008	1	 	 
2008	2	 	 
8002	1	3	2
8002	2	5	3
8003	1	 	 
8003	2	 	 
8004	1	 	 
8004	2	 	 
8006	1	5	5
8006	2	5	5
8007	1	1	5
8007	2	10	5
8008	1	1	2
8008	2	2	2
8010	1	0	2
8010	2	0	3
8011	1	2	5
8011	2	2	5
8012	1	 	 
8012	2	 	 
8014	1	3	8
8014	2	3	8
8015	1	 	 
8015	2	 	 
8016	1	1	2
8016	2	1	2
8017	1	 	 
8017	2	 	 
8018	1	 	 
8018	2	 	 
8019	1	0	11
8019	2	0	9
8020	1	1	4
8020	2	2	7
8021	1	2	2
8021	2	4	2
8022	1	1	1
8022	2	1	1
8023	1	2	2
8023	2	2	2
8024	1	 	 
8024	2	 	 
8025	1	8	10
8025	2	8	10
8026	1	0	2
8026	2	3	13
8027	1	3	1
8027	2	2	1
8028	1	30	2
8028	2	20	4
