PLACEID	TYWKIDR4	TYPEMALE	TYPEFMLE	TYPECHLD
101	1	-11	30	-11
101	2	60	-11	-11
101	3	96	-11	-11
101	4	50	50	-11
101	5	 	 	10
101	6	 	 	10
101	7	 	 	20
101	8	 	 	15
101	9	-11	25	15
101	10	25	25	10
101	11	 	 	-88
101	12	 	 	-88
102	1	-11	12	-11
102	2	30	-11	-11
102	3	50	-11	-11
102	4	-11	-11	-11
102	5	 	 	-11
102	6	 	 	-11
102	7	 	 	-11
102	8	 	 	-11
102	9	30	-11	-11
102	10	25	-11	-11
102	11	 	 	-88
102	12	 	 	-88
201	1	-11	15	-11
201	2	25	-11	-11
201	3	40	-11	-11
201	4	35	-11	-11
201	5	 	 	-11
201	6	 	 	-11
201	7	 	 	-11
201	8	 	 	-11
201	9	40	-11	-11
201	10	-88	-88	-88
201	11	 	 	-88
201	12	 	 	-88
202	1	-11	10	-11
202	2	-11	-11	-11
202	3	50	-11	-11
202	4	29	29	-11
202	5	 	 	-11
202	6	 	 	-11
202	7	 	 	-11
202	8	 	 	-11
202	9	-11	-11	20
202	10	-88	-88	-88
202	11	 	 	-88
202	12	 	 	-88
203	1	-11	15	-11
203	2	-11	-11	-11
203	3	35	-11	-11
203	4	-11	-11	-11
203	5	 	 	-11
203	6	 	 	-11
203	7	 	 	-11
203	8	 	 	-11
203	9	20	-11	15
203	10	-88	-88	-88
203	11	 	 	-88
203	12	 	 	-88
204	1	-11	20	-11
204	2	-11	-11	-11
204	3	35	-11	-11
204	4	-88	-88	-88
204	5	 	 	-11
204	6	 	 	-11
204	7	 	 	-11
204	8	 	 	-11
204	9	35	-11	35
204	10	-88	88	-88
204	11	 	 	-88
204	12	 	 	-88
205	1	-11	20	-11
205	2	45	-11	-11
205	3	60	60	-11
205	4	35	35	-11
205	5	 	 	-11
205	6	 	 	-11
205	7	 	 	-11
205	8	 	 	-11
205	9	-11	30	-11
205	10	28	-11	-11
205	11	 	 	-88
205	12	 	 	-88
301	1	-11	5	-11
301	2	-11	-11	-11
301	3	20	-11	-11
301	4	-11	-11	-11
301	5	 	 	-11
301	6	 	 	-11
301	7	 	 	-11
301	8	 	 	-11
301	9	-88	-88	-88
301	10	-88	-88	-88
301	11	 	 	-88
301	12	 	 	-88
304	1	-11	-11	-11
304	2	-11	-11	-11
304	3	30	-11	-11
304	4	-11	-11	-11
304	5	 	 	-11
304	6	 	 	-11
304	7	 	 	-11
304	8	 	 	-11
304	9	-88	-88	-88
304	10	-88	-88	-88
304	11	 	 	-88
304	12	 	 	-88
305	1	-11	-11	-11
305	2	-11	-11	-11
305	3	25	-11	-11
305	4	-11	-11	-11
305	5	 	 	-11
305	6	 	 	-11
305	7	 	 	-11
305	8	 	 	-11
305	9	-88	-88	-88
305	10	-88	-88	-88
305	11	 	 	-88
305	12	 	 	-88
306	1	-11	-11	-11
306	2	10	-11	-11
306	3	10	-11	-11
306	4	-11	-11	-11
306	5	 	 	-11
306	6	 	 	-11
306	7	 	 	-11
306	8	 	 	-11
306	9	-88	-88	-88
306	10	-88	-88	-88
306	11	 	 	-88
306	12	 	 	-88
307	1	-11	15	-11
307	2	-11	-11	-11
307	3	25	-11	-11
307	4	-11	-11	-11
307	5	 	 	-11
307	6	 	 	-11
307	7	 	 	-11
307	8	 	 	-11
307	9	-88	-88	-88
307	10	-88	-88	-88
307	11	 	 	-88
307	12	 	 	-88
308	1	-11	10	-11
308	2	20	-11	-11
308	3	25	-11	-11
308	4	-11	-11	-11
308	5	 	 	-11
308	6	 	 	-11
308	7	 	 	-11
308	8	 	 	-11
308	9	-88	-88	-88
308	10	-88	-88	-88
308	11	 	 	-88
308	12	 	 	-88
309	1	-11	10	-11
309	2	-11	-11	-11
309	3	20	-11	-11
309	4	-11	-11	-11
309	5	 	 	-11
309	6	 	 	-11
309	7	 	 	-11
309	8	 	 	-11
309	9	-88	-88	-88
309	10	-88	-88	-88
309	11	 	 	-88
309	12	 	 	-88
310	1	-11	-11	-11
310	2	-11	-11	-11
310	3	25	-11	-11
310	4	-11	-11	-11
