PLACEID	RSID	CAPAC
202	1	9
202	2	8
202	3	8
202	4	9
202	5	8
202	6	10
202	7	4
202	8	7
202	9	6
202	10	3
302	1	8
302	2	8
302	3	8
302	4	8
302	5	8
304	1	8
304	2	8
304	3	8
304	4	8
304	5	8
304	6	7
304	7	3
305	1	9
305	2	8
305	3	9
305	4	8
309	1	10
309	2	9
309	3	8
309	4	7
309	5	4
310	1	3
310	2	10
310	3	6
311	1	4
311	2	9
312	1	9
312	2	8
312	3	8
312	4	7
312	5	7
312	6	7
313	1	8
313	2	6
313	3	7
313	4	10
314	1	9
314	2	8
314	3	10
314	4	10
314	5	10
314	6	7
314	7	3
401	1	4
401	2	7
401	3	8
401	4	3
402	1	9
402	2	9
402	3	4
402	4	7
402	5	3
404	1	8
404	2	9
404	3	9
404	4	10
404	5	3
405	1	4
405	2	9
405	3	10
405	4	3
406	1	8
406	2	9
406	3	8
406	4	7
406	5	7
406	6	4
406	7	3
407	1	9
407	2	3
407	3	7
408	1	9
408	2	9
408	3	4
408	4	9
408	5	3
408	6	7
408	7	7
502	1	10
502	2	10
502	3	3
503	1	8
503	2	8
503	3	7
503	4	10
503	5	8
503	6	3
503	7	4
505	1	4
505	2	7
505	3	9
505	4	9
505	5	4
506	1	8
506	2	9
506	3	8
506	4	7
506	5	3
601	1	1
601	2	9
601	3	7
601	4	3
601	5	3
701	1	9
701	2	9
701	3	7
701	4	7
701	5	3
701	6	7
701	7	3
701	8	3
701	9	7
702	1	9
702	2	8
702	3	8
702	4	8
702	5	7
702	6	7
702	7	7
702	8	7
702	9	3
703	1	 
703	2	 
703	3	 
707	1	1
707	2	2
707	3	10
707	4	10
707	5	10
707	6	3
708	1	9
708	2	10
708	3	10
708	4	10
708	5	7
708	6	10
708	7	3
709	1	9
709	2	8
709	3	8
709	4	10
709	5	10
709	6	3
709	7	3
709	8	7
709	9	4
709	10	8
710	1	3
710	2	3
710	3	3
710	4	7
710	5	7
711	1	3
711	2	3
711	3	7
711	4	9
711	5	4
711	6	8
711	7	7
711	8	7
712	1	9
712	2	2
712	3	10
712	4	7
712	5	7
712	6	7
712	7	7
712	8	7
712	9	3
713	1	10
713	2	10
713	3	10
713	4	10
713	5	10
713	6	7
713	7	7
714	1	9
714	2	4
714	3	3
714	4	8
714	5	10
714	6	10
715	1	10
715	2	9
715	3	10
715	4	3
715	5	10
715	6	7
715	7	7
716	1	9
716	2	8
716	3	8
716	4	10
716	5	3
716	6	7
716	7	7
717	1	8
717	2	10
717	3	8
717	4	8
717	5	7
717	6	7
717	7	7
717	8	10
717	9	3
718	1	9
718	2	9
718	3	7
718	4	7
718	5	7
718	6	7
719	1	9
719	2	8
719	3	8
719	4	8
719	5	7
719	6	7
719	7	7
719	8	7
719	9	3
801	1	4
801	2	3
801	3	3
801	4	3
801	5	9
801	6	3
801	7	7
801	8	7
801	9	7
801	10	7
801	11	7
801	12	8
801	13	7
801	14	7
802	1	10
802	2	4
802	3	8
802	4	10
802	5	10
802	6	10
802	7	10
802	8	4
802	9	8
802	10	8
803	1	10
803	2	4
803	3	4
803	4	8
803	5	3
803	6	7
803	7	7
804	1	4
804	2	3
804	3	7
804	4	7
804	5	7
804	6	8
804	7	8
804	8	7
804	9	7
804	10	8
804	11	8
901	1	8
901	2	4
901	3	8
901	4	10
901	5	8
901	6	9
901	7	8
901	8	7
1103	1	9
1103	2	9
1103	3	4
1103	4	10
1103	5	7
1103	6	4
1103	7	4
1103	8	10
1201	1	8
1201	2	8
1201	3	8
1201	4	3
1201	5	7
1201	6	7
1201	7	7
1201	8	7
1201	9	7
1201	10	7
1201	11	7
1201	12	7
1201	13	7
1201	14	7
1201	15	7
1201	16	4
1202	1	8
1202	2	8
1202	3	8
1202	4	4
1202	5	8
1202	6	7
1202	7	7
1202	8	7
1202	9	7
1202	10	7
1202	11	7
1202	12	7
1202	13	7
1202	14	7
1202	15	3
1203	1	8
1203	2	8
1203	3	8
1203	4	10
1203	5	7
1203	6	7
1203	7	7
1203	8	7
1203	9	7
1203	10	7
1203	11	7
1203	12	7
1203	13	7
1203	14	7
1203	15	7
1203	16	7
1204	1	8
1204	2	8
1204	3	8
1204	4	8
1204	5	7
1204	6	7
1204	7	3
1204	8	7
1204	9	8
1204	10	7
1205	1	3
1205	2	8
1205	3	10
1205	4	7
1205	5	7
1205	6	7
1205	7	7
1205	8	7
1205	9	7
1206	1	8
1206	2	8
1206	3	7
1206	4	8
1206	5	8
1206	6	8
1206	7	8
1206	8	7
1206	9	7
1206	10	7
1206	11	7
1206	12	7
1206	13	7
1206	14	7
1206	15	7
1206	16	7
1206	17	4
1207	1	8
1207	2	8
1207	3	8
1207	4	8
1207	5	8
1207	6	7
1207	7	7
1207	8	7
1207	9	7
1207	10	4
1207	11	7
1207	12	7
1207	13	7
1207	14	7
1207	15	7
1207	16	7
1208	1	8
1208	2	8
1208	3	8
1208	4	8
1208	5	8
1208	6	8
1208	7	7
1208	8	7
1208	9	7
1208	10	7
1208	11	7
1208	12	7
1208	13	7
1208	14	7
1208	15	7
1208	16	7
1208	17	7
1208	18	4
1208	19	3
1208	20	7
1209	1	6
1209	2	7
1209	3	8
1209	4	9
1209	5	7
1209	6	7
1209	7	7
1209	8	7
1210	1	8
1210	2	9
1210	3	8
1210	4	3
1210	5	7
1210	6	7
1210	7	7
1210	8	7
1210	9	8
1210	10	6
1210	11	7
1211	1	3
1211	2	9
1211	3	8
1211	4	10
1211	5	7
1211	6	7
1211	7	7
