PLACEID	SERVIDR4	SERVAVLB	TIM2PLCE	CMNTRNSP
202	1	0	 	 
202	2	1	 	 
202	3	0	 	 
202	4	0	 	 
202	5	0	 	 
202	6	0	 	 
202	7	1	 	 
202	8	0	 	 
202	9	1	 	 
202	10	1	 	 
202	11	0	 	 
202	12	0	-88	88
202	13	1	 	 
202	14	1	 	 
202	15	1	 	 
202	16	0	30	6
202	17	1	 	 
202	18	0	30	6
202	19	0	35	6
202	20	0	35	6
202	21	0	35	6
202	22	0	35	6
202	23	0	30	6
202	24	1	 	 
202	25	0	 	 
202	27	0	35	6
202	28	1	 	 
202	29	0	35	6
202	30	1	 	 
202	31	0	30	6
202	32	1	 	 
202	33	1	 	 
202	34	1	 	 
202	35	1	 	 
302	1	0	 	 
302	2	1	 	 
302	3	0	 	 
302	4	0	 	 
302	5	0	 	 
302	6	0	 	 
302	7	1	 	 
302	8	0	 	 
302	9	1	 	 
302	10	0	30	1
302	11	0	 	 
302	12	0	30	1
302	13	1	 	 
302	14	1	 	 
302	15	0	 	 
302	16	0	30	1
302	17	0	30	1
302	18	0	30	1
302	19	0	30	1
302	20	0	240	8
302	21	0	30	1
302	22	0	240	8
302	23	0	30	1
302	24	1	 	 
302	25	0	 	 
302	27	0	240	8
302	28	88	 	 
302	29	0	240	8
302	30	1	 	 
302	31	0	240	8
302	32	88	 	 
302	33	0	30	1
302	34	0	30	1
302	35	0	30	1
304	1	0	 	 
304	2	1	 	 
304	3	0	 	 
304	4	0	 	 
304	5	0	 	 
304	6	0	 	 
304	7	1	 	 
304	8	0	 	 
304	9	1	 	 
304	10	1	 	 
304	11	1	 	 
304	12	0	10	1
304	13	1	 	 
304	14	1	 	 
304	15	0	 	 
304	16	0	10	1
304	17	0	10	1
304	18	0	10	1
304	19	0	10	1
304	20	0	180	8
304	21	0	180	8
304	22	0	10	1
304	23	0	10	1
304	24	0	 	 
304	25	0	 	 
304	27	0	-77	88
304	28	88	 	 
304	29	0	10	1
304	30	1	 	 
304	31	0	180	8
304	32	1	 	 
304	33	0	10	1
304	34	0	10	1
304	35	0	10	1
305	1	0	 	 
305	2	1	 	 
305	3	0	 	 
305	4	0	 	 
305	5	0	 	 
305	6	0	 	 
305	7	1	 	 
305	8	0	 	 
305	9	1	 	 
305	10	0	20	1
305	11	0	 	 
305	12	0	20	1
305	13	1	 	 
305	14	1	 	 
305	15	0	 	 
305	16	0	20	1
305	17	0	20	1
305	18	0	20	1
305	19	0	20	1
305	20	0	20	1
305	21	0	20	1
305	22	0	20	1
305	23	0	20	1
305	24	1	 	 
305	25	0	 	 
305	27	0	20	1
305	28	88	 	 
305	29	0	20	1
305	30	0	20	1
305	31	0	-77	88
305	32	1	 	 
305	33	0	20	1
305	34	0	20	1
305	35	0	20	1
309	1	0	 	 
309	2	1	 	 
309	3	0	 	 
309	4	0	 	 
309	5	0	 	 
309	6	1	 	 
309	7	1	 	 
309	8	0	 	 
309	9	1	 	 
309	10	1	 	 
