PLACEID	TYWKIDR4	TYPEMALE	TYPEFMLE	TYPECHLD
202	1	-11	-11	-11
202	2	50	-11	-11
202	3	-11	-11	-11
202	4	-11	-11	-11
202	5	 	 	-11
202	6	 	 	-11
202	7	 	 	-11
202	8	 	 	-11
202	9	30	-11	-11
202	10	-88	-88	-88
202	11	 	 	-88
202	12	 	 	-88
302	1	-11	-11	-11
302	2	-11	-11	-11
302	3	30	-11	-11
302	4	-11	-11	-11
302	5	 	 	-11
302	6	 	 	-11
302	7	 	 	-11
302	8	 	 	-11
302	9	-11	10	-11
302	10	-11	10	-11
302	11	 	 	-88
302	12	 	 	-88
304	1	-11	-11	-11
304	2	-11	-11	-11
304	3	25	-11	-11
304	4	-11	-11	-11
304	5	 	 	-11
304	6	 	 	-11
304	7	 	 	-11
304	8	 	 	-11
304	9	-88	-88	-88
304	10	-88	-88	-88
304	11	 	 	-88
304	12	 	 	-88
305	1	-11	-11	-11
305	2	-11	-11	-11
305	3	40	-11	-11
305	4	-11	-11	-11
305	5	 	 	-11
305	6	 	 	-11
305	7	 	 	-11
305	8	 	 	-11
305	9	-88	-88	-88
305	10	-88	-88	-88
305	11	 	 	-88
305	12	 	 	-88
309	1	-11	10	-11
309	2	-11	-11	-11
309	3	25	-11	-11
309	4	-11	-11	-11
309	5	 	 	-11
309	6	 	 	-11
309	7	 	 	-11
309	8	 	 	-11
309	9	-88	-88	-88
309	10	-88	-88	-88
309	11	 	 	-88
309	12	 	 	-88
310	1	-11	-11	-11
310	2	-11	-11	-11
310	3	-22	-22	-11
310	4	-11	-11	-11
310	5	 	 	-11
310	6	 	 	-11
310	7	 	 	-11
310	8	 	 	-11
310	9	-88	-88	-88
310	10	-88	-88	-88
310	11	 	 	-88
310	12	 	 	-88
311	1	-11	-11	-11
311	2	70	-11	-11
311	3	-22	-11	-11
311	4	-11	-11	-11
311	5	 	 	-11
311	6	 	 	-11
311	7	 	 	-11
311	8	 	 	-11
311	9	-11	30	-11
311	10	-11	40	-11
