PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PRCESTND
121	1	5000	1	3	5000
121	2	90	1	3	90
121	3	60	1	4	60
121	4	60	1	3	60
121	5	105	1	4	105
121	6	75	1	3	75
121	7	1.5	1	4	1.5
121	8	1000	1	3	1000
121	9	.800000011920929	1	3	.800000011920929
121	10	.550000011920929	1	4	.550000011920929
121	12	12	1	4	12
121	14	150	1	4	150
121	15	142	1	3	142
121	16	100	1	3	100
121	17	16	1	4	16
121	18	27	1	4	27
121	19	6	1	3	6
121	20	10	1	3	10
121	21	42.5	1	4	42.5
121	22	25	1	4	25
121	23	210	1	4	210
121	24	6	1	4	6
121	25	15	4	4	15
121	26	8	4	4	8
121	27	0	77	4	0
121	28	16	1	3	16
121	29	3.5	1	3	3.5
121	30	0	77	4	0
121	31	1.5	1	4	1.5
121	32	12	1	4	12
121	33	40	1	4	40
121	34	30	1	3	30
121	35	-77	77	3	0
121	36	90	1	4	90
121	37	230	1	4	230
121	38	110	1	4	110
121	39	140	1	4	140
121	40	-77	77	4	-77
121	41	70	1	3	70
121	42	120	1	4	120
121	43	13	1	4	13
121	44	10	1	4	10
121	45	40	1	4	40
121	46	5	1	4	5
121	47	20	1	3	20
121	48	15	1	3	15
121	49	15	1	4	15
121	50	25	1	3	25
121	51	5	1	3	5
121	52	2	1	3	2
121	53	6	1	3	6
121	54	15	1	3	15
121	55	3	1	4	3
121	56	22	1	3	22
121	57	7.5	1	4	7.5
121	58	6	1	4	6
121	59	8.39999961853027	1	4	8.39999961853027
120	1	5	1	3	5
120	2	65	1	3	65
120	3	70	1	3	70
120	4	55	1	3	55
120	5	65	1	3	65
120	6	65	1	3	65
120	7	1.5	1	4	1.5
120	8	1	1	4	1
120	9	.800000011920929	1	3	.800000011920929
120	10	.550000011920929	1	3	.550000011920929
120	12	12	1	4	12
120	14	150	1	3	150
120	15	142	1	3	142
120	16	100	1	3	100
120	17	17	1	3	17
120	18	27	1	3	27
120	19	6	1	4	6
120	20	10	1	3	10
120	21	42.5	1	3	42.5
120	22	25	1	4	25
120	23	110	1	4	110
120	24	6	1	4	6
120	25	15	1	4	15
120	26	12	1	4	12
120	27	-77	77	4	-77
120	28	6	1	4	6
120	29	3.5	1	4	3.5
120	30	-77	1	3	-77
120	31	1.5	1	4	1.5
120	32	13	1	4	13
120	33	40	1	4	40
120	34	30	1	4	30
120	35	15	1	4	15
120	36	95	1	4	95
120	37	230	1	4	230
120	38	110	1	4	110
120	39	130	1	4	130
120	40	-77	77	4	-77
120	41	70	1	4	70
120	42	110	1	4	110
120	43	13	1	3	13
120	44	8	1	3	8
120	45	40	1	3	40
120	46	5	1	3	5
120	47	15	1	3	15
120	48	-77	77	4	-77
120	49	15	1	4	15
120	50	25	1	4	25
120	51	5	1	4	5
120	52	2	1	4	2
120	53	6	1	4	6
120	54	15	1	4	15
120	55	3	1	1	3
120	56	22	1	3	22
120	57	7.5	1	4	7.5
120	58	6	1	3	6
120	59	9	1	3	9
618	1	11	15	9	11
618	2	70	8	9	70
618	3	80	8	9	80
618	4	80	8	6	80
618	5	100	8	6	100
618	6	120	8	7	120
618	7	2	9	8	2
618	8	-77	9	8	-77
618	9	8	9	8	.800000011920929
618	10	8	9	8	8
618	12	12	5	9	12
618	14	200	1	9	200
618	15	150	1	9	150
618	16	100	1	9	100
618	17	20	1	9	20
618	18	44	1	9	44
618	19	15	1	9	15
618	20	10	1	9	10
618	21	40	1	9	40
