PLACEID	PPIDR4	POLLPROB	PROBAFCT
121	1	0	 
121	2	0	 
121	3	1	2
121	4	0	 
121	5	0	 
121	6	0	 
121	7	0	 
121	8	0	 
121	9	0	 
121	10	0	 
121	11	1	2
121	12	0	 
121	13	0	 
121	14	1	2
121	15	0	 
121	16	0	 
120	1	0	 
120	2	0	 
120	3	0	 
120	4	0	 
120	5	0	 
120	6	0	 
120	7	0	 
120	8	0	 
120	9	0	 
120	10	0	 
120	11	0	 
120	12	0	 
120	13	0	 
120	14	1	2
120	15	0	 
120	16	0	 
618	1	0	 
618	2	0	 
618	3	1	2
618	4	1	77
618	5	0	 
618	6	0	 
618	7	0	 
618	8	1	2
618	9	0	 
618	10	0	 
618	11	0	 
618	12	1	2
618	13	0	 
618	14	1	2
618	15	0	 
618	16	0	 
715	1	0	 
715	2	0	 
715	3	0	 
715	4	0	 
715	5	0	 
715	6	0	 
715	7	0	 
715	8	0	 
715	9	0	 
715	10	0	 
715	11	1	2
715	12	0	 
715	13	1	2
715	14	0	 
715	15	0	 
715	16	0	 
711	1	0	 
711	2	0	 
711	3	0	 
711	4	0	 
711	5	0	 
711	6	0	 
711	7	0	 
711	8	0	 
711	9	0	 
711	10	0	 
711	11	0	 
711	12	0	 
711	13	0	 
711	14	0	 
711	15	0	 
711	16	0	 
627	1	0	 
627	2	0	 
627	3	1	2
627	4	0	 
627	5	0	 
627	6	0	 
627	7	1	2
627	8	0	 
627	9	0	 
627	10	1	2
627	11	0	 
627	12	1	2
627	13	0	 
627	14	0	 
627	15	0	 
627	16	0	 
630	1	0	 
630	2	0	 
630	3	0	 
630	4	0	 
630	5	0	 
630	6	0	 
630	7	0	 
630	8	0	 
630	9	0	 
630	10	0	 
630	11	0	 
630	12	1	2
630	13	0	 
630	14	0	 
630	15	0	 
630	16	0	 
631	1	0	 
631	2	0	 
631	3	0	 
631	4	0	 
631	5	0	 
631	6	0	 
631	7	0	 
631	8	0	 
631	9	0	 
631	10	0	 
631	11	0	 
631	12	1	1
631	13	0	 
631	14	0	 
631	15	0	 
631	16	0	 
633	1	0	 
633	2	0	 
633	3	1	2
633	4	1	2
633	5	0	 
633	6	0	 
633	7	0	 
633	8	0	 
633	9	0	 
633	10	0	 
633	11	1	2
633	12	1	2
633	13	0	 
633	14	0	 
633	15	0	 
633	16	0	 
642	1	0	 
642	2	0	 
642	3	0	 
642	4	0	 
642	5	1	2
642	6	0	 
642	7	0	 
642	8	0	 
642	9	0	 
642	10	1	2
642	11	0	 
642	12	1	2
642	13	0	 
642	14	0	 
642	15	0	 
642	16	0	 
643	1	0	 
643	2	0	 
643	3	0	 
643	4	0	 
643	5	0	 
643	6	0	 
643	7	0	 
643	8	0	 
643	9	0	 
643	10	0	 
643	11	0	 
643	12	0	 
643	13	0	 
643	14	0	 
643	15	0	 
643	16	0	 
743	1	0	 
743	2	0	 
743	3	0	 
743	4	0	 
743	5	0	 
743	6	0	 
743	7	0	 
743	8	1	2
743	9	0	 
743	10	0	 
743	11	1	2
743	12	0	 
743	13	0	 
743	14	0	 
743	15	0	 
743	16	0	 
306	1	0	 
306	2	0	 
306	3	0	 
306	4	0	 
306	5	0	 
306	6	0	 
306	7	0	 
306	8	0	 
306	9	0	 
306	10	0	 
306	11	0	 
306	12	0	 
306	13	0	 
306	14	0	 
306	15	0	 
306	16	0	 
321	1	0	 
321	2	0	 
321	3	0	 
321	4	0	 
321	5	0	 
321	6	0	 
321	7	0	 
321	8	0	 
321	9	0	 
321	10	0	 
321	11	0	 
321	12	0	 
321	13	0	 
321	14	0	 
321	15	0	 
321	16	0	 
305	1	0	 
305	2	0	 
305	3	0	 
305	4	0	 
305	5	0	 
305	6	0	 
305	7	0	 
305	8	0	 
305	9	0	 
305	10	0	 
305	11	1	2
305	12	0	 
305	13	0	 
305	14	0	 
305	15	0	 
305	16	0	 
322	1	0	 
322	2	1	2
322	3	0	 
322	4	0	 
322	5	0	 
322	6	0	 
322	7	0	 
322	8	0	 
322	9	0	 
322	10	0	 
322	11	0	 
322	12	1	2
322	13	0	 
322	14	0	 
322	15	0	 
322	16	0	 
323	1	0	 
323	2	0	 
323	3	0	 
323	4	0	 
323	5	0	 
323	6	0	 
323	7	0	 
323	8	0	 
323	9	0	 
323	10	1	1
323	11	0	 
323	12	0	 
323	13	0	 
323	14	0	 
323	15	0	 
323	16	0	 
324	1	0	 
324	2	0	 
324	3	1	2
324	4	1	2
324	5	1	2
324	6	0	 
324	7	0	 
324	8	0	 
324	9	0	 
324	10	0	 
