PLACEID	SERVIDR4	AVLOC	SRVRT
121	10	1	3
121	12	1	3
121	13	1	3
121	14	1	3
121	15	1	3
121	17	1	3
121	18	1	3
121	19	0	 
121	20	0	 
121	23	1	3
121	24	0	 
121	25	1	3
121	26	1	3
121	27	0	 
121	28	1	2
121	29	0	 
121	30	0	 
121	31	0	 
121	32	0	 
121	33	1	2
121	34	1	3
121	35	0	 
121	36	1	3
121	37	0	 
121	38	1	2
121	39	0	 
121	40	0	 
121	41	1	3
121	42	1	3
121	43	0	 
121	44	1	3
121	45	1	3
120	10	1	3
120	12	1	3
120	13	1	3
120	14	0	 
120	15	1	3
120	17	0	 
120	18	1	3
120	19	0	 
120	20	0	 
120	23	1	3
120	24	0	 
120	25	1	3
120	26	1	3
120	27	0	 
120	28	0	 
120	29	0	 
120	30	0	 
120	31	0	 
120	32	0	 
120	33	0	 
120	34	0	 
120	35	0	 
120	36	1	3
120	37	0	 
120	38	0	 
120	39	0	 
120	40	0	 
120	41	1	3
120	42	1	3
120	43	0	 
120	44	1	3
120	45	1	2
618	10	1	2
618	12	1	3
618	13	1	3
618	14	1	2
618	15	1	3
618	17	1	3
618	18	1	2
618	19	1	2
618	20	0	 
618	23	1	3
618	24	0	 
618	25	1	3
618	26	1	2
618	27	0	 
618	28	0	 
618	29	0	 
618	30	0	 
618	31	0	 
618	32	0	 
618	33	0	 
618	34	0	 
618	35	0	 
618	36	1	3
618	37	0	 
618	38	1	2
618	39	0	 
618	40	0	 
618	41	1	3
618	42	0	 
618	43	0	 
618	44	1	2
618	45	0	 
715	10	1	3
715	12	1	2
715	13	1	3
715	14	1	3
715	15	1	3
715	17	1	3
715	18	1	3
715	19	1	3
715	20	1	2
715	23	1	3
715	24	0	 
715	25	1	2
715	26	1	3
715	27	0	 
715	28	1	2
715	29	0	 
715	30	0	 
715	31	0	 
715	32	0	 
715	33	1	2
715	34	0	 
715	35	0	 
715	36	1	3
715	37	0	 
715	38	0	 
715	39	0	 
715	40	0	 
715	41	1	3
715	42	0	 
715	43	0	 
715	44	0	 
715	45	0	 
711	10	1	3
711	12	1	3
711	13	1	3
711	14	1	3
711	15	1	3
711	17	1	3
711	18	1	3
711	19	1	3
711	20	1	2
711	23	1	3
711	24	1	3
711	25	1	3
711	26	1	3
711	27	0	 
711	28	1	3
711	29	1	3
711	30	0	 
711	31	0	 
711	32	0	 
711	33	1	3
711	34	1	3
711	35	0	 
711	36	1	3
711	37	0	 
711	38	1	2
711	39	0	 
711	40	1	3
711	41	1	2
711	42	1	3
711	43	1	3
711	44	1	3
711	45	0	 
627	10	1	2
627	12	1	3
627	13	1	3
627	14	1	3
627	15	1	3
627	17	1	3
627	18	1	3
627	19	0	 
627	20	1	2
627	23	1	3
627	24	0	 
627	25	1	3
627	26	1	3
627	27	0	 
627	28	0	 
627	29	0	 
627	30	0	 
627	31	0	 
627	32	0	 
627	33	1	3
627	34	0	 
627	35	0	 
627	36	1	3
627	37	0	 
627	38	1	3
627	39	0	 
627	40	1	3
627	41	1	2
627	42	1	3
627	43	0	 
627	44	0	 
627	45	0	 
630	10	1	3
630	12	1	2
630	13	1	3
630	14	1	3
630	15	1	2
630	17	1	3
630	18	1	3
630	19	0	 
630	20	0	 
630	23	1	3
630	24	0	 
630	25	1	3
630	26	1	3
630	27	0	 
630	28	0	 
630	29	0	 
630	30	0	 
630	31	0	 
630	32	0	 
630	33	0	 
630	34	0	 
630	35	1	3
630	36	1	3
630	37	0	 
630	38	1	2
630	39	0	 
630	40	1	3
630	41	1	2
630	42	1	3
630	43	0	 
630	44	0	 
630	45	0	 
631	10	0	 
631	12	1	3
631	13	1	3
631	14	1	3
631	15	0	 
631	17	0	 
631	18	1	3
631	19	0	 
631	20	0	 
631	23	1	3
631	24	0	 
631	25	1	3
631	26	1	3
631	27	0	 
631	28	0	 
631	29	0	 
631	30	0	 
631	31	0	 
631	32	0	 
631	33	0	 
631	34	0	 
631	35	0	 
631	36	1	3
631	37	0	 
631	38	0	 
631	39	0	 
631	40	0	 
631	41	1	2
631	42	1	3
631	43	0	 
631	44	0	 
631	45	0	 
633	10	1	2
633	12	1	2
633	13	1	3
633	14	1	3
633	15	1	3
633	17	1	3
633	18	1	3
633	19	0	 
633	20	0	 
633	23	1	3
633	24	0	 
633	25	1	3
633	26	1	3
633	27	0	 
633	28	0	 
633	29	0	 
