PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
121	1	180	140
121	2	90	70
121	3	6500	-11
121	4	1500	-11
120	1	200	150
120	2	-77	-77
120	3	-77	-77
120	4	-77	-77
618	1	250	170
618	2	180	150
618	3	300	-11
618	4	100	-11
715	1	250	180
715	2	130	130
715	3	220	200
715	4	120	-11
711	1	200	150
711	2	130	130
711	3	200	-11
711	4	160	-11
627	1	180	150
627	2	180	180
627	3	200	200
627	4	200	150
630	1	200	150
630	2	120	100
630	3	-11	-11
630	4	100	-11
631	1	180	150
631	2	120	120
631	3	200	-11
631	4	100	-11
633	1	150	100
633	2	170	120
633	3	150	-11
633	4	80	-11
642	1	200	180
642	2	120	120
642	3	200	-11
642	4	150	-11
643	1	200	150
643	2	120	120
643	3	150	130
643	4	100	-11
743	1	200	150
743	2	100	80
743	3	150	-11
743	4	80	-11
306	1	300	300
306	2	250	250
306	3	150	0
306	4	90	0
321	1	200	150
321	2	100	100
321	3	200	200
321	4	120	-11
305	1	200	200
305	2	150	150
305	3	160	160
305	4	80	80
322	1	200	200
322	2	200	200
322	3	-11	-11
322	4	120	-11
323	1	180	150
323	2	150	150
323	3	200	170
323	4	120	120
324	1	150	1501
324	2	110	110
324	3	150	-11
324	4	100	-11
314	1	170	150
314	2	160	160
314	3	200	-11
314	4	100	-11
315	1	200	150
315	2	150	150
315	3	200	-11
315	4	100	-11
316	1	150	150
316	2	200	200
316	3	200	-11
316	4	160	160
317	1	-11	-11
317	2	120	120
317	3	-11	-11
317	4	110	-11
318	1	180	150
318	2	-11	-1
318	3	150	-11
318	4	100	100
302	1	200	150
302	2	150	150
302	3	200	-11
302	4	130	-11
307	1	150	120
307	2	-77	-77
307	3	-77	-11
307	4	-77	-11
325	1	150	110
325	2	-77	-77
325	3	-77	-11
325	4	-77	-11
301	1	150	120
301	2	-77	-77
301	3	-77	-11
301	4	-11	-11
308	1	200	150
308	2	150	150
308	3	170	-11
308	4	120	-11
309	1	180	130
309	2	100	100
309	3	200	-11
309	4	120	-11
310	1	200	150
310	2	130	130
310	3	200	170
310	4	100	-11
311	1	170	140
311	2	200	170
311	3	200	-11
311	4	160	-11
312	1	140	-11
312	2	-11	-11
312	3	150	-11
312	4	40	-11
313	1	160	130
313	2	120	120
313	3	200	-11
313	4	140	-11
303	1	200	150
303	2	170	160
303	3	150	-11
303	4	-11	-11
319	1	150	100
319	2	-77	-77
319	3	-77	-11
319	4	-77	-11
320	1	150	110
320	2	-77	-77
320	3	-77	-11
320	4	-77	-11
746	1	180	150
746	2	100	100
746	3	170	-11
746	4	80	-11
727	1	220	150
727	2	150	150
727	3	200	-11
727	4	100	-11
728	1	250	140
728	2	100	100
728	3	180	-11
728	4	100	-11
639	1	250	200
639	2	120	120
639	3	200	-11
639	4	150	-11
638	1	200	150
638	2	130	120
638	3	200	-11
638	4	100	-11
726	1	200	150
726	2	120	100
726	3	180	-11
726	4	100	-11
654	1	200	150
654	2	120	100
654	3	200	-11
654	4	80	-11
617	1	200	120
617	2	100	100
617	3	160	-11
617	4	80	-11
717	1	200	180
717	2	120	120
717	3	200	-11
717	4	150	-11
718	1	150	120
718	2	130	130
718	3	200	-11
718	4	150	-11
719	1	200	150
719	2	100	100
719	3	150	-11
719	4	80	-11
720	1	200	180
720	2	120	120
720	3	220	-11
720	4	100	100
721	1	200	150
721	2	-11	-11
721	3	200	-11
721	4	-11	-11
722	1	200	150
722	2	120	120
722	3	170	-11
722	4	130	-11
409	1	160	140
409	2	120	120
409	3	0	0
409	4	0	0
731	1	200	120
731	2	120	120
731	3	200	-11
731	4	100	-11
730	1	170	150
730	2	150	130
730	3	200	-11
730	4	150	-11
634	1	170	120
634	2	120	120
634	3	209	-11
634	4	80	-11
725	1	150	120
725	2	120	120
725	3	220	-11
725	4	100	-11
514	1	250	180
514	2	100	100
514	3	100	100
514	4	100	100
527	1	200	180
527	2	120	120
527	3	200	-11
527	4	120	-11
513	1	200	-11
513	2	180	180
513	3	200	-11
513	4	100	-11
508	1	250	150
508	2	200	150
508	3	150	-11
508	4	100	-11
507	1	260	220
507	2	120	120
507	3	200	180
507	4	120	-11
503	1	230	-11
503	2	170	170
503	3	160	-11
503	4	100	100
519	1	140	120
519	2	120	120
519	3	150	-11
519	4	130	-11
520	1	160	140
520	2	120	120
520	3	150	-22
520	4	120	100
530	1	200	-11
530	2	190	190
530	3	130	-11
530	4	100	-11
531	1	220	180
531	2	150	120
531	3	150	-11
531	4	120	-11
528	1	200	180
528	2	250	170
528	3	-11	-11
528	4	80	-11
529	1	200	150
529	2	100	100
529	3	120	-77
529	4	120	-77
501	1	230	150
501	2	150	150
501	3	250	-11
501	4	80	-11
525	1	200	150
525	2	100	80
525	3	200	-11
525	4	100	100
526	1	130	110
526	2	130	130
526	3	150	-11
526	4	130	-11
602	1	160	120
602	2	120	120
602	3	180	-11
602	4	100	-11
101	1	170	-11
101	2	-11	-11
101	3	170	-11
101	4	70	-11
106	1	150	-11
106	2	-11	-11
106	3	170	-11
106	4	100	-11
107	1	200	-11
107	2	-11	-11
107	3	-11	-11
107	4	70	-11
108	1	130	-11
108	2	250	-11
108	3	160	-11
108	4	60	-11
109	1	200	150
109	2	100	100
109	3	170	-11
109	4	80	-11
110	1	200	-11
110	2	120	120
110	3	150	-11
110	4	70	-11
622	1	200	150
622	2	150	150
622	3	200	-11
622	4	80	80
625	1	200	150
625	2	150	150
625	3	180	-11
625	4	70	-11
624	1	200	150
624	2	150	150
624	3	180	-11
624	4	60	-11
710	1	220	-11
710	2	-11	-11
710	3	-11	-11
710	4	50	-11
614	1	200	-11
614	2	150	150
614	3	200	-11
614	4	120	-11
724	1	200	150
724	2	120	120
724	3	150	-11
724	4	100	-11
737	1	200	200
737	2	130	120
737	3	150	150
737	4	100	100
651	1	180	180
651	2	100	100
651	3	200	-11
651	4	100	-11
647	1	250	250
647	2	130	130
647	3	200	-11
647	4	120	120
652	1	150	150
652	2	150	150
652	3	200	-11
652	4	100	-11
738	1	200	200
738	2	140	140
738	3	180	-11
738	4	120	120
740	1	250	250
740	2	130	130
740	3	150	-11
740	4	120	120
645	1	250	250
645	2	150	150
645	3	170	-11
645	4	120	-11
739	1	170	170
739	2	-77	-77
739	3	-77	-77
739	4	-77	-77
646	1	150	150
646	2	-77	-77
646	3	-77	-77
646	4	-77	-77
736	1	170	150
736	2	150	150
736	3	-77	-77
736	4	-77	-77
734	1	150	150
734	2	150	150
734	3	-77	-77
734	4	-77	-77
644	1	150	120
644	2	-11	-11
644	3	250	-11
644	4	-11	-11
733	1	200	180
733	2	150	150
733	3	200	-11
733	4	100	-11
201	1	180	150
201	2	150	120
201	3	180	-11
201	4	120	120
217	1	150	120
217	2	120	100
217	3	150	-11
217	4	100	-11
215	1	150	130
215	2	116	116
215	3	133	-11
215	4	46	46
211	1	120	100
211	2	120	100
211	3	150	-11
211	4	100	-11
745	1	160	120
745	2	120	-11
745	3	200	-11
745	4	120	-11
744	1	150	100
744	2	-11	-11
744	3	-11	-11
744	4	-11	-11
709	1	160	120
709	2	150	140
709	3	170	-11
709	4	130	130
708	1	150	-11
708	2	150	130
708	3	183	-11
708	4	133	-11
613	1	150	120
613	2	-11	-11
613	3	-11	11
613	4	-11	-11
741	1	300	200
741	2	100	100
741	3	150	-77
741	4	100	100
610	1	200	200
610	2	150	150
610	3	200	-11
610	4	150	150
732	1	140	120
732	2	150	130
732	3	-77	-77
732	4	100	-77
218	1	130	-77
218	2	100	100
218	3	-77	-77
218	4	110	-77
742	1	250	200
742	2	300	300
742	3	500	400
742	4	130	130
703	1	220	220
703	2	200	200
703	3	200	-11
703	4	100	100
701	1	230	230
701	2	150	150
701	3	280	-11
701	4	120	-11
707	1	200	150
707	2	110	110
707	3	150	-11
707	4	100	-11
702	1	350	250
702	2	150	120
702	3	-77	-77
702	4	140	-77
729	1	170	150
729	2	150	150
729	3	-77	-11
729	4	-77	-11
714	1	200	150
714	2	0	0
714	3	200	0
714	4	150	0
706	1	230	230
706	2	180	180
706	3	200	-11
706	4	170	170
735	1	200	1507
735	2	75	75
735	3	150	0
735	4	150	0
705	1	160	140
705	2	120	120
705	3	150	-11
705	4	120	-11
716	1	300	300
716	2	-11	-11
716	3	300	-11
716	4	120	-11
609	1	250	200
609	2	150	150
609	3	200	-11
609	4	130	-11
723	1	170	120
723	2	135	135
723	3	200	-11
723	4	-11	-11
704	1	200	170
704	2	-11	-11
704	3	-11	-11
704	4	70	-11
713	1	200	200
713	2	-77	-77
713	3	200	-11
713	4	150	-11
640	1	150	150
640	2	170	170
640	3	0	0
640	4	100	0
712	1	100	-11
712	2	-77	-77
712	3	200	-11
712	4	100	-11
629	1	200	150
629	2	90	90
629	3	200	-11
629	4	70	-11
