PLACEID	DWAGIDR4	MAVWG	MADWG01	MADWG02	MADWG03	FAVWG	FADWG01	FADWG02	FADWG03
1	1	100	0	 	 	-11	 	 	 
1	2	120	0	 	 	90	0	 	 
1	3	-22	0	 	 	-22	0	 	 
1	4	100	0	 	 	-11	 	 	 
1	7	-11	 	 	 	-11	 	 	 
2	1	130	0	 	 	120	0	 	 
2	2	130	0	 	 	120	0	 	 
2	3	120	0	 	 	100	0	 	 
2	4	120	0	 	 	100	0	 	 
2	7	0	 	 	 	0	 	 	 
3	1	120	0	 	 	120	0	 	 
3	2	120	0	 	 	120	0	 	 
3	3	120	0	 	 	120	0	 	 
3	4	120	0	 	 	120	0	 	 
3	7	200	0	 	 	-11	 	 	 
4	1	130	0	 	 	130	0	 	 
4	2	130	0	 	 	120	0	 	 
4	3	130	0	 	 	120	0	 	 
4	4	130	0	 	 	120	0	 	 
4	7	0	 	 	 	0	 	 	 
5	1	200	0	 	 	-11	 	 	 
5	2	250	0	 	 	250	0	 	 
5	3	150	0	 	 	120	0	 	 
5	4	150	0	 	 	150	0	 	 
5	7	200	0	 	 	120	0	 	 
6	1	180	0	 	 	120	0	 	 
6	2	150	0	 	 	0	 	 	 
6	3	150	0	 	 	120	0	 	 
6	4	150	0	 	 	120	0	 	 
6	7	0	 	 	 	0	 	 	 
7	1	130	3	88	 	-11	 	 	 
7	2	120	3	88	 	-11	 	 	 
7	3	-11	 	 	 	130	3	88	 
7	4	150	3	88	 	150	3	88	 
7	7	200	3	4	88	200	3	88	 
8	1	150	0	 	 	-11	 	 	 
8	2	150	0	 	 	120	0	 	 
8	3	150	0	 	 	120	0	 	 
8	4	150	0	 	 	120	0	 	 
8	7	-11	 	 	 	-11	 	 	 
9	1	150	0	 	 	-11	 	 	 
9	2	120	0	 	 	100	0	 	 
9	3	120	0	 	 	80	0	 	 
9	4	160	1	0	 	100	1	0	 
9	7	-11	 	 	 	-11	 	 	 
10	1	120	3	88	 	-11	 	 	 
10	2	120	3	88	 	-11	 	 	 
10	3	-11	 	 	 	80	3	88	 
10	4	100	3	88	 	100	3	88	 
10	7	-11	 	 	 	-11	 	 	 
11	1	150	3	88	 	-11	 	 	 
11	2	120	3	88	 	120	3	88	 
11	3	-11	 	 	 	120	3	88	 
11	4	120	3	88	 	120	3	88	 
11	7	-11	 	 	 	-11	 	 	 
12	1	150	0	 	 	-11	 	 	 
12	2	120	0	 	 	100	0	 	 
12	3	120	0	 	 	100	0	 	 
12	4	170	0	 	 	120	0	 	 
12	7	-11	 	 	 	-11	 	 	 
13	1	120	0	 	 	-11	 	 	 
13	2	120	0	 	 	100	0	 	 
13	3	100	0	 	 	100	0	 	 
13	4	120	0	 	 	100	0	 	 
13	7	-11	 	 	 	-11	 	 	 
14	1	120	3	88	 	-11	 	 	 
14	2	120	3	88	 	-11	 	 	 
14	3	-11	 	 	 	90	3	88	 
14	4	140	3	88	 	-11	 	 	 
14	7	200	0	 	 	-11	 	 	 
15	1	100	0	 	 	100	0	 	 
15	2	-11	 	 	 	120	0	 	 
15	3	0	 	 	 	100	0	 	 
15	4	120	0	 	 	120	0	 	 
15	7	-11	 	 	 	-11	 	 	 
16	1	150	0	 	 	-11	 	 	 
16	2	-11	 	 	 	150	0	 	 
16	3	-11	 	 	 	120	0	 	 
16	4	150	0	 	 	150	0	 	 
16	7	-11	 	 	 	-11	 	 	 
17	1	200	0	 	 	150	0	 	 
17	2	150	0	 	 	180	0	 	 
17	3	150	0	 	 	150	0	 	 
17	4	170	0	 	 	170	0	 	 
17	7	200	0	 	 	0	 	 	 
18	1	150	2	0	 	120	2	0	 
18	2	130	2	0	 	150	2	0	 
18	3	100	2	0	 	100	2	0	 
18	4	120	2	0	 	120	2	0	 
18	7	0	 	 	 	0	 	 	 
19	1	100	2	88	 	-11	 	 	 
19	2	-11	 	 	 	100	2	88	 
19	3	-11	 	 	 	100	2	88	 
19	4	100	2	88	 	100	2	88	 
19	7	-77	88	 	 	-77	88	 	 
20	1	-11	 	 	 	-11	 	 	 
20	2	-11	 	 	 	100	0	 	 
20	3	120	0	 	 	120	0	 	 
20	4	-11	 	 	 	-11	 	 	 
20	7	-11	 	 	 	-11	 	 	 
21	1	150	0	 	 	120	0	 	 
21	2	100	0	 	 	100	0	 	 
21	3	120	0	 	 	120	0	 	 
21	4	150	0	 	 	150	0	 	 
21	7	0	 	 	 	0	 	 	 
22	1	0	 	 	 	0	 	 	 
22	2	0	 	 	 	200	2	3	88
22	3	0	 	 	 	100	3	88	 
22	4	0	 	 	 	200	2	3	88
22	7	0	 	 	 	0	 	 	 
23	1	-11	 	 	 	-11	 	 	 
23	2	-11	 	 	 	-11	 	 	 
23	3	-11	 	 	 	-11	 	 	 
23	4	-11	 	 	 	-11	 	 	 
23	7	-11	 	 	 	-11	 	 	 
24	1	150	0	 	 	150	0	 	 
24	2	150	0	 	 	150	0	 	 
24	3	-11	 	 	 	200	0	 	 
24	4	200	0	 	 	200	0	 	 
24	7	-77	0	 	 	-77	0	 	 
25	1	150	0	 	 	130	0	 	 
25	2	-11	 	 	 	100	0	 	 
25	3	-11	 	 	 	120	0	 	 
25	4	180	0	 	 	180	0	 	 
25	7	-77	88	 	 	-77	88	 	 
26	1	180	0	 	 	160	0	 	 
26	2	200	0	 	 	200	0	 	 
26	3	160	0	 	 	180	0	 	 
26	4	200	0	 	 	200	0	 	 
26	7	0	 	 	 	0	 	 	 
27	1	200	0	 	 	-11	 	 	 
27	2	150	0	 	 	150	0	 	 
27	3	-11	 	 	 	100	0	 	 
27	4	150	0	 	 	150	0	 	 
27	7	-77	77	88	 	-77	77	88	 
28	1	-11	 	 	 	-11	 	 	 
28	2	-11	 	 	 	-11	 	 	 
28	3	-11	 	 	 	-11	 	 	 
28	4	-11	 	 	 	-11	 	 	 
28	7	-11	 	 	 	-11	 	 	 
29	1	-11	 	 	 	-11	 	 	 
29	2	-11	 	 	 	-11	 	 	 
29	3	-11	 	 	 	-11	 	 	 
29	4	-11	 	 	 	-11	 	 	 
29	7	-11	 	 	 	-11	 	 	 
32	1	-11	 	 	 	-11	 	 	 
32	2	-11	 	 	 	-11	 	 	 
32	3	-11	 	 	 	-11	 	 	 
32	4	-11	 	 	 	-11	 	 	 
32	7	83	1	2	4	-11	 	 	 
33	1	-11	 	 	 	-11	 	 	 
33	2	-11	 	 	 	-11	 	 	 
33	3	-11	 	 	 	-11	 	 	 
33	4	-11	 	 	 	-11	 	 	 
33	7	-11	 	 	 	-11	 	 	 
34	1	-11	 	 	 	-11	 	 	 
34	2	-11	 	 	 	-11	 	 	 
34	3	-11	 	 	 	-11	 	 	 
34	4	-11	 	 	 	-11	 	 	 
34	7	-11	 	 	 	-11	 	 	 
35	1	-11	 	 	 	-11	 	 	 
35	2	-11	 	 	 	-11	 	 	 
35	3	-11	 	 	 	-11	 	 	 
35	4	-11	 	 	 	-11	 	 	 
35	7	-11	 	 	 	-11	 	 	 
36	1	180	4	3	1	180	1	3	88
36	2	150	3	4	1	150	1	3	4
36	3	150	1	3	4	150	3	1	4
36	4	170	1	4	3	170	1	4	3
36	7	170	3	1	4	170	1	3	4
