PLACEID	HLTHIDR4	CURHFAC	TIMHFAC	TRNHFAC
1	1	0	15	4
1	2	1	 	 
1	3	1	 	 
1	4	3	 	 
1	5	3	 	 
1	6	3	 	 
1	7	1	 	 
1	8	1	 	 
1	9	1	 	 
1	10	3	 	 
1	11	1	 	 
1	12	3	 	 
1	13	1	 	 
2	1	3	 	 
2	2	3	 	 
2	3	1	 	 
2	4	3	 	 
2	5	1	 	 
2	6	3	 	 
2	7	3	 	 
2	8	1	 	 
2	9	1	 	 
2	10	3	 	 
2	11	1	 	 
2	12	1	 	 
2	13	3	 	 
3	1	3	 	 
3	2	3	 	 
3	3	0	5	4
3	4	3	 	 
3	5	0	10	4
3	6	3	 	 
3	7	1	 	 
3	8	1	 	 
3	9	1	 	 
3	10	1	 	 
3	11	1	 	 
3	12	3	 	 
3	13	77	 	 
4	1	3	 	 
4	2	3	 	 
4	3	1	 	 
4	4	3	 	 
4	5	3	 	 
4	6	3	 	 
4	7	3	 	 
4	8	1	 	 
4	9	1	 	 
4	10	3	 	 
4	11	1	 	 
4	12	3	 	 
4	13	3	 	 
5	1	3	 	 
5	2	3	 	 
5	3	1	 	 
5	4	3	 	 
5	5	0	15	4
5	6	3	 	 
5	7	1	 	 
5	8	3	 	 
5	9	1	 	 
5	10	3	 	 
5	11	1	 	 
5	12	3	 	 
5	13	3	 	 
6	1	0	40	4
6	2	0	25	4
6	3	1	 	 
6	4	3	 	 
6	5	3	 	 
6	6	3	 	 
6	7	3	 	 
6	8	1	 	 
6	9	1	 	 
6	10	3	 	 
6	11	1	 	 
6	12	1	 	 
6	13	3	 	 
7	1	0	10	4
7	2	3	 	 
7	3	1	 	 
7	4	3	 	 
7	5	1	 	 
7	6	3	 	 
7	7	3	 	 
7	8	1	 	 
7	9	0	10	4
7	10	3	 	 
7	11	0	10	4
7	12	3	 	 
7	13	3	 	 
8	1	0	15	4
8	2	3	 	 
8	3	1	 	 
8	4	3	 	 
8	5	1	 	 
8	6	3	 	 
8	7	0	15	4
8	8	1	 	 
8	9	0	15	4
8	10	3	 	 
8	11	0	15	4
8	12	3	 	 
8	13	88	 	 
9	1	3	 	 
9	2	0	30	4
9	3	1	 	 
9	4	3	 	 
9	5	0	30	4
9	6	3	 	 
9	7	0	30	4
9	8	1	 	 
9	9	0	30	4
9	10	3	 	 
9	11	3	 	 
9	12	3	 	 
9	13	88	 	 
10	1	3	 	 
10	2	3	 	 
10	3	1	 	 
10	4	3	 	 
10	5	1	 	 
10	6	3	 	 
10	7	3	 	 
10	8	1	 	 
10	9	3	 	 
10	10	3	 	 
10	11	3	 	 
10	12	3	 	 
10	13	3	 	 
11	1	3	 	 
11	2	3	 	 
11	3	1	 	 
11	4	3	 	 
11	5	1	 	 
11	6	3	 	 
11	7	3	 	 
11	8	1	 	 
11	9	3	 	 
11	10	3	 	 
11	11	3	 	 
11	12	3	 	 
11	13	88	 	 
12	1	3	 	 
12	2	3	 	 
12	3	1	 	 
12	4	3	 	 
12	5	1	 	 
12	6	3	 	 
12	7	3	 	 
12	8	1	 	 
12	9	3	 	 
12	10	3	 	 
12	11	1	 	 
12	12	3	 	 
12	13	3	 	 
13	1	0	20	4
13	2	3	 	 
13	3	1	 	 
13	4	3	 	 
13	5	1	 	 
13	6	3	 	 
13	7	3	 	 
13	8	1	 	 
13	9	1	 	 
13	10	3	 	 
13	11	1	 	 
13	12	3	 	 
13	13	88	 	 
14	1	0	8	4
14	2	3	 	 
14	3	1	 	 
14	4	3	 	 
14	5	1	 	 
14	6	3	 	 
14	7	3	 	 
14	8	1	 	 
14	9	0	8	4
14	10	3	 	 
14	11	0	10	4
14	12	3	 	 
14	13	3	 	 
15	1	3	 	 
15	2	3	 	 
15	3	1	 	 
15	4	3	 	 
15	5	3	 	 
15	6	3	 	 
15	7	3	 	 
15	8	0	25	4
15	9	3	 	 
15	10	3	 	 
15	11	3	 	 
15	12	0	25	4
15	13	88	 	 
16	1	3	 	 
16	2	3	 	 
16	3	1	 	 
16	4	3	 	 
16	5	3	 	 
16	6	3	 	 
16	7	1	 	 
16	8	1	 	 
16	9	1	 	 
16	10	3	 	 
16	11	3	 	 
16	12	1	 	 
16	13	3	 	 
17	1	0	20	4
17	2	0	20	4
17	3	1	 	 
17	4	3	 	 
17	5	1	 	 
17	6	3	 	 
17	7	1	 	 
17	8	1	 	 
17	9	1	 	 
17	10	3	 	 
17	11	0	20	4
17	12	1	 	 
17	13	3	 	 
18	1	0	30	4
18	2	0	15	4
18	3	1	 	 
18	4	3	 	 
18	5	3	 	 
18	6	3	 	 
18	7	1	 	 
18	8	1	 	 
18	9	1	 	 
18	10	3	 	 
18	11	3	 	 
18	12	3	 	 
18	13	3	 	 
19	1	3	 	 
19	2	3	 	 
19	3	1	 	 
19	4	3	 	 
19	5	3	 	 
19	6	3	 	 
19	7	3	 	 
19	8	1	 	 
19	9	3	 	 
19	10	3	 	 
19	11	3	 	 
19	12	1	 	 
19	13	88	 	 
20	1	0	20	4
20	2	3	 	 
20	3	1	 	 
20	4	3	 	 
20	5	0	25	4
20	6	3	 	 
20	7	1	 	 
20	8	1	 	 
20	9	1	 	 
20	10	3	 	 
20	11	0	20	4
20	12	1	 	 
20	13	3	 	 
21	1	3	 	 
21	2	0	20	4
21	3	1	 	 
21	4	3	 	 
21	5	3	 	 
21	6	3	 	 
21	7	3	 	 
21	8	3	 	 
21	9	1	 	 
21	10	3	 	 
21	11	3	 	 
21	12	1	 	 
21	13	3	 	 
22	1	0	20	4
22	2	3	 	 
22	3	1	 	 
22	4	1	 	 
22	5	3	 	 
22	6	3	 	 
22	7	1	 	 
22	8	1	 	 
22	9	1	 	 
22	10	1	 	 
22	11	1	 	 
22	12	1	 	 
22	13	3	 	 
23	1	3	 	 
23	2	3	 	 
23	3	1	 	 
23	4	3	 	 
23	5	3	 	 
23	6	3	 	 
23	7	3	 	 
23	8	1	 	 
23	9	1	 	 
23	10	3	 	 
23	11	3	 	 
23	12	3	 	 
23	13	88	 	 
24	1	3	 	 
24	2	3	 	 
24	3	1	 	 
24	4	3	 	 
24	5	3	 	 
24	6	3	 	 
24	7	3	 	 
24	8	1	 	 
24	9	3	 	 
24	10	3	 	 
24	11	3	 	 
24	12	3	 	 
