PLACEID	RSID	MODULE	SECTION	AGERES	SEXRES	CAPAC	YRSRES
1	1	1,2	1,2,3,4.3	54	1	7	54
1	2	1,2	1,3.1,3	55	1	7	55
1	3	1,2	5,2	47	2	3	47
1	4	1	3,6	29	2	8	29
1	5	1	5	52	2	10	52
1	6	1	5	48	2	10	35
1	7	1	5	50	2	10	50
1	8	1	5	38	2	10	38
1	9	1	5	54	2	10	54
1	10	1	5	37	2	10	37
1	11	1	5	52	2	10	52
1	12	1	5	38	2	10	38
2	1	1,2	1,2,3,4,6,3	40	1	7	40
2	2	1	3,6	28	2	2	28
2	3	1,2	1,4.1	43	2	2	43
2	4	2	2	41	2	2	41
2	5	1	5	46	2	10	46
2	6	1	5	38	2	10	38
3	1	1;2	1,2,3,6;3	55	1	7	55
3	2	1	1,3;1,3	44	1	7	10
3	3	1	1,3,6	42	1	7	42
3	4	1;2	5;2	44	2	3	20
3	5	1	5	36	2	10	36
3	6	1	5	53	2	10	20
3	7	1	5	32	2	10	7
3	8	1	5	40	2	10	17
3	9	1	5	41	2	10	20
3	10	1	5	33	2	10	12
3	11	1	5	52	2	10	52
3	12	1	5	40	2	10	40
3	13	1	5	40	2	10	10
3	14	1	5	21	1	10	10
3	15	1	5	41	1	10	20
3	16	1	5	33	2	10	33
3	17	1	5	33	2	10	33
3	18	1	5	45	2	10	45
4	1	1	1,2,3,4,6	32	1	7	22
4	2	2	2	59	1	1	59
4	3	2	1	26	2	1	26
4	4	2	3	25	2	8	25
4	5	1	5	28	1	10	28
4	6	1	5	31	1	10	31
5	1	1;2	1,3,4,6;1,3	32	1	7	23
5	2	1	2,3,6	43	1	7	43
5	4	1;2	5;2	44	2	3	44
5	5	1	5	32	2	10	32
5	6	1	5	47	2	10	34
5	7	1	5	47	2	10	31
6	1	1	1.2.4.6.	42	1	7	42
6	2	2	1.3	33	2	8	33
6	3	1	3.6	38	2	3	38
6	4	1	6,1	31	2	8	31
6	5	1	5	47	2	10	22
6	6	1	5	44	2	10	19
7	1	1	2,3,4	29	2	7	29
7	2	1	1,3,6	31	1	8	31
7	3	1	2,5,6	30	1	8	30
7	4	2	2	49	1	3	49
7	5	1	5	44	1	10	44
7	6	1	5	35	2	10	35
7	7	1	5	40	1	10	40
7	8	1	5	55	1	10	55
7	9	1	5	43	1	10	43
7	10	1	5	35	2	10	35
8	1	1,2	1,2,3,5,6,1	50	1	7	50
8	2	1	5	34	2	10	6
8	3	1	5	62	2	10	62
8	4	1	5	47	2	10	47
8	5	1	5	39	2	10	12
8	6	1	5	43	2	10	10
8	7	1	5	47	2	10	0
8	8	1	5	31	2	10	31
8	9	1	5	23	2	10	23
8	10	1	5	46	2	10	15
8	11	1	5	50	2	10	35
