PLACEID	SCPRIDR4	PRBLCTLY	AGSTPRB	O4YRDIMS
1	1	1	1	0
1	2	1	1	1
1	3	0	 	 
1	4	0	 	 
1	5	0	 	 
1	6	0	 	 
1	7	0	 	 
1	8	0	 	 
1	9	0	 	 
1	10	0	 	 
1	11	0	 	 
1	12	0	 	 
2	1	0	 	 
2	2	1	1	1
2	3	0	 	 
2	4	0	 	 
2	5	0	 	 
2	6	0	 	 
2	7	0	 	 
2	8	0	 	 
2	9	0	 	 
2	10	0	 	 
2	11	0	 	 
2	12	1	0	4
3	1	1	1	5
3	2	1	1	1
3	3	0	 	 
3	4	0	 	 
3	5	0	 	 
3	6	0	 	 
3	7	0	 	 
3	8	1	1	4
3	9	0	 	 
3	10	0	 	 
3	11	0	 	 
3	12	0	 	 
4	1	1	1	0
4	2	1	1	1
4	3	0	 	 
4	4	0	 	 
4	5	0	 	 
4	6	0	 	 
4	7	0	 	 
4	8	0	 	 
4	9	1	1	0
4	10	0	 	 
4	11	0	 	 
4	12	1	1	4
5	1	1	1	1
5	2	1	1	1
5	3	0	 	 
5	4	0	 	 
5	5	0	 	 
5	6	0	 	 
5	7	0	 	 
5	8	1	0	4
5	9	0	 	 
5	10	1	1	0
5	11	0	 	 
5	12	0	 	 
6	1	0	 	 
6	2	1	1	2
6	3	1	1	2
6	4	0	 	 
6	5	0	 	 
6	6	0	 	 
6	7	0	 	 
6	8	0	 	 
6	9	1	1	2
6	10	0	 	 
6	11	0	 	 
6	12	1	0	0
7	1	1	1	4
7	2	1	1	4
7	3	0	 	 
7	4	1	1	5
7	5	0	 	 
7	6	0	 	 
7	7	0	 	 
7	8	1	0	4
7	9	1	1	4
7	10	1	1	0
7	11	0	 	 
7	12	1	0	4
8	1	1	1	4
8	2	1	1	1
8	3	0	 	 
8	4	0	 	 
8	5	0	 	 
8	6	0	 	 
8	7	1	1	2
8	8	1	0	4
8	9	1	1	0
8	10	0	 	 
8	11	0	 	 
8	12	1	0	4
9	1	1	1	1
9	2	1	1	1
9	3	0	 	 
9	4	0	 	 
9	5	0	 	 
9	6	0	 	 
9	7	0	 	 
9	8	1	0	4
9	9	0	 	 
9	10	0	 	 
9	11	0	 	 
9	12	1	0	4
10	1	1	1	0
10	2	0	 	 
10	3	0	 	 
10	4	0	 	 
10	5	0	 	 
10	6	0	 	 
10	7	1	1	0
10	8	1	0	4
10	9	1	1	4
10	10	0	 	 
10	11	0	 	 
10	12	1	0	4
11	1	1	1	0
11	2	1	1	4
11	3	1	0	4
11	4	0	 	 
11	5	0	 	 
11	6	0	 	 
11	7	0	 	 
11	8	1	0	4
11	9	1	1	4
11	10	1	1	1
11	11	0	 	 
11	12	1	0	4
12	1	1	1	1
12	2	1	1	0
12	3	0	 	 
12	4	0	 	 
12	5	0	 	 
12	6	0	 	 
12	7	0	 	 
12	8	0	 	 
12	9	0	 	 
12	10	0	 	 
12	11	0	 	 
12	12	1	1	1
13	1	1	1	1
13	2	1	1	1
13	3	0	 	 
13	4	0	 	 
13	5	0	 	 
13	6	0	 	 
13	7	1	1	2
13	8	0	 	 
13	9	0	 	 
13	10	0	 	 
13	11	0	 	 
13	12	1	1	1
14	1	1	1	4
14	2	1	1	4
14	3	0	 	 
14	4	0	 	 
14	5	0	 	 
14	6	1	1	5
14	7	1	1	5
14	8	1	0	4
14	9	1	1	4
14	10	1	1	5
14	11	0	 	 
14	12	1	0	4
15	1	0	 	 
15	2	1	1	1
15	3	0	 	 
15	4	0	 	 
15	5	0	 	 
15	6	0	 	 
15	7	1	1	0
15	8	0	 	 
15	9	0	 	 
15	10	0	 	 
15	11	0	 	 
15	12	0	 	 
16	1	1	1	1
16	2	0	 	 
16	3	0	 	 
16	4	0	 	 
16	5	0	 	 
16	6	1	1	2
16	7	1	1	2
16	8	0	 	 
16	9	0	 	 
16	10	0	 	 
16	11	0	 	 
16	12	1	0	4
17	1	1	1	1
17	2	1	1	1
17	3	0	 	 
17	4	0	 	 
17	5	1	0	1
17	6	1	1	2
17	7	1	1	1
17	8	1	1	1
17	9	1	1	1
17	10	0	 	 
17	11	0	 	 
17	12	0	 	 
18	1	1	1	1
18	2	1	1	1
18	3	0	 	 
18	4	0	 	 
18	5	0	 	 
18	6	1	1	2
18	7	1	1	0
18	8	1	1	1
18	9	1	0	0
18	10	0	 	 
18	11	0	 	 
18	12	0	 	 
19	1	1	1	2
19	2	1	1	2
19	3	0	 	 
19	4	0	 	 
19	5	0	 	 
19	6	1	1	2
19	7	1	1	2
19	8	1	1	1
19	9	0	 	 
19	10	0	 	 
19	11	0	 	 
19	12	1	1	0
20	1	1	1	0
20	2	0	 	 
20	3	0	 	 
20	4	0	 	 
20	5	0	 	 
20	6	0	 	 
20	7	1	1	2
20	8	0	 	 
20	9	0	 	 
20	10	0	 	 
20	11	0	 	 
20	12	0	 	 
21	1	0	 	 
21	2	1	1	4
21	3	0	 	 
21	4	0	 	 
21	5	0	 	 
21	6	1	1	0
21	7	1	1	2
21	8	0	 	 
21	9	1	1	0
21	10	1	1	0
21	11	0	 	 
21	12	0	 	 
22	1	1	1	0
22	2	1	0	4
22	3	0	 	 
22	4	0	 	 
22	5	0	 	 
22	6	0	 	 
22	7	0	 	 
22	8	0	 	 
