PLACEID	LNGIDR4	SPKLNG	SPKPOP
1	1	Y	1
1	2	N	 
1	3	N	 
1	4	N	 
1	5	N	 
1	6	N	 
1	7	N	 
1	8	N	 
1	9	N	 
2	1	Y	88
2	2	N	 
2	3	N	 
2	4	N	 
2	5	N	 
2	6	N	 
2	7	N	 
2	8	N	 
2	9	N	 
3	1	Y	3
3	2	N	 
3	3	N	 
3	4	N	 
3	5	N	 
3	6	Y	1
3	7	Y	2
3	8	N	 
3	9	N	 
4	1	Y	1
4	2	N	 
4	3	N	 
4	4	N	 
4	5	N	 
4	6	N	 
4	7	N	 
4	8	N	 
4	9	N	 
5	1	Y	3
5	2	N	 
5	3	N	 
5	4	N	 
5	5	N	 
5	6	Y	1
5	7	N	 
5	8	Y	2
5	9	N	 
6	1	Y	1
6	2	N	 
6	3	N	 
6	4	N	 
6	5	N	 
6	6	N	 
6	7	N	 
6	8	N	 
6	9	N	 
7	1	Y	1
7	2	N	 
7	3	N	 
7	4	N	 
7	5	N	 
7	6	N	 
7	7	N	 
7	8	N	 
7	9	N	 
8	1	Y	1
8	2	N	 
8	3	N	 
8	4	N	 
8	5	N	 
8	6	N	 
8	7	N	 
8	8	N	 
8	9	N	 
9	1	Y	1
9	2	N	 
9	3	N	 
9	4	N	 
9	5	N	 
9	6	N	 
9	7	N	 
9	8	N	 
9	9	N	 
10	1	Y	1
10	2	N	 
10	3	N	 
10	4	N	 
10	5	N	 
10	6	N	 
10	7	N	 
10	8	N	 
10	9	N	 
11	1	Y	1
11	2	N	 
11	3	N	 
11	4	N	 
11	5	N	 
11	6	N	 
11	7	N	 
11	8	N	 
11	9	N	 
12	1	Y	1
12	2	N	 
12	3	N	 
12	4	N	 
12	5	N	 
12	6	N	 
12	7	N	 
12	8	N	 
12	9	N	 
13	1	Y	1
13	2	N	 
13	3	N	 
13	4	N	 
13	5	N	 
13	6	N	 
13	7	N	 
13	8	N	 
13	9	N	 
14	1	Y	1
14	2	N	 
14	3	N	 
14	4	N	 
14	5	N	 
14	6	N	 
14	7	N	 
14	8	N	 
14	9	N	 
15	1	Y	2
15	2	Y	1
15	3	N	 
15	4	N	 
15	5	N	 
15	6	N	 
15	7	N	 
15	8	N	 
15	9	N	 
16	1	Y	1
16	2	Y	2
16	3	Y	4
16	4	N	 
16	5	Y	4
16	6	N	 
16	7	N	 
16	8	Y	2
16	9	N	 
17	1	N	 
17	2	N	 
17	3	N	 
17	4	N	 
17	5	N	 
17	6	N	 
17	7	N	 
17	8	N	 
17	9	N	 
18	1	Y	1
18	2	Y	2
18	3	Y	3
18	4	Y	4
18	5	Y	4
18	6	N	 
18	7	N	 
18	8	N	 
18	9	N	 
19	1	Y	1
19	2	Y	4
19	3	Y	2
19	4	Y	3
19	5	Y	4
19	6	N	 
19	7	N	 
19	8	N	 
19	9	N	 
20	1	Y	1
20	2	Y	4
20	3	Y	4
20	4	N	 
20	5	Y	3
20	6	N	 
20	7	N	 
20	8	N	 
20	9	Y	2
21	1	Y	1
21	2	Y	2
21	3	Y	4
21	4	Y	3
21	5	Y	4
21	6	N	 
21	7	N	 
21	8	N	 
21	9	N	 
22	1	Y	1
22	2	N	 
22	3	N	 
22	4	N	 
22	5	N	 
22	6	N	 
22	7	N	 
22	8	N	 
22	9	N	 
23	1	Y	1
23	2	N	 
23	3	N	 
23	4	N	 
23	5	N	 
23	6	N	 
23	7	N	 
23	8	N	 
23	9	N	 
24	1	Y	1
24	2	N	 
24	3	N	 
24	4	N	 
24	5	N	 
24	6	N	 
24	7	N	 
24	8	N	 
24	9	N	 
25	1	Y	1
25	2	N	 
25	3	N	 
25	4	N	 
25	5	N	 
25	6	N	 
25	7	N	 
25	8	N	 
25	9	N	 
26	1	Y	1
26	2	N	 
26	3	N	 
26	4	N	 
26	5	N	 
26	6	N	 
26	7	N	 
26	8	N	 
26	9	N	 
27	1	Y	1
27	2	N	 
27	3	N	 
27	4	N	 
27	5	N	 
27	6	N	 
27	7	N	 
27	8	N	 
27	9	N	 
28	1	Y	1
28	2	N	 
28	3	N	 
28	4	N	 
28	5	N	 
28	6	N	 
28	7	N	 
28	8	N	 
28	9	N	 
29	1	Y	1
29	2	N	 
29	3	N	 
29	4	N	 
29	5	N	 
29	6	N	 
29	7	N	 
29	8	N	 
29	9	N	 
32	1	Y	1
32	2	N	 
32	3	N	 
32	4	N	 
32	5	N	 
32	6	N	 
32	7	N	 
32	8	N	 
32	9	N	 
33	1	Y	1
33	2	N	 
33	3	N	 
33	4	N	 
33	5	N	 
33	6	N	 
33	7	N	 
33	8	N	 
33	9	N	 
34	1	Y	1
34	2	N	 
34	3	N	 
34	4	N	 
34	5	N	 
34	6	N	 
34	7	N	 
34	8	N	 
34	9	N	 
35	1	Y	1
35	2	N	 
35	3	N	 
35	4	N	 
35	5	N	 
35	6	N	 
35	7	N	 
35	8	N	 
35	9	N	 
36	1	Y	1
36	2	N	 
36	3	N	 
36	4	N	 
36	5	N	 
36	6	N	 
36	7	N	 
36	8	N	 
36	9	N	 
