PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
1	3	150	100
1	4	70	50
1	5	150	-11
1	6	80	-11
1	7	-11	-11
1	8	-11	60
1	11	100	-11
1	17	200	200
1	18	100	100
1	19	-11	80
1	20	200	-11
2	3	180	130
2	4	90	70
2	5	200	0
2	6	50	0
2	7	0	40
2	8	0	50
2	11	3600	0
2	17	0	0
2	18	0	0
2	19	0	0
2	20	0	0
3	3	200	150
3	4	-77	-77
3	5	300	-11
3	6	50	-11
3	7	-11	-11
3	8	-11	50
3	11	150	-11
3	17	3600	-11
3	18	100	100
3	19	200	200
3	20	-11	-11
4	3	180	0
4	4	80	80
4	5	250	0
4	6	60	50
4	7	100	60
4	8	100	50
4	11	150	0
4	17	70	0
4	18	0	0
4	19	0	0
4	20	0	0
5	3	-11	-11
5	4	-11	-11
5	5	250	-11
5	6	100	-11
5	7	-11	-11
5	8	-11	-11
5	11	100	-11
5	17	200	150
5	18	250	-11
5	19	3000	-11
5	20	980	-11
6	3	200	150
6	4	100	80
6	5	0	0
6	6	70	0
6	7	0	50
6	8	0	50
6	11	150	0
6	17	80	0
6	18	0	0
6	19	0	0
6	20	0	0
7	3	170	140
7	4	100	100
7	5	110	-11
7	6	66	-11
7	7	-11	50
7	8	100	100
7	11	180	-11
7	17	180	-11
7	18	-11	-11
7	19	-11	-11
7	20	-11	-11
8	3	180	-11
8	4	150	120
8	5	120	-11
8	6	100	-11
8	7	-11	100
8	8	-11	100
8	11	180	-11
8	17	300	-11
8	18	-11	200
8	19	-11	-11
8	20	-11	-11
9	3	170	170
9	4	80	80
9	5	200	-11
9	6	80	-11
9	7	-11	-11
9	8	-11	50
9	11	90	-11
9	17	-11	-11
9	18	-11	-11
9	19	-11	-11
9	20	-11	-11
10	3	130	100
10	4	100	100
10	5	110	-11
10	6	66	-11
10	7	-11	50
10	8	100	90
10	11	120	-11
10	17	-11	-11
10	18	-11	-11
10	19	-11	-11
10	20	-11	-11
11	3	170	-11
11	4	100	100
11	5	110	-11
11	6	66	-11
11	7	-11	50
11	8	100	100
11	11	140	-11
11	17	-11	-11
11	18	-11	-11
11	19	-11	-11
11	20	-11	-11
12	3	150	-11
12	4	130	100
12	5	150	-11
12	6	100	-11
12	7	-11	-11
12	8	-11	80
12	11	150	-11
12	17	-11	-11
12	18	-11	-11
12	19	-11	-11
12	20	-11	-11
13	3	150	-11
13	4	120	120
13	5	180	-11
13	6	120	-11
13	7	-11	100
13	8	-11	80
13	11	150	-11
13	17	-11	-11
13	18	-11	-11
13	19	-11	-11
13	20	-11	-11
14	3	130	-11
14	4	105	105
14	5	110	-11
14	6	60	-11
14	7	-11	50
14	8	-11	66
14	11	115	-11
14	17	-11	-11
14	18	-11	-11
14	19	-11	-11
14	20	-11	-11
15	3	150	-11
15	4	-11	-11
15	5	-11	-11
15	6	-11	-11
15	7	-11	-11
15	8	-11	-11
15	11	-11	-11
15	17	-11	-11
15	18	-11	-11
15	19	-11	-11
15	20	-11	-11
16	3	180	150
16	4	-11	-11
16	5	200	-11
16	6	-11	-11
16	7	-11	-11
16	8	80	80
16	11	180	-11
16	17	-11	-11
16	18	-11	-11
16	19	-11	-11
16	20	-11	-11
17	3	150	130
17	4	150	150
17	5	200	-11
17	6	120	-11
17	7	-11	80
17	8	90	90
17	11	250	200
17	17	70	80
17	18	250	200
17	19	0	0
17	20	0	0
18	3	180	150
18	4	150	130
18	5	200	-11
18	6	120	-11
18	7	-11	80
18	8	-11	120
18	11	200	170
18	17	0	0
18	18	0	0
18	19	0	0
18	20	0	0
19	3	150	-11
19	4	150	150
19	5	150	-11
19	6	120	-11
19	7	-11	70
19	8	50	50
19	11	200	-11
19	17	-11	-11
19	18	-11	-11
19	19	-11	-11
19	20	-11	-11
20	3	-11	-11
20	4	-11	-11
20	5	-11	-11
20	6	-11	-11
20	7	-11	-11
20	8	50	50
20	11	-11	-11
20	17	160	120
20	18	150	-11
20	19	-11	-11
20	20	-11	-11
21	3	200	180
21	4	120	120
21	5	200	-11
21	6	120	-11
21	7	-11	100
21	8	-11	100
21	11	140	-11
21	17	0	0
21	18	0	0
21	19	0	0
21	20	0	0
22	3	150	100
22	4	100	80
22	5	150	0
22	6	0	0
22	7	0	0
22	8	0	0
22	11	0	0
22	17	0	0
22	18	0	0
22	19	0	0
22	20	0	0
23	3	-11	-11
23	4	-11	-11
23	5	-11	-11
23	6	-11	-11
23	7	-11	-11
23	8	-11	-11
23	11	-11	-11
23	17	-11	-11
23	18	-11	-11
23	19	-11	-11
23	20	-11	-11
24	3	150	150
24	4	130	130
24	5	-11	-11
24	6	130	130
24	7	-11	-11
24	8	-11	-11
24	11	250	-11
24	17	300	300
24	18	-77	-77
24	19	-77	-77
24	20	-77	-77
25	3	150	120
25	4	110	90
25	5	-77	-11
25	6	-77	-11
25	7	-11	-11
25	8	-11	-11
25	11	160	-11
25	17	-77	-77
25	18	-77	-77
25	19	-77	-77
25	20	-77	-77
26	3	170	150
26	4	135	120
26	5	-77	-77
26	6	-77	-77
26	7	-11	-11
26	8	-11	-11
26	11	160	-11
26	17	-77	-77
26	18	-77	-77
26	19	-77	-77
26	20	-77	-77
27	3	200	150
27	4	130	135
27	5	-77	-11
27	6	-11	-11
27	7	-11	-11
27	8	-11	-11
27	11	165	-11
27	17	-77	-77
27	18	-77	-77
27	19	-77	-77
27	20	-77	-77
28	3	130	120
28	4	150	150
28	5	160	-11
28	6	130	-11
28	7	120	140
28	8	130	130
28	11	150	-11
28	17	170	160
28	18	-77	-77
28	19	-77	-77
28	20	-77	-77
29	3	200	150
29	4	100	100
29	5	150	150
29	6	80	0
29	7	0	100
29	8	70	70
29	11	100	0
29	17	50	50
29	18	80	60
29	19	200	150
29	20	100	200
32	3	100	70
32	4	92	92
32	5	135	-11
32	6	75	-11
32	7	-11	70
32	8	90	76
32	11	115	-11
32	17	69	50
32	18	-77	-77
32	19	-77	-77
32	20	-77	-77
33	3	130	130
33	4	120	120
33	5	150	-11
33	6	120	-11
33	7	120	140
33	8	130	140
33	11	150	-11
33	17	160	160
33	18	-77	-77
33	19	-77	-77
33	20	-77	-77
34	3	150	130
34	4	100	100
34	5	130	11
34	6	70	-11
34	7	-11	80
34	8	70	50
34	11	100	-11
34	17	190	170
34	18	-77	-77
34	19	-77	-77
34	20	-77	-77
35	3	200	200
35	4	120	80
35	5	250	-11
35	6	100	100
35	7	-11	100
35	8	120	120
35	11	250	-11
35	17	120	120
35	18	200	200
35	19	200	-11
35	20	-11	-11
36	3	200	0
36	4	100	100
36	5	150	0
36	6	100	0
36	7	0	80
36	8	0	50
36	11	200	0
36	17	100	60
36	18	220	0
36	19	150	150
36	20	0	0
