CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
11001	1	5	3	4	3	2004	2000	20	1	1	 
11001	2	5	3	4	4	2005	2000	20	0	 	 
11003	1	10	2	8	77	2004	500	0	1	1	 
11004	1	2	2	3	6	2002	3000	9	1	1	 
11009	1	10	2	2	2	2006	150	0	0	 	 
11010	1	10	1	2	3	2005	300	0	1	1	 
11010	2	10	1	2	1	2006	300	0	0	 	 
11012	1	10	2	15	2	2006	400	0	0	 	 
11013	1	10	2	2	3	2006	1000	10	0	 	 
11015	1	10	4	2	5	2004	1000	0	1	1	 
11017	1	10	16	2	4	2005	1500	0	1	1	 
11019	1	6	2	10	10	2003	88000	-77	0	 	 
11020	1	10	2	7	2	2006	400	0	0	 	 
11020	2	10	2	13	3	2006	1000	0	0	 	 
11021	1	10	0	2	12	2005	300	0	0	 	 
11022	1	9	2	19	3	2004	2000	0	1	1	 
11024	1	9	2	19	2	2005	1000	5	0	 	 
11027	1	10	1	6	3	2006	1200	0	1	1	 
11028	1	10	2	2	2	2006	100	0	0	 	 
11028	2	8	2	2	1	2004	200	0	1	1	 
11030	1	8	0	10	3	2005	6500	0	1	1	 
11030	2	9	1	2	3	2003	700	0	1	1	 
11031	1	2	2	2	11	2005	500	5	1	1	 
11031	2	2	2	2	2	2006	500	5	1	1	 
11031	3	8	2	17	4	2004	10000	0	0	 	 
11033	1	77	2	19	4	2003	900	0	1	1	 
11033	2	10	2	16	1	2004	500	0	1	1	 
11034	1	10	3	2	2	2006	150	0	1	1	 
11034	2	7	3	4	5	2004	3000	-77	0	 	 
11036	1	10	2	2	1	2006	100	0	1	0	11
11037	1	10	1	2	7	2005	100	0	1	1	 
11037	2	8	1	19	6	2004	300	0	1	1	 
11038	1	10	2	2	2	2003	3700	0	0	 	 
11038	2	10	2	2	12	2005	200	0	1	1	 
11038	3	15	2	2	4	2006	1000	5	0	 	 
11042	1	8	2	17	3	2006	40000	0	0	 	 
11042	2	5	7	10	4	2006	50000	-77	0	 	 
11042	3	15	2	2	4	2006	600	5	0	 	 
11043	1	8	4	2	77	2004	2000	0	0	 	 
11044	1	7	1	19	10	2003	1000	20	1	1	 
11044	2	15	1	19	12	2005	1000	-77	0	 	 
11044	3	10	1	2	3	2006	100	0	0	 	 
11048	1	7	2	15	2	2003	500	15	1	1	 
11049	1	5	1	2	2	2006	1000	0	0	 	 
11049	2	5	1	2	12	2005	3850	0	0	 	 
11050	1	8	1	8	9	2005	270000	0	0	 	 
21006	1	7	2	13	3	2005	4000	-77	1	1	 
21007	1	5	1	10	4	2005	10800	-77	0	 	 
21009	1	10	0	2	1	2006	500	0	1	1	 
21010	1	7	2	2	1	2006	4000	-77	0	 	 
21010	2	7	2	2	77	2004	4000	-77	1	1	 
21011	1	10	18	8	4	2004	2000	0	1	1	 
21021	1	7	2	4	4	2004	2000	-77	0	 	 
21034	1	10	2	2	3	2006	400	0	1	1	 
21037	1	10	2	4	12	2005	1900	0	1	1	 
21040	1	7	2	19	12	2004	3700	18	0	 	 
21041	1	9	1	19	77	2005	5000	-77	0	 	 
21043	1	7	2	19	77	2003	3000	-77	0	 	 
21045	1	7	2	40	77	-77	-77	-77	1	1	 
31002	1	8	2	11	12	2005	20000	0	0	 	 
31002	2	8	2	2	2	2006	500	0	0	 	 
31004	1	6	2	4	1	2006	400	0	0	 	 
31006	1	8	1	18	1	2002	222000	0	0	 	 
31009	1	7	1	2	3	2005	5000	10	0	 	 
31011	1	7	2	4	2	2004	3000	-77	1	1	 
31016	1	5	2	19	3	2003	3000	-77	1	1	 
31022	1	15	2	15	3	2004	8000	2	0	 	 
31022	2	12	2	10	1	2005	6000	-77	0	 	 
31027	1	11	2	4	9	2003	3000	.200000002980232	0	 	 
31029	1	5	2	19	4	2002	5000	-77	1	0	3
31035	1	10	1	2	3	2006	64	0	0	 	 
31036	1	2	1	2	10	2005	2000	0	0	 	 
31039	1	7	2	41	2	2002	2000	-77	1	1	 
31040	1	10	6	13	9	2006	300	0	1	1	 
31042	1	10	2	4	77	2004	5000	0	0	 	 
31044	1	10	1	6	1	2006	800	0	1	1	 
