CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH18R4	MEMCNSR4
11001	0	15	18	 	1	0	0	1	 	 	 	1	 	5	0	0	98	1	1	11	0	 	 	 	1	N
11001	1	34	38	 	1	1	1	 	 	 	 	1	 	3	1	0	3	99	1	8	0	 	 	 	0	N
11001	2	31	35	 	2	1	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11001	3	68	72	 	2	6	6	 	 	 	 	1	 	1	3	0	99	99	0	 	 	 	 	 	 	N
11001	4	9	13	 	2	15	15	 	 	 	 	1	 	5	0	0	98	98	1	7	1	4	 	 	1	N
11001	5	21	25	 	2	15	15	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	0	15	19	 	1	0	0	1	 	 	 	1	 	3	0	0	2	98	1	13	1	1	 	 	1	N
11002	1	55	59	 	1	1	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	2	45	49	 	2	1	1	 	 	 	 	1	 	1	1	0	99	99	1	12	0	 	 	 	0	N
11002	3	30	34	 	1	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	4	27	31	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	5	26	30	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	6	25	29	 	2	23	23	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	7	18	22	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11003	0	15	19	 	2	0	0	1	 	 	 	1	 	3	0	0	2	1	1	14	1	4	 	 	1	N
11003	1	52	56	 	1	1	1	 	 	 	 	1	 	1	0	0	99	99	1	13	0	 	 	 	0	N
11003	2	43	47	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	1	12	0	 	 	 	0	N
11003	3	25	29	 	2	20	20	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11003	4	19	23	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	13	0	 	 	 	1	N
11003	15	10	14	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	8	1	4	 	 	1	N
11003	16	10	14	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	7	1	4	 	 	1	N
11004	0	14	18	 	1	0	0	1	 	 	 	1	 	3	0	0	2	1	1	9	0	 	 	 	1	N
