CHILDCODE	NONFODR4	SPYRR4
11001	1	1300
11001	2	400
11001	3	350
11001	4	0
11001	5	350
11001	6	600
11001	7	200
11001	8	0
11002	1	900
11002	2	750
11002	3	0
11002	4	0
11002	5	600
11002	6	400
11002	7	0
11002	8	0
11003	1	0
11003	2	500
11003	3	300
11003	4	300
11003	5	250
11003	6	210
11003	7	130
11003	8	150
11004	1	3500
11004	2	800
11004	3	0
11004	4	0
11004	5	450
11004	6	300
11004	7	0
11004	8	0
11005	1	0
11005	2	650
11005	3	450
11005	4	0
11005	5	0
11005	6	300
11005	7	500
11005	8	0
11006	1	4000
11006	2	8000
11006	3	0
11006	4	0
11006	5	4500
11006	6	4000
11006	7	0
11006	8	0
11007	1	0
11007	2	1600
11007	3	0
11007	4	0
11007	5	0
11007	6	780
11007	7	0
11007	8	0
11008	1	0
11008	2	0
11008	3	500
11008	4	0
11008	5	0
11008	6	960
11008	7	200
11008	8	0
11009	1	500
11009	2	180
11009	3	0
11009	4	70
11009	5	1150
11009	6	300
11009	7	0
11009	8	200
11010	1	0
11010	2	750
11010	3	0
11010	4	0
11010	5	0
11010	6	300
11010	7	0
11010	8	0
11012	1	550
11012	2	700
11012	3	400
11012	4	600
11012	5	200
11012	6	415
11012	7	185
11012	8	500
11013	1	1500
11013	2	0
11013	3	500
11013	4	0
11013	5	250
11013	6	80
11013	7	120
11013	8	0
11014	1	500
11014	2	0
11014	3	300
11014	4	0
11014	5	200
11014	6	0
11014	7	50
11014	8	0
11015	1	3000
11015	2	0
11015	3	0
11015	4	0
11015	5	1500
11015	6	0
11015	7	0
11015	8	0
11016	1	650
11016	2	500
11016	3	0
11016	4	0
11016	5	0
11016	6	95
11016	7	0
11016	8	0
11017	1	1800
11017	2	1100
11017	3	0
11017	4	0
11017	5	1400
11017	6	400
11017	7	0
11017	8	0
11018	1	500
11018	2	600
11018	3	0
11018	4	0
11018	5	300
11018	6	0
11018	7	0
11018	8	0
11019	1	650
11019	2	1200
11019	3	0
11019	4	250
11019	5	450
11019	6	500
11019	7	0
11019	8	0
11020	1	0
11020	2	310
11020	3	0
11020	4	0
11020	5	0
11020	6	0
11020	7	0
11020	8	0
11021	1	8000
11021	2	1600
11021	3	600
11021	4	600
11021	5	900
11021	6	450
11021	7	300
11021	8	500
11022	1	550
11022	2	500
11022	3	0
11022	4	0
11022	5	-77
11022	6	300
11022	7	0
11022	8	0
11024	1	300
11024	2	180
11024	3	0
11024	4	0
11024	5	0
11024	6	290
11024	7	0
11024	8	0
11025	1	250
11025	2	10000
11025	3	1500
11025	4	1500
11025	5	300
11025	6	2500
11025	7	500
11025	8	500
11026	1	0
11026	2	250
11026	3	0
11026	4	0
11026	5	0
11026	6	200
11026	7	0
11026	8	0
11027	1	0
11027	2	0
11027	3	0
11027	4	0
11027	5	0
11027	6	0
11027	7	150
