CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
11001	1	6	10
11001	2	11	7
11001	3	10	3
11002	1	11	12
11002	2	7	8
11003	1	10	20
11004	1	5	15
11004	2	10	5
11005	1	8	16
11005	2	11	4
11006	1	6	20
11007	1	11	14
11007	2	10	6
11008	1	10	16
11008	2	7	4
11009	1	10	16
11009	2	11	4
11010	1	6	12
11010	2	11	8
11012	1	1	13
11012	2	10	4
11012	3	11	3
11013	1	6	10
11013	2	7	10
11014	1	6	20
11015	1	10	10
11015	2	6	6
11015	3	11	4
11016	1	1	13
11016	2	11	7
11017	1	10	12
11017	2	7	8
11018	1	10	20
11019	1	5	12
11019	2	11	8
11020	1	10	16
11020	2	11	4
11021	1	10	20
11022	1	10	16
11022	2	11	4
11024	1	7	10
11024	2	10	5
11024	3	6	5
11025	1	6	10
11025	2	10	10
11026	1	10	20
11027	1	10	16
11027	2	6	4
11028	1	10	15
11028	2	11	5
11029	1	10	15
11029	2	11	5
11030	1	10	20
11031	1	5	12
11031	2	10	8
11032	1	7	15
11032	2	6	3
11032	3	10	2
11033	1	6	10
11033	2	10	8
11033	3	11	2
11034	1	7	17
11034	2	10	3
11035	1	6	20
11036	1	10	16
11036	2	11	4
11037	1	6	18
11037	2	11	2
11038	1	10	15
11038	2	11	5
11039	1	8	16
11039	2	10	2
11039	3	11	2
11040	1	10	18
11040	2	11	2
11042	1	11	12
11042	2	10	8
11043	1	1	9
11043	2	7	7
11043	3	10	4
11044	1	6	17
11044	2	11	3
11045	1	10	20
11046	1	10	17
11046	2	11	3
11048	1	10	20
11049	1	10	16
11049	2	6	4
11050	1	1	12
11050	2	6	8
21002	1	2	12
21002	2	1	8
21003	1	8	10
21003	2	10	5
21003	3	11	5
21004	1	10	18
21004	2	11	2
21005	1	10	14
21005	2	11	6
21006	1	10	12
21006	2	7	6
21006	3	11	2
21007	1	10	18
21007	2	11	2
21008	1	8	19
21008	2	11	1
21009	1	10	20
21010	1	10	20
21011	1	10	14
21011	2	11	6
21012	1	10	18
21012	2	11	2
21013	1	10	10
21013	2	11	8
21013	3	2	2
21014	1	6	20
21015	1	10	15
21015	2	11	5
21016	1	6	16
21016	2	10	4
21017	1	11	14
21017	2	10	6
21018	1	11	7
21018	2	10	13
21019	1	10	20
21020	1	10	20
21021	1	10	9
21021	2	11	6
21021	3	8	5
21022	1	10	15
21022	2	11	5
21023	1	7	10
21023	2	10	6
21023	3	11	4
21024	1	10	15
21024	2	11	5
21027	1	6	15
21027	2	10	3
21027	3	11	2
21028	1	8	15
21028	2	11	5
21029	1	6	17
21029	2	11	3
21031	1	10	20
21032	1	10	8
21032	2	11	2
21032	3	7	10
21033	1	10	12
21033	2	11	2
21033	3	8	6
21034	1	11	16
21034	2	10	4
21035	1	6	12
21035	2	10	8
21036	1	10	20
21037	1	6	20
21038	1	11	17
21038	2	10	3
21040	1	6	12
21040	2	11	8
21041	1	6	13
21041	2	10	4
21041	3	11	3
21042	1	10	4
21042	2	11	16
21043	1	6	14
21043	2	10	4
21043	3	11	2
21045	1	10	8
21045	2	7	5
21045	3	8	5
21045	4	11	2
21046	1	10	16
21046	2	11	4
21047	1	10	8
21047	3	11	12
21048	1	10	18
21048	2	11	2
21050	1	7	20
31001	1	10	5
31001	2	11	10
31001	3	8	5
31002	1	10	3
31002	2	7	17
31003	1	7	10
31003	2	10	10
31004	1	10	15
31004	2	11	5
31006	1	8	16
31006	2	7	4
31007	1	8	15
31007	2	10	5
31009	1	7	15
31009	2	10	5
31010	1	10	16
31010	2	11	4
31011	1	10	15
31011	2	11	5
31012	1	7	10
31012	2	10	10
31013	1	10	20
31015	1	11	20
31016	1	11	19
31016	2	6	1
31017	1	10	18
31017	2	11	2
31018	1	11	16
31018	2	7	4
31019	1	8	8
31019	2	10	8
31019	3	5	4
31020	1	10	10
31020	2	11	10
31021	1	10	20
31022	1	11	18
31022	2	7	2
31023	1	6	20
31024	1	10	20
31026	1	6	15
31026	2	10	5
31027	1	7	12
31027	2	10	6
31027	3	8	2
31028	1	11	20
31029	1	6	14
31029	2	8	6
31030	1	10	20
31033	1	11	20
31034	1	10	20
31035	1	10	5
31035	2	11	15
31036	1	10	20
31037	1	7	20
31038	1	11	10
31038	2	10	10
31039	1	8	20
31040	1	10	20
31042	1	7	20
31043	1	8	8
31043	2	10	7
31043	3	11	5
31044	1	8	20
31045	1	10	20
31046	1	10	14
31046	2	6	6
31048	1	10	15
31048	2	8	5
31050	1	10	15
31050	2	8	5
41001	1	2	6
41001	2	1	5
41001	3	8	5
41001	4	11	4
41002	1	1	15
41002	2	7	5
41003	1	1	18
41003	2	2	2
41005	1	1	20
41006	1	5	15
41006	2	1	5
41007	1	1	12
41007	2	2	8
41008	1	1	10
41008	2	10	10
41009	1	6	20
41010	1	6	20
41011	1	10	12
41011	2	11	8
41012	1	1	20
41013	1	10	20
41014	1	10	17
41014	2	1	3
41015	1	8	15
41015	2	11	4
41015	3	1	1
41016	1	10	20
41017	1	8	17
41017	2	11	3
41018	1	8	16
41018	2	10	4
41020	1	10	18
41020	2	11	2
41021	1	6	9
41021	2	7	6
41021	3	1	5
41022	1	1	15
41022	2	9	5
41023	1	8	20
41024	1	6	12
41024	2	8	7
41024	3	1	1
41025	1	10	18
41025	2	6	2
41026	1	6	3
41026	2	10	1
41026	3	1	8
41026	4	11	8
41027	1	10	20
41028	1	1	5
41028	2	6	9
41028	3	10	6
41029	1	6	20
41030	1	10	10
41030	2	11	10
41031	1	10	15
41031	2	11	5
41032	1	8	15
41032	2	2	5
41034	1	1	8
41034	2	4	8
41034	3	6	4
41035	1	6	10
41035	2	11	7
41035	3	8	3
41036	1	10	12
41036	2	8	8
41037	1	10	16
41037	2	6	4
41038	1	1	15
41038	2	8	5
41039	1	5	18
41039	2	10	2
41040	1	8	18
41040	2	11	2
41041	1	10	12
41041	2	8	5
41041	3	1	3
41042	1	10	20
41043	1	8	20
41044	1	10	20
41045	1	10	16
41045	2	8	4
41046	1	10	20
41047	1	6	17
41047	2	8	3
41048	1	8	8
41048	2	11	7
41048	3	10	5
41049	1	1	20
41050	1	1	8
41050	2	8	6
41050	3	2	4
51001	1	1	6
51001	2	2	4
51001	3	9	4
51001	4	8	6
51002	1	1	15
51002	2	10	5
51003	1	6	20
51004	1	1	12
51004	2	2	8
51005	1	7	14
51005	2	1	4
51005	3	6	2
51006	1	5	20
51007	1	1	15
51007	2	6	5
51008	1	6	18
51008	2	1	2
51009	1	1	19
51009	2	6	1
51010	1	10	20
51012	1	10	20
51013	1	10	18
51013	2	1	2
51014	1	6	13
51014	2	10	3
51014	3	9	2
51014	4	1	2
51015	1	8	15
51015	2	1	5
51016	1	1	20
51017	1	10	20
51018	1	2	7
51018	2	1	7
51018	3	10	6
51019	1	1	10
51019	2	2	6
51019	3	10	4
51021	1	1	12
51021	2	11	8
51022	1	11	14
51022	2	1	6
51023	1	10	20
51024	1	8	12
51024	2	11	8
51025	1	1	13
51025	2	9	7
51026	1	1	15
51026	2	6	5
51027	1	11	12
51027	2	8	4
51027	3	2	4
51028	1	9	10
51028	2	6	6
51028	3	8	4
51029	1	10	16
51029	2	1	4
51030	1	11	11
51030	2	1	9
51031	1	8	16
51031	2	11	4
51032	1	1	18
51032	2	8	2
51033	1	1	15
51033	2	10	5
51034	1	8	20
51035	1	1	20
51036	1	1	14
51036	2	9	6
51038	1	6	20
51039	1	1	15
51039	2	6	5
51040	1	1	9
51040	2	8	6
51040	3	11	5
51041	1	1	18
51041	2	6	2
51042	1	6	20
51043	1	9	20
51044	1	1	10
51044	2	10	6
51044	3	11	4
51045	1	1	15
51045	2	6	5
51046	1	1	10
51046	2	11	8
51046	3	6	2
51047	1	6	15
51047	2	1	5
51048	1	1	20
51049	1	6	20
51050	1	6	16
51050	2	1	4
61002	2	1	10
61002	3	10	7
61002	4	2	3
61003	1	10	17
61003	2	11	3
61004	1	1	10
61004	2	10	5
61004	3	2	3
61004	4	7	2
61005	1	1	15
61005	2	2	3
61005	3	10	1
61005	4	8	1
61007	1	1	10
61007	2	10	5
61007	3	8	5
61008	1	1	10
61008	2	2	10
61009	1	1	12
61009	2	10	6
61009	4	8	1
61009	5	2	1
61010	1	1	18
61010	2	2	2
