CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
11001	1	5	36	2004	9999	4	3
11004	1	17	77	2005	2006	11	80
11008	1	19	34	1995	9999	4	0
11021	1	12	34	1995	9999	4	15
11025	1	12	34	1998	9999	4	15
11027	1	12	34	1995	9999	4	80
11028	1	12	34	2000	2005	4	0
11029	1	12	34	1996	9999	4	0
11031	1	12	34	1995	9999	4	15
11032	1	12	34	2002	9999	4	15
11033	1	5	77	2003	2003	12	2
11034	1	12	34	1998	9999	4	15
11036	1	28	6	2006	9999	12	80
11042	1	20	15	1996	2004	10	0
11043	1	8	6	2004	-9999	8	4
11044	1	20	15	2002	9999	11	1
11045	1	12	34	2000	9999	4	3
11049	1	12	34	2000	-9999	4	80
11049	2	5	13	1998	9999	4	80
21002	1	12	52	2006	9999	4	10
21006	1	5	13	2005	9999	12	2
21007	1	16	36	2005	2005	11	80
21007	2	14	36	2003	9999	5	2
21008	1	7	6	2005	9999	8	80
21010	1	5	13	2004	-9999	4	2
21011	1	28	36	2004	2004	11	80
21012	1	28	6	2003	9999	12	80
21013	1	7	6	2005	2005	9	1
21016	1	28	6	2003	9999	12	80
21018	1	24	36	2005	2006	12	80
21020	1	24	36	2004	2004	11	80
21021	1	5	13	2004	9999	10	2
21022	1	24	36	2004	2004	11	80
21023	1	12	2	2001	2006	4	16
21031	1	28	6	2003	9999	12	80
21035	1	17	6	2005	2005	10	2
21036	1	31	36	2002	9999	10	1
21038	1	24	36	2006	2006	11	80
21038	2	28	6	2006	2006	5	1
21040	1	24	36	2004	2004	4	80
21040	2	30	36	2005	2005	11	4
21043	1	5	13	2003	-9999	10	2
21045	1	5	13	-77	-77	11	2
21048	1	28	6	2003	9999	12	80
21050	1	22	36	2002	9999	5	2
31011	1	14	36	2005	2005	11	2
31019	1	20	77	2005	9999	5	15
31019	2	12	77	2003	9999	4	15
31020	1	2	8	1997	2006	10	6
31022	1	12	15	2004	9999	4	80
31029	1	19	15	1999	9999	11	10
31045	1	 	 	 	 	 	 
41015	1	28	6	1996	9999	5	80
41017	1	17	6	1999	9999	4	80
41022	1	1	5	1999	9999	10	80
41022	2	8	6	2000	9999	8	6
41024	1	28	6	1999	9999	5	80
41025	1	28	13	2000	-9999	4	3
41032	1	28	6	2003	9999	4	80
41035	1	28	6	2002	9999	8	80
41036	1	28	6	1998	9999	9	80
41037	1	28	15	2005	-77	11	80
41038	1	28	6	2005	9999	8	80
41040	1	7	6	1998	9999	12	1
41040	2	28	6	2002	9999	8	80
41047	1	28	6	1996	9999	9	80
51019	1	1	5	1996	9966	10	1
51019	2	28	6	2001	9999	10	80
51019	3	3	5	2000	9969	10	80
51022	1	1	5	1997	9999	9	80
51022	2	28	6	2001	9999	10	80
51022	3	25	5	2001	9969	11	80
51024	1	28	6	1999	9999	10	80
51025	1	4	5	2001	9999	11	80
51025	2	28	6	2000	9999	10	80
51027	1	28	6	1997	9999	10	80
51027	2	4	5	2004	9999	4	2
51028	1	4	5	2001	9999	12	80
51028	2	28	6	1997	9999	10	80
51030	1	25	5	2000	9999	11	80
51030	2	28	6	2003	9999	9	80
51031	1	12	15	2006	9999	4	15
51031	2	28	6	2004	9999	10	80
51034	1	25	39	2002	9999	10	80
51036	1	20	11	2004	9999	5	1
51041	1	4	39	2001	9999	5	80
51042	1	25	39	1998	-9999	9	2
51045	1	25	39	1998	9999	5	80
51046	1	25	39	2000	2006	10	80
51050	1	25	39	1999	9999	10	1
61002	1	1	5	2002	9999	4	18
61004	1	1	5	1996	9999	10	17
61005	1	1	5	2000	9999	4	80
61005	2	5	13	1999	9999	8	1
61005	3	13	5	2003	9999	4	1
61007	1	3	39	1999	9999	9	0
61008	1	5	13	1999	9999	8	1
61008	2	1	5	1990	9999	5	80
61008	3	3	39	1999	2004	9	80
61008	4	5	39	2001	9999	11	1
61009	1	1	5	2000	9999	4	1
61009	2	5	13	1998	9999	8	1
61009	3	13	5	2003	9999	4	1
61011	1	1	5	2003	9999	4	80
61011	2	5	13	1997	9999	8	1
61012	1	1	5	1998	9999	8	80
61012	2	5	13	1994	9999	8	1
61014	1	5	13	2000	2005	8	2
61014	2	1	5	1996	2005	4	80
61015	1	1	5	2000	9999	10	80
61015	2	5	13	1994	9999	8	1
61016	1	1	5	1996	9999	10	1
61016	2	5	13	2002	2004	10	2
61019	1	1	5	2000	9999	10	80
61019	2	5	13	2000	9999	8	2
61020	1	1	5	1999	9999	10	1
61020	2	13	5	2003	9999	4	1
61021	1	1	5	2000	9999	10	6
61022	1	1	5	1988	9999	5	1
61023	1	1	5	1996	9999	4	8
61025	1	1	5	1996	9999	10	4
61025	2	3	39	1999	9999	9	80
61025	3	5	13	2006	9999	10	1
61025	4	25	39	1999	9999	9	1
61026	1	1	5	1987	9999	4	80
61026	2	3	39	2002	2005	9	80
61026	3	4	39	2002	2005	11	80
61026	4	5	13	2003	9999	8	2
61026	5	13	5	2003	9999	4	1
61027	1	1	5	1995	9999	5	80
61029	1	6	39	1999	9999	9	90
61029	2	5	13	1998	9999	8	2
61031	1	3	39	1999	2005	9	80
61031	2	5	39	2002	2005	11	2
61033	1	1	5	2002	9999	10	1
61033	2	5	13	2001	9999	8	2
61034	1	1	5	2000	9999	10	80
61034	2	13	5	2002	9999	4	1
61036	1	1	5	1987	9999	4	80
61037	1	1	5	1996	9999	10	1
61037	2	3	39	1999	2006	9	80
61038	1	1	5	1986	9999	10	80
61038	2	5	13	1996	9999	8	1
61039	1	1	5	2003	9999	4	1
61044	1	1	5	1995	9999	10	80
61044	2	5	13	1999	2003	10	2
61046	1	1	5	1997	9999	5	80
61046	2	5	15	2005	9999	4	1
61049	1	1	5	2002	9999	4	1
61049	2	5	13	2002	9999	4	1
61050	1	1	5	1987	9999	8	80
61050	2	5	13	1994	9999	8	1
61050	3	13	5	1998	9999	4	1
61051	1	5	13	1998	9999	8	1
61051	2	1	5	1998	9999	10	80
61052	1	1	5	1996	9999	10	1
61052	2	5	13	2000	9999	8	1
61052	3	13	5	2000	9999	4	1
61052	4	10	5	2000	9999	4	1
61054	1	1	5	1985	9999	10	2
61054	2	3	39	1999	9999	9	7
61054	3	4	39	1999	9999	11	7
61056	1	1	5	2000	2005	7	1
61056	2	3	39	1997	2005	10	80
61056	3	4	39	1997	2005	10	80
61056	4	5	13	2001	2005	10	1
61056	5	12	15	2005	9999	4	0
61058	1	1	5	2000	9999	4	80
61058	2	3	39	1996	9999	5	80
