CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
11004	1	13	3	12	26	 	 	12	1	4000	 	4	 	1	12
11009	1	10	2	12	20	 	 	5	0	 	 	 	 	1	12
11011	1	10	6	6	10	 	 	8	0	 	 	 	 	0	6
11014	1	9	2	12	30	 	 	4	1	500	 	2	 	1	12
11019	1	9	2	12	10	 	 	3	0	 	 	 	 	0	12
11031	1	12	3	12	15	 	 	9	1	250	 	2	 	1	12
11032	1	10	2	12	6	 	 	2	0	 	 	 	 	1	12
11035	1	10	2	8	20	 	 	2	0	 	 	 	 	1	9
11039	1	12	3	6	20	 	 	8	1	400	 	2	 	0	3
11045	1	13	1	12	26	 	 	8	1	3500	 	4	 	1	12
11046	1	12	3	6	5	 	 	8	1	200	 	2	 	0	6
11050	1	10	2	6	5	 	 	4	0	 	 	 	 	1	4
21001	1	5	3	12	7	 	 	8	1	100	 	2	 	1	12
21002	1	5	3	10	4	 	 	8	1	100	 	2	 	1	10
21002	2	1	2	3	4	 	 	8	0	 	 	 	 	1	3
21003	1	5	3	8	20	 	 	9	1	200	 	2	 	1	8
21004	1	5	3	8	12	 	 	8	1	200	 	2	 	1	8
21004	2	1	2	4	10	 	 	8	0	 	 	 	 	1	4
21007	1	2	2	3	2	 	 	6	0	 	 	 	 	1	5
21007	2	5	3	2	4	 	 	9	1	100	 	2	 	1	4
21009	1	1	2	4	20	 	 	8	0	 	 	 	 	1	4
21009	2	5	3	4	8	 	 	8	1	100	 	2	 	1	4
21012	1	5	3	4	28	 	 	8	1	11200	 	3	 	0	4
21013	1	2	2	3	10	 	 	6	0	 	 	 	 	1	3
21014	1	5	3	5	20	 	 	9	1	250	 	2	 	1	5
21014	2	12	3	4	20	 	 	8	1	250	 	2	 	0	2
21015	1	5	3	6	24	 	 	8	1	200	 	2	 	1	8
21015	2	12	3	2	10	 	 	8	1	200	 	2	 	1	2
21016	1	6	3	12	24	 	 	8	1	6000	 	5	 	1	12
21016	2	2	2	4	4	 	 	6	0	 	 	 	 	1	4
21016	3	88	88	0	0	0	0	0	0	 	 	 	 	0	0
21017	1	1	6	8	8	 	 	8	0	 	 	 	 	1	8
21017	2	4	2	12	20	 	 	3	0	 	 	 	 	1	12
21017	3	5	3	6	15	 	 	8	1	200	 	2	 	1	6
21018	1	13	3	3	4	 	 	9	1	2400	 	4	 	0	3
21019	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	1	5	3	6	24	 	 	8	1	150	 	2	 	0	4
21021	2	12	3	2	20	 	 	8	1	200	 	2	 	0	2
21022	1	5	3	6	20	 	 	9	1	100	 	2	 	1	6
21022	2	12	5	1	25	 	 	4	1	80	 	2	 	0	2
21023	1	13	3	12	25	 	 	8	1	3500	 	4	 	1	12
21025	1	12	3	5	15	 	 	8	1	200	 	2	 	1	4
21025	2	5	3	4	6	 	 	8	1	200	 	2	 	1	4
21025	3	1	2	3	4	 	 	8	0	 	 	 	 	0	4
21026	1	2	2	6	4	 	 	10	0	 	 	 	 	1	6
21026	2	5	3	8	4	 	 	10	1	100	 	2	 	1	8
21026	3	1	3	6	3	 	 	10	0	 	 	 	 	1	6
21026	4	4	2	12	20	 	 	1	0	 	 	 	 	1	12
21029	1	1	2	1	20	 	 	6	0	 	 	 	 	0	1
21030	1	5	3	6	4	 	 	8	1	250	 	2	 	0	6
21031	1	1	6	6	20	 	 	3	0	 	 	 	 	1	6
21031	2	5	2	5	25	 	 	7	1	120	 	2	 	0	4
21032	1	6	3	12	27	 	 	12	1	60000	 	5	 	1	12
