CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	STATER4	DSSCR4	SCHNMER4
11001	10	12	1	1	5	2794
11001	11	15	3	1	5	2795
11001	12	15	3	1	5	2795
11001	13	15	3	1	14	2795
11002	10	11	3	1	5	2796
11002	11	0	 	 	 	 
11002	12	0	 	 	 	 
11002	13	0	 	 	 	 
11003	10	11	1	1	5	2797
11003	11	12	1	1	5	2797
11003	12	15	1	1	5	2798
11003	13	15	1	1	5	2798
11004	10	10	3	1	5	842
11004	11	11	3	1	5	2796
11004	12	0	 	 	 	 
11004	13	0	 	 	 	 
11005	10	12	1	1	5	2799
11005	11	15	1	1	5	2800
11005	12	15	1	1	5	2800
11005	13	15	1	1	5	2800
11006	10	0	 	 	 	 
11006	11	0	 	 	 	 
11006	12	0	 	 	 	 
11006	13	0	 	 	 	 
11007	10	10	3	1	5	848
11007	11	11	1	1	5	2801
11007	12	12	1	1	5	2801
11007	13	0	 	 	 	 
11008	10	11	1	1	5	2794
11008	11	12	1	1	5	2794
11008	12	15	1	1	5	2796
11008	13	15	1	1	5	2796
11009	10	0	 	 	 	 
11009	11	0	 	 	 	 
11009	12	0	 	 	 	 
11009	13	0	 	 	 	 
11010	10	11	1	1	5	2797
11010	11	12	1	1	5	2797
11010	12	15	1	1	5	2796
11010	13	15	1	1	5	2796
11011	10	10	1	1	5	845
11011	11	11	1	1	5	2797
11011	12	12	1	1	5	2797
11011	13	0	 	 	 	 
11012	10	12	1	1	5	2799
11012	11	15	1	1	5	2795
11012	12	15	1	1	5	2795
11012	13	15	1	1	5	2795
11013	10	9	1	1	6	2802
11013	11	10	1	1	6	2802
11013	12	11	1	1	5	2803
11013	13	12	3	1	5	2803
11014	10	0	 	 	 	 
11014	11	0	 	 	 	 
11014	12	0	 	 	 	 
11014	13	0	 	 	 	 
11015	10	10	3	1	5	2805
11015	11	11	3	1	5	2806
11015	12	0	 	 	 	 
11015	13	0	 	 	 	 
11016	10	11	1	1	5	2795
11016	11	12	1	1	5	2799
11016	12	15	1	1	5	2795
11016	13	15	1	1	5	2795
11018	10	10	8	1	5	847
11018	11	0	 	 	 	 
11018	12	0	 	 	 	 
11018	13	11	3	1	5	2807
11019	10	11	8	1	5	2808
11019	11	12	8	1	5	2808
11019	12	15	1	1	5	2809
11019	13	15	1	1	5	2809
11021	10	11	3	1	5	2806
11021	11	12	3	1	5	2806
11021	12	15	1	1	16	2810
11021	13	0	 	 	 	 
11022	10	12	1	1	6	3098
11022	11	15	1	1	5	2812
11022	12	15	1	1	5	2812
11022	13	15	1	1	5	2812
11023	10	0	 	 	 	 
11023	11	11	1	1	5	2794
11023	12	12	1	1	5	2794
11023	13	15	8	1	5	2796
11024	10	10	3	1	5	2805
11024	11	0	 	 	 	 
11024	12	0	 	 	 	 
11024	13	0	 	 	 	 
11025	10	12	1	1	5	2799
11025	11	0	 	 	 	 
11025	12	14	2	1	5	2813
11025	13	14	1	1	5	2814
11026	10	11	1	1	5	2797
11026	11	12	1	1	5	2797
11026	12	15	1	1	5	2815
11026	13	15	1	1	5	2815
11027	10	12	1	1	5	2797
11027	11	15	1	1	5	2816
11027	12	15	1	1	5	2816
11027	13	15	1	1	5	2816
11029	10	12	1	1	5	2797
11029	11	15	1	1	5	2812
11029	12	15	1	1	5	2812
11029	13	15	1	1	5	2812
11030	10	11	8	1	5	2817
11030	11	12	8	1	5	2817
11030	12	15	8	1	6	2818
11030	13	15	8	1	6	2818
11031	10	0	 	 	 	 
11031	11	0	 	 	 	 
11031	12	0	 	 	 	 
11031	13	0	 	 	 	 
11032	10	12	1	1	5	2797
11032	11	15	1	1	5	2812
11032	12	15	1	1	5	2812
11032	13	15	1	1	5	2812
11034	10	12	1	1	5	2797
11034	11	15	1	1	5	2812
11034	12	15	1	1	5	2812
11034	13	15	1	1	5	2812
11035	10	14	1	1	4	2819
11035	11	14	1	1	4	2819
11035	12	15	1	1	6	2820
11035	13	15	1	1	6	2820
11036	10	12	1	1	5	2797
11036	11	15	1	1	7	2821
11036	12	15	1	1	7	2821
11036	13	15	1	1	7	2821
11037	10	12	1	1	5	2797
11037	11	15	1	1	5	2822
11037	12	15	1	1	5	2822
11037	13	15	1	1	5	2822
11038	10	0	 	 	 	 
11038	11	0	 	 	 	 
11038	12	0	 	 	 	 
11038	13	0	 	 	 	 
11039	10	11	3	1	5	2806
11039	11	12	3	1	5	2806
11039	12	0	 	 	 	 
11039	13	14	1	1	5	2823
11040	10	11	1	1	5	2797
11040	11	12	1	1	5	2797
11040	12	15	1	1	5	2812
11040	13	15	1	1	5	2812
11041	10	11	1	1	5	2825
11041	11	12	1	1	5	2825
11041	12	15	1	1	5	2826
11041	13	15	1	1	5	2826
11042	10	10	3	1	5	855
11042	11	11	1	1	5	2827
11042	12	12	3	1	5	2828
11042	13	15	8	1	5	2826
11043	10	11	1	1	6	2829
11043	11	12	1	1	6	2829
11043	12	14	1	3	98	9999
11043	13	14	1	3	98	2830
11044	10	0	 	 	 	 
11044	11	0	 	 	 	 
11044	12	0	 	 	 	 
11044	13	0	 	 	 	 
11045	10	9	3	1	5	858
11045	11	10	3	1	5	858
11045	12	14	1	1	5	2831
11045	13	0	 	 	 	 
11046	10	11	8	1	5	2825
11046	11	12	1	1	3	2832
11046	12	14	1	1	3	2833
11046	13	14	1	1	3	2833
11047	10	11	8	1	5	2801
11047	11	12	8	1	5	2801
11047	12	15	8	1	5	2801
11047	13	15	8	1	5	2801
11048	10	11	1	1	6	2835
11048	11	12	1	1	6	2835
11048	12	15	3	1	6	2836
11048	13	0	 	 	 	 
11049	10	11	8	1	5	2801
11049	11	12	8	1	5	2801
11049	12	15	8	1	5	2801
11049	13	15	8	1	5	2801
11050	10	10	3	1	5	852
11050	11	11	1	1	5	2837
11050	12	12	1	1	5	2837
11050	13	0	 	 	 	 
21001	10	8	3	1	5	859
21001	11	9	3	1	5	859
21001	12	10	3	1	5	859
21001	13	0	 	 	 	 
21002	10	10	3	1	5	859
21002	11	0	 	 	 	 
21002	12	0	 	 	 	 
21002	13	0	 	 	 	 
21003	10	0	 	 	 	 
21003	11	0	 	 	 	 
21003	12	0	 	 	 	 
21003	13	0	 	 	 	 
21004	10	0	 	 	 	 
21004	11	0	 	 	 	 
21004	12	0	 	 	 	 
21004	13	0	 	 	 	 
21005	10	11	3	1	5	2838
21005	11	12	3	1	5	2838
21005	12	0	 	 	 	 
21005	13	15	1	1	5	2839
21006	10	9	3	1	5	877
21006	11	10	3	1	5	877
21006	12	11	3	1	5	2840
21006	13	12	3	1	5	2840
21007	10	10	3	1	5	2841
21007	11	11	3	1	5	2841
21007	12	12	3	1	5	2841
21007	13	0	 	 	 	 
21008	10	9	1	1	5	862
21008	11	10	1	1	5	856
21008	12	11	1	1	4	2842
21008	13	12	1	1	4	2842
21009	10	11	3	1	5	877
21009	11	12	3	1	5	877
21009	12	0	 	 	 	 
21009	13	0	 	 	 	 
21010	10	10	3	1	5	864
21010	11	11	1	1	5	2843
21010	12	12	1	1	5	2843
21010	13	0	 	 	 	 
21011	10	10	3	1	5	861
21011	11	11	1	1	5	2829
21011	12	12	1	1	5	2829
21011	13	14	1	1	5	2844
21012	10	0	 	 	 	 
21012	11	0	 	 	 	 
21012	12	0	 	 	 	 
21012	13	0	 	 	 	 
21013	10	12	1	1	5	2839
21013	11	0	 	 	 	 
21013	12	0	 	 	 	 
21013	13	0	 	 	 	 
21014	10	8	1	1	5	338
21014	11	9	1	1	5	338
21014	12	0	 	 	 	 
21014	13	0	 	 	 	 
21015	10	0	 	 	 	 
21015	11	0	 	 	 	 
21015	12	0	 	 	 	 
21015	13	0	 	 	 	 
21016	10	10	3	1	5	867
21016	11	0	 	 	 	 
21016	12	0	 	 	 	 
21016	13	0	 	 	 	 
21017	11	0	 	 	 	 
21017	12	0	 	 	 	 
21017	13	0	 	 	 	 
21018	10	12	8	1	5	2839
21018	11	15	8	1	5	2839
21018	12	15	8	1	5	111
21018	13	15	8	1	5	2839
21019	10	12	3	1	5	2845
21019	11	15	3	1	6	2846
21019	12	15	3	1	6	2846
21019	13	15	3	1	6	2846
21020	10	11	1	1	5	2843
21020	11	12	1	1	5	2843
21020	12	0	 	 	 	 
21020	13	0	 	 	 	 
21021	10	14	3	1	5	2848
21021	11	14	3	1	5	2848
21021	12	0	 	 	 	 
21021	13	0	 	 	 	 
21022	10	0	 	 	 	 
21022	11	0	 	 	 	 
21022	12	0	 	 	 	 
21022	13	0	 	 	 	 
21023	10	14	3	1	5	2848
21023	11	14	3	1	5	2848
21023	12	0	 	 	 	 
21023	13	0	 	 	 	 
21024	10	12	1	1	5	2851
21024	11	15	1	1	5	2852
21024	12	15	1	1	5	2852
21024	13	15	1	1	5	2852
21025	10	12	3	1	5	2853
21025	11	11	1	1	5	2854
21025	12	12	1	1	5	2854
21025	13	0	 	 	 	 
21026	10	11	3	1	5	2840
21026	11	12	3	1	5	2840
21026	12	15	1	1	5	2855
21026	13	15	1	1	5	2855
21027	10	11	1	1	5	2842
21027	11	12	1	1	5	2842
21027	12	15	1	1	5	2839
21027	13	15	1	1	5	2839
21028	10	10	3	1	5	2856
21028	11	11	1	1	5	2857
21028	12	12	1	1	5	2857
21028	13	0	 	 	 	 
21029	10	11	3	1	5	2841
21029	11	12	3	1	5	2841
21029	12	15	3	1	5	2858
21029	13	15	3	1	5	2858
21030	10	12	3	1	5	2856
21030	11	15	3	1	5	2858
21030	12	15	3	1	5	2858
21030	13	15	3	1	5	2858
21031	10	0	 	 	 	 
21031	11	0	 	 	 	 
21031	12	0	 	 	 	 
21031	13	0	 	 	 	 
21032	10	0	 	 	 	 
21032	11	0	 	 	 	 
21032	12	0	 	 	 	 
21032	13	0	 	 	 	 
21033	10	0	 	 	 	 
21033	11	0	 	 	 	 
21033	12	0	 	 	 	 
21033	13	0	 	 	 	 
21034	10	0	 	 	 	 
21034	11	0	 	 	 	 
21034	12	0	 	 	 	 
21034	13	0	 	 	 	 
21035	10	0	 	 	 	 
21035	11	0	 	 	 	 
21035	12	0	 	 	 	 
21035	13	0	 	 	 	 
21036	10	11	3	1	5	2856
21036	11	12	3	1	5	2856
21036	12	0	 	 	 	 
21036	13	0	 	 	 	 
21037	10	0	 	 	 	 
21037	11	0	 	 	 	 
21037	12	0	 	 	 	 
21037	13	0	 	 	 	 
21038	10	0	 	 	 	 
