CHILDCODE	IMINIDR4	RECINCR4
11001	1	0
11001	2	0
11001	3	0
11001	4	0
11001	5	0
11001	6	0
11001	7	0
11001	8	0
11001	9	0
11001	10	1
11001	11	1
11002	1	0
11002	2	0
11002	3	0
11002	4	0
11002	5	0
11002	6	1
11002	7	0
11002	8	0
11002	9	0
11002	10	0
11002	11	0
11003	1	0
11003	2	0
11003	3	0
11003	4	0
11003	5	0
11003	6	0
11003	7	0
11003	8	0
11003	9	0
11003	10	1
11003	11	0
11004	1	0
11004	2	0
11004	3	0
11004	4	0
11004	5	0
11004	6	0
11004	7	0
11004	8	0
11004	9	0
11004	10	1
11004	11	0
11005	1	0
11005	2	0
11005	3	0
11005	4	0
11005	5	0
11005	6	0
11005	7	0
11005	8	0
11005	9	0
11005	10	1
11005	11	0
11006	1	0
11006	2	0
11006	3	0
11006	4	0
11006	5	1
11006	6	0
11006	7	0
11006	8	0
11006	9	0
11006	10	0
11006	11	0
11007	1	0
11007	2	0
11007	3	0
11007	4	0
11007	5	0
11007	6	0
11007	7	0
11007	8	1
11007	9	0
11007	10	1
11007	11	0
11008	1	0
11008	2	0
11008	3	0
11008	4	0
11008	5	0
11008	6	0
11008	7	0
11008	8	0
11008	9	1
11008	10	1
11008	11	0
11009	1	0
11009	2	0
11009	3	0
11009	4	0
11009	5	0
11009	6	0
11009	7	0
11009	8	0
11009	9	1
11009	10	1
11009	11	0
11010	1	1
11010	2	0
11010	3	0
11010	4	0
11010	5	0
11010	6	0
11010	7	0
11010	8	1
11010	9	0
11010	10	1
11010	11	0
11011	1	0
11011	2	0
11011	3	0
11011	4	0
11011	5	0
11011	6	1
11011	7	0
11011	8	0
11011	9	0
11011	10	0
11011	11	1
11012	1	0
11012	2	0
11012	3	0
11012	4	0
11012	5	0
11012	6	0
11012	7	0
11012	8	1
11012	9	0
11012	10	0
11012	11	0
11013	1	0
11013	2	0
11013	3	0
11013	4	0
11013	5	0
11013	6	0
11013	7	0
11013	8	0
11013	9	0
11013	10	1
11013	11	0
11014	1	0
11014	2	0
11014	3	0
11014	4	0
11014	5	0
11014	6	0
11014	7	0
11014	8	1
11014	9	0
11014	10	0
11014	11	1
11015	1	0
11015	2	0
11015	3	0
11015	4	0
11015	5	1
11015	6	0
11015	7	0
11015	8	1
11015	9	0
11015	10	0
11015	11	0
11016	1	0
11016	2	0
11016	3	0
11016	4	0
11016	5	0
11016	6	1
11016	7	0
11016	8	0
11016	9	0
11016	10	0
11016	11	0
11018	1	0
11018	2	1
11018	3	0
11018	4	0
11018	5	0
11018	6	0
11018	7	0
11018	8	0
11018	9	1
11018	10	0
11018	11	1
11019	1	0
11019	2	0
11019	3	0
11019	4	0
11019	5	0
11019	6	0
11019	7	0
11019	8	1
11019	9	0
11019	10	0
11019	11	0
11021	1	0
11021	2	0
11021	3	0
11021	4	0
11021	5	0
11021	6	0
11021	7	0
11021	8	0
11021	9	0
11021	10	1
11021	11	0
11022	1	0
11022	2	0
11022	3	0
11022	4	0
11022	5	0
11022	6	1
11022	7	1
11022	8	0
11022	9	0
11022	10	0
11022	11	0
11023	1	0
11023	2	0
11023	3	0
11023	4	0
11023	5	0
11023	6	0
11023	7	0
11023	8	1
11023	9	1
11023	10	1
11023	11	0
11024	1	0
11024	2	0
11024	3	0
11024	4	0
11024	5	0
11024	6	1
11024	7	0
11024	8	0
11024	9	1
11024	10	0
11024	11	0
11025	1	0
11025	2	0
11025	3	0
11025	4	0
11025	5	0
11025	6	0
11025	7	0
11025	8	0
11025	9	0
11025	10	1
11025	11	0
11026	1	0
11026	2	0
11026	3	0
11026	4	0
11026	5	0
11026	6	1
11026	7	0
11026	8	0
11026	9	0
11026	10	0
11026	11	0
11027	1	0
11027	2	0
11027	3	0
11027	4	0
11027	5	0
11027	6	0
11027	7	0
11027	8	1
11027	9	0
11027	10	1
11027	11	1
11029	1	0
11029	2	0
