CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
11001	1	47	 	 	 	2	2	17	88
11001	2	88	 	 	 	 	 	 	 
11001	3	88	 	 	 	 	 	 	 
11002	1	47	 	 	 	2	2	17	16
11002	2	88	 	 	 	 	 	 	 
11002	3	88	 	 	 	 	 	 	 
11003	1	47	 	 	 	2	2	17	9
11003	2	88	 	 	 	 	 	 	 
11003	3	88	 	 	 	 	 	 	 
11004	1	88	 	 	 	 	 	 	 
11004	2	88	 	 	 	 	 	 	 
11004	3	88	 	 	 	 	 	 	 
11005	1	47	 	 	 	2	2	17	88
11005	2	42	 	 	2	 	9	17	88
11005	3	88	 	 	 	 	 	 	 
11006	1	47	 	 	 	2	2	17	88
11006	2	88	 	 	 	 	 	 	 
11006	3	88	 	 	 	 	 	 	 
11007	1	47	 	 	 	3	2	9	16
11007	2	88	 	 	 	 	 	 	 
11007	3	88	 	 	 	 	 	 	 
11008	1	16	 	 	4	 	17	2	88
11008	2	42	 	 	2	 	2	88	 
11008	3	47	 	 	 	2	2	88	 
11009	1	47	 	 	 	2	2	88	 
11009	2	88	 	 	 	 	 	 	 
11009	3	88	 	 	 	 	 	 	 
11010	1	47	 	 	 	3	9	10	17
11010	2	88	 	 	 	 	 	 	 
11010	3	88	 	 	 	 	 	 	 
11011	1	47	 	 	 	2	17	16	7
11011	2	88	 	 	 	 	 	 	 
11011	3	88	 	 	 	 	 	 	 
11012	1	39	 	 	 	2	17	88	 
11012	2	88	 	 	 	 	 	 	 
11012	3	88	 	 	 	 	 	 	 
11013	1	38	 	 	 	2	17	16	88
11013	2	88	 	 	 	 	 	 	 
11013	3	88	 	 	 	 	 	 	 
11014	1	47	 	 	 	2	2	17	88
11014	2	88	 	 	 	 	 	 	 
11014	3	88	 	 	 	 	 	 	 
11015	1	47	 	 	 	2	17	2	88
11015	2	88	 	 	 	 	 	 	 
11015	3	88	 	 	 	 	 	 	 
11016	1	36	 	 	1	 	7	88	 
11016	2	47	 	 	 	2	2	17	88
11016	3	88	 	 	 	 	 	 	 
11018	1	47	 	 	2	 	2	17	20
11018	2	88	 	 	 	 	 	 	 
11018	3	88	 	 	 	 	 	 	 
11019	1	88	 	 	 	 	 	 	 
11019	2	88	 	 	 	 	 	 	 
11019	3	88	 	 	 	 	 	 	 
11021	1	36	 	 	2	 	2	1	88
11021	2	47	 	 	 	2	1	2	88
11021	3	88	 	 	 	 	 	 	 
11022	1	36	1	 	 	 	7	88	 
11022	2	88	 	 	 	 	 	 	 
11022	3	88	 	 	 	 	 	 	 
11023	1	47	 	 	 	2	2	9	18
11023	2	88	 	 	 	 	 	 	 
11023	3	88	 	 	 	 	 	 	 
11024	1	47	 	 	 	2	2	88	 
11024	2	88	 	 	 	 	 	 	 
11024	3	88	 	 	 	 	 	 	 
11025	1	42	 	 	 	2	17	16	88
11025	2	47	 	 	 	2	2	17	16
11025	3	88	 	 	 	 	 	 	 
11026	1	47	 	 	 	2	17	2	88
11026	2	88	 	 	 	 	 	 	 
11026	3	88	 	 	 	 	 	 	 
11027	1	88	 	 	 	 	 	 	 
11027	2	88	 	 	 	 	 	 	 
11027	3	88	 	 	 	 	 	 	 
11029	1	88	 	 	 	 	 	 	 
11029	2	88	 	 	 	 	 	 	 
11029	3	88	 	 	 	 	 	 	 
11030	1	36	2	 	 	 	17	9	88
11030	2	47	 	 	 	2	2	17	88
11030	3	88	 	 	 	 	 	 	 
11031	1	47	 	 	 	2	2	17	88
11031	2	88	 	 	 	 	 	 	 
11031	3	88	 	 	 	 	 	 	 
11032	1	47	 	 	 	3	2	88	 
11032	2	88	 	 	 	 	 	 	 
11032	3	88	 	 	 	 	 	 	 
11034	1	38	 	 	 	3	17	88	 
11034	2	88	 	 	 	 	 	 	 
11034	3	88	 	 	 	 	 	 	 
11035	1	47	 	 	 	2	17	2	88
11035	2	88	 	 	 	 	 	 	 
11035	3	88	 	 	 	 	 	 	 
11036	1	47	 	 	 	3	2	88	 
11036	2	88	 	 	 	 	 	 	 
11036	3	88	 	 	 	 	 	 	 
11037	1	47	 	 	 	2	2	17	9
11037	2	88	 	 	 	 	 	 	 
11037	3	88	 	 	 	 	 	 	 
11038	1	16	 	 	 	2	2	16	88
11038	2	47	 	 	 	2	2	16	88
