CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4
11010	1	53	100
11048	1	53	34
11048	2	44	45
21002	1	45	20
21003	1	 	 
21004	1	45	0
21005	1	18	7
21005	2	45	.100000001490116
21006	1	45	20
21007	1	18	15
21009	1	18	24
21009	2	30	4
21012	1	 	 
21013	1	53	6
21013	2	71	12
21016	1	18	10
21017	1	53	33.75
21017	2	18	7.5
21017	3	44	60
21018	1	53	10
21018	2	71	6
21020	1	71	15
21025	1	53	45
21025	2	44	50
21026	1	18	6
21026	2	53	12
21027	1	53	22
21027	2	18	5
21027	3	44	5
21029	1	53	12
21031	1	71	30
21031	2	37	20
21031	3	53	40
21032	1	18	6
21032	2	53	15
21032	3	44	27
21035	1	44	80
21036	1	53	15
21038	1	18	4
21040	1	21	400
31043	1	53	40
41001	1	45	2
41001	2	73	1
41001	3	53	5
41002	1	53	5
41002	2	45	1
41002	3	30	1
41003	1	53	7.5
41003	2	45	5
41004	1	45	4
41005	1	45	7
41005	2	53	10
41005	3	30	1
41005	4	16	.5
41006	1	45	5
41006	2	53	10
41006	3	30	.349999994039536
41007	1	45	2
41009	1	45	1.5
41009	2	53	10
41010	1	53	10
41010	2	45	2
41011	1	45	1
41011	2	53	2
41012	1	53	50
41012	2	45	3
41013	1	53	12
41013	2	45	5
41014	1	53	7
41014	2	45	3
41015	1	45	1
41015	2	73	1
41016	1	53	20
41017	1	53	30
41017	2	45	3
41018	1	45	2
41020	1	53	40
41022	1	45	6
41022	2	30	1
41023	1	45	4
41023	2	30	2
41024	1	73	2
41024	2	54	800
41024	3	45	1
41025	1	45	2
41025	2	73	1
41025	3	54	.5
41026	1	45	1.60000002384186
41029	1	 	 
41044	1	53	50
41046	1	53	3
41047	1	45	2
41047	2	30	2
41047	3	53	35
41048	1	53	8
51001	1	53	38
51001	2	30	.5
51002	1	53	16
51003	1	53	9
51004	1	53	41
51004	2	30	1.20000004768372
51005	1	53	31
51005	2	30	.25
51007	1	53	12
51008	1	53	16
51008	2	67	160
51009	1	53	52.7999992370605
51009	2	30	1
51009	3	30	1
51010	1	53	8
51010	2	30	20
51012	1	53	12
51012	2	74	8
