CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
11001	1	10	18
11001	2	11	2
11002	1	6	20
11003	1	10	20
11004	1	10	20
11005	1	10	20
11006	1	5	20
11007	1	10	12
11007	2	8	8
11008	1	9	15
11008	2	10	5
11009	1	10	15
11009	2	9	5
11010	1	10	10
11010	2	1	7
11010	3	8	3
11011	1	6	19
11011	2	11	1
11012	1	8	20
11013	1	10	20
11014	1	8	10
11014	2	11	10
11015	1	5	15
11015	2	8	5
11016	1	6	20
11018	1	2	12
11018	2	9	7
11018	3	11	1
11019	1	8	20
11021	1	10	20
11022	1	6	17
11022	2	7	3
11023	1	9	10
11023	2	8	5
11023	3	10	5
11024	1	6	18
11024	2	9	2
11025	1	10	20
11026	1	6	20
11027	1	8	9
11027	2	10	7
11027	3	11	4
11029	1	8	20
11030	1	7	20
11031	1	6	20
11032	1	6	20
11034	1	8	20
11035	1	6	15
11035	2	8	5
11036	1	6	15
11036	2	7	5
11037	1	8	20
11038	1	10	18
11038	2	8	2
11039	1	8	19
11039	2	11	1
11040	1	8	20
11041	1	8	20
11042	1	10	20
11043	1	6	14
11043	2	1	6
11044	1	10	12
11044	2	5	8
11045	1	11	16
11045	2	8	4
11046	1	8	12
11046	2	10	5
11046	3	9	3
11047	1	8	13
11047	2	11	7
11048	1	1	12
11048	2	5	8
11049	1	11	11
11049	2	8	9
11050	1	6	12
11050	2	10	7
11050	3	11	1
21001	1	2	2
21001	2	4	10
21001	3	9	8
21002	1	1	9
21002	2	9	6
21002	3	11	2
21002	4	2	3
21003	1	9	12
21003	2	1	4
21003	3	10	2
21003	4	11	2
21004	1	9	11
21004	2	4	6
21004	3	10	3
21005	1	1	11
21005	2	4	2
21005	3	9	3
21005	4	10	2
21005	5	2	2
21006	1	9	9
21006	2	1	9
21006	3	2	2
21007	1	1	16
21007	2	9	3
21007	3	11	1
21008	1	8	17
21008	2	9	2
21008	3	10	1
21009	1	1	9
21009	2	4	5
21009	3	9	3
21009	4	2	2
21009	5	11	1
21010	1	9	15
21010	2	11	5
21011	1	8	15
21011	2	10	5
21012	1	9	12
21012	2	10	7
21012	3	2	1
21013	1	1	12
21013	2	2	8
21014	1	9	12
21014	2	10	7
21014	3	11	1
21015	1	9	17
21015	2	10	3
21016	1	9	10
21016	2	1	7
21016	3	10	2
21016	4	2	1
21017	1	1	8
21017	2	9	6
21017	3	10	3
21017	4	2	3
21018	1	1	10
21018	2	2	5
21018	3	9	3
21018	4	11	2
21019	1	9	20
21020	1	1	10
21020	2	9	5
21020	3	10	5
21021	1	9	14
21021	2	10	6
21022	1	9	12
21022	2	10	8
21023	1	9	12
21023	2	10	8
21024	1	8	20
21025	1	9	12
21025	2	10	6
21025	3	1	2
21026	1	1	10
21026	2	9	7
21026	3	10	3
21027	1	8	15
21027	2	1	5
21028	1	5	5
21028	2	6	3
21028	3	11	2
21028	4	8	10
21029	1	1	7
21029	2	9	5
21029	3	10	3
21029	4	8	5
21030	1	9	17
21030	2	10	3
21031	1	1	10
21031	2	2	5
21031	3	5	2
21031	4	4	1
21031	5	10	2
21032	1	1	8
21032	2	9	8
21032	3	8	4
21033	1	9	20
21034	1	9	8
21034	2	10	8
21034	3	4	4
21035	1	1	13
21035	2	2	3
21035	3	9	2
21035	4	10	2
21036	1	9	15
