CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
18001	1	5	4
18001	2	6	9
18001	3	6	7
18001	4	8	8
18001	5	4	9
18001	6	2	4
18001	7	2	6
18001	8	4	4
18002	1	4	4
18002	2	4	3
18002	3	5	8
18002	4	7	5
18002	5	6	4
18002	6	5	6
18002	7	5	5
18002	8	3	3
18003	1	7	5
18003	2	9	9
18003	3	9	8
18003	4	9	6
18003	5	7	7
18003	6	7	8
18003	7	8	8
18003	8	4	4
18004	1	4	5
18004	2	5	4
18004	3	4	4
18004	4	3	5
18004	5	5	4
18004	6	4	5
18004	7	2	5
18004	8	2	4
18005	1	5	6
18005	2	4	6
18005	3	6	8
18005	4	6	5
18005	5	8	5
18005	6	4	4
18005	7	6	7
18005	8	8	6
18006	1	5	4
18006	2	5	5
18006	3	3	3
18006	4	5	3
18006	5	6	4
18006	6	3	4
18006	7	5	4
18006	8	4	4
18007	1	3	4
18007	2	2	6
18007	3	5	4
18007	4	8	7
18007	5	9	7
18007	6	4	6
18007	7	9	8
18007	8	8	8
18008	1	7	7
18008	2	6	5
18008	3	7	4
18008	4	6	6
18008	5	9	6
18008	6	4	8
18008	7	9	6
18008	8	9	4
18009	1	4	7
18009	2	3	4
18009	3	4	5
18009	4	2	5
18009	5	5	4
18009	6	2	3
18009	7	2	2
18009	8	2	4
18010	1	9	5
18010	2	4	4
18010	3	3	2
18010	4	6	7
18010	5	1	7
18010	6	8	8
18010	7	9	9
18010	8	8	8
18011	1	7	2
18011	2	9	3
18011	3	9	2
18011	4	8	2
18011	5	9	4
18011	6	8	2
18011	7	9	3
18011	8	8	2
18012	1	6	4
18012	2	4	2
18012	3	6	4
18012	4	7	5
18012	5	9	6
18012	6	8	6
18012	7	9	9
18012	8	5	3
18013	1	6	4
18013	2	7	4
18013	3	7	5
18013	4	6	4
18013	5	8	4
18013	6	7	6
18013	7	5	4
18013	8	6	5
18015	1	6	5
18015	2	1	4
18015	3	2	5
18015	4	7	5
18015	5	7	4
18015	6	6	2
18015	7	2	2
18015	8	2	3
18016	1	6	5
18016	2	5	4
18016	3	7	8
18016	4	5	5
18016	5	4	5
18016	6	4	4
18016	7	6	6
18016	8	4	4
18017	1	6	3
18017	2	5	8
18017	3	9	2
18017	4	7	4
18017	5	5	9
18017	6	8	4
18017	7	5	8
18017	8	3	7
18018	1	5	4
18018	2	3	5
18018	3	4	7
18018	4	8	8
18018	5	6	3
18018	6	4	8
18018	7	4	4
18018	8	4	4
18019	1	4	7
18019	2	7	3
18019	3	8	8
18019	4	8	6
18019	5	8	6
18019	6	8	5
18019	7	8	8
18019	8	8	5
18020	1	4	6
18020	2	4	4
18020	3	4	3
18020	4	3	3
18020	5	5	2
18020	6	9	5
18020	7	5	6
18020	8	1	1
18021	1	8	6
18021	2	4	4
18021	3	6	8
18021	4	4	4
18021	5	7	4
18021	6	5	4
18021	7	7	7
18021	8	2	5
18022	1	7	7
18022	2	5	6
18022	3	8	6
18022	4	8	5
18022	5	7	4
18022	6	5	4
18022	7	5	5
18022	8	1	1
18023	1	8	9
18023	2	9	6
18023	3	5	2
18023	4	9	3
18023	5	9	9
18023	6	1	2
18023	7	3	6
18023	8	1	1
18024	1	7	5
18024	2	7	4
18024	3	8	6
18024	4	5	8
18024	5	5	4
18024	6	4	5
18024	7	2	2
18024	8	2	2
18025	1	6	4
18025	2	7	4
18025	3	3	5
18025	4	4	5
18025	5	7	4
18025	6	3	5
18025	7	5	4
18025	8	6	4
18026	1	7	5
18026	2	7	4
18026	3	6	9
18026	4	7	7
18026	5	6	4
18026	6	9	6
18026	7	6	8
18026	8	6	5
