CHILDCODE	HHITMIDR4	OWNITMR4	NUMOWNR4
18001	3	0	 
18001	4	1	1
18001	5	0	 
18001	6	0	 
18001	7	0	 
18001	8	0	 
18001	9	1	1
18001	10	1	2
18001	11	1	1
18001	12	1	1
18001	15	0	 
18001	20	0	 
18001	21	1	1
18001	22	1	1
18001	23	1	1
18001	24	1	1
18001	25	1	1
18001	26	0	 
18001	27	0	 
18001	28	0	 
18001	29	0	 
18001	30	0	 
18001	31	0	 
18002	3	0	 
18002	4	1	2
18002	5	1	1
18002	6	0	 
18002	7	1	1
18002	8	1	1
18002	9	0	 
18002	10	1	2
18002	11	1	1
18002	12	1	1
18002	15	1	1
18002	20	0	 
18002	21	1	1
18002	22	1	1
18002	23	1	1
18002	24	1	1
18002	25	1	1
18002	26	0	 
18002	27	0	 
18002	28	0	 
18002	29	0	 
18002	30	0	 
18002	31	0	 
18003	3	0	 
18003	4	1	1
18003	5	0	 
18003	6	0	 
18003	7	0	 
18003	8	0	 
18003	9	0	 
18003	10	1	2
18003	11	1	1
18003	12	1	1
18003	15	0	 
18003	20	0	 
18003	21	0	 
18003	22	1	1
18003	23	0	 
18003	24	1	1
18003	25	0	 
18003	26	0	 
18003	27	0	 
18003	28	0	 
18003	29	0	 
18003	30	0	 
18003	31	0	 
18004	3	0	 
18004	4	1	1
18004	5	0	 
18004	6	0	 
18004	7	1	1
18004	8	0	 
18004	9	0	 
18004	10	1	2
18004	11	1	1
18004	12	1	1
18004	15	0	 
18004	20	0	 
18004	21	0	 
18004	22	0	 
18004	23	1	1
18004	24	0	 
18004	25	1	1
18004	26	0	 
18004	27	0	 
18004	28	0	 
18004	29	0	 
18004	30	0	 
18004	31	0	 
18005	3	0	 
18005	4	1	1
18005	5	0	 
18005	6	0	 
18005	7	1	1
18005	8	0	 
18005	9	0	 
18005	10	1	1
18005	11	0	 
18005	12	1	1
18005	15	0	 
18005	20	0	 
18005	21	0	 
18005	22	1	1
18005	23	0	 
18005	24	1	1
18005	25	1	1
18005	26	0	 
18005	27	0	 
18005	28	0	 
18005	29	0	 
18005	30	0	 
18005	31	0	 
18006	3	0	 
18006	4	1	1
18006	5	0	 
18006	6	0	 
18006	7	0	 
18006	8	0	 
18006	9	0	 
18006	10	1	3
18006	11	1	1
18006	12	1	1
18006	15	0	 
18006	20	0	 
18006	21	1	1
18006	22	1	1
18006	23	1	1
18006	24	0	 
18006	25	1	1
18006	26	0	 
18006	27	0	 
18006	28	0	 
18006	29	0	 
18006	30	0	 
18006	31	0	 
18007	3	0	 
18007	4	1	1
18007	5	0	 
18007	6	0	 
18007	7	0	 
18007	8	0	 
18007	9	0	 
18007	10	1	2
18007	11	0	 
18007	12	1	1
18007	15	0	 
18007	20	0	 
18007	21	0	 
18007	22	0	 
18007	23	0	 
18007	24	1	1
18007	25	0	 
18007	26	0	 
18007	27	0	 
18007	28	0	 
18007	29	0	 
18007	30	0	 
18007	31	0	 
18008	3	0	 
18008	4	1	2
18008	5	1	1
18008	6	0	 
18008	7	0	 
18008	8	1	2
18008	9	1	1
18008	10	1	6
18008	11	1	1
18008	12	1	1
18008	15	1	1
18008	20	0	 
18008	21	1	2
18008	22	1	1
18008	23	1	1
18008	24	1	1
18008	25	1	1
18008	26	0	 
18008	27	0	 
18008	28	1	1
18008	29	0	 
18008	30	0	 
18008	31	0	 
18009	3	0	 
18009	4	1	1
18009	5	0	 
18009	6	0	 
18009	7	0	 
18009	8	0	 
18009	9	0	 
18009	10	1	1
18009	11	1	1
18009	12	1	1
18009	15	0	 
18009	20	0	 
18009	21	0	 
18009	22	0	 
18009	23	0	 
18009	24	1	1
18009	25	0	 
18009	26	0	 
18009	27	0	 
18009	28	0	 
18009	29	0	 
18009	30	0	 
18009	31	0	 
18010	3	0	 
18010	4	1	2
18010	5	1	1
18010	6	0	 
18010	7	0	 
