CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
18001	1	 	 	 	 
18001	2	 	 	 	 
18001	6	 	 	 	 
18001	9	 	 	 	 
18001	13	 	 	 	 
18001	14	 	 	 	 
18001	15	 	 	 	 
18001	16	 	 	 	 
18001	17	 	 	 	 
18001	51	 	 	 	 
18001	52	 	 	 	 
18001	53	 	 	 	 
18001	54	 	 	 	 
18001	55	 	 	 	 
18001	56	 	 	 	 
18001	57	 	 	 	 
18001	58	 	 	 	 
18002	1	 	 	 	 
18002	2	 	 	 	 
18002	6	 	 	 	 
18002	9	 	 	 	 
18002	13	 	 	 	 
18002	14	 	 	 	 
18002	15	 	 	 	 
18002	16	 	 	 	 
18002	17	 	 	 	 
18002	51	 	 	 	 
18002	52	 	 	 	 
18002	53	 	 	 	 
18002	54	 	 	 	 
18002	55	 	 	 	 
18002	56	 	 	 	 
18002	57	 	 	 	 
18002	58	 	 	 	 
18003	1	 	 	 	 
18003	2	 	 	 	 
18003	6	 	 	 	 
18003	9	 	 	 	 
18003	13	 	 	 	 
18003	14	 	 	 	 
18003	15	 	 	 	 
18003	16	 	 	 	 
18003	17	 	 	 	 
18003	51	 	 	 	 
18003	52	 	 	 	 
18003	53	 	 	 	 
18003	54	 	 	 	 
18003	55	 	 	 	 
18003	56	 	 	 	 
18003	57	 	 	 	 
18003	58	 	 	 	 
18004	1	 	 	 	 
18004	2	 	 	 	 
18004	6	 	 	 	 
18004	9	 	 	 	 
18004	13	 	 	 	 
18004	14	 	 	 	 
18004	15	 	 	 	 
18004	16	 	 	 	 
18004	17	 	 	 	 
18004	51	 	 	 	 
18004	52	 	 	 	 
18004	53	 	 	 	 
18004	54	 	 	 	 
18004	55	 	 	 	 
18004	56	 	 	 	 
18004	57	 	 	 	 
18004	58	 	 	 	 
18005	1	 	 	 	 
18005	2	 	 	 	 
18005	6	 	 	 	 
18005	9	 	 	 	 
18005	13	 	 	 	 
18005	14	 	 	 	 
18005	15	 	 	 	 
18005	16	 	 	 	 
18005	17	 	 	 	 
18005	51	 	 	 	 
18005	52	 	 	 	 
18005	53	 	 	 	 
18005	54	 	 	 	 
18005	55	 	 	 	 
18005	56	 	 	 	 
18005	57	 	 	 	 
18005	58	 	 	 	 
18006	1	 	 	 	 
18006	2	 	 	 	 
18006	6	 	 	 	 
18006	9	 	 	 	 
18006	13	 	 	 	 
18006	14	 	 	 	 
18006	15	 	 	 	 
18006	16	 	 	 	 
18006	17	 	 	 	 
18006	51	 	 	 	 
18006	52	 	 	 	 
18006	53	 	 	 	 
18006	54	 	 	 	 
18006	55	 	 	 	 
18006	56	 	 	 	 
18006	57	 	 	 	 
18006	58	 	 	 	 
18007	1	0	 	 	 
18007	2	0	 	 	 
18007	6	0	 	 	 
18007	9	0	 	 	 
18007	13	0	 	 	 
18007	14	0	 	 	 
18007	15	0	 	 	 
18007	16	1	2	40	1
18007	17	0	 	 	 
18007	51	0	 	 	 
18007	52	0	 	 	 
18007	53	0	 	 	 
18007	54	0	 	 	 
18007	55	0	 	 	 
18007	56	0	 	 	 
18007	57	0	 	 	 
18007	58	0	 	 	 
18008	1	 	 	 	 
18008	2	 	 	 	 
18008	6	 	 	 	 
18008	9	 	 	 	 
18008	13	 	 	 	 
18008	14	 	 	 	 
18008	15	 	 	 	 
18008	16	 	 	 	 
18008	17	 	 	 	 
18008	51	 	 	 	 
18008	52	 	 	 	 
18008	53	 	 	 	 
18008	54	 	 	 	 
18008	55	 	 	 	 
18008	56	 	 	 	 
18008	57	 	 	 	 
18008	58	 	 	 	 
18009	1	 	 	 	 
18009	2	 	 	 	 
18009	6	 	 	 	 
18009	9	 	 	 	 
18009	13	 	 	 	 
18009	14	 	 	 	 
18009	15	 	 	 	 
18009	16	 	 	 	 
18009	17	 	 	 	 
18009	51	 	 	 	 
18009	52	 	 	 	 
18009	53	 	 	 	 
18009	54	 	 	 	 
18009	55	 	 	 	 
18009	56	 	 	 	 
18009	57	 	 	 	 
18009	58	 	 	 	 
18010	1	0	 	 	 
18010	2	0	 	 	 
18010	6	0	 	 	 
18010	9	0	 	 	 
18010	13	0	 	 	 
18010	14	0	 	 	 
18010	15	0	 	 	 
18010	16	1	10	300	0
18010	17	0	 	 	 
18010	51	0	 	 	 
18010	52	0	 	 	 
18010	53	0	 	 	 
18010	54	0	 	 	 
18010	55	0	 	 	 
18010	56	0	 	 	 
18010	57	0	 	 	 
18010	58	0	 	 	 
18011	1	0	 	 	 
18011	2	0	 	 	 
18011	6	0	 	 	 
18011	9	0	 	 	 
18011	13	0	 	 	 
18011	14	0	 	 	 
18011	15	0	 	 	 
18011	16	1	5	48	1
18011	17	0	 	 	 
18011	51	0	 	 	 
18011	52	0	 	 	 
18011	53	0	 	 	 
18011	54	0	 	 	 
18011	55	0	 	 	 
18011	56	0	 	 	 
18011	57	0	 	 	 
18011	58	0	 	 	 
18012	1	0	 	 	 
18012	2	0	 	 	 
18012	6	0	 	 	 
18012	9	0	 	 	 
18012	13	0	 	 	 
18012	14	0	 	 	 
18012	15	0	 	 	 
18012	16	1	11	110	1
18012	17	0	 	 	 
18012	51	0	 	 	 
18012	52	0	 	 	 
18012	53	0	 	 	 
18012	54	0	 	 	 
18012	55	0	 	 	 
18012	56	0	 	 	 
18012	57	0	 	 	 
18012	58	0	 	 	 
18013	1	 	 	 	 
18013	2	 	 	 	 
