CHILDID	ADDSAME	CLUSTID	YLCOMM	PLACEID	NRSTCOMM	PLACENR	ALRDMINI	PEMINIID	TYPESITE	REGION
PE018001	1	1	1	0101	0	8888	0	8888	1	31
PE018002	1	1	1	0101	0	8888	0	8888	1	31
PE018003	1	1	1	0101	0	8888	0	8888	1	31
PE018004	0	1	1	0101	0	8888	0	8888	1	31
PE018005	0	1	1	0101	0	8888	0	8888	1	31
PE018006	0	1	1	0101	0	8888	0	8888	1	31
PE018007	1	1	1	0101	0	8888	0	8888	1	31
PE018008	1	1	1	0101	0	8888	0	8888	1	31
PE018009	1	1	1	0101	0	8888	0	8888	1	31
PE018010	1	1	1	0101	0	8888	0	8888	1	31
PE018011	0	1	1	0101	0	8888	0	8888	1	31
PE018012	1	1	1	0101	0	8888	0	8888	1	31
PE018013	1	1	1	0101	0	8888	0	8888	1	31
PE018015	1	1	1	0101	0	8888	0	8888	1	31
PE018016	1	1	1	0101	0	8888	0	8888	1	31
PE018017	1	1	1	0101	0	8888	0	8888	1	31
PE018018	1	1	1	0101	0	8888	0	8888	1	31
PE018019	1	1	1	0101	0	8888	0	8888	1	31
PE018020	1	1	1	0101	0	8888	0	8888	1	31
PE018021	1	1	1	0101	0	8888	0	8888	1	31
PE018022	0	1	1	0102	0	8888	0	8888	1	31
PE018023	0	1	0	8888	0	8888	1	8004	1	33
PE018024	1	1	1	0101	0	8888	0	8888	1	31
PE018025	1	1	1	0101	0	8888	0	8888	1	31
PE018026	1	1	1	0101	0	8888	0	8888	1	31
PE018027	0	1	0	8888	0	8888	0	8888	1	31
PE018028	1	1	1	0101	0	8888	0	8888	1	31
PE018029	1	1	1	0101	0	8888	0	8888	1	31
PE018030	1	1	1	0101	0	8888	0	8888	1	31
PE018031	1	1	1	0101	0	8888	0	8888	1	31
PE018032	1	1	1	0101	0	8888	0	8888	1	31
PE018034	1	1	1	0101	0	8888	0	8888	1	31
PE018035	1	1	1	0101	0	8888	0	8888	1	31
PE018036	0	1	1	0101	0	8888	0	8888	1	31
PE018037	1	1	1	0101	0	8888	0	8888	1	31
PE018038	1	1	0	8888	0	8888	1	9999	1	31
PE018039	1	1	1	0101	0	8888	0	8888	1	31
PE018040	0	1	1	0101	0	8888	0	8888	1	31
PE018041	1	1	1	0101	0	8888	0	8888	1	31
PE018042	1	1	1	0101	0	8888	0	8888	1	31
PE018043	1	1	1	0101	0	8888	0	8888	1	31
PE018044	1	1	1	0101	0	8888	0	8888	1	31
PE018045	1	1	0	8888	0	8888	1	8448	1	31
PE018046	1	1	1	0101	0	8888	0	8888	1	31
PE018047	0	1	1	0101	0	8888	0	8888	1	31
PE018048	1	1	1	0101	0	8888	0	8888	1	31
PE018049	1	1	1	0101	0	8888	0	8888	1	31
PE018050	1	1	1	0101	0	8888	0	8888	1	31
PE028001	1	2	1	0201	0	8888	0	8888	2	31
PE028002	1	2	1	0201	0	8888	0	8888	2	31
PE028003	1	2	1	0201	0	8888	0	8888	2	31
PE028004	1	2	1	0201	0	8888	0	8888	2	31
PE028006	1	2	1	0202	0	8888	0	8888	2	31
PE028007	1	2	1	0202	0	8888	0	8888	1	31
PE028008	1	2	1	0202	0	8888	0	8888	1	31
PE028009	1	2	1	0202	0	8888	0	8888	2	31
PE028011	1	2	1	0202	0	8888	0	8888	1	31
PE028012	1	2	1	0202	0	8888	0	8888	1	31
PE028013	1	2	1	0202	0	8888	0	8888	1	31
PE028014	0	2	1	0202	0	8888	0	8888	1	31
PE028015	1	2	1	0202	0	8888	0	8888	1	31
PE028016	0	2	0	8888	0	8888	1	8145	1	31
PE028017	1	2	1	0202	0	8888	0	8888	1	31
PE028018	1	2	1	0202	0	8888	0	8888	1	31
PE028020	1	2	1	0203	0	8888	0	8888	1	31
