CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
18001	1	7	13
18001	2	12	7
18002	1	6	13
18002	2	9	4
18002	3	12	3
18003	1	11	12
18003	2	12	8
18004	1	6	20
18005	1	6	11
18005	2	9	9
18006	1	3	12
18006	2	12	8
18007	1	12	7
18007	2	9	7
18007	3	10	6
18008	1	12	20
18009	1	12	20
18010	1	3	14
18010	2	7	6
18011	1	12	20
18012	1	9	14
18012	2	7	6
18013	1	9	15
18013	2	7	5
18015	1	12	10
18015	2	12	5
18015	3	12	5
18016	1	1	13
18016	2	6	4
18016	3	12	3
18017	1	9	7
18017	2	12	13
18018	1	12	13
18018	2	9	7
18019	1	6	15
18019	2	9	5
18020	1	9	20
18021	1	12	11
18021	2	7	5
18021	3	11	4
18022	1	12	20
18023	1	12	8
18023	2	11	6
18024	1	12	10
18024	2	7	5
18024	3	9	5
18025	1	9	13
18025	2	12	6
18025	3	7	1
18026	1	9	12
18026	2	12	8
18027	1	6	20
18028	1	10	2
18028	2	11	18
18029	1	9	17
18029	2	10	3
18030	1	7	20
18031	1	8	13
18031	2	9	5
18031	3	10	2
18032	1	6	20
18034	1	12	20
18035	1	9	14
18035	2	10	6
18036	1	9	13
18036	2	12	6
18036	3	7	1
18037	1	11	20
18038	1	12	20
18039	1	9	14
18039	2	10	6
18040	1	7	12
18040	2	12	8
18041	1	7	12
18041	2	3	8
18042	1	11	9
18042	2	12	11
18043	1	12	20
18044	1	9	12
18044	2	11	5
18044	3	7	3
18045	1	12	20
18047	1	6	13
18047	2	10	7
18048	1	1	11
18048	2	10	9
18049	1	9	15
18049	2	7	5
18050	1	7	10
18050	2	12	9
18050	3	10	1
28001	1	11	20
28002	1	1	18
28002	2	9	2
28003	1	1	17
28003	2	12	3
28004	1	1	7
28004	2	1	5
28004	3	11	5
28004	4	2	3
28006	1	1	12
28006	2	11	4
28006	3	12	2
28006	4	7	2
28007	1	1	5
28007	2	11	15
28008	1	11	17
28008	2	2	2
28008	3	11	1
28009	1	1	12
28009	2	12	8
28011	1	7	15
28011	2	1	5
28012	1	1	15
28012	2	11	5
28013	1	1	17
28013	2	8	2
28013	3	11	1
28014	1	11	20
28015	1	10	13
28015	2	11	7
28016	1	1	6
28016	2	12	14
28017	1	1	10
28017	2	11	10
28018	1	1	12
28018	2	1	8
28020	1	1	13
28020	2	11	4
28020	3	7	3
28021	1	1	12
