CHILDCODE	SCHCSTIDR4	FEESR4	PAYPRDR4	NUMPRDR4
11001	1	 	 	 
11001	2	 	 	 
11001	3	 	 	 
11001	4	 	 	 
11001	5	 	 	 
11001	6	 	 	 
11001	7	 	 	 
11001	8	 	 	 
11001	9	 	 	 
11001	10	 	 	 
11002	1	 	 	 
11002	2	 	 	 
11002	3	 	 	 
11002	4	 	 	 
11002	5	 	 	 
11002	6	 	 	 
11002	7	 	 	 
11002	8	 	 	 
11002	9	 	 	 
11002	10	 	 	 
11003	1	 	 	 
11003	2	 	 	 
11003	3	 	 	 
11003	4	 	 	 
11003	5	 	 	 
11003	6	 	 	 
11003	7	 	 	 
11003	8	 	 	 
11003	9	 	 	 
11003	10	 	 	 
11004	1	 	 	 
11004	2	 	 	 
11004	3	 	 	 
11004	4	 	 	 
11004	5	 	 	 
11004	6	 	 	 
11004	7	 	 	 
11004	8	 	 	 
11004	9	 	 	 
11004	10	 	 	 
11005	1	0	 	 
11005	2	0	 	 
11005	3	700	3	1
11005	4	 	 	 
11005	5	0	 	 
11005	6	600	2	10
11005	7	0	 	 
11005	8	0	 	 
11005	9	50	4	2
11005	10	 	 	 
11006	1	100	5	1
11006	2	3650	3	2
11006	3	2000	3	2
11006	4	 	 	 
11006	5	0	 	 
11006	6	300	1	6
11006	7	100	1	6
11006	8	600	3	1
11006	9	300	3	1
11006	10	 	 	 
11007	1	 	 	 
11007	2	 	 	 
11007	3	 	 	 
11007	4	 	 	 
11007	5	 	 	 
11007	6	 	 	 
11007	7	 	 	 
11007	8	 	 	 
11007	9	 	 	 
11007	10	 	 	 
11008	1	 	 	 
11008	2	 	 	 
11008	3	 	 	 
11008	4	 	 	 
11008	5	 	 	 
11008	6	 	 	 
11008	7	 	 	 
11008	8	 	 	 
11008	9	 	 	 
11008	10	 	 	 
11009	1	 	 	 
11009	2	 	 	 
11009	3	 	 	 
11009	4	 	 	 
11009	5	 	 	 
11009	6	 	 	 
11009	7	 	 	 
11009	8	 	 	 
11009	9	 	 	 
11009	10	 	 	 
11010	1	 	 	 
11010	2	 	 	 
11010	3	 	 	 
11010	4	 	 	 
11010	5	 	 	 
11010	6	 	 	 
11010	7	 	 	 
11010	8	 	 	 
11010	9	 	 	 
11010	10	 	 	 
11011	1	100	3	1
11011	2	0	 	 
11011	3	1000	3	1
11011	4	 	 	 
11011	5	600	4	1
11011	6	600	2	24
11011	7	240	2	24
11011	8	15300	5	2
11011	9	1000	3	1
11011	10	 	 	 
11015	1	80	5	1
11015	2	2700	4	2
11015	3	0	 	 
11015	4	 	 	 
11015	5	0	 	 
11015	6	2000	2	9
11015	7	350	2	9
11015	8	300	5	1
11015	9	300	3	1
11015	10	 	 	 
11016	1	0	 	 
11016	2	5500	4	2
11016	3	100	3	1
11016	4	 	 	 
11016	5	600	5	1
11016	6	900	2	10
11016	7	30	2	10
11016	8	0	 	 
11016	9	300	4	2
11016	10	 	 	 
11018	1	 	 	 
11018	2	 	 	 
11018	3	 	 	 
11018	4	 	 	 
11018	5	 	 	 
11018	6	 	 	 
11018	7	 	 	 
11018	8	 	 	 
11018	9	 	 	 
11018	10	 	 	 
11019	1	-77	 	 
11019	2	3000	3	2
11019	3	-77	 	 
11019	4	3500	4	2
11019	5	0	 	 
11019	6	2000	2	9
11019	7	100	2	9
11019	8	5000	5	1
11019	9	600	3	1
11019	10	 	 	 
11020	1	100	5	1
11020	2	2150	4	1
11020	3	100	2	1
11020	4	 	 	 
11020	5	0	 	 
11020	6	100	1	7
11020	7	100	2	1
11020	8	0	 	 
11020	9	300	3	1
11020	10	 	 	 
11021	1	35	5	1
11021	2	3500	3	2
11021	3	-77	 	 
11021	4	6100	3	3
11021	5	250	5	1
11021	6	0	 	 
11021	7	26	5	1
11021	8	0	 	 
11021	9	400	4	1
11021	10	 	 	 
11022	1	100	3	1
11022	2	8500	3	2
11022	3	400	3	2
11022	4	 	 	 
11022	5	0	 	 
11022	6	200	1	1
11022	7	100	2	4
11022	8	200	3	1
11022	9	200	4	3
11022	10	 	 	 
11024	1	 	 	 
11024	2	 	 	 
11024	3	 	 	 
11024	4	 	 	 
11024	5	 	 	 
11024	6	 	 	 
11024	7	 	 	 
11024	8	 	 	 
11024	9	 	 	 
11024	10	 	 	 
11025	1	5	5	1
11025	2	2900	4	1
11025	3	0	 	 
11025	4	 	 	 
11025	5	350	2	1
11025	6	1000	2	1
11025	7	30	1	2
11025	8	220	5	1
11025	9	1	5	1
11025	10	 	 	 
11028	1	100	5	1
11028	2	3200	4	2
11028	3	200	3	1
11028	4	 	 	 
11028	5	0	 	 
11028	6	2000	2	10
11028	7	200	2	10
11028	8	3000	3	1
11028	9	500	3	1
11028	10	 	 	 
11029	1	 	 	 
11029	2	 	 	 
11029	3	 	 	 
11029	4	 	 	 
11029	5	 	 	 
11029	6	 	 	 
11029	7	 	 	 
11029	8	 	 	 
11029	9	 	 	 
11029	10	 	 	 
11030	1	90	5	1
11030	2	4370	4	2
11030	3	0	 	 
11030	4	 	 	 
11030	5	0	 	 
11030	6	400	2	10
11030	7	0	 	 
11030	8	0	 	 
11030	9	200	4	2
11030	10	 	 	 
11031	1	180	5	1
11031	2	2150	4	1
11031	3	20	3	1
11031	4	 	 	 
11031	5	2400	5	1
11031	6	0	 	 
11031	7	0	 	 
11031	8	7000	5	1
11031	9	200	5	2
11031	10	 	 	 
11032	1	 	 	 
11032	2	 	 	 
11032	3	 	 	 
11032	4	 	 	 
11032	5	 	 	 
11032	6	 	 	 
11032	7	 	 	 
11032	8	 	 	 
11032	9	 	 	 
11032	10	 	 	 
11033	1	80	5	1
11033	2	3000	4	2
11033	3	0	 	 
11033	4	 	 	 
11033	5	0	 	 
11033	6	600	2	9
11033	7	200	2	9
11033	8	10000	5	1
11033	9	600	3	1
11033	10	 	 	 
11034	1	80	5	1
11034	2	4000	4	2
11034	3	-77	 	 
11034	4	4000	4	2
11034	5	0	 	 
11034	6	1500	2	9
11034	7	600	2	9
11034	8	13000	5	1
11034	9	500	3	1
11034	10	 	 	 
11035	1	 	 	 
11035	2	 	 	 
11035	3	 	 	 
11035	4	 	 	 
11035	5	 	 	 
11035	6	 	 	 
11035	7	 	 	 
11035	8	 	 	 
11035	9	 	 	 
11035	10	 	 	 
11037	1	-77	 	 
11037	2	3000	4	2
11037	3	-77	 	 
11037	4	3500	4	2
11037	5	0	 	 
11037	6	2500	2	9
11037	7	300	2	9
11037	8	13000	5	1
11037	9	1000	3	1
11037	10	 	 	 
11038	1	50	5	1
11038	2	1100	4	1
11038	3	390	3	1
11038	4	 	 	 
11038	5	600	5	1
11038	6	200	2	1
11038	7	140	1	3
11038	8	3000	3	1
11038	9	400	3	1
11038	10	 	 	 
11039	1	 	 	 
11039	2	 	 	 
11039	3	 	 	 
11039	4	 	 	 
11039	5	 	 	 
11039	6	 	 	 
11039	7	 	 	 
11039	8	 	 	 
11039	9	 	 	 
11039	10	 	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	3	 	 	 
11040	4	 	 	 
11040	5	 	 	 
11040	6	 	 	 
11040	7	 	 	 
11040	8	 	 	 
11040	9	 	 	 
11040	10	 	 	 
11041	1	 	 	 
11041	2	 	 	 
