CHILDCODE	TDINTEN	MATHTEST	MPROVR4	MTHDIST	MTHCOMM	MTHITM01	MTHITM02	MTHITM03	MTHITM04	MTHITM05	MTHITM06	MTHITM07	MTHITM08	MTHITM09	MTHITM10	MTHITM11	MTHITM12	MTHITM13	MTHITM14	MTHITM15	MTHITM16	MTHITM17	MTHITM18	MTHITM19	MTHITM20	MTHITM21	MTHITM22	MTHITM23	MTHITM24	MTHITM25	MTHITM26	MTHITM27L	MTHITM27W	MATHEND	READTEST	RPROVR4	RDGDIST	RDGCOMM	RDGCMP01	RDGCMP02	RDGCMP03	RDGCMP04	RDGCMP05	RDGCMP06	RDGCMP07	RDGCMP08	RDGCMP09	RDGCMP10	RDGCMP11	RDGCMP12	RDGCMP13	RDGCMP14	RDGCMP15	RDGCMP16	RDGCMP17	RDGCMP18	RDGCMP19	RDGCMP20	RDGCMP21	RDGCMP22	RDGCMP23	RDGCMP24	READEND	lang_raw	lang_perco	maths_raw	maths_perco	correct01maths	correct02maths	correct03maths	correct04maths	correct05maths	correct06maths	correct07maths	correct08maths	correct09maths	correct10maths	correct11maths	correct12maths	correct13maths	correct14maths	correct15maths	correct16maths	correct17maths	correct18maths	correct19maths	correct20maths	correct21maths	correct22maths	correct23maths	correct24maths	correct25maths	correct26maths	correct27maths	correct28maths	correct01lang	correct02lang	correct03lang	correct04lang	correct05lang	correct06lang	correct07lang	correct08lang	correct09lang	correct10lang	correct11lang	correct12lang	correct13lang	correct14lang	correct15lang	correct16lang	correct17lang	correct18lang	correct19lang	correct20lang	correct21lang	correct22lang	correct23lang	correct24lang
11001	15/02/2014 11:22:58	1	1	1	1	1	4	3	60	17.3400001525879	0.75	2	4	2	3	3	4	3	3	3	99	2	2	99	99	4	99	4	32	-99	-99	-99	-99	 	1	1	1	1	3	1	2	4	2	3	2	2	2	4	1	1	2	1	3	3	2	2	1	3	1	1	2	3	 	17	70.8333358764648	14	50	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0
11002	15/02/2014 11:19:37	1	1	1	1	1	4	3	60	17.4300003051758	0.75	4	3	2	3	3	2	3	3	1	3	1	1	99	1	4	4	3	32	3	28800	21	-99	 	1	1	1	1	2	1	2	3	3	1	4	2	2	4	2	1	2	4	2	1	2	2	3	4	4	4	2	4	 	12	50	13	46.4285697937012	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0
11003	26/04/2014 14:59:15	1	98	98	98	1	4	3	60	17.4300003051758	19/6	3	3	2	2	1	2	2	3	4	3	2	3	2	1	1	2	3	23	99	99	99	99	 	1	98	98	98	1	4	3	1	2	4	3	2	3	1	2	1	2	3	1	4	4	4	1	4	3	4	2	3	 	10	41.6666679382324	11	39.2857131958008	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0
11004	02/05/2014 11:22:40	1	1	1	1	1	4	3	240.25	17.4300003051758	3/4	2	4	2	3	3	2	3	3	3	1	1	4	4	1	1	1	2	99	99	99	99	99	 	1	1	1	1	4	1	2	1	2	3	2	2	4	2	2	1	2	4	4	3	1	4	1	1	1	1	1	1	 	13	54.1666679382324	15	53.5714302062988	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0
11005	04/05/2014 22:11:59	1	98	98	98	1	4	3	60	17.4300003051758	3/4	2	4	4	4	3	99	2	1	3	1	3	3	99	1	4	2	4	21	3	2800	146	99	 	1	98	98	98	1	1	4	2	2	3	3	2	2	4	3	1	2	4	4	3	4	2	1	1	1	1	2	3	 	16	66.6666641235352	16	57.1428565979004	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0
11006	15/02/2014 11:16:33	1	1	1	1	1	4	3	60	17.4300003051758	0.75	2	4	1	2	3	1	3	3	3	4	1	1	99	3	4	2	2	23	.5	64	50	20	 	1	1	1	1	1	1	2	1	1	3	2	2	3	1	2	1	4	4	3	2	2	1	1	2	3	4	2	1	 	11	45.8333320617676	14	50	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0
11007	15/02/2014 10:21:57	1	1	1	1	1	4	3	9.60000038146973	17.4300003051758	0	2	4	2	3	3	1	2	3	1	2	4	2	99	4	3	2	1	0	0	0	0	0	 	1	1	1	1	2	1	2	3	3	3	4	2	4	1	2	1	2	1	1	2	4	4	1	4	1	3	3	1	 	10	41.6666679382324	11	39.2857131958008	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0
11008	15/02/2014 10:42:21	1	1	1	1	1	4	2	60	17.4300003051758	4.75	2	4	2	3	3	4	2	1	1	4	2	3	99	4	4	1	3	23	.400000005960464	-99	500	10	 	1	1	1	1	2	1	2	1	1	3	3	1	2	1	2	1	4	4	1	1	4	3	1	2	1	2	1	1	 	10	41.6666679382324	10	35.7142868041992	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0
11009	26/04/2014 09:14:46	1	98	98	98	3	1	2	60	17.4300003051758	3/4	2	4	2	3	3	4	3	3	3	2	1	2	1	2	2	2	3	32	3	99	99	99	 	1	98	98	98	3	1	2	3	1	3	2	1	3	2	1	1	2	1	1	4	4	3	2	1	1	1	2	3	 	10	41.6666679382324	14	50	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0
11010	02/05/2014 11:01:35	1	1	1	1	1	4	99	60	17.4300003051758	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	 	1	1	1	1	3	1	3	4	2	4	3	99	1	99	99	99	1	3	1	4	99	2	1	3	1	2	3	4	 	7	29.1666660308838	4	14.2857141494751	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0
