CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4
11001	1	88	 	 	 	 
11001	2	88	 	 	 	 
11001	3	88	 	 	 	 
11002	1	88	 	 	 	 
11002	2	88	 	 	 	 
11002	3	88	 	 	 	 
11003	1	88	 	 	 	 
11003	2	88	 	 	 	 
11003	3	88	 	 	 	 
11004	1	29	 	 	4	 
11004	2	61	 	 	3	3
11004	3	88	 	 	 	 
11005	1	38	 	 	2	2
11005	2	37	 	 	2	 
11005	3	42	 	 	2	 
11006	1	14	 	 	3	3
11006	2	42	 	 	2	2
11006	3	39	 	 	 	1
11007	1	88	 	 	 	 
11007	2	88	 	 	 	 
11007	3	88	 	 	 	 
11008	1	29	 	 	 	1
11008	2	88	 	 	 	 
11008	3	88	 	 	 	 
11009	1	88	 	 	 	 
11009	2	88	 	 	 	 
11009	3	88	 	 	 	 
11010	1	88	 	 	 	 
11010	2	88	 	 	 	 
11010	3	88	 	 	 	 
11011	1	42	 	 	 	2
11011	2	47	 	 	1	1
11011	3	39	1	 	 	 
11012	1	42	 	 	3	3
11012	2	37	 	 	 	2
11012	3	13	 	 	1	1
11013	1	29	 	 	2	 
11013	2	88	 	 	 	 
11013	3	88	 	 	 	 
11015	1	28	 	2	 	 
11015	2	42	 	 	2	2
11015	3	88	 	 	 	 
11016	1	88	 	 	 	 
11016	2	88	 	 	 	 
11016	3	88	 	 	 	 
11017	1	88	 	 	 	 
11017	2	88	 	 	 	 
11017	3	88	 	 	 	 
11018	1	37	88	88	88	4
11018	2	14	4	 	 	 
11018	3	88	 	 	 	 
11019	1	39	 	 	1	1
11019	2	88	 	 	 	 
11019	3	88	 	 	 	 
11020	1	42	 	 	3	3
11020	2	29	 	 	3	 
11020	3	28	 	 	3	 
11021	1	29	 	 	 	1
11021	2	37	 	 	2	2
11021	3	88	 	 	 	 
11022	1	38	 	 	 	 
11022	2	42	 	 	3	3
11022	3	47	 	 	 	 
11024	1	88	 	 	 	 
11024	2	88	 	 	 	 
11024	3	88	 	 	 	 
11025	1	88	 	 	 	 
11025	2	88	 	 	 	 
11025	3	88	 	 	 	 
11026	1	88	 	 	 	 
11026	2	88	 	 	 	 
11026	3	88	 	 	 	 
11028	1	25	 	4	 	 
11028	2	48	4	 	 	 
11028	3	42	 	 	2	 
11029	1	88	 	 	 	 
11029	2	88	 	 	 	 
11029	3	88	 	 	 	 
11030	1	37	 	 	 	2
11030	2	42	 	 	2	 
11030	3	88	 	 	 	 
11031	1	37	2	2	2	2
11031	2	39	1	1	1	1
11031	3	29	 	3	2	 
11032	1	61	 	 	3	 
11032	2	39	 	 	2	 
11032	3	29	 	1	 	 
11033	1	42	3	3	3	3
11033	2	39	2	2	2	2
11033	3	29	 	1	 	 
11034	1	88	 	 	 	 
11034	2	88	 	 	 	 
11034	3	88	 	 	 	 
11035	1	39	 	 	 	3
11035	2	38	 	 	2	 
11035	3	29	 	4	 	 
11037	1	88	 	 	 	 
11037	2	88	 	 	 	 
11037	3	88	 	 	 	 
11038	1	88	 	 	 	 
11038	2	88	 	 	 	 
11038	3	88	 	 	 	 
11039	1	37	 	 	 	1
11039	2	88	 	 	 	 
11039	3	88	 	 	 	 
11040	1	88	 	 	 	 
11040	2	88	 	 	 	 
11040	3	88	 	 	 	 
11041	1	88	 	 	 	 
11041	2	88	 	 	 	 
11041	3	88	 	 	 	 
11042	1	25	1	1	1	1
11042	2	16	 	 	 	1
11042	3	29	 	2	 	 
11043	1	39	 	 	2	 
11043	2	16	 	 	2	2
11043	3	88	 	 	 	 
11044	1	39	 	 	 	4
11044	2	88	 	 	 	 
11044	3	88	 	 	 	 
11047	1	36	2	 	 	 
11047	2	88	 	 	 	 
11047	3	88	 	 	 	 
11048	1	88	 	 	 	 
11048	2	88	 	 	 	 
11048	3	88	 	 	 	 
11050	1	25	 	 	 	1
