CHILDCODE	NONFODR4	SPYRR4
11001	1	3000
11001	2	2000
11001	3	0
11001	4	0
11001	5	300
11001	6	500
11001	7	0
11001	8	0
11001	17	1000
11001	18	4000
11001	19	0
11001	20	4000
11001	32	1365
11002	1	200
11002	2	1500
11002	3	500
11002	4	0
11002	5	100
11002	6	500
11002	7	150
11002	8	0
11002	17	500
11002	18	500
11002	19	0
11002	20	0
11002	32	775
11003	1	300
11003	2	400
11003	3	600
11003	4	0
11003	5	100
11003	6	250
11003	7	100
11003	8	0
11003	17	150
11003	18	250
11003	19	0
11003	20	0
11003	32	630
11004	1	-77
11004	2	1800
11004	3	0
11004	4	800
11004	5	200
11004	6	400
11004	7	0
11004	8	300
11004	17	16000
11004	18	0
11004	19	0
11004	20	0
11004	32	410
11005	1	1000
11005	2	500
11005	3	0
11005	4	0
11005	5	200
11005	6	100
11005	7	0
11005	8	0
11005	17	2000
11005	18	10000
11005	19	2000
11005	20	0
11005	32	-77
11006	1	1000
11006	2	400
11006	3	0
11006	4	300
11006	5	200
11006	6	100
11006	7	0
11006	8	100
11006	17	0
11006	18	100
11006	19	0
11006	20	0
11006	32	280
11007	1	0
11007	2	1500
11007	3	500
11007	4	0
11007	5	100
11007	6	300
11007	7	100
11007	8	0
11007	17	0
11007	18	500
11007	19	0
11007	20	0
11007	32	410
11008	1	1000
11008	2	6000
11008	3	0
11008	4	0
11008	5	1000
11008	6	200
11008	7	0
11008	8	0
11008	17	0
11008	18	0
11008	19	0
11008	20	0
11008	32	0
11009	1	1200
11009	2	1200
11009	3	1500
11009	4	0
11009	5	400
11009	6	300
11009	7	300
11009	8	0
11009	17	7000
11009	18	5000
11009	19	0
11009	20	0
11009	32	2010
11010	1	2000
11010	2	1000
11010	3	2000
11010	4	0
11010	5	1500
11010	6	500
11010	7	50
11010	8	0
11010	17	0
11010	18	2000
11010	19	1000
11010	20	0
11010	32	570
11011	1	0
11011	2	1000
11011	3	0
11011	4	0
11011	5	0
11011	6	200
11011	7	0
11011	8	0
11011	17	200
11011	18	1500
11011	19	0
11011	20	0
11011	32	290
11012	1	100
11012	2	0
11012	3	0
11012	4	0
11012	5	0
11012	6	50
11012	7	0
11012	8	0
11012	17	2000
11012	18	3000
11012	19	0
11012	20	-77
11012	32	0
11013	1	500
11013	2	500
11013	3	0
11013	4	0
11013	5	200
11013	6	200
11013	7	0
11013	8	0
11013	17	500
11013	18	500
11013	19	200
11013	20	300
11013	32	1360
11015	1	-77
11015	2	300
11015	3	200
11015	4	-77
11015	5	100
11015	6	30
11015	7	100
11015	8	0
11015	17	0
11015	18	200
11015	19	0
11015	20	0
11015	32	800
11016	1	1500
11016	2	2000
11016	3	0
11016	4	1000
11016	5	500
11016	6	1000
11016	7	0
11016	8	300
11016	17	0
11016	18	0
11016	19	0
11016	20	0
11016	32	1160
11017	1	2800
11017	2	2000
11017	3	0
11017	4	0
11017	5	200
11017	6	250
11017	7	120
11017	8	0
11017	17	3200
11017	18	100
11017	19	0
11017	20	0
11017	32	6410
11018	1	600
11018	2	300
11018	3	400
11018	4	0
11018	5	300
11018	6	150
11018	7	100
11018	8	200
11018	17	10000
11018	18	5000
11018	19	0
11018	20	0
11018	32	0
11019	1	1000
11019	2	2000
11019	3	2000
11019	4	500
11019	5	300
11019	6	200
11019	7	300
11019	8	200
11019	17	6000
11019	18	2000
11019	19	1000
11019	20	0
11019	32	4000
11020	1	3000
11020	2	7500
11020	3	500
11020	4	0
11020	5	1000
11020	6	2000
11020	7	200
11020	8	0
11020	17	1000
11020	18	2000
11020	19	0
11020	20	1000
11020	32	1690
11021	1	1400
11021	2	400
11021	3	0
11021	4	350
11021	5	100
11021	6	50
11021	7	0
11021	8	400
11021	17	600
11021	18	400
11021	19	0
11021	20	0
11021	32	410
11022	1	1000
11022	2	100
11022	3	0
11022	4	0
11022	5	300
11022	6	50
11022	7	0
11022	8	0
11022	17	1500
11022	18	1500
11022	19	2000
11022	20	0
11022	32	0
11024	1	200
11024	2	200
11024	3	500
11024	4	300
11024	5	50
11024	6	50
11024	7	50
11024	8	50
11024	17	200
11024	18	1200
11024	19	0
11024	20	0
11024	32	0
11025	1	2000
11025	2	3000
11025	3	0
11025	4	0
11025	5	1000
11025	6	1000
11025	7	0
11025	8	0
11025	17	150
11025	18	2000
11025	19	0
11025	20	500
11025	32	290
11026	1	250
11026	2	200
11026	3	0
11026	4	0
11026	5	150
11026	6	150
11026	7	0
11026	8	0
11026	17	0
11026	18	600
11026	19	0
11026	20	0
11026	32	0
11028	1	1200
11028	2	300
11028	3	300
11028	4	0
11028	5	100
11028	6	100
11028	7	50
11028	8	0
11028	17	200
11028	18	200
11028	19	0
11028	20	0
11028	32	0
11029	1	900
11029	2	300
11029	3	300
11029	4	0
11029	5	300
11029	6	200
11029	7	100
11029	8	0
11029	17	0
11029	18	500
11029	19	0
11029	20	0
11029	32	1101
11030	1	3000
11030	2	500
11030	3	0
11030	4	700
11030	5	300
11030	6	50
11030	7	0
11030	8	150
11030	17	2500
11030	18	7000
11030	19	0
11030	20	2000
11030	32	1160
11031	1	0
11031	2	0
11031	3	300
11031	4	1000
11031	5	0
11031	6	0
11031	7	0
11031	8	0
11031	17	0
11031	18	6000
11031	19	6480
11031	20	0
11031	32	0
11032	1	500
11032	2	0
11032	3	0
11032	4	0
11032	5	120
11032	6	68
11032	7	0
11032	8	0
11032	17	1200
11032	18	800
11032	19	0
11032	20	25
11032	32	0
11033	1	1200
11033	2	1600
11033	3	300
11033	4	0
11033	5	500
11033	6	800
11033	7	150
11033	8	0
11033	17	0
11033	18	450
11033	19	4320
11033	20	250
11033	32	1500
11034	1	5000
11034	2	1000
11034	3	0
11034	4	2000
11034	5	1000
11034	6	500
11034	7	0
11034	8	500
11034	17	1000
11034	18	2000
11034	19	0
11034	20	500
11034	32	2000
11035	1	3000
11035	2	4000
11035	3	0
11035	4	0
11035	5	800
11035	6	1000
11035	7	0
11035	8	0
11035	17	500
11035	18	2500
11035	19	0
11035	20	2500
11035	32	0
11037	1	500
