CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
10002	1	 	 	 	 	 
10004	1	 	 	 	 	 
10007	1	 	 	 	 	 
10008	1	 	 	 	 	 
10010	1	 	 	 	 	 
10012	2	25	2	1	1	2
10014	1	2	1	0	 	1
10016	1	 	 	 	 	 
10017	1	2	1	0	 	2
10020	1	 	 	 	 	 
10021	1	 	 	 	 	 
10024	1	7	1	0	 	2
10028	1	24	1	0	 	1
10028	2	20	1	0	 	2
10029	1	 	 	 	 	 
10029	2	 	 	 	 	 
10030	1	 	 	 	 	 
10030	2	 	 	 	 	 
10031	1	 	 	 	 	 
10033	1	 	 	 	 	 
10037	1	 	 	 	 	 
10040	1	 	 	 	 	 
10042	1	 	 	 	 	 
10045	1	 	 	 	 	 
10045	2	 	 	 	 	 
10046	1	 	 	 	 	 
10050	1	7	1	0	 	1
10052	1	2	1	0	 	77
10055	1	7	1	0	 	1
10059	1	 	 	 	 	 
10061	1	 	 	 	 	 
10062	1	 	 	 	 	 
10065	1	 	 	 	 	 
10067	1	7	1	0	 	1
10068	1	 	 	 	 	 
10069	1	 	 	 	 	 
10070	1	4	1	0	 	2
10071	1	 	 	 	 	 
10077	1	 	 	 	 	 
10079	1	 	 	 	 	 
10081	1	 	 	 	 	 
10084	1	 	 	 	 	 
10086	1	 	 	 	 	 
10089	1	 	 	 	 	 
10093	1	 	 	 	 	 
10094	1	 	 	 	 	 
10095	1	 	 	 	 	 
10096	1	7	1	0	 	2
10097	1	 	 	 	 	 
10098	1	2	1	0	 	2
20001	1	22	1	0	 	1
20002	1	22	1	0	 	1
20002	2	20	1	0	 	2
20003	1	22	1	0	 	1
20004	1	22	1	0	 	1
20005	1	22	1	0	 	1
20007	1	22	1	0	 	1
20008	1	22	1	0	 	1
20011	1	22	1	0	 	1
20011	2	20	1	0	 	2
20012	1	22	1	0	 	1
20013	1	22	1	0	 	1
20015	1	22	1	0	 	1
20017	1	22	1	0	 	1
20018	1	22	1	0	 	1
20019	1	22	1	0	 	1
20020	1	22	1	0	 	1
20022	1	22	1	0	 	1
20022	2	20	1	0	 	2
20025	1	22	1	0	 	1
20026	1	22	1	0	 	1
20027	1	22	1	0	 	1
20029	1	2	1	0	 	1
20029	2	21	1	0	 	2
20031	1	20	1	0	 	1
20032	1	22	1	0	 	1
20033	1	22	1	0	 	1
20034	1	2	1	0	 	1
20035	1	22	1	0	 	1
20036	1	22	1	0	 	1
20037	1	22	1	0	 	1
20038	1	22	1	0	 	1
20038	2	20	1	0	 	2
20039	1	22	1	0	 	1
20040	1	22	1	0	 	1
20041	1	22	1	0	 	1
