CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10001	1	0	 	 
10001	2	0	 	 
10001	3	0	 	 
10001	4	0	 	 
10001	5	0	 	 
10001	6	1	30	 
10001	7	0	 	 
10001	8	0	 	 
10001	9	1	600	1
10001	10	0	 	 
10001	11	1	330	1
10001	12	0	 	 
10001	13	0	 	 
10001	14	0	 	 
10001	15	1	200	1
10001	16	0	 	 
10001	17	1	50	0
10001	18	0	 	 
10001	19	0	 	 
10001	20	0	 	 
10001	21	0	 	 
10001	22	0	 	 
10001	23	0	 	 
10001	24	0	 	 
10001	25	0	 	 
10001	26	0	 	 
10001	27	0	 	 
10001	28	0	 	 
10001	29	0	 	 
10001	30	0	 	 
10001	31	0	 	 
10002	1	1	400	 
10002	2	0	 	 
10002	3	1	200	88
10002	4	1	400	4
10002	5	1	280	 
10002	6	0	 	 
10002	7	1	120	88
10002	8	1	150	4
10002	9	0	 	 
10002	10	1	270	4
10002	11	1	75	4
10002	12	1	75	88
10002	13	0	 	 
10002	14	0	 	 
10002	15	1	70	1
10002	16	0	 	 
10002	17	0	 	 
10002	18	1	10	0
10002	19	0	 	 
10002	20	0	 	 
10002	21	1	120	1
10002	22	0	 	 
10002	23	0	 	 
10002	24	0	 	 
10002	25	0	 	 
10002	26	1	800	1
10002	27	0	 	 
10002	28	0	 	 
10002	29	0	 	 
10002	30	0	 	 
10002	31	0	 	 
10004	1	1	3800	 
10004	2	1	920	 
10004	3	0	 	 
10004	4	1	300	4
10004	5	1	1800	 
10004	6	1	500	 
10004	7	0	 	 
10004	8	1	150	4
10004	9	1	250	4
10004	10	0	 	 
10004	11	1	50	4
10004	12	0	 	 
10004	13	0	 	 
10004	14	0	 	 
10004	15	1	30	4
10004	16	0	 	 
10004	17	0	 	 
10004	18	0	 	 
10004	19	0	 	 
10004	20	0	 	 
10004	21	0	 	 
10004	22	0	 	 
10004	23	0	 	 
10004	24	0	 	 
10004	25	0	 	 
10004	26	0	 	 
10004	27	0	 	 
10004	28	0	 	 
10004	29	0	 	 
10004	30	0	 	 
10004	31	0	 	 
10005	1	1	450	 
10005	2	0	 	 
10005	3	0	 	 
10005	4	0	 	 
10005	5	0	 	 
10005	6	0	 	 
10005	7	0	 	 
10005	8	0	 	 
10005	9	0	 	 
10005	10	0	 	 
10005	11	0	 	 
10005	12	1	100	2
10005	13	0	 	 
10005	14	0	 	 
10005	15	1	130	2
10005	16	0	 	 
10005	17	0	 	 
10005	18	0	 	 
10005	19	0	 	 
10005	20	0	 	 
10005	21	0	 	 
10005	22	0	 	 
10005	23	0	 	 
10005	24	0	 	 
10005	25	0	 	 
10005	26	0	 	 
10005	27	0	 	 
10005	28	0	 	 
10005	29	0	 	 
10005	30	0	 	 
10005	31	0	 	 
10006	1	0	 	 
10006	2	0	 	 
10006	3	1	1500	1
10006	4	0	 	 
10006	5	1	350	 
10006	6	1	350	 
10006	7	1	760	1
10006	8	0	 	 
10006	9	0	 	 
10006	10	1	375	0
10006	11	0	 	 
10006	12	1	3750	2
10006	13	0	 	 
10006	14	0	 	 
10006	15	1	360	1
10006	16	0	 	 
10006	17	1	30	0
10006	18	1	200	0
10006	19	0	 	 
10006	20	0	 	 
10006	21	0	 	 
10006	22	0	 	 
10006	23	0	 	 
10006	24	0	 	 
10006	25	0	 	 
10006	26	0	 	 
10006	27	0	 	 
10006	28	0	 	 
10006	29	0	 	 
10006	30	0	 	 
10006	31	0	 	 
10007	1	0	 	 
10007	2	0	 	 
10007	3	0	 	 
10007	4	0	 	 
10007	5	0	 	 
10007	6	0	 	 
10007	7	0	 	 
10007	8	0	 	 
10007	9	0	 	 
10007	10	0	 	 
10007	11	1	50	0
10007	12	1	250	3
10007	13	0	 	 
10007	14	0	 	 
10007	15	1	200	1
10007	16	0	 	 
10007	17	0	 	 
10007	18	0	 	 
10007	19	0	 	 
10007	20	0	 	 
10007	21	0	 	 
10007	22	0	 	 
10007	23	0	 	 
10007	24	0	 	 
10007	25	0	 	 
10007	26	0	 	 
10007	27	0	 	 
10007	28	0	 	 
10007	29	0	 	 
10007	30	0	 	 
10007	31	0	 	 
10008	1	1	1200	 
10008	2	1	800	 
10008	3	1	60	4
10008	4	0	 	 
10008	5	1	600	 
10008	6	1	300	 
10008	7	1	0	 
10008	8	0	 	 
