CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	DSSCR4	NMSCWDR4	LNGINSR4
10001	10	1	4	 	1	5	123	75
10001	11	1	5	 	1	5	123	75
10001	12	1	6	 	1	5	123	75
10001	13	1	7	 	1	5	123	75
10002	10	1	5	 	1	5	108	75
10002	11	1	6	 	1	5	108	75
10002	12	1	7	 	1	5	841	75
10002	13	1	8	 	1	5	841	75
10003	10	1	4	 	3	5	843	72
10003	11	1	5	 	3	5	843	72
10003	12	1	6	 	3	5	853	72
10003	13	1	7	 	3	5	853	72
10004	10	1	4	 	1	5	2118	75
10004	11	1	5	 	1	5	2067	75
10004	12	1	6	 	1	5	2067	75
10004	13	1	7	 	1	5	2067	75
10005	10	1	5	 	1	5	127	75
10005	11	1	6	 	3	5	849	75
10005	12	1	7	 	3	5	848	75
10005	13	1	8	 	3	5	848	75
10007	10	1	5	 	1	6	1495	75
10007	11	1	6	 	1	6	1495	75
10007	12	1	7	 	1	6	1495	75
10007	13	1	8	 	1	6	1495	75
10008	10	1	2	 	8	5	685	75
10008	11	1	3	 	8	5	685	75
10008	12	1	4	 	8	5	685	75
10008	13	1	5	 	8	5	685	75
10009	10	1	6	 	3	5	848	72
10009	11	1	7	 	3	5	848	72
10009	12	1	8	 	3	5	848	72
10009	13	1	9	 	3	5	848	72
10010	10	1	3	 	1	8	608	75
10010	11	1	4	 	1	5	849	75
10010	12	1	5	 	1	5	849	75
10010	13	1	6	 	3	5	848	75
10011	10	1	5	 	3	5	98	72
10011	11	1	6	 	3	5	848	72
10011	12	1	7	 	3	5	848	72
10011	13	1	8	 	3	5	848	72
10012	10	1	3	 	1	6	1908	75
10012	11	1	4	 	1	6	1908	75
10012	12	1	5	 	1	6	1908	75
10012	13	1	6	 	1	6	1908	75
10013	10	1	5	 	1	5	2234	72
10013	11	1	6	 	3	5	1509	72
10013	12	1	6	 	1	5	2235	75
10013	13	1	7	 	1	5	2235	75
10014	10	1	4	 	1	5	95	75
