CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10001	1	Y	1000	 
10001	2	Y	1500	 
10001	3	Y	500	88
10001	4	Y	500	4
10001	5	Y	200	 
10001	6	Y	200	 
10001	7	Y	150	88
10001	8	Y	150	4
10001	9	N	 	 
10001	10	Y	200	88
10001	11	Y	7500	4
10001	12	Y	6000	88
10001	13	N	 	 
10001	14	N	 	 
10001	15	Y	3000	3
10001	16	Y	5000	2
10001	17	Y	150	4
10001	18	Y	1100	3
10001	19	N	 	 
10001	20	N	 	 
10001	21	Y	2100	1
10001	22	N	 	 
10001	23	N	 	 
10001	24	N	 	 
10001	25	N	 	 
10001	26	N	 	 
10001	27	N	 	 
10001	28	N	 	 
10001	29	N	 	 
10001	30	N	 	 
10001	31	N	 	 
10002	1	N	 	 
10002	2	Y	800	 
10002	3	N	 	 
10002	4	Y	1000	4
10002	5	N	 	 
10002	6	Y	200	 
10002	7	N	 	 
10002	8	Y	300	4
10002	9	Y	700	4
10002	10	N	 	 
10002	11	Y	6500	4
10002	12	N	 	 
10002	13	N	 	 
10002	14	N	 	 
10002	15	Y	1500	4
10002	16	N	 	 
10002	17	Y	100	0
10002	18	Y	2000	1
10002	19	N	 	 
10002	20	N	 	 
10002	21	Y	2040	0
10002	22	Y	300	4
10002	23	N	 	 
10002	24	N	 	 
10002	25	N	 	 
10002	26	Y	500	1
10002	27	N	 	 
10002	28	N	 	 
10002	29	N	 	 
10002	30	N	 	 
10002	31	N	 	 
10003	1	N	 	 
10003	2	N	 	 
10003	3	Y	800	88
10003	4	Y	1000	4
10003	5	Y	100	 
10003	6	Y	100	 
10003	7	Y	60	88
10003	8	Y	60	4
10003	9	N	 	 
10003	10	N	 	 
10003	11	N	 	 
10003	12	N	 	 
10003	13	N	 	 
10003	14	N	 	 
10003	15	Y	500	2
10003	16	N	 	 
10003	17	Y	500	1
10003	18	Y	1500	1
10003	19	N	 	 
10003	20	N	 	 
10003	21	Y	2060	3
10003	22	N	 	 
10003	23	N	 	 
10003	24	N	 	 
10003	25	N	 	 
10003	26	N	 	 
10003	27	N	 	 
10003	28	N	 	 
10003	29	N	 	 
10003	30	N	 	 
10003	31	N	 	 
10004	1	Y	1000	 
10004	2	Y	1000	 
10004	3	Y	3000	2
10004	4	N	 	 
10004	5	Y	300	 
10004	6	Y	200	 
10004	7	Y	600	2
10004	8	N	 	 
10004	9	N	 	 
10004	10	Y	3000	2
10004	11	N	 	 
10004	12	N	 	 
10004	13	N	 	 
10004	14	N	 	 
10004	15	Y	3000	2
10004	16	N	 	 
10004	17	N	 	 
10004	18	N	 	 
10004	19	N	 	 
10004	20	N	 	 
10004	21	Y	1800	1
10004	22	Y	500	2
10004	23	N	 	 
10004	24	N	 	 
10004	25	N	 	 
10004	26	Y	1000	1
10004	27	N	 	 
