CHILDCODE	NREGIDR4	MEMREGR4	NEG1DYR4	NEG1WGR4	NEG2DYR4	NEG2WGR4
10051	1	2	20	1600	0	0
10051	2	3	20	1600	0	0
10051	3	5	20	1600	0	0
20001	1	1	12	1200	0	0
20001	2	2	8	960	0	0
20003	1	2	20	1600	0	0
20003	2	1	20	1600	0	0
20004	1	2	24	2880	0	0
20006	1	1	7	560	0	0
20006	2	2	7	560	0	0
20007	1	4	20	2400	0	0
20008	1	2	15	1800	0	0
20009	1	3	48	4950	0	0
20010	1	2	42	4400	0	0
20010	2	3	42	4250	0	0
20011	1	2	6	720	0	0
20011	2	4	16	1920	0	0
20014	1	1	30	3600	0	0
20014	2	2	24	2400	0	0
20014	3	4	15	1500	0	0
20015	1	3	30	3900	0	0
20015	2	4	30	3900	0	0
20016	1	3	8	640	0	0
20016	2	4	7	560	0	0
20017	1	2	0	0	19	1330
20017	2	3	0	0	19	1330
20021	1	2	9	720	0	0
20022	1	4	7	700	0	0
20025	1	2	12	960	0	0
20027	1	2	5	500	0	0
20030	1	2	42	3360	0	0
20031	1	3	42	3360	0	0
20031	2	3	42	3360	0	0
20031	3	5	6	480	0	0
20032	1	1	20	2000	0	0
20032	2	2	20	2000	0	0
20033	1	2	36	3600	0	0
20037	1	2	36	3240	0	0
20037	2	1	27	2700	0	0
20039	1	3	9	612	0	0
20042	1	 	 	 	 	 
20044	1	1	0	0	15	1500
20044	2	2	0	0	10	1000
20045	1	1	1	80	0	0
20045	2	2	4	320	0	0
20046	1	1	23	1748	0	0
20046	2	2	23	1748	0	0
20049	1	2	0	0	6	550
20050	1	1	15	1200	0	0
20050	2	2	15	1200	0	0
20051	1	2	0	0	0	0
20051	2	3	8	800	0	0
20053	1	1	4	240	0	0
20054	1	1	6	480	0	0
20054	2	2	36	2880	0	0
20055	1	4	15	1200	0	0
20056	1	2	24	2000	0	0
20057	1	3	14	720	0	0
20057	2	4	15	700	0	0
20059	1	1	18	2000	0	0
20059	2	2	18	2000	0	0
20062	1	2	18	2000	0	0
20062	2	1	0	0	0	0
20063	1	2	30	2400	0	0
20063	2	1	30	2400	0	0
20064	1	3	6	480	0	0
20066	1	1	14	1120	0	0
20066	2	2	14	1120	0	0
20068	1	1	12	960	0	0
20068	2	2	24	2240	0	0
20069	1	2	30	2100	0	0
20070	2	1	48	3840	0	0
20070	3	3	48	3840	0	0
20071	1	1	12	960	0	0
20071	2	2	12	960	0	0
20073	1	2	50	4000	0	0
20073	2	5	13	1040	0	0
20074	1	1	15	1500	0	0
20074	2	2	15	1500	0	0
20075	1	2	15	1500	0	0
20076	1	2	3	360	0	0
20078	1	1	14	1540	0	0
20078	2	2	14	1540	0	0
20079	1	3	0	0	20	2000
20079	2	2	0	0	20	2000
20080	1	3	7	560	0	0
20081	1	2	3	270	0	0
20083	1	2	0	0	20	2000
20083	2	1	0	0	20	2000
20087	1	2	30	3000	0	0
20088	1	1	30	3000	0	0
20088	2	2	30	3000	0	0
20090	1	2	0	0	40	3500
20090	2	1	0	0	15	1200
20092	1	0	48	3360	0	0
20092	2	9	30	2100	0	0
20092	3	4	24	1680	0	0
20092	4	10	40	2800	0	0
20097	1	4	0	0	20	1200
20097	2	2	0	0	20	1200
20097	3	7	0	0	20	1200
20098	1	1	15	1500	0	0
20098	2	2	15	1500	0	0
30098	1	30	30	2170	6	432
30098	2	31	32	2765	16	1280
40001	1	3	66	5280	30	2400
40001	2	4	66	5280	30	2100
40002	1	2	0	0	36	3240
40002	2	4	0	0	48	4320
40003	1	3	18	2100	20	2000
40003	2	4	18	2100	20	2000
40004	1	2	40	4000	0	0
40004	2	3	40	4000	0	0
40005	1	3	66	5280	30	2400
40005	2	4	70	5600	26	2080
40006	1	2	25	3200	15	1300
40006	2	3	25	3200	15	1300
40007	1	1	0	0	45	3900
40007	2	2	0	0	45	3900
40008	1	1	0	0	45	4050
40008	2	2	0	0	45	4050
40009	1	1	40	4000	0	0
40009	2	2	30	3000	0	0
40010	1	3	0	0	48	6240
40010	2	4	0	0	45	5850
40011	1	3	30	3000	15	2000
40011	2	4	30	3000	15	2000
40012	1	2	50	3000	0	0
40012	2	3	50	3000	0	0
40013	1	1	0	0	48	4080
40013	2	2	0	0	45	3825
40014	1	2	30	3500	20	2000
40014	2	3	30	3500	20	2000
40015	1	2	0	0	78	7800
40015	2	6	0	0	78	7800
40016	1	4	15	1500	0	0
40016	2	5	35	3500	0	0
40016	3	6	21	2100	0	0
40017	1	1	32	3200	0	0
40017	2	2	76	6080	20	1600
40018	1	1	66	5280	30	2400
40018	2	2	66	4620	30	2100
40019	1	1	25	3000	20	2100
40019	2	2	25	3000	20	2000
40020	1	2	30	3500	6	500
40021	2	2	60	5400	0	0
40021	3	3	40	3600	0	0
40022	1	1	0	0	30	2700
40022	2	2	0	0	30	2700
40023	1	1	25	2250	0	0
40023	2	2	25	2250	0	0
40024	1	3	66	5940	30	2700
40024	2	4	66	5280	30	2100
40025	1	1	45	3600	0	0
40025	2	2	30	2400	0	0
40027	1	3	50	4000	0	0
40027	2	4	50	4000	0	0
40029	1	1	40	3600	0	0
40029	2	2	48	3840	0	0
40029	3	5	40	3600	0	0
40030	1	1	0	0	50	5000
40030	2	2	0	0	40	4000
40031	1	2	0	0	16	1600
40031	2	3	0	0	16	1600
40031	3	4	0	0	16	1600
40031	4	5	0	0	16	1600
40031	5	6	0	0	16	1600
40031	6	7	0	0	16	1600
40032	1	3	30	1500	0	0
40032	2	4	30	1500	0	0
40034	1	1	0	0	72	6480
40034	2	2	0	0	36	3240
40036	1	1	48	5100	0	0
40036	2	2	48	4950	0	0
40036	3	4	18	1650	0	0
40037	1	2	60	5525	0	0
40037	2	3	40	3400	0	0
40038	1	1	0	0	40	2250
40038	2	2	0	0	40	2250
40041	1	1	30	3000	0	0
40041	2	2	30	3000	0	0
40042	1	2	0	0	30	2800
40042	2	3	0	0	30	2800
40043	1	2	30	3000	18	2000
40043	2	3	30	3000	18	2000
40044	1	2	25	2000	0	0
40044	2	3	30	2400	0	0
40044	3	4	30	2400	0	0
40045	1	1	20	2000	16	2000
40045	2	2	20	2000	16	2000
40046	1	2	34	3400	30	3000
40046	2	3	0	0	36	3600
40047	1	1	25	3000	20	2000
40047	2	2	25	3000	20	2000
40048	1	1	66	5280	30	2400
40048	2	2	66	4620	30	2100
40048	3	3	66	4620	30	2100
40049	1	2	0	0	25	2660
40049	2	3	0	0	30	1950
40050	1	1	40	3800	40	3800
40050	2	2	0	0	18	1710
40051	1	3	40	4200	40	4200
40052	1	1	10	1000	40	4000
40052	2	2	10	1000	40	4000
40053	1	2	48	4800	0	0
40053	2	3	40	4000	0	0
40054	1	 	 	 	 	 
40055	1	1	25	2200	15	1800
40055	2	2	25	2200	15	1800
40056	1	3	34	3230	30	2850
40056	2	4	36	3420	0	0
40058	1	2	60	6000	0	0
40064	1	2	0	0	20	1800
40064	2	1	0	0	30	2700
40069	1	1	0	0	50	6380
40069	2	2	0	0	50	6380
40069	3	3	0	0	30	3300
40069	9	4	0	0	30	3300
40073	1	2	30	2100	0	0
40074	1	1	30	3000	18	1800
40074	3	2	35	2800	13	1040
40075	1	4	70	7000	0	0
40081	1	1	46	4600	50	5000
40082	1	3	30	2700	18	1620
40082	2	4	66	5280	30	2400
40084	1	1	0	0	35	2450
40084	2	2	0	0	50	3500
40087	1	1	60	6000	0	0
40087	2	2	50	5000	0	0
40088	1	2	0	0	72	6480
40089	1	4	40	3200	0	0
40089	2	5	60	4800	0	0
40090	1	1	28	3200	12	1440
40090	2	7	28	3200	12	1440
40091	1	2	40	3400	0	0
40091	2	3	30	2550	0	0
40091	3	6	30	2550	0	0
40092	1	1	25	2800	15	1700
40092	2	2	25	2800	15	1700
40093	1	1	0	0	30	2800
40093	2	2	0	0	30	2800
40094	1	1	30	3500	15	1500
40094	2	3	30	3500	15	1500
40095	1	3	40	4000	0	0
40095	2	4	50	5000	0	0
40097	1	1	46	4830	50	5250
40098	1	3	60	5400	0	0
40098	2	4	40	3600	0	0
40099	1	1	30	3000	30	3000
40099	2	2	36	3600	0	0
40100	1	4	25	2800	20	2000
40100	2	5	25	2800	20	2000
50003	1	1	30	2700	0	0
50003	2	2	35	3150	25	2250
50005	1	3	26	1950	0	0
50005	2	6	46	3220	0	0
50005	3	1	26	1950	0	0
50006	1	2	30	900	0	0
50006	2	1	15	450	0	0
50007	1	2	48	3840	0	0
50007	2	1	30	2400	0	0
50008	1	3	52	4680	0	0
50008	2	4	26	2600	0	0
50009	1	1	48	4320	0	0
50009	2	2	40	3600	0	0
50010	1	3	45	5625	0	0
50010	2	4	40	5000	0	0
50010	3	5	45	5625	0	0
50010	4	6	45	5625	0	0
50011	1	4	36	2880	0	0
50011	2	3	36	2880	0	0
50011	3	2	12	1020	0	0
50012	1	4	96	8640	0	0
50013	1	1	2	180	0	0
50013	2	2	51	4590	0	0
50014	1	3	56	4760	34	2890
50015	1	2	45	3150	6	360
50015	2	1	0	0	3	160
50016	1	1	30	2700	0	0
50016	2	2	30	2700	0	0
50018	1	2	35	2900	25	1980
50019	1	2	57	4560	39	3315
50020	1	6	37	2960	43	3655
50021	1	2	32	1920	0	0
50021	2	3	33	2310	3	210
50022	1	1	15	1054	18	1245
50022	2	2	23	1780	19	1260
50023	1	1	32	2720	28	2380
50023	2	2	45	3600	30	2400
50024	1	3	16	1280	0	0
50024	2	2	40	3200	35	2800
50027	1	3	48	4800	0	0
50027	2	7	32	3200	0	0
50028	1	2	30	2400	0	0
50028	2	3	24	1800	0	0
50030	1	 	 	 	 	 
50031	1	2	30	3000	0	0
50031	2	3	40	4000	0	0
50032	1	2	52	2080	0	0
50032	2	4	26	1560	0	0
50033	1	3	30	2100	0	0
50033	2	2	24	1920	0	0
50034	1	2	36	2520	0	0
50035	1	3	30	2400	0	0
50036	1	2	30	3150	0	0
50037	1	4	40	3200	32	2600
50038	1	1	15	1160	15	980
50038	2	2	24	1950	21	1620
50039	1	2	26	2000	10	650
50040	1	1	30	2550	0	0
50040	2	2	18	1080	0	0
50043	1	2	28	2100	20	1700
50043	2	4	28	2100	20	1700
50044	1	4	30	1800	0	0
50045	1	1	24	1920	0	0
50045	2	2	12	960	0	0
50046	1	2	52	2600	0	0
50046	2	3	36	1800	0	0
50047	1	3	45	3600	0	0
50047	2	4	40	3200	0	0
50048	1	3	28	2560	32	2080
50048	2	2	23	1840	19	1520
50049	1	1	45	4500	0	0
50049	2	2	60	4800	0	0
50050	1	1	40	2800	0	0
50050	2	2	48	3360	0	0
50051	1	6	60	4800	0	0
50051	2	7	36	2880	0	0
50052	1	2	32	2560	0	0
50052	2	3	48	3840	0	0
50053	1	1	60	5100	0	0
50054	1	1	32	2560	0	0
50054	2	2	48	3840	0	0
50055	1	3	40	3600	0	0
50055	2	4	48	4320	0	0
50056	1	2	30	2400	0	0
50056	2	1	36	2700	0	0
50057	1	5	20	1000	0	0
50057	2	6	54	2700	0	0
50058	1	1	58	4640	32	2560
50065	1	1	25	2000	23	1840
50065	2	2	19	1520	29	2320
50067	1	1	12	600	0	0
50067	2	2	15	750	0	0
50069	1	2	26	1820	0	0
50069	2	6	45	2700	0	0
50070	1	5	32	2240	22	1540
50070	2	6	25	1750	20	1400
50072	2	3	12	840	8	540
50072	3	5	20	1300	10	630
50072	4	1	35	2100	13	730
50073	1	2	30	1800	0	0
50075	1	3	26	1300	0	0
50075	2	4	26	1040	0	0
50075	3	6	40	2000	0	0
50077	1	1	48	2400	0	0
50077	2	2	48	2400	0	0
50079	1	6	35	1750	13	650
50080	1	2	20	1600	0	0
50080	2	4	24	1920	0	0
50080	3	9	16	1120	0	0
50080	4	15	8	440	0	0
50081	1	1	36	1440	12	480
50081	2	2	37	1480	11	440
50082	1	3	40	3200	0	0
50082	2	4	24	1860	0	0
50083	1	1	36	1800	0	0
50083	2	4	40	2000	8	400
