CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPRIDR4	SUPEXPR4	SUPIMR401	SUPIMR402
10003	1	12	36	2010	99	1	0	3	4	6
10008	1	12	36	2013	99	6	4	3	88	88
10016	1	12	36	2011	99	1	80	3	4	1
10030	1	12	36	2010	99	6	0	4	4	6
10033	1	12	36	2010	99	1	28	3	4	1
10035	1	16	36	2012	99	1	0	4	1	2
10039	1	8	45	2013	99	4	3	3	88	88
10044	1	12	36	2011	99	4	0	4	6	5
10044	2	12	36	2010	99	4	28	4	4	6
10045	1	12	36	2010	99	1	0	4	2	4
10051	1	12	36	2011	99	4	0	4	4	6
10055	1	12	36	2010	99	1	0	4	4	1
10058	1	12	36	2010	99	6	0	4	6	1
10060	1	16	36	2013	99	1	0	4	1	4
10062	1	12	36	2012	99	4	0	4	4	6
10066	1	16	36	2009	99	1	0	4	1	4
10068	1	16	36	2009	99	1	0	4	6	2
10068	2	16	36	2011	99	1	3	4	2	6
10069	1	12	36	2011	99	1	0	4	4	6
10071	1	12	36	2012	99	4	0	4	4	6
10072	1	16	48	2010	99	1	0	4	2	4
10079	1	12	36	2010	99	6	0	4	6	4
10080	1	16	49	2012	99	6	0	5	4	6
10080	2	16	49	2012	99	6	3	5	4	1
10083	1	12	36	2010	99	1	80	4	4	1
10086	1	12	36	2010	99	6	0	2	6	88
10087	1	13	49	2010	99	2	0	4	5	9
10088	1	12	36	2010	99	6	0	4	4	6
10097	1	12	36	2011	99	1	0	4	4	6
10098	1	12	36	2010	99	1	0	4	4	6
10098	2	12	36	2010	99	4	3	4	4	6
10100	1	12	36	2011	99	4	0	4	4	6
20002	1	16	36	2012	99	6	0	4	4	6
20002	2	16	36	2009	99	6	8	5	4	5
20004	1	16	36	2012	99	6	0	5	4	6
20004	2	16	36	2010	99	6	4	4	6	4
20005	1	16	36	2010	99	6	0	5	6	4
20005	2	16	36	2013	99	6	3	5	4	6
20007	1	16	36	2010	99	1	0	4	4	6
20008	1	16	36	2010	99	1	0	4	4	6
20009	1	12	44	2010	99	1	0	4	6	5
20010	1	12	44	2010	99	1	0	4	6	5
20011	1	16	36	2010	99	6	0	1	2	1
20011	2	16	36	2011	99	6	8	3	2	4
20011	3	16	36	2009	2012	6	7	3	4	2
20014	1	16	36	2010	99	1	80	5	6	4
20015	1	16	44	2011	99	1	0	4	1	5
20016	1	19	36	2009	99	4	4	4	77	88
20017	1	16	36	2010	99	1	0	4	1	2
20017	2	16	36	2012	99	1	6	4	1	2
20019	1	19	36	2009	99	4	2	4	5	88
20025	1	12	36	2010	99	1	0	4	6	4
20025	2	19	36	2012	99	6	2	2	5	88
20026	1	16	36	2010	99	1	0	4	1	6
20030	1	19	36	2012	99	6	2	2	9	88
20030	2	12	36	2010	99	6	0	4	6	4
20031	1	12	36	2010	99	6	0	4	6	88
20031	2	19	36	2013	99	6	3	2	9	88
20032	1	6	36	2010	99	3	1	4	7	5
20032	2	12	36	2010	99	1	0	5	1	4
20033	1	12	36	2011	99	1	0	3	6	1
20034	1	16	36	2010	99	1	0	4	5	6
20036	1	12	36	2011	2012	4	0	3	4	6
20041	2	12	36	2010	99	6	3	3	4	6
20044	1	16	36	2011	99	6	0	4	6	1
20045	1	16	36	2012	99	6	0	4	6	4
20045	2	16	36	2012	99	6	28	3	4	88
20047	1	12	36	2012	99	1	0	4	4	6
20047	2	12	36	2011	99	1	3	4	6	1
20049	1	16	36	2011	99	1	0	4	1	6
20049	2	16	44	2010	99	1	28	4	6	4
20051	3	12	36	2011	99	6	0	5	6	1
