CHILDCODE	DNFDIDR4	DONNMER4	DONTYPR4	DONRCVR4	DONAMTR4	DONMSRR4	DONPRCR4	PRCMSRR4
11001	1	AVENA CON LECHE	10	180	1	8	1	8
11002	1	QUACKER CON LECHE	3	110	1	8	1	8
11002	2	PAN SOLO O CON MANTEQUILLA	9	110	1	7	0,7	7
11003	1	QUAKER	3	70	1	8	1	8
11003	2	PAN /MORTADELA	9	70	1	7	0,5	7
11004	1	QUACKER CON LECHE	3	260	1	8	0,5	8
11004	2	PAN SOLO O CON TORTILLA O ATUN O MANTEQUILLA O MERMELADA	9	260	1	7	0,5	7
11006	1	PESCADOS	7	312	2	7	3	7
11006	2	KUAQUER CON LECHE	10	240	2	8	0,5	8
11008	1	QUACKER CON HARINA PLATANO	3	100	1	8	1	8
11008	2	PAN SOLO O CON MANTEQUILLA O MANJAR O ATUN O MERMELADA	9	100	1	7	0,5	7
11010	1	PAN CON HUEVO	9	80	1	7	1	7
11010	2	AVENA	3	80	1	8	0,5	8
11011	1	VASO DE LECHE  AVENA	1	4	1	8	1	8
11012	1	LACTEOS	1	6	1	2	3	2
11012	2	ALIMENTOS PREPARADOS CON ARROZ, FREJOL, ACEITE, HARINA Y SARDINA	10	90	1	5	1	5
11012	3	QUACKER CON LECHE	3	100	1	8	0,5	8
11012	4	PAN CON JAMONADA O MANTEQUILLA O MANJAR BLANCO, ETC	9	100	1	7	1	7
11013	1	QUAKER CON LECHE	3	190	3	8	1	8
11013	2	PAN CON MERMELADA	9	190	3	7	0,5	7
11014	1	QUAKER CON LECHE	10	200	1	8	1	8
11014	2	ALIMENTOS PREPARADOS ( ALMUERZO)	10	48	3	9	3,5	9
11014	3	PAN CON QUESO	10	600	3	7	0,5	7
11014	4	QUINUA CON LECHE	10	600	3	8	1	8
11015	1	AVENA	3	7	1	8	1,8	8
11015	2	PAN	10	7	1	7	1,8	7
11016	1	LECHE PREPARADA	1	150	1	8	1	8
11016	2	LECHE PREPARADA	1	400	2	8	1	8
11016	3	PAN CON ATUN	10	400	2	7	1	7
11017	1	QUINUAVENA CON LECHE	3	240	1	8	1	8
11017	2	PAN CON MANTEQUILLA O MERMELADA O MORTADELA	9	200	1	7	0,8	7
11017	3	LECHE	1	200	1	8	1	8
11018	1	AVENA CON LECHE	10	240	2	8	1	8
11018	2	PAN	9	200	1	7	0,5	7
11019	1	VASO DE LECHE	1	12	2	8	1	8
11020	1	PAPAPAN	9	90	1	7	0,5	7
11021	1	PAN	9	100	1	5	0,3	5
11022	1	PAN CON JAMONADA	9	200	1	5	1	5
11022	2	AVENA CON LECHE	10	200	1	5	2	5
11023	1	LECHE CON HARINA DE PLATANO	1	80	1	8	1	8
11023	2	PAN CON MANTEQUILLA	9	80	1	7	0,5	7
11026	1	PAN CON QUESO O MERMELADA O HUEVO O ATUN, VARIADO	9	200	1	7	0,5	7
11026	2	QUACKER CON QUINUA Y LECHE	3	200	1	8	1	8
11026	3	PAPAPAN	9	180	1	7	0,5	7
11026	4	LACTEO	10	180	1	8	0,5	8
11027	1	LECHE CON QUAKER	3	80	1	8	2	8
11027	2	PAN CON MANTEQUILLA	9	40	1	7	0,5	7
11027	3	PAN CON TORTILLA	9	40	1	7	1	7
11028	1	AVENA	10	80	1	5	1	5
11028	2	PAN C0N MARGARINA	9	80	1	5	0,5	5
11030	1	AVENA CON LECHE	10	18	1	1	2	1
11033	1	LECHE	1	12	4	8	1	8
11033	2	AVENA	3	12	1	5	1	5
11035	1	LECHE CON AVENA	10	120	1	8	1	8
11036	1	AVENA CON LECHE	10	240	1	8	2	8
11038	1	PAPAPAN	9	160	1	7	0,5	7
11038	2	PAN CON MERMELADA O MANTEQUILLA	9	100	1	7	0,5	7
11038	3	QUACKER CON LECHE O SOLO	3	100	1	8	0,5	8
11040	1	PAPAPAN	9	160	1	7	0,5	7
11040	2	QUACKER CON LECHE	3	160	1	8	0,5	8
11041	1	PLATANO	15	150	2	10	15	10
11041	2	NARANJA, LIMON, PAPAYA	15	100	1	2	3	2
11041	3	PESCADOS	7	50	1	2	6	2
11041	4	AVENA	3	19	1	2	2,5	2
11041	5	KUAQUER CON LECHE	10	400	2	8	0,5	8
11041	6	PAN CON MERMELADA	10	400	4	7	0,8	7
11042	1	AVENA	3	80	1	8	0,5	8
11042	2	PAN  CON MORTADELA	9	50	1	7	1	7
11044	1	PAN CON TORTILLA,MERMELADA	10	100	2	7	1	7
11044	2	QUAKER CON LECHE	10	2	1	8	1	8
11045	1	PAN CON ATUN,MERMELADA,TORTILLA	10	80	1	7	1	7
11045	2	QUAKER CON LECHE	10	80	1	8	1	8
11047	1	CANASTAS NAVIDEÑAS	15	2	2	10	300	10
11047	2	PAVO	15	2	2	7	80	7
11050	1	LECHE PREPARADA	1	100	1	8	1	8
11050	2	PAN	9	100	1	7	0,3	7
11051	1	PAN CON MERMELADA,ATUN,HUEVO,	10	100	1	7	1	7
11051	2	QUAKER CON LECHE	10	100	1	8	1	8
