CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
11001	9	1	2	4	1	 
11001	10	1	3	4	1	 
11001	11	1	4	4	0	24
11001	12	1	5	4	1	 
11001	13	1	6	4	1	 
11002	9	1	2	4	1	 
11002	10	1	3	4	1	 
11002	11	1	4	4	1	 
11002	12	1	5	4	1	 
11002	13	1	6	4	1	 
11003	9	1	3	4	1	 
11003	10	1	4	4	0	24
11003	11	1	5	4	1	 
11003	12	1	6	4	1	 
11003	13	1	7	4	0	24
11004	9	1	3	4	1	 
11004	10	1	4	4	1	 
11004	11	1	5	4	1	 
11004	12	1	6	4	1	 
11004	13	1	7	4	1	 
11005	9	1	3	4	1	 
11005	10	1	4	4	1	 
11005	11	1	5	4	1	 
11005	12	1	6	4	1	 
11005	13	1	7	4	0	24
11006	9	1	2	4	1	 
11006	10	1	3	4	1	 
11006	11	1	4	4	0	24
11006	12	1	5	4	1	 
11006	13	1	6	4	1	 
11007	9	1	3	4	1	 
11007	10	1	4	4	1	 
11007	11	1	5	4	1	 
11007	12	1	6	4	1	 
11007	13	1	7	4	1	 
11008	9	1	2	4	1	 
11008	10	1	3	4	1	 
11008	11	1	4	4	1	 
11008	12	1	5	4	1	 
11008	13	1	6	4	1	 
11009	9	1	2	4	1	 
11009	10	1	3	4	1	 
11009	11	1	4	4	1	 
11009	12	1	5	4	1	 
11009	13	1	6	4	1	 
11010	9	1	2	4	1	 
11010	10	1	2	1	0	24
11010	11	1	2	4	0	24
11010	12	1	3	4	1	 
11010	13	1	4	4	1	 
11011	9	1	1	4	1	 
11011	10	1	2	4	1	 
11011	11	1	2	4	1	 
11011	12	1	3	4	1	 
11011	13	1	3	4	1	 
11012	9	1	3	4	1	 
11012	10	1	4	4	1	 
11012	11	1	5	1	0	24
11012	12	1	6	1	1	 
11012	13	1	7	4	0	24
11013	9	1	3	4	1	 
11013	10	1	3	4	1	 
11013	11	1	4	4	1	 
11013	12	1	5	4	1	 
11013	13	1	6	4	1	 
11014	9	1	2	4	1	 
11014	10	1	3	4	1	 
11014	11	1	4	4	0	24
11014	12	1	5	4	1	 
11014	13	1	6	4	1	 
11015	9	1	2	4	1	 
11015	10	1	3	4	1	 
11015	11	1	4	4	1	 
11015	12	1	5	4	1	 
11015	13	1	6	4	1	 
11016	9	1	2	4	1	 
11016	10	1	3	4	1	 
11016	11	1	4	4	1	 
11016	12	1	5	4	1	 
11016	13	1	6	4	1	 
11017	9	1	2	4	1	 
11017	10	1	2	4	1	 
11017	11	1	3	4	1	 
11017	12	1	4	4	1	 
11017	13	1	5	4	1	 
11018	9	1	2	4	1	 
11018	10	1	3	4	1	 
11018	11	1	4	4	1	 
11018	12	1	5	4	1	 
11018	13	1	6	4	1	 
11019	9	1	3	4	1	 
11019	10	1	4	4	1	 
11019	11	1	5	4	1	 
11019	12	1	6	4	1	 
11019	13	1	7	4	0	24
11020	9	1	3	4	1	 
11020	10	1	4	4	1	 
11020	11	1	5	4	1	 
11020	12	1	6	4	1	 
11020	13	1	7	4	1	 
11021	9	1	3	4	1	 
11021	10	1	4	4	1	 
11021	11	1	5	4	1	 
11021	12	1	6	4	1	 
