CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
10001	1	0	 	 	 
10001	2	1	240	0	 
10001	3	0	 	 	 
10001	4	1	30	0	 
10001	5	1	140	0	 
10001	6	1	580	0	 
10001	7	0	 	 	 
10001	8	 	 	 	 
10002	1	0	 	 	 
10002	2	1	120	0	 
10002	3	0	 	 	 
10002	4	1	10	0	 
10002	5	1	70	0	 
10002	6	1	290	0	 
10002	7	1	15	0	 
10002	8	 	 	 	 
10003	1	0	 	 	 
10003	2	1	120	0	 
10003	3	0	 	 	 
10003	4	1	230	0	 
10003	5	1	100	0	 
10003	6	0	 	 	 
10003	7	0	 	 	 
10003	8	 	 	 	 
10004	1	0	 	 	 
10004	2	1	120	0	 
10004	3	0	 	 	 
10004	4	1	10	0	 
10004	5	1	70	0	 
10004	6	1	290	0	 
10004	7	1	15	0	 
10004	8	 	 	 	 
10005	1	0	 	 	 
10005	2	1	120	0	 
10005	3	0	 	 	 
10005	4	1	10	0	 
10005	5	1	100	0	 
10005	6	1	0	290	 
10005	7	1	15	0	 
10005	8	 	 	 	 
10006	1	0	 	 	 
10006	2	1	120	0	 
10006	3	0	 	 	 
10006	4	1	30	0	 
10006	5	1	70	0	 
10006	6	2	290	0	 
10006	7	1	30	0	 
10006	8	 	 	 	 
10007	1	1	270	0	 
10007	2	1	360	0	 
10007	3	0	 	 	 
10007	4	1	30	0	 
10007	5	1	180	0	 
10007	6	1	780	0	 
10007	7	0	 	 	 
10007	8	 	 	 	 
10008	1	0	 	 	 
10008	2	1	120	0	 
10008	3	0	 	 	 
10008	4	1	40	0	 
10008	5	1	80	0	 
10008	6	1	290	0	 
10008	7	0	 	 	 
10008	8	 	 	 	 
10009	1	0	 	 	 
10009	2	2	200	0	 
10009	3	0	 	 	 
10009	4	1	-77	0	 
10009	5	1	-77	0	 
10009	6	2	290	0	 
10009	7	1	-77	0	 
10009	8	 	-77	 	 
10010	1	0	 	 	 
10010	2	1	120	0	 
10010	3	0	 	 	 
10010	4	1	20	0	 
10010	5	0	 	 	 
10010	6	1	290	0	 
10010	7	0	 	 	 
10010	8	 	 	 	 
10011	1	0	 	 	 
10011	2	2	100	0	 
10011	3	1	40	0	 
10011	4	1	140	0	 
10011	5	1	110	0	 
10011	6	1	580	0	 
10011	7	1	-77	0	 
10011	8	 	910	 	 
10012	1	1	100	0	 
10012	2	2	300	0	 
10012	3	0	 	 	 
10012	4	1	100	0	 
10012	5	1	200	0	 
10012	6	2	870	0	 
10012	7	0	 	 	 
10012	8	 	 	 	 
10013	1	1	-77	0	 
10013	2	2	300	0	 
10013	3	0	 	 	 
10013	4	0	 	 	 
10013	5	2	200	0	 
10013	6	2	578	0	 
10013	7	2	50	0	 
10013	8	 	1400	 	 
10014	1	1	180	0	 
10014	2	1	200	0	 
10014	3	1	20	0	 
10014	4	1	20	0	 
10014	5	0	 	 	 
10014	6	1	240	0	 
10014	7	0	 	 	 
10014	8	 	 	 	 
10015	1	0	 	 	 
10015	2	2	120	0	 
10015	3	0	 	 	 
10015	4	1	-77	0	 
10015	5	1	-77	0	 
10015	6	2	290	0	 
10015	7	0	 	 	 
10015	8	 	-77	 	 
10016	1	0	 	 	 
10016	2	1	240	0	 
10016	3	0	 	 	 
10016	4	1	20	0	 
10016	5	0	 	 	 
10016	6	1	580	0	 
10016	7	0	 	 	 
10016	8	 	 	 	 
10017	1	0	 	 	 
10017	2	1	120	0	 
10017	3	0	 	 	 
10017	4	1	10	0	 
10017	5	1	70	0	 
10017	6	1	290	0	 
10017	7	1	15	0	 
10017	8	 	 	 	 
10018	1	0	 	 	 
10018	2	1	120	0	 
10018	3	0	 	 	 
10018	4	1	20	0	 
10018	5	1	70	0	 
10018	6	1	290	0	 
10018	7	0	 	 	 
10018	8	 	 	 	 
10019	1	0	 	 	 
10019	2	1	240	0	 
10019	3	1	18	0	 
10019	4	1	40	0	 
10019	5	1	140	0	 
10019	6	1	580	0	 
10019	7	1	30	0	 
10019	8	 	 	 	 
10020	1	0	 	 	 
10020	2	1	170	-77	6
10020	3	0	 	 	 
10020	4	1	30	0	 
10020	5	1	150	0	 
10020	6	1	270	-77	6
10020	7	0	 	 	 
10020	8	 	 	88	 
10021	1	0	 	 	 
10021	2	1	120	0	 
10021	3	0	 	 	 
10021	4	1	30	0	 
10021	5	1	80	0	 
10021	6	1	290	0	 
10021	7	0	 	 	 
10021	8	 	 	 	 
10022	1	1	100	0	 
10022	2	2	120	0	 
10022	3	0	 	 	 
10022	4	1	30	0	 
10022	5	1	100	0	 
10022	6	2	290	0	 
10022	7	0	 	 	 
10022	8	 	 	 	 
10024	1	0	 	 	 
10024	2	1	120	0	 
10024	3	0	 	 	 
10024	4	1	10	0	 
10024	5	1	70	0	 
10024	6	1	290	0	 
10024	7	0	 	 	 
10024	8	 	 	 	 
