CHILDCODE	HHLNIDR4	HHLNSCR4	FMLNR4	DIFFPYR4
10001	1	1	1	1
10003	1	8	2	1
10005	1	1	1	3
10006	1	8	2	3
10007	1	2	1	1
10008	1	6	1	2
10009	1	2	1	3
10011	1	 	 	 
10012	1	2	1	2
10014	1	2	1	1
10015	1	2	1	3
10018	1	2	1	1
10019	1	7	2	2
10020	1	8	2	1
10024	1	1	1	3
10030	1	6	1	1
10032	1	2	1	3
10032	2	10	1	3
10034	1	2	1	2
10035	1	2	1	1
10038	1	1	1	2
10041	1	2	1	2
10042	1	1	1	3
10043	1	8	2	1
10047	1	2	1	3
10049	1	10	1	3
10050	1	2	1	2
10050	2	6	1	2
10052	1	1	1	1
10061	1	7	77	3
10063	1	2	1	2
10064	1	1	1	1
10065	1	8	2	2
10069	1	1	1	1
10070	1	3	1	1
10075	1	1	1	3
10075	2	7	2	3
10078	1	8	2	3
10079	1	3	1	2
10080	1	2	1	2
10081	1	2	1	2
10082	1	2	1	1
10084	1	2	1	1
10087	1	8	2	2
10088	1	2	1	2
10089	1	1	1	3
10091	1	2	1	3
10092	1	2	1	2
10097	1	1	1	1
10118	1	10	1	1
10122	1	2	1	3
10140	1	6	1	2
20001	1	1	1	1
20003	1	8	2	1
20004	1	2	1	2
20005	1	2	1	1
20007	1	2	1	1
20008	1	1	1	1
20012	1	2	1	1
20012	2	7	2	2
20013	1	2	1	1
20017	1	1	1	3
20020	1	2	1	1
20023	1	1	1	1
20024	1	7	2	2
20025	1	1	1	1
20026	1	1	1	1
20028	1	2	1	1
20029	1	1	1	3
20032	1	1	1	1
20037	1	2	1	1
20037	2	7	2	1
20037	3	8	2	1
20039	1	2	1	2
20043	1	8	2	1
20044	1	1	1	3
20048	1	2	1	1
20056	1	2	1	2
20056	2	1	1	1
20065	1	8	2	3
20066	1	8	2	1
20068	1	1	1	1
20073	1	1	1	3
20078	1	8	2	1
20081	1	1	1	1
20084	1	1	1	2
20088	1	2	1	2
20089	1	8	2	2
20090	1	7	2	1
20095	1	8	2	2
20096	1	2	1	2
20098	1	1	1	1
20098	2	8	2	1
20099	1	10	2	3
20099	2	1	1	1
20105	1	1	1	1
20114	1	1	1	1
20117	1	1	1	1
20119	1	2	1	2
20129	1	8	2	2
30001	1	1	1	1
30003	1	1	1	2
30004	1	10	1	2
30005	1	2	1	2
30006	1	1	1	1
30008	1	2	1	1
30008	2	1	1	1
30009	1	1	1	1
30010	1	1	1	2
30010	2	2	1	2
30012	1	1	1	3
30012	2	7	2	3
30013	1	2	1	3
30015	1	1	1	2
30015	2	2	1	2
30016	1	2	1	2
30016	2	1	1	2
30017	1	2	1	2
30018	1	1	1	1
30019	1	2	1	2
30020	1	2	1	3
30021	1	2	1	2
30022	1	7	2	2
30023	1	1	1	2
30023	2	2	1	2
30025	1	2	1	1
30027	1	2	1	2
30029	1	2	1	2
30030	1	2	1	1
30031	1	2	1	2
30032	1	1	1	1
30033	1	1	1	1
30034	1	2	1	2
30036	1	7	2	3
30037	1	2	1	1
30040	1	1	1	2
30041	1	10	1	2
30041	2	10	1	2
30042	1	2	1	1
30043	1	5	1	3
30046	1	7	2	3
30048	1	7	2	3
30049	1	2	1	1
30052	1	2	1	1
30055	1	2	1	1
30056	1	7	2	2
30057	1	7	1	1
30058	1	10	1	2
30061	1	8	2	2
30064	1	7	2	2
30065	1	7	2	2
30066	1	7	1	1
30069	1	8	2	2
30071	1	2	1	3
30072	1	2	1	1
30074	1	2	1	3
30075	1	2	1	2
30077	1	1	1	2
30083	1	2	1	2
30083	2	1	1	2
30084	1	10	1	2
30086	1	8	2	1
30087	1	1	1	2
30089	1	1	1	1
30092	1	2	1	1
30093	1	2	1	3
30094	1	1	1	2
30095	1	1	1	2
30096	1	3	1	2
30098	1	2	1	2
30099	1	2	1	3
30100	1	2	1	1
30120	1	2	1	3
30120	2	5	1	3
30130	1	2	1	1
30132	1	1	1	1
30138	1	1	1	1
40001	1	1	1	2
40002	1	2	1	2
40004	1	1	1	1
40005	1	2	1	1
40006	1	7	2	2
40008	1	1	1	1
40010	1	1	1	3
40014	1	2	1	3
40018	1	7	2	3
40025	1	2	1	2
40029	1	7	2	3
40034	1	7	2	2
40043	1	8	2	1
40049	1	1	1	1
40051	1	1	1	1
40054	1	1	1	3
40055	1	2	1	3
40056	1	1	1	3
40060	1	7	2	4
40062	1	7	2	1
40066	1	8	1	1
40069	1	5	1	2
40070	1	2	1	2
40071	1	6	1	2
40075	1	2	1	1
40076	1	2	1	1
40076	2	7	77	1
40078	1	8	2	2
40079	1	2	1	1
40085	1	1	1	1
40090	1	1	1	1
40093	1	5	1	1
40095	1	2	1	3
40098	1	1	1	3
40098	2	7	1	3
40100	1	1	1	2
40129	1	2	1	2
40143	1	 	 	 
40145	1	1	1	1
40164	1	7	2	2
50003	1	7	1	1
50005	1	1	1	2
50008	1	1	1	3
50011	1	 	 	 
50012	1	10	1	1
50013	1	1	1	1
50024	1	3	1	3
50027	1	8	2	2
50032	1	7	2	3
50040	1	1	1	3
50042	1	7	1	2
50043	1	2	1	1
50043	2	3	1	1
50053	1	7	2	3
50060	1	2	2	1
50068	1	1	1	3
50068	2	8	2	2
50070	1	7	1	2
50072	1	8	1	1
50076	1	2	1	2
50076	2	7	1	2
50079	1	2	1	1
50081	1	2	1	2
50082	1	1	1	2
50083	1	8	2	2
50087	1	7	2	3
50091	1	2	1	2
50092	1	7	2	1
50093	1	10	1	1
50094	1	2	1	1
50094	2	8	1	1
50097	1	2	1	2
50098	1	2	1	2
50100	1	1	1	1
50105	1	7	2	2
50108	1	1	1	1
50114	1	1	1	2
50115	1	2	2	1
50118	1	1	1	3
60001	1	2	1	3
60005	1	7	1	2
60006	1	3	1	1
60007	1	1	1	2
60008	1	7	2	3
60009	1	2	1	3
60023	1	2	1	3
60024	1	7	2	3
60025	1	2	1	2
60026	1	7	2	2
60029	1	1	1	1
60033	1	2	1	3
60034	1	2	1	2
60035	1	1	1	3
60035	2	7	2	2
60040	1	 	 	 
60045	1	1	1	3
60045	2	5	1	3
60050	1	8	2	1
60051	1	1	1	2
60052	1	2	1	1
60056	1	6	1	4
60058	1	2	1	2
60061	1	2	1	3
60067	1	2	1	3
60070	1	8	2	2
60073	1	2	1	1
60074	1	2	1	2
60079	1	2	1	3
60086	1	2	1	2
60088	1	2	1	1
60089	1	10	1	1
60091	1	2	1	3
60093	1	2	1	2
60096	1	8	2	1
60098	1	2	1	1
60100	1	2	1	3
60103	1	8	2	2
60108	1	7	2	1
60109	1	1	1	2
70001	1	7	1	1
70006	1	2	1	1
70013	1	1	1	1
70018	1	1	1	2
70023	1	1	1	1
70025	1	10	1	2
70028	1	2	1	1
70029	1	1	1	3
70032	1	2	1	3
70039	1	2	1	3
70039	2	1	1	3
70042	1	1	1	3
70053	1	6	1	1
70053	2	2	1	1
70057	1	2	1	1
70059	1	2	1	1
70065	1	7	2	2
70066	1	5	1	3
70067	1	1	1	2
70069	1	2	1	1
70071	1	1	1	2
70071	2	8	1	3
70073	1	1	1	2
70077	1	1	1	2
70080	1	1	1	2
70081	1	3	1	2
70084	1	2	1	3
70087	1	2	1	1
70095	1	7	2	1
70097	1	2	1	3
70099	1	7	2	3
70102	1	1	1	2
70105	1	1	1	1
70116	1	2	1	2
70118	1	2	1	1
70123	1	1	1	1
70125	1	1	1	2
80004	1	2	1	1
80006	1	7	2	3
80008	1	7	2	3
80009	1	2	1	1
80011	1	2	1	2
80011	2	1	1	2
80012	1	 	 	 
80014	1	1	1	1
80015	1	2	1	2
80019	1	2	1	1
80020	1	3	1	2
80026	1	1	1	1
80029	1	2	1	1
80035	1	2	1	2
80042	1	2	1	2
80042	2	1	1	2
80049	1	2	1	4
80050	1	2	1	3
80051	1	1	1	2
80053	1	2	1	4
80055	1	1	1	1
80061	1	1	1	2
80062	1	2	1	2
80064	1	2	1	3
80069	1	2	1	1
80078	1	10	2	2
80083	1	7	2	2
80090	1	2	1	2
80107	1	7	2	2
80115	1	2	1	1
80120	1	2	1	2
90002	1	1	1	2
90004	1	1	1	3
90006	1	7	2	3
90008	1	8	2	3
90009	1	1	1	1
90011	1	 	 	 
90012	1	1	1	3
90013	1	1	1	3
90013	2	2	1	3
90015	1	7	2	3
90017	1	1	1	1
90025	1	8	2	1
90028	1	1	1	3
90028	2	8	2	3
90031	1	8	2	2
90037	1	7	2	3
90043	1	8	2	2
90046	1	8	2	1
90054	1	7	2	1
90061	1	7	2	3
90067	1	8	2	2
90072	1	8	2	2
90074	1	7	2	2
90078	1	7	2	2
90080	1	8	2	1
90084	1	8	2	3
90085	1	1	1	1
90086	1	 	 	 
90120	1	8	2	3
100011	1	7	2	3
100011	2	8	2	3
100012	1	8	2	2
100013	1	1	1	2
100014	1	6	1	1
100015	1	2	1	1
100017	1	 	 	 
100020	1	 	 	 
100020	2	 	 	 
100026	1	3	1	1
100027	1	 	 	 
100029	1	8	2	1
100030	1	1	1	2
100031	1	8	2	1
100032	1	8	2	2
100033	1	8	2	1
100035	1	1	1	2
100036	1	2	1	1
100042	1	 	 	 
100043	1	2	1	1
100046	1	2	1	1
100056	1	2	1	3
100058	1	2	1	1
100062	1	8	2	1
100067	1	2	1	1
100067	2	8	2	1
100071	1	2	1	3
100074	1	1	1	1
100078	1	2	1	1
100079	1	1	1	2
100080	1	8	2	2
100082	1	1	1	3
100083	1	1	1	3
100086	1	3	1	3
