PLACEID	SURVDATE	REGION	CLUSTID	CHRINF1	CHRINF2	CHRINF3	POPSIZE	VILLOC	PAVEDN	UNPAVEDN	TRACKSN	AIRN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	FACTEMP	TOTMEN	TOTWOM	TOTCHILD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	SPRINF1	SPRINF2	SPRINF3	MIGRINF1	MIGRINF2	MIGRINF3	COMMIGR	TYPJOB	MIGRCOM	OTHRWORK	MIGRMOVM	MIGROFR	PARESTL	RESTLHH	RETUHH	RESTLARV	HHRESTL	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	GENPHYS	SPECPHYS	HLTHEXT	HLTHOFF	OTHRPERS
1011	30/01/2017 06:28:05	1	1	1	2	3	22010	7	1	1	0	1	0	1	0	 	1	4	700	513	100	0	1	2	3	1	4	2	1	2	5	1	5	4	2	3	1	2	3	4	5	1	2	3	1	2	3	1	2	0	 	1	0	0	 	 	0	-88	2	1	3	0	1	2	3	0	1	1	0	1	1	0	1	77	1	1	77
1021	07/12/2016 09:54:34	1	2	4	6	3	37000	7	1	1	1	0	0	1	0	 	1	4	-77	-77	-77	1	4	7	3	4	3	6	7	4	3	9	10	11	12	13	14	15	17	18	19	5	7	4	8	4	6	0	 	1	1	1	1	1	172	0	0	-88	1	4	3	1	2	4	3	1	0	1	1	1	1	0	0	0	1	1	1
1022	16/12/2016 04:50:16	1	2	1	4	2	35000	10	1	1	1	0	0	1	0	 	1	3	-77	-77	-77	1	6	1	4	1	5	4	1	3	4	7	8	9	10	11	12	13	14	15	16	4	3	1	1	4	3	0	 	0	 	1	1	1	1650	0	0	-88	5	1	4	1	2	1	4	1	0	1	1	1	1	0	0	0	1	1	0
1031	24/10/2016 10:02:09	1	3	2	10	3	42000	6	1	1	1	0	0	1	0	 	1	5	-77	-77	-77	1	2	4	12	2	10	5	2	10	6	7	8	9	11	13	14	15	16	17	18	2	4	5	2	6	10	0	 	0	 	3	1	1	983	0	0	-88	2	3	4	1	1	2	4	1	1	1	1	0	1	0	0	0	1	1	0
1032	06/11/2016 09:10:47	1	3	1	4	6	22000	6	1	1	1	0	0	1	0	 	1	3	35	17	-77	1	10	3	26	9	1	7	6	1	4	11	12	13	14	15	16	17	18	19	20	2	1	26	2	1	6	0	 	0	 	3	0	1	973	0	0	-88	5	1	4	1	8	1	2	0	0	1	1	1	1	0	0	0	1	1	1
2041	24/03/2017 16:25:15	2	4	1	2	3	32968	11	1	1	1	1	0	1	0	 	1	5	45	35	0	0	1	2	3	1	2	3	1	2	3	3	3	4	4	3	4	4	4	3	4	1	4	3	2	4	3	1	2	1	2	2	1	1	0	0	0	51	1	2	3	1	4	1	2	1	0	1	1	1	1	1	1	0	1	1	0
2051	29/03/2017 17:57:25	2	5	1	1	1	8356	7	1	0	0	0	0	1	0	 	0	 	 	 	 	1	1	2	6	3	6	8	1	5	8	5	5	5	5	5	5	7	7	7	8	2	7	6	1	6	9	1	1	0	 	2	0	0	 	 	0	-88	5	6	8	0	7	5	9	1	1	1	1	0	1	1	1	0	1	1	1
2061	26/12/2016 11:28:00	2	6	1	2	3	6125	11	0	0	1	0	0	4	0	 	0	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	6	5	13	1	2	3	1	2	3	1	1	0	 	2	0	1	11	4	0	0	1	2	4	0	2	2	2	0	1	0	1	0	0	1	0	0	1	0	0
2071	21/11/2016 20:47:14	2	7	1	2	3	9215	4	0	1	0	0	0	2	0	 	0	 	 	 	 	0	1	2	3	1	2	4	1	2	6	1	2	3	4	5	6	7	8	9	10	1	2	3	1	2	4	1	1	0	 	2	0	1	12	6	0	-88	1	2	3	0	4	4	4	0	1	0	1	0	0	1	0	0	1	0	0
3101	17/11/2016 10:10:12	3	4	1	3	5	21480	9	0	1	0	0	0	2	0	 	2	4	80	58	0	1	1	3	5	2	3	5	1	3	4	6	7	8	9	10	11	12	13	14	15	1	3	17	1	3	17	1	2	1	2	1	0	0	 	 	0	-88	4	1	3	0	1	4	5	1	0	0	1	1	1	1	0	0	1	1	1
