PLACEID	DWAGIDR5	MAVWG	FAVWG
1011	1	-1111	-1111
1011	2	0	-1111
1011	3	-7777	80
1011	4	-7777	60
1011	7	0	-7777
1021	1	170	-1111
1021	2	120	120
1021	3	170	170
1021	4	120	120
1021	7	-7777	-7777
1022	1	-1111	-1111
1022	2	-1111	-1111
1022	3	120	120
1022	4	70	70
1022	7	-7777	-7777
1031	1	-1111	-1111
1031	2	-1111	-1111
1031	3	200	180
1031	4	150	150
1031	7	-77	-77
1032	1	-1111	-1111
1032	2	-1111	-1111
1032	3	170	170
1032	4	130	120
1032	7	-7777	-7777
2041	1	15	-1111
2041	2	80	80
2041	3	-1111	-1111
2041	4	-1111	-1111
2041	7	-77	-77
2051	1	-1111	-1111
2051	2	80	80
2051	3	-7777	-7777
2051	4	-7777	-7777
2051	7	-7777	-7777
2061	1	-1111	-1111
2061	2	80	60
2061	3	120	120
2061	4	-1111	-1111
2061	7	-7777	-7777
2071	1	63	63
2071	2	105	50
2071	3	300	-1111
2071	4	-1111	-1111
2071	7	-7777	-7777
3101	1	250	250
3101	2	130	130
3101	3	250	-1111
3101	4	120	120
3101	7	-1111	-1111
3111	1	-1111	-1111
3111	2	120	120
3111	3	150	150
3111	4	-1111	-1111
3111	7	-1111	-1111
4121	1	70	50
4121	2	70	50
4121	3	110	-1111
4121	4	50	-1111
4121	7	-1111	-1111
4131	1	-1111	-1111
4131	2	100	70
4131	3	120	80
4131	4	100	70
4131	7	-1111	-1111
4141	1	60	60
4141	2	52	52
4141	3	70	70
4141	4	70	70
4141	7	-77	-77
4143	1	150	150
4143	2	70	70
4143	3	200	200
4143	4	70	70
4143	7	-88	-88
4144	1	-77	-77
4144	2	-1111	-1111
4144	3	200	200
4144	4	60	60
4144	7	0	0
4151	1	-77	-77
4151	2	20	20
4151	3	50	-77
4151	4	-1111	-1111
4151	7	-1111	-1111
4161	1	-1111	-1111
4161	2	100	80
4161	3	120	100
4161	4	100	100
4161	7	-1111	-1111
5171	1	-1111	-1111
5171	2	150	120
5171	3	250	150
5171	4	100	60
5171	7	-1111	-1111
5201	1	0	0
5201	2	3120	770
5201	3	25	0
5201	4	580	100
5201	7	0	0
