PLACEID	SPIDR5	SUPKIND	WHOSUP	WHATSUP	YEARSUP	WHENSUP	FEQSUP
1011	1	5	13	25	-7777	-7777	13
1011	2	9	6	25	-7777	-7777	13
1021	1	16	15	0	2006	9999	4
1021	2	5	15	0	2006	9999	11
1021	3	2	42	0	2006	9999	12
1021	4	16	15	0	2006	9999	4
1021	5	20	15	0	2006	9999	11
1021	6	12	15	0	2008	2008	4
1021	7	28	15	0	2008	2008	5
1021	8	20	15	0	2007	2008	11
1021	9	5	13	0	2006	9999	11
1021	10	24	15	0	2006	9999	5
1022	1	20	15	0	2005	9999	13
1022	2	16	15	0	2005	9999	11
1022	3	16	15	0	2006	9999	11
1022	4	20	15	0	2006	9999	13
1022	5	20	15	0	2006	9999	11
1022	6	5	52	0	2006	9999	11
1022	7	28	52	0	2006	9999	7
1022	8	26	52	0	2006	9999	7
1022	9	20	15	0	2006	9999	11
1022	10	16	15	0	2007	9999	4
1022	11	19	15	0	2008	9999	13
1031	1	16	15	0	2006	9999	11
1031	2	5	15	0	2006	9999	4
1031	3	29	52	0	2006	9999	11
1031	4	20	15	0	2006	2008	9
1031	5	24	15	0	2006	2008	9
1031	6	12	15	0	2006	9999	4
1031	7	29	15	0	2006	9999	11
1031	8	19	15	0	2008	9999	13
1031	9	12	15	0	2006	9999	11
1031	10	16	15	0	2006	9999	4
1031	11	28	15	0	2006	9999	4
1031	12	5	13	0	2006	9999	11
1031	13	9	6	0	2006	9999	13
1031	14	2	42	0	2006	9999	13
1032	1	20	15	0	2008	9999	11
1032	2	16	15	0	2008	9999	11
1032	3	12	15	0	2006	9999	4
1032	4	19	15	0	2007	9999	13
1032	5	28	15	0	2006	9999	11
1032	6	16	15	0	2006	9999	4
1032	7	12	15	0	2006	9999	4
1032	8	30	15	0	2006	9999	7
1032	9	1	15	0	2009	9999	11
1032	10	2	15	0	2007	9999	7
2041	1	5	13	0	1990	9999	13
2041	2	6	6	0	-7777	9999	13
2041	3	7	6	7	1997	9999	13
2041	4	8	6	30	1988	9999	13
2041	5	9	6	0	2002	9999	13
2041	6	11	11	0	2000	9999	13
2051	1	4	39	21	1998	9999	7
2051	2	3	39	21	1998	9999	7
2051	3	5	13	31	1998	9999	7
2051	4	7	6	31	1987	9999	11
2051	5	8	6	31	1990	9999	13
2051	6	14	39	0	1998	9999	7
2051	7	19	14	31	2008	9999	13
2051	8	20	25	31	2008	9999	11
2061	1	12	20	31	2006	9999	1
2061	2	2	15	25	2008	9*999	1
2061	3	1	8	2	2009	9999	77
2071	1	4	39	9	1997	9999	12
2071	2	10	39	13	1997	9999	1
2071	3	12	11	26	1997	9999	11
2071	4	13	39	6	1997	9999	12
2071	5	14	39	27	1997	9999	2
2071	6	5	27	2	1997	9999	12
2071	7	2	6	21	1997	9999	12
3101	1	6	15	31	2003	9999	4
3101	2	13	8	2	2001	9999	9
3101	3	19	8	30	2001	9999	9
3101	4	12	8	31	2001	9999	13
3101	5	6	8	31	2001	9999	13
3101	6	12	43	31	1994	9999	4
3101	7	5	43	31	1994	9999	3
3101	8	20	33	2	2008	9999	11
3101	9	5	13	31	1994	9999	11
4121	1	1	5	2	-7777	-7777	12
4121	2	9	6	25	-7777	-7777	13
4121	3	5	13	25	-7777	-7777	13
4121	4	16	14	25	-7777	-7777	4
