CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDYMTR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PRFACTR5	MTHPRFR5
11003	1	13	1	12	26	8	1	2000	 	4	1	6
11004	1	9	6	12	26	8	1	200	 	2	1	12
11009	1	12	1	6	22	8	1	1500	 	4	0	0
11009	2	12	3	3	22	12	1	5500	 	4	1	3
11010	1	13	1	7	26	12	1	2300	 	4	0	0
11010	2	13	1	4	20	8	1	1300	 	4	1	12
11014	1	9	6	10	24	10	1	120	 	2	1	12
11014	2	13	3	2	27	10	1	150	 	2	0	0
11016	1	10	2	2	8	12	1	200	 	2	1	12
11017	1	2	1	8	26	8	1	125	 	2	1	12
11018	1	10	6	11	24	10	1	150	 	2	0	10
11021	1	13	1	12	26	7	1	2400	 	4	1	12
11022	1	9	6	12	25	9	1	100	 	2	1	12
11024	1	13	4	0	11	8	1	1000	 	4	0	0
11024	2	10	6	0	1	12	0	 	 	 	1	-77
11025	1	13	1	12	26	8	1	2000	 	4	1	1
11026	1	12	3	2	26	8	1	1300	 	4	1	12
11027	1	13	1	1	26	11	1	1700	 	4	1	12
11028	1	13	1	12	26	9	1	2500	 	4	1	-77
11029	1	13	1	7	27	11	1	2000	 	4	1	2
11030	1	13	1	12	26	8	1	1039	 	4	1	12
11033	1	12	1	12	20	8	1	3000	 	4	1	12
11034	1	13	4	0	11	8	1	582	 	4	1	12
11037	1	12	1	4	26	7	1	1400	 	4	0	0
11039	1	13	1	11	25	10	1	3000	 	4	1	12
11040	1	10	6	10	15	9	1	2000	 	4	1	12
11040	2	12	3	8	12	10	1	150	 	2	1	5
11041	1	13	3	6	24	8	1	200	 	4	1	2
11041	2	10	1	4	10	4	1	100	 	2	1	12
11043	1	13	1	7	26	8	1	1000	 	4	0	11
11048	1	9	6	10	20	2	1	800	 	4	0	0
21004	1	13	4	12	22	8	1	1700	 	4	1	6
21005	1	12	1	3	29	10	1	800	 	4	0	0
21006	1	13	3	8	30	10	1	800	 	4	1	1
21008	1	13	3	10	26	5	1	3600	 	4	1	10
21010	1	13	1	12	15	9	1	1631	 	4	1	12
21011	1	12	1	7	15	5	1	70	 	2	1	12
21012	1	12	1	8	26	4	1	150	 	2	1	12
21013	1	13	4	12	22	8	1	3400	 	4	1	7
21014	1	10	6	2	30	9	0	 	 	 	1	12
21014	2	13	3	2	26	8	1	1000	 	4	0	0
21015	1	12	3	1	30	8	1	700	 	7	0	0
21017	1	12	3	6	26	10	1	2200	 	4	1	12
21019	1	13	1	9	26	9	1	1000	 	4	1	12
21019	2	12	3	2	10	11	1	80	 	2	0	0
21023	1	12	3	9	4	3	1	50	 	2	1	5
21025	1	4	6	12	30	10	0	 	 	 	1	12
21030	1	13	1	4	26	10	1	600	 	4	1	12
21031	1	13	1	8	26	8	1	900	 	4	0	0
21031	2	13	1	1	30	8	1	1400	 	4	1	5
21033	1	13	1	6	26	10	1	1200	 	4	0	12
21037	1	13	1	12	30	9	1	1500	 	4	1	12
21038	1	13	1	4	30	11	1	800	 	4	1	12
21039	1	19	3	6	30	10	1	3000	 	4	0	0
21040	1	10	2	12	30	11	0	 	 	 	1	12
21043	1	10	2	12	30	10	0	 	 	 	1	12
21045	1	13	1	8	30	11	1	900	 	4	1	12
21046	1	13	1	12	26	8	1	1200	 	4	1	12
21048	1	13	1	3	26	8	1	750	 	4	0	0
31001	1	9	6	11	26	2	1	100	 	2	1	12
31002	1	12	3	9	8	10	1	600	 	3	0	2
31003	1	13	1	11	29	12	1	800	 	4	1	11
31006	1	10	2	2	30	9	0	 	 	 	0	0
31009	1	13	1	6	22	8	1	850	 	4	0	0
31011	1	12	1	1	10	10	1	800	 	4	1	6
31012	1	12	3	8	20	8	1	100	 	2	0	3
31013	1	2	6	4	12	3	1	200	 	7	1	12
31015	1	12	3	8	26	8	1	600	 	3	1	12
31016	1	12	4	2	20	11	1	70	 	2	0	2
31017	1	12	3	0	2	7	1	150	 	2	1	2
31020	1	12	4	4	26	10	1	65	 	2	1	12
31022	1	12	1	3	26	8	1	1200	 	4	0	-77
31023	1	13	1	12	22	8	1	2500	 	4	1	12
31025	1	13	1	1	26	10	1	1000	 	4	1	12
31025	2	19	3	9	29	10	1	4000	 	4	0	0
31027	1	12	1	12	26	12	1	1000	 	3	1	12
31027	2	10	6	12	5	1	1	200	 	2	1	12
31029	1	12	1	2	26	8	1	300	 	7	1	12
31029	2	13	1	10	26	14	1	300	 	4	0	0
31031	1	12	3	7	26	8	1	100	 	2	0	5
31034	1	13	3	7	22	11	1	2200	 	4	0	5
31036	1	13	1	12	26	8	1	2000	 	4	1	12
31039	1	13	4	12	26	8	1	4500	 	4	1	12
31042	1	13	1	6	30	9	1	2000	 	4	1	12
31043	1	11	6	12	26	12	1	4000	 	4	1	12
31046	1	13	1	7	26	8	1	1600	 	4	1	4
41002	1	11	6	12	30	9	1	400	 	3	1	12
41002	2	1	6	4	20	10	1	900	 	5	1	4
41005	1	13	1	8	30	6	3	300	2400	4	0	6
41007	1	20	2	4	26	12	1	2000	 	4	1	4
41009	1	10	1	1	15	6	1	200	 	3	0	12
41010	1	9	2	12	25	12	1	100	 	2	0	12
41013	1	12	3	12	20	8	1	800	 	4	1	12
41016	1	13	1	12	26	8	1	2000	 	4	1	12
41018	1	2	6	1	2	9	1	400	 	2	0	0
41020	1	13	4	12	22	8	1	1330	 	4	1	12
41021	1	1	6	5	20	5	1	500	 	3	1	12
41023	1	11	6	12	6	3	1	300	 	4	1	12
41024	1	10	2	12	4	9	0	 	 	 	1	12
41024	2	12	3	2	20	9	1	50	 	2	0	2
41026	1	12	3	12	20	9	1	350	 	4	1	-77
41029	1	10	6	12	4	7	1	40	 	2	1	12
41030	1	12	3	6	15	12	1	60	 	2	1	3
41031	1	11	2	1	20	8	1	80	 	2	0	1
41037	1	12	4	6	14	24	1	650	 	4	1	7
41037	2	12	3	3	7	4	1	350	 	4	0	0
41038	1	20	6	10	15	8	1	2800	 	4	1	11
41039	1	13	4	12	23	8	1	1500	 	4	1	12
41042	1	12	3	2	30	8	1	500	 	4	0	0
41043	1	13	1	4	26	8	1	1200	 	4	0	3
41044	1	12	1	8	26	8	1	1500	 	4	1	12
41045	1	9	6	4	10	6	1	3000	 	4	0	2
41047	1	20	3	1	1	5	1	50	 	7	0	1
51002	1	10	6	12	8	4	1	50	 	3	1	12
51004	1	12	3	12	5	7	1	80	 	2	1	3
51005	1	19	2	12	30	6	3	500	150	4	1	6
51006	1	20	3	12	30	10	1	150	 	2	1	12
51007	1	10	6	12	20	8	1	1550	 	4	1	12
51007	2	13	1	12	4	6	1	600	 	4	1	12
51008	1	12	1	1	12	4	1	400	 	4	1	7
51010	1	10	6	3	30	14	1	1000	 	3	1	9
51012	1	13	1	12	26	8	1	4500	 	4	1	12
51013	1	10	6	12	20	10	1	1200	 	4	1	9
51014	1	12	1	7	20	8	1	50	 	2	1	9
51015	1	20	1	12	30	3	3	300	1200	4	1	12
51016	1	12	1	1	3	10	1	40	 	2	0	0
51018	1	1	2	9	16	8	0	 	 	 	1	11
51024	1	5	4	1	15	8	2	 	80	2	0	1
51025	1	1	2	1	5	2	0	 	 	 	0	2
51026	1	12	1	3	30	13	1	1050	 	4	1	7
51028	1	12	3	10	8	7	1	100	 	7	1	12
51028	2	5	3	1	7	9	0	 	 	 	0	1
51030	1	9	6	6	20	7	1	45	 	2	1	8
51031	1	12	1	12	20	5	1	2000	 	4	1	12
51033	1	12	4	1	3	10	1	50	 	2	0	1
51034	1	13	3	12	16	11	1	200	 	4	1	3
51036	1	12	1	5	29	11	1	700	 	4	1	12
51037	1	13	1	12	30	24	3	500	1000	4	1	12
51039	1	1	2	2	12	10	0	 	 	 	0	0
51041	1	11	4	6	26	8	1	36	 	2	0	12
51042	1	12	3	3	8	12	1	40	 	2	0	3
51044	1	12	1	1	30	13	1	2500	 	4	0	0
51046	1	20	4	12	20	8	1	80	 	2	1	1
51048	1	13	1	12	26	9	1	1140	 	4	1	12
51050	1	12	3	2	29	8	1	1000	 	4	0	0
61002	1	1	2	6	20	10	0	 	 	 	1	6
61002	2	7	2	12	30	4	0	 	 	 	1	12
61002	3	20	2	12	30	1	0	 	 	 	1	12
61003	1	12	1	6	15	9	1	35	 	2	0	0
61003	2	20	2	12	30	6	0	 	 	 	1	12
61004	1	20	2	7	30	15	0	 	 	 	1	12
61004	2	7	2	8	30	1	0	 	 	 	1	12
61005	1	1	2	3	15	11	0	 	 	 	0	4
61005	2	7	3	1	5	11	0	 	 	 	0	1
61005	3	10	2	1	21	8	1	100	 	3	1	9
61007	1	20	2	12	30	3	0	 	 	 	1	12
61007	2	7	2	1	30	6	0	 	 	 	1	12
61008	1	1	2	7	15	8	0	 	 	 	1	6
61008	2	5	1	2	20	12	3	200	50	2	0	2
61009	1	1	2	4	21	8	0	 	 	 	0	3
61009	2	20	2	12	16	4	0	 	 	 	1	3
61011	1	7	2	12	30	11	0	 	 	 	1	12
61012	1	1	2	10	20	9	0	 	 	 	1	12
61012	2	5	3	2	25	8	3	4000	3000	4	0	0
61014	1	10	2	9	20	2	1	100	 	3	1	12
61015	1	1	2	8	20	8	0	 	 	 	1	8
61015	2	10	6	5	4	8	1	1200	 	4	1	8
61016	1	1	2	12	20	8	0	 	 	 	1	12
61018	1	5	3	6	22	10	2	 	1600	5	1	3
61018	2	7	3	6	30	2	2	 	-77	4	1	3
61019	1	19	2	11	30	8	0	 	 	 	1	12
61020	1	1	2	2	20	12	0	 	 	 	0	2
61021	1	12	1	6	28	14	1	1800	 	4	1	12
61021	2	1	2	5	30	13	1	300	 	3	0	0
61021	3	20	2	12	30	1	0	 	 	 	1	12
61022	1	13	7	12	12	3	3	150	500	4	1	12
61023	1	1	2	3	20	9	0	 	 	 	0	3
61023	2	20	2	12	30	10	0	 	 	 	1	12
61024	1	1	2	3	21	12	0	 	 	 	0	3
61024	2	20	2	12	30	5	0	 	 	 	1	11
61024	3	7	2	12	30	6	0	 	 	 	1	11
61027	1	1	2	12	30	4	0	 	 	 	1	12
61029	1	12	3	10	26	8	1	3350	 	4	0	11
61029	2	1	2	2	13	5	0	 	 	 	1	1
61031	1	1	2	2	20	10	0	 	 	 	0	2
61033	1	7	2	8	20	3	0	 	 	 	1	3
61034	1	1	2	12	15	6	0	 	 	 	1	12
61036	1	9	1	10	30	12	1	50	 	2	1	12
61037	1	1	2	10	22	8	0	 	 	 	1	10
61038	1	7	2	6	16	12	0	 	 	 	1	6
61038	2	5	3	1	15	12	1	40	 	2	1	0
61038	3	4	2	12	14	4	0	 	 	 	1	3
61039	1	1	2	3	15	5	0	 	 	 	1	2
61039	2	20	2	10	8	3	0	 	 	 	1	10
61043	1	1	2	10	24	4	0	 	 	 	0	10
61044	1	7	2	2	30	4	0	 	 	 	0	2
61046	1	4	2	12	29	9	0	 	 	 	1	12
61049	1	1	2	2	5	6	0	 	 	 	1	0
61049	2	20	2	12	30	3	0	 	 	 	1	12
61049	3	7	2	12	30	6	0	 	 	 	1	12
61050	1	20	2	8	25	4	0	 	 	 	1	2
61051	1	12	4	12	30	4	2	 	600	4	1	12
61052	1	1	2	4	21	9	0	 	 	 	1	4
61052	2	20	2	12	30	6	0	 	 	 	1	12
61054	1	5	3	1	22	12	1	50	 	2	0	3
61054	2	20	2	12	30	6	0	 	 	 	1	12
61054	3	7	2	12	30	3	0	 	 	 	1	12
61054	4	1	2	3	16	12	0	 	 	 	0	4
61056	1	20	2	9	30	4	0	 	 	 	0	3
61058	1	20	2	10	25	6	0	 	 	 	1	10
61059	1	1	2	9	20	5	0	 	 	 	1	9
61059	2	12	3	3	15	4	1	900	 	4	0	3
71001	1	20	4	1	11	10	1	1200	 	4	1	10
71002	1	12	3	12	30	20	1	2900	 	4	1	12
71003	1	1	2	8	20	4	0	 	 	 	1	0
71003	2	4	2	2	5	5	0	 	 	 	1	0
71004	1	12	3	12	22	8	1	2200	 	4	1	12
71006	1	10	2	8	30	16	1	600	 	4	1	4
71007	1	1	6	11	20	5	0	 	 	 	1	11
71008	1	20	2	12	30	6	0	 	 	 	1	12
71008	2	11	2	12	30	2	0	 	 	 	1	12
71008	3	4	2	2	7	1	0	 	 	 	1	0
71009	1	7	2	2	27	7	0	 	 	 	1	2
71009	2	20	2	12	20	5	0	 	 	 	1	12
71010	1	13	4	10	20	8	1	1600	 	4	1	10
71012	1	1	2	12	18	4	0	 	 	 	1	6
71013	1	20	2	3	22	5	0	 	 	 	1	6
71014	1	1	6	2	15	6	0	 	 	 	1	2
71014	2	12	1	1	15	10	1	45	 	3	0	2
71015	1	5	6	2	25	8	1	50	 	2	1	2
71015	2	20	2	4	10	3	0	 	 	 	1	0
71016	1	20	2	5	10	4	0	 	 	 	1	0
71017	1	13	4	12	22	8	1	1630	 	4	1	12
71018	1	5	3	6	30	8	1	580	 	4	0	5
71018	2	1	2	2	20	6	0	 	 	 	0	3
71018	3	7	2	12	30	5	0	 	 	 	1	12
71018	4	7	2	12	30	2	0	 	 	 	1	12
71019	1	13	1	7	24	8	1	1470	 	4	1	4
71019	2	20	2	12	12	3	0	 	 	 	1	3
71019	3	20	2	1	-77	3	0	 	 	 	1	3
71020	1	13	4	12	26	8	1	2551	 	4	1	12
71021	1	 	 	 	 	 	 	 	 	 	 	 
71022	1	12	1	12	29	10	1	300	 	3	1	3
71022	2	20	2	12	30	2	0	 	 	 	1	3
71024	1	1	2	2	15	8	0	 	 	 	0	0
71026	1	1	2	11	10	5	0	 	 	 	1	11
71026	2	12	3	1	25	8	1	70	 	2	0	2
71028	1	1	2	3	10	9	0	 	 	 	1	0
71029	1	1	2	6	14	4	0	 	 	 	1	8
71030	1	12	1	3	25	10	1	150	 	3	1	2
71031	1	 	 	 	 	 	 	 	 	 	 	 
71033	1	12	1	0	10	10	1	40	 	2	1	8
