CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
11003	1	1	1	1
11003	2	1	1	1
11003	3	1	1	1
11003	4	1	1	1
11003	5	1	1	1
11003	6	0	1	1
11003	7	0	1	1
11003	8	1	1	3
11003	9	1	1	3
11003	10	0	0	88
11004	1	1	1	1
11004	2	1	1	1
11004	3	1	1	1
11004	4	1	1	1
11004	5	1	1	1
11004	6	1	1	1
11004	7	1	1	1
11004	8	0	0	3
11004	9	0	0	3
11004	10	0	0	3
11005	1	1	1	3
11005	2	1	1	3
11005	3	1	1	7
11005	4	0	1	7
11005	5	1	1	7
11005	6	0	1	7
11005	7	0	1	1
11005	8	1	1	3
11005	9	1	1	3
11005	10	0	0	88
11006	1	1	1	1
11006	2	1	1	2
11006	3	1	1	2
11006	4	1	1	2
11006	5	1	1	2
11006	6	1	1	1
11006	7	0	1	1
11006	8	1	1	6
11006	9	1	1	6
11006	10	0	0	88
11007	1	1	1	1
11007	2	1	1	8
11007	3	0	1	1
11007	4	0	1	4
11007	5	1	1	8
11007	6	0	1	1
11007	7	0	1	1
11007	8	1	1	4
11007	9	1	1	4
11007	10	0	0	88
11008	1	1	1	7
11008	2	1	1	1
11008	3	1	1	1
11008	4	1	0	7
11008	5	1	1	7
11008	6	0	0	1
11008	7	1	0	1
11008	8	1	1	3
11008	9	1	1	3
11008	10	0	0	88
11009	1	1	1	1
11009	2	1	1	8
11009	3	1	1	1
11009	4	1	1	3
11009	5	1	1	1
11009	6	1	1	7
11009	7	1	1	6
11009	8	1	1	4
11009	9	1	1	4
11009	10	0	0	88
11010	1	1	1	1
11010	2	1	1	1
11010	3	1	1	1
11010	4	0	1	3
11010	5	1	1	3
11010	6	0	1	1
11010	7	0	1	1
11010	8	1	1	3
11010	9	1	1	3
11010	10	0	0	88
11012	1	1	1	7
11012	2	1	1	1
11012	3	1	1	1
11012	4	1	1	1
11012	5	1	1	1
11012	6	1	1	1
11012	7	1	79	1
11012	8	1	1	3
11012	9	1	1	1
11012	10	1	1	3
11014	1	1	1	1
11014	2	1	1	1
11014	3	1	1	1
11014	4	1	1	1
11014	5	1	1	1
11014	6	0	1	1
11014	7	0	1	1
11014	8	1	1	3
11014	9	0	1	3
11014	10	0	1	3
11016	1	1	1	1
11016	2	1	1	1
11016	3	1	1	1
11016	4	1	1	1
11016	5	1	1	1
11016	6	0	1	1
11016	7	0	1	1
11016	8	1	1	4
11016	9	1	1	4
11016	10	0	0	88
11017	1	1	1	1
11017	2	1	1	1
11017	3	1	1	1
11017	4	1	1	1
11017	5	1	1	7
11017	6	1	1	7
11017	7	1	1	6
11017	8	1	1	3
11017	9	1	1	3
11017	10	1	77	88
11018	1	1	1	1
11018	2	1	1	1
11018	3	1	1	1
11018	4	1	1	1
11018	5	1	1	1
