CHILDCODE	TRANIDR5	TYPTRNR5	DELTRNR5	PAYTRNR5	DURTTLR5	TRNCMPR5	ATDTRNR5	CRTDIPR5
11004	1	1	3	1	8	1	 	1
11009	1	2	3	1	12	1	 	 
11014	1	1	3	1	3	1	 	0
11014	2	2	6	0	-88	1	 	 
11022	1	2	5	0	-88	1	 	 
11022	2	1	3	1	10	1	 	0
11029	1	2	1	0	12	1	 	 
11029	2	2	4	0	8	1	 	 
11030	1	2	3	1	12	1	 	 
11039	1	1	1	1	20	1	 	1
11040	1	1	3	1	12	1	 	0
11041	1	1	3	1	14	1	 	0
11046	1	1	1	0	-88	0	80	1
21008	1	1	1	1	24	1	 	1
21013	1	1	1	0	2	1	 	1
21017	1	1	3	1	16	1	 	1
21033	1	1	3	1	32	0	24	1
21036	1	3	2	0	24	0	15	1
21042	1	1	3	1	12	1	 	1
21045	1	1	3	1	24	1	 	1
31003	1	1	3	1	36	1	 	1
31006	1	1	3	1	48	0	32	1
31010	1	1	1	0	2	1	 	0
31010	2	1	1	0	2	1	 	1
31011	1	1	3	1	40	1	 	1
31013	1	2	7	0	-88	0	5	 
31018	1	1	4	0	6	1	 	1
31020	1	1	1	0	10	1	 	1
31024	1	1	4	0	32	1	 	1
31027	1	2	4	0	-88	1	 	 
31031	1	1	3	1	16	1	 	1
31034	1	1	3	1	20	1	 	1
31035	1	1	2	0	2	1	 	1
31035	2	1	2	0	24	0	3	0
31036	1	1	4	0	32	1	 	1
31044	1	1	1	0	1	1	 	0
31047	1	1	3	1	40	0	8	1
41003	1	1	3	1	32	1	 	1
41007	1	2	3	1	3	1	 	 
41007	2	1	3	1	6	1	 	1
41008	1	2	6	0	-88	0	24	 
41009	1	1	1	0	20	1	 	0
41010	1	1	3	1	4	1	 	1
41012	1	1	3	1	4	1	 	1
41016	1	2	3	0	-88	0	56	 
41020	1	1	1	0	21	1	 	1
41023	1	1	1	0	3	1	 	1
41027	1	1	1	0	2	1	 	1
41030	1	2	7	0	12	0	12	 
41035	1	1	3	1	5	1	 	1
41046	1	1	1	0	-88	0	15	0
41048	1	1	3	1	1	1	 	1
51004	1	 	 	 	 	 	 	 
51006	1	1	1	1	1	1	 	1
51024	1	3	2	0	8	0	7	0
51025	1	1	4	1	8	1	 	1
51025	2	2	4	0	9	1	 	 
51028	1	1	1	0	1	1	 	1
51031	1	1	1	0	1	1	 	0
51042	1	2	6	0	1	1	 	 
51048	1	1	3	0	4	1	 	0
51050	1	3	2	0	8	0	7	1
61036	1	1	3	1	12	1	 	1
61059	1	2	1	1	36	1	 	 
71003	1	1	1	0	2	1	 	0
71003	2	1	1	1	1	1	 	0
71020	1	1	1	0	1	1	 	0
71034	1	2	7	0	8	0	-77	 
81001	1	1	3	1	32	1	 	1
81018	1	2	2	1	2	1	 	 
81025	1	1	5	0	4	1	 	1
91003	1	2	3	0	1	1	 	 
91019	1	2	1	0	1	1	 	 
91028	1	1	1	1	1	1	 	0
91034	1	1	1	0	8	1	 	0
91039	1	1	1	0	52	1	 	1
91040	1	 	 	 	 	 	 	 
91043	1	1	5	0	4	1	 	0
101001	1	1	3	1	24	1	 	1
101003	1	1	5	0	6	1	 	0
101018	1	2	1	0	1	1	 	 
101020	1	2	3	0	-88	0	24	 
101031	1	 	 	 	 	 	 	 
101041	1	2	1	0	15	1	 	 
111011	1	 	 	 	 	 	 	 
111015	1	2	3	1	3	1	 	 
111015	2	1	3	1	8	0	8	0
111021	1	1	3	1	20	1	 	1
111031	1	1	1	1	7	1	 	0
121012	1	2	8	0	-88	1	 	 
121012	2	2	5	0	-88	0	6	 
121014	1	2	6	0	2	1	 	 
121038	1	2	6	0	-88	1	 	 
121040	1	2	1	0	2	1	 	 
121046	1	2	1	1	1	1	 	 
