CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
11001	1	 	 	 	 	 
11001	2	 	 	 	 	 
11001	3	 	 	 	 	 
11003	1	 	 	 	 	 
11003	2	 	 	 	 	 
11003	3	 	 	 	 	 
11004	1	30	0	5	-77	-88
11004	2	88	 	 	 	 
11004	3	88	 	 	 	 
11005	1	 	 	 	 	 
11005	2	 	 	 	 	 
11005	3	 	 	 	 	 
11006	1	 	 	 	 	 
11006	2	 	 	 	 	 
11006	3	 	 	 	 	 
11007	1	 	 	 	 	 
11007	2	 	 	 	 	 
11007	3	 	 	 	 	 
11008	1	17	1	16	1	1400
11008	2	88	 	 	 	 
11008	3	88	 	 	 	 
11009	1	 	 	 	 	 
11009	2	 	 	 	 	 
11009	3	 	 	 	 	 
11010	1	 	 	 	 	 
11010	2	 	 	 	 	 
11010	3	 	 	 	 	 
11012	1	 	 	 	 	 
11012	2	 	 	 	 	 
11012	3	 	 	 	 	 
11014	1	23	4	23	2	1300
11014	2	88	 	 	 	 
11014	3	88	 	 	 	 
11015	1	 	 	 	 	 
11015	2	 	 	 	 	 
11015	3	 	 	 	 	 
11016	1	2	1	24	1	15000
11016	2	15	20	12	20	1500
11016	3	88	 	 	 	 
11017	1	24	1	23	1	500
11017	2	88	 	 	 	 
11017	3	88	 	 	 	 
11018	1	 	 	 	 	 
11018	2	 	 	 	 	 
11018	3	 	 	 	 	 
11019	1	 	 	 	 	 
11019	2	 	 	 	 	 
11019	3	 	 	 	 	 
11021	1	25	3	24	3	1300000
11021	2	88	 	 	 	 
11021	3	88	 	 	 	 
11022	1	 	 	 	 	 
11022	2	 	 	 	 	 
11022	3	 	 	 	 	 
11024	1	 	 	 	 	 
11024	2	 	 	 	 	 
11024	3	 	 	 	 	 
11025	1	 	 	 	 	 
11025	2	 	 	 	 	 
11025	3	 	 	 	 	 
11026	1	 	 	 	 	 
11026	2	 	 	 	 	 
11026	3	 	 	 	 	 
11027	1	 	 	 	 	 
11027	2	 	 	 	 	 
11027	3	 	 	 	 	 
11028	1	13	5	7	3	650
11028	2	88	 	 	 	 
11028	3	88	 	 	 	 
11029	1	 	 	 	 	 
11029	2	 	 	 	 	 
11029	3	 	 	 	 	 
11030	1	 	 	 	 	 
11030	2	 	 	 	 	 
11030	3	 	 	 	 	 
11031	1	13	6	7	4	600
11031	2	88	 	 	 	 
11031	3	88	 	 	 	 
11032	1	11	1	4	1	2000
11032	2	88	 	 	 	 
11032	3	88	 	 	 	 
11033	1	24	3	23	3	2000
11033	2	88	 	 	 	 
11033	3	88	 	 	 	 
11034	1	 	 	 	 	 
11034	2	 	 	 	 	 
11034	3	 	 	 	 	 
11037	1	 	 	 	 	 
11037	2	 	 	 	 	 
11037	3	 	 	 	 	 
11038	1	 	 	 	 	 
11038	2	 	 	 	 	 
11038	3	 	 	 	 	 
11039	1	2	1	24	0	 
11039	2	88	 	 	 	 
11039	3	88	 	 	 	 
11040	1	 	 	 	 	 
11040	2	 	 	 	 	 
11040	3	 	 	 	 	 
11041	1	 	 	 	 	 
11041	2	 	 	 	 	 
11041	3	 	 	 	 	 
11042	1	 	 	 	 	 
11042	2	 	 	 	 	 
11042	3	 	 	 	 	 
11043	1	15	1	12	1	2000
11043	2	88	 	 	 	 
11043	3	88	 	 	 	 
11045	1	 	 	 	 	 
11045	2	 	 	 	 	 
11045	3	 	 	 	 	 
11046	1	16	1	20	0	 
11046	2	88	 	 	 	 
11046	3	88	 	 	 	 
11048	1	 	 	 	 	 
11048	2	 	 	 	 	 
11048	3	 	 	 	 	 
11049	1	 	 	 	 	 
11049	2	 	 	 	 	 
11049	3	 	 	 	 	 
11050	1	24	5	23	5	500000
11050	2	88	 	 	 	 
11050	3	88	 	 	 	 
21002	1	 	 	 	 	 
21002	2	 	 	 	 	 
21002	3	 	 	 	 	 
21003	1	16	1	20	0	 
21003	2	88	 	 	 	 
21003	3	88	 	 	 	 
21004	1	 	 	 	 	 
21004	2	 	 	 	 	 
21004	3	 	 	 	 	 
21005	1	 	 	 	 	 
21005	2	 	 	 	 	 
21005	3	 	 	 	 	 
21006	1	 	 	 	 	 
21006	2	 	 	 	 	 
21006	3	 	 	 	 	 
21007	1	 	 	 	 	 
21007	2	 	 	 	 	 
21007	3	 	 	 	 	 
21008	1	23	3	23	3	15000
21008	2	88	 	 	 	 
21008	3	88	 	 	 	 
21010	1	 	 	 	 	 
21010	2	 	 	 	 	 
21010	3	 	 	 	 	 
21011	1	13	2	5	0	 
21011	2	88	 	 	 	 
21011	3	88	 	 	 	 
21012	1	 	 	 	 	 
21012	2	 	 	 	 	 
21012	3	 	 	 	 	 
21013	1	 	 	 	 	 
21013	2	 	 	 	 	 
21013	3	 	 	 	 	 
21014	1	23	6	23	6	50000
21014	2	88	 	 	 	 
21014	3	88	 	 	 	 
21015	1	 	 	 	 	 
21015	2	 	 	 	 	 
21015	3	 	 	 	 	 
21016	1	16	1	20	0	 
21016	2	88	 	 	 	 
21016	3	88	 	 	 	 
21017	1	 	 	 	 	 
21017	2	 	 	 	 	 
21017	3	 	 	 	 	 
21018	1	 	 	 	 	 
21018	2	 	 	 	 	 
21018	3	 	 	 	 	 
21019	1	 	 	 	 	 
21019	2	 	 	 	 	 
21019	3	 	 	 	 	 
21020	1	 	 	 	 	 
21020	2	 	 	 	 	 
21020	3	 	 	 	 	 
21021	1	15	1	12	1	500
21021	2	88	 	 	 	 
21021	3	88	 	 	 	 
21022	1	 	 	 	 	 
21022	2	 	 	 	 	 
21022	3	 	 	 	 	 
21023	1	 	 	 	 	 
21023	2	 	 	 	 	 
21023	3	 	 	 	 	 
21025	1	 	 	 	 	 
21025	2	 	 	 	 	 
21025	3	 	 	 	 	 
21030	1	 	 	 	 	 
21030	2	 	 	 	 	 
21030	3	 	 	 	 	 
21031	1	 	 	 	 	 
21031	2	 	 	 	 	 
21031	3	 	 	 	 	 
21032	1	15	2	12	2	1000
21032	2	88	 	 	 	 
21032	3	88	 	 	 	 
21033	1	15	3	12	3	900
21033	2	88	 	 	 	 
21033	3	88	 	 	 	 
21035	1	15	7	12	7	700
21035	2	88	 	 	 	 
21035	3	88	 	 	 	 
21036	1	30	3	26	3	20
21036	2	88	 	 	 	 
21036	3	88	 	 	 	 
21037	1	 	 	 	 	 
21037	2	 	 	 	 	 
21037	3	 	 	 	 	 
21038	1	30	3	31	3	-77
21038	2	88	 	 	 	 
21038	3	88	 	 	 	 
21039	1	 	 	 	 	 
21039	2	 	 	 	 	 
21039	3	 	 	 	 	 
21040	1	 	 	 	 	 
21040	2	 	 	 	 	 
21040	3	 	 	 	 	 
21041	1	 	 	 	 	 
21041	2	 	 	 	 	 
21041	3	 	 	 	 	 
21042	1	 	 	 	 	 
21042	2	 	 	 	 	 
21042	3	 	 	 	 	 
21043	1	 	 	 	 	 
21043	2	 	 	 	 	 
21043	3	 	 	 	 	 
21045	1	11	13	3	13	20000
21045	2	17	5	16	0	 
21045	3	88	 	 	 	 
21046	1	 	 	 	 	 
21046	2	 	 	 	 	 
21046	3	 	 	 	 	 
21047	1	30	3	31	3	-77
21047	2	88	 	 	 	 
21047	3	88	 	 	 	 
