CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDAYR5	ACTHRSR5	PYMRECR5	PDCASHR5	PDKINDR5	PDTIMER5	PDNMPCR5	KEEPMYR5
10001	1	2	1	12	30	1	0	 	 	 	 	 
10002	1	2	1	12	20	1	0	 	 	 	 	 
10004	1	2	1	12	20	2	0	 	 	 	 	 
10005	1	2	1	12	30	2	0	 	 	 	 	 
10006	1	2	1	12	20	2	0	 	 	 	 	 
10007	1	2	1	10	25	1	0	 	 	 	 	 
10008	1	2	1	12	20	1	0	 	 	 	 	 
10009	1	2	1	12	10	1	0	 	 	 	 	 
10010	1	2	1	12	24	3	0	 	 	 	 	 
10011	1	2	1	12	30	2	0	 	 	 	 	 
10012	1	2	1	12	30	1	0	 	 	 	 	 
10014	1	2	1	12	24	3	0	 	 	 	 	 
10015	1	2	1	12	15	1	0	 	 	 	 	 
10016	1	2	1	12	8	1	0	 	 	 	 	 
10017	1	2	1	12	20	2	0	 	 	 	 	 
10017	2	3	1	12	30	1	0	 	 	 	 	 
10020	1	2	1	12	30	2	0	 	 	 	 	 
10020	2	3	1	12	30	2	0	 	 	 	 	 
10021	1	2	1	12	20	2	0	 	 	 	 	 
10022	1	2	1	12	20	1	0	 	 	 	 	 
10023	1	2	1	12	20	1	0	 	 	 	 	 
10023	2	6	2	2	24	10	1	400	 	4	 	1
10024	1	2	1	12	25	3	0	 	 	 	 	 
10024	2	1	1	10	20	2	0	 	 	 	 	 
10025	1	2	1	12	30	3	0	 	 	 	 	 
10028	1	2	1	12	28	3	0	 	 	 	 	 
10029	1	2	1	12	30	2	0	 	 	 	 	 
10030	1	2	1	12	8	1	0	 	 	 	 	 
10031	1	2	1	12	25	2	0	 	 	 	 	 
10031	2	6	2	6	10	4	1	75	 	6	1	2
10036	1	2	1	12	30	3	0	 	 	 	 	 
10036	2	3	1	12	24	1	0	 	 	 	 	 
10036	3	4	1	12	10	4	0	 	 	 	 	 
10037	1	2	1	12	8	1	0	 	 	 	 	 
10038	1	2	1	12	25	3	0	 	 	 	 	 
10038	2	4	1	12	10	3	0	 	 	 	 	 
10041	1	2	1	12	25	2	0	 	 	 	 	 
10041	2	5	1	12	20	1	0	 	 	 	 	 
10042	1	2	1	12	10	1	0	 	 	 	 	 
10043	1	2	1	12	20	1	0	 	 	 	 	 
10044	1	2	1	12	30	1	0	 	 	 	 	 
10045	1	2	1	12	25	2	0	 	 	 	 	 
10045	2	6	2	2	20	6	1	50	 	2	 	2
10046	1	2	1	12	15	1	0	 	 	 	 	 
10046	2	4	1	12	8	2	0	 	 	 	 	 
10047	1	6	1	6	20	4	1	1500	 	4	 	2
10049	1	2	1	12	30	1	0	 	 	 	 	 
10050	1	2	1	12	20	1	0	 	 	 	 	 
10051	1	2	1	12	30	1	0	 	 	 	 	 
10052	1	2	1	12	30	2	0	 	 	 	 	 
10053	1	2	1	12	30	1	0	 	 	 	 	 
10055	1	2	1	12	30	1	0	 	 	 	 	 
10057	1	2	1	12	26	2	0	 	 	 	 	 
10060	1	2	1	12	30	2	0	 	 	 	 	 
10061	1	2	1	12	10	1	0	 	 	 	 	 
10062	1	2	1	12	2	1	0	 	 	 	 	 
10062	2	4	1	12	4	6	0	 	 	 	 	 
10063	1	2	1	12	30	1	0	 	 	 	 	 
10064	1	2	1	12	30	2	0	 	 	 	 	 
10065	1	2	1	12	10	1	0	 	 	 	 	 
10066	1	2	1	6	20	1	0	 	 	 	 	 
10067	1	2	1	12	30	2	0	 	 	 	 	 
10068	1	2	1	12	30	2	0	 	 	 	 	 
10069	1	2	1	12	30	3	0	 	 	 	 	 
10070	1	2	1	12	30	2	0	 	 	 	 	 
10071	1	2	1	12	25	2	0	 	 	 	 	 
10072	1	2	1	10	15	1	0	 	 	 	 	 
10073	1	2	1	12	26	1	0	 	 	 	 	 
10074	1	2	1	12	20	1	0	 	 	 	 	 
10074	2	6	2	12	8	4	1	50	 	2	 	1
10075	1	2	1	12	30	2	0	 	 	 	 	 
10076	1	2	1	12	15	1	0	 	 	 	 	 
10077	1	4	1	10	20	2	0	 	 	 	 	 
10077	2	2	1	12	26	1	0	 	 	 	 	 
10079	1	2	1	12	30	3	0	 	 	 	 	 
10080	1	2	1	12	24	2	0	 	 	 	 	 
10080	2	3	1	12	30	1	0	 	 	 	 	 
10081	1	2	1	12	10	1	0	 	 	 	 	 
10082	1	2	1	12	15	1	0	 	 	 	 	 
10083	1	2	1	12	15	1	0	 	 	 	 	 
10083	2	6	2	1	3	2	1	100	 	2	 	1
10084	1	2	1	12	30	2	0	 	 	 	 	 
10085	1	2	1	12	12	1	0	 	 	 	 	 
10086	1	2	1	12	30	2	0	 	 	 	 	 
10086	2	4	1	8	8	3	0	 	 	 	 	 
10087	1	2	2	12	25	2	0	 	 	 	 	 
10088	1	2	1	11	16	1	0	 	 	 	 	 
10089	1	2	1	12	15	1	0	 	 	 	 	 
10089	2	4	1	1	4	3	1	25	 	2	 	1
10090	1	2	1	12	20	1	0	 	 	 	 	 
10091	1	2	1	12	30	1	0	 	 	 	 	 
10093	1	2	1	12	30	1	0	 	 	 	 	 
10094	1	2	1	12	30	2	0	 	 	 	 	 
10095	1	2	1	12	20	2	0	 	 	 	 	 
10095	2	5	1	12	25	1	0	 	 	 	 	 
10096	1	2	1	12	8	1	0	 	 	 	 	 
10097	1	2	2	8	25	2	0	 	 	 	 	 
10098	1	2	1	12	30	1	0	 	 	 	 	 
10099	1	2	1	12	9	1	0	 	 	 	 	 
10100	1	2	1	12	12	1	0	 	 	 	 	 
20001	1	2	1	12	30	3	0	 	 	 	 	 
20002	1	2	1	10	25	2	0	 	 	 	 	 
20003	1	2	1	12	15	2	0	 	 	 	 	 
20004	1	2	1	10	24	3	0	 	 	 	 	 
20005	1	2	1	12	30	2	0	 	 	 	 	 
20005	2	3	1	12	30	1	0	 	 	 	 	 
20007	1	2	1	12	30	1	0	 	 	 	 	 
20008	1	2	1	12	30	2	0	 	 	 	 	 
20008	2	3	1	12	22	1	0	 	 	 	 	 
20011	1	2	1	8	20	3	0	 	 	 	 	 
20012	1	2	1	12	30	2	0	 	 	 	 	 
20013	1	2	1	12	30	3	0	 	 	 	 	 
20013	2	3	1	12	30	2	0	 	 	 	 	 
20014	1	2	1	12	30	3	0	 	 	 	 	 
20014	2	5	2	12	10	1	1	200	 	4	 	2
20015	1	2	1	12	20	2	0	 	 	 	 	 
20018	1	2	1	12	30	3	0	 	 	 	 	 
20019	1	2	1	12	20	1	0	 	 	 	 	 
20020	1	2	1	12	30	3	0	 	 	 	 	 
20022	1	2	1	12	30	4	0	 	 	 	 	 
20023	1	2	1	12	30	1	0	 	 	 	 	 
20024	1	3	1	12	30	1	0	 	 	 	 	 
20025	1	2	1	12	30	2	0	 	 	 	 	 
20026	1	2	1	12	15	2	0	 	 	 	 	 
20026	2	3	1	12	15	1	0	 	 	 	 	 
20027	1	2	1	12	29	3	0	 	 	 	 	 
20028	1	2	1	12	26	2	0	 	 	 	 	 
20029	1	2	1	12	20	2	0	 	 	 	 	 
20030	1	2	1	12	20	2	0	 	 	 	 	 
20031	1	2	1	12	30	1	0	 	 	 	 	 
20031	2	3	1	12	30	1	0	 	 	 	 	 
20032	1	2	1	12	30	2	0	 	 	 	 	 
20033	1	2	1	12	30	2	0	 	 	 	 	 
20034	1	2	1	12	30	3	0	 	 	 	 	 
20034	2	4	1	12	16	1	0	 	 	 	 	 
20035	1	2	1	12	30	2	0	 	 	 	 	 
20036	1	2	1	12	30	1	0	 	 	 	 	 
20036	2	3	1	12	26	1	0	 	 	 	 	 
20037	1	2	1	12	25	3	0	 	 	 	 	 
20038	1	3	1	12	25	3	0	 	 	 	 	 
20038	2	2	1	12	25	2	0	 	 	 	 	 
20039	1	2	1	12	30	3	0	 	 	 	 	 
20040	1	2	1	12	30	3	0	 	 	 	 	 
20041	1	2	1	8	20	2	0	 	 	 	 	 
20041	2	3	1	12	25	1	0	 	 	 	 	 
20042	1	2	1	12	30	2	0	 	 	 	 	 
20042	2	4	1	2	8	2	0	 	 	 	 	 
20044	1	2	1	12	30	2	0	 	 	 	 	 
20045	1	2	1	12	26	3	0	 	 	 	 	 
20045	2	3	1	12	30	1	0	 	 	 	 	 
20046	1	2	1	12	30	1	0	 	 	 	 	 
20047	1	2	1	12	30	2	0	 	 	 	 	 
20047	2	3	1	12	30	1	0	 	 	 	 	 
20048	1	2	1	12	30	3	0	 	 	 	 	 
20049	1	2	1	12	30	2	0	 	 	 	 	 
20050	1	2	1	12	30	3	0	 	 	 	 	 
20051	1	5	2	2	29	9	1	100	 	4	 	1
20051	2	2	1	8	30	2	0	 	 	 	 	 
20052	1	2	1	12	20	4	0	 	 	 	 	 
20054	1	2	1	12	30	4	0	 	 	 	 	 
20055	1	2	1	8	15	2	0	 	 	 	 	 
20056	1	2	1	12	16	2	0	 	 	 	 	 
20056	2	3	1	12	10	1	0	 	 	 	 	 
20058	1	2	1	12	15	2	0	 	 	 	 	 
20059	1	2	1	12	20	2	0	 	 	 	 	 
20059	2	3	1	12	15	1	0	 	 	 	 	 
20060	1	2	1	12	27	2	0	 	 	 	 	 
20061	1	2	1	12	10	2	0	 	 	 	 	 
20062	1	2	1	12	20	2	0	 	 	 	 	 
20064	1	2	1	10	28	3	0	 	 	 	 	 
20064	2	3	1	6	15	2	0	 	 	 	 	 
20065	1	2	1	12	30	2	0	 	 	 	 	 
20065	2	4	1	12	30	2	0	 	 	 	 	 
20066	1	2	1	12	20	1	0	 	 	 	 	 
20067	1	2	1	12	30	2	0	 	 	 	 	 
20068	1	2	1	12	30	1	0	 	 	 	 	 
20070	1	2	1	12	22	1	0	 	 	 	 	 
20071	1	2	1	12	30	1	0	 	 	 	 	 
20073	1	2	1	12	30	1	0	 	 	 	 	 
20073	2	4	1	12	16	2	0	 	 	 	 	 
20073	3	3	1	12	30	1	0	 	 	 	 	 
20074	1	2	1	12	30	4	0	 	 	 	 	 
20077	1	2	1	12	18	2	0	 	 	 	 	 
20078	1	2	1	12	26	3	0	 	 	 	 	 
20079	1	2	1	12	30	4	0	 	 	 	 	 
20079	2	3	1	12	30	2	0	 	 	 	 	 
20080	1	2	1	12	15	2	0	 	 	 	 	 
20081	1	2	1	12	30	1	0	 	 	 	 	 
20082	1	2	1	12	10	2	0	 	 	 	 	 
20083	1	2	1	12	28	3	0	 	 	 	 	 
20083	2	3	1	6	15	1	0	 	 	 	 	 
20084	1	2	1	12	22	1	0	 	 	 	 	 
20084	2	3	1	12	30	1	0	 	 	 	 	 
20085	1	2	1	12	30	1	0	 	 	 	 	 
20087	1	2	1	12	30	2	0	 	 	 	 	 
20088	1	2	1	12	30	2	0	 	 	 	 	 
20089	1	2	1	12	15	2	0	 	 	 	 	 
20090	1	2	2	12	30	1	0	 	 	 	 	 
20090	2	6	2	2	4	2	1	80	 	2	 	1
20092	1	2	1	12	10	2	0	 	 	 	 	 
20093	1	2	1	12	30	3	0	 	 	 	 	 
20094	1	2	1	12	28	3	0	 	 	 	 	 
20095	1	2	1	12	30	2	0	 	 	 	 	 
20096	1	2	1	12	30	2	0	 	 	 	 	 
20097	1	2	1	12	30	2	0	 	 	 	 	 
20098	1	2	1	10	30	1	0	 	 	 	 	 
20099	1	2	1	8	10	2	0	 	 	 	 	 
20100	1	2	1	10	30	4	0	 	 	 	 	 
30001	1	6	2	1	6	8	1	60	 	3	 	1
30002	1	3	1	6	20	2	0	 	 	 	 	 
30003	1	2	1	12	12	1	0	 	 	 	 	 
30003	2	3	1	12	20	2	0	 	 	 	 	 
30004	1	2	1	12	30	1	0	 	 	 	 	 
30005	1	2	1	12	30	2	0	 	 	 	 	 
30006	1	2	1	3	20	4	0	 	 	 	 	 
30006	2	3	1	2	15	1	0	 	 	 	 	 
