CHILDCODE	EDCHSTR5	EDAGR5	ATDSCHR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	ZONER5	SCHNMER5
10001	1	12	1	6	1	1	4	14	1407	118
10001	2	13	1	7	1	1	 	 	 	 
10001	3	14	1	8	2	1	 	 	 	 
10001	4	15	1	8	4	1	 	 	 	 
10002	1	11	1	6	1	1	4	14	1407	82
10002	2	12	1	7	1	0	4	14	1407	12
10002	3	13	1	8	1	1	 	 	 	 
10002	4	14	1	9	4	1	 	 	 	 
10004	1	12	1	5	1	1	4	14	1407	82
10004	2	13	1	6	1	1	 	 	 	 
10004	3	14	1	7	1	1	 	 	 	 
10004	4	15	1	8	4	1	 	 	 	 
10005	1	12	1	5	1	1	4	14	1407	82
10005	2	13	1	6	1	1	 	 	 	 
10005	3	14	1	7	1	1	 	 	 	 
10005	4	15	1	8	4	1	 	 	 	 
10006	1	12	1	6	1	1	1	14	1407	730
10006	2	13	1	7	1	1	 	 	 	 
10006	3	14	1	8	1	1	 	 	 	 
10006	4	15	1	9	4	1	 	 	 	 
10007	1	11	1	5	1	1	1	14	1408	1593
10007	2	12	1	6	1	1	 	 	 	 
10007	3	13	1	7	1	1	 	 	 	 
10007	4	14	1	8	4	1	 	 	 	 
10008	1	12	1	8	1	1	4	14	1407	269
10008	2	13	1	9	1	1	 	 	 	 
10008	3	14	1	10	1	1	 	 	 	 
10008	4	15	1	11	4	0	4	14	1407	1566
10009	1	12	1	6	1	1	1	14	1403	695
10009	2	13	1	7	1	1	 	 	 	 
10009	3	14	1	8	1	1	 	 	 	 
10009	4	15	1	9	4	0	1	14	1403	1567
10010	1	12	1	6	1	1	1	14	1404	1568
10010	2	13	1	7	2	1	 	 	 	 
10010	3	14	1	7	1	0	4	14	1407	569
10010	4	15	1	8	4	1	 	 	 	 
10011	1	12	1	6	1	0	4	14	1407	82
10011	2	13	1	6	2	1	 	 	 	 
10011	3	14	1	7	1	1	 	 	 	 
10011	4	15	1	8	4	1	 	 	 	 
10012	1	12	1	4	2	1	4	14	1407	82
10012	2	13	1	4	2	1	 	 	 	 
10012	3	14	1	4	1	1	 	 	 	 
10012	4	15	1	5	4	1	 	 	 	 
10014	1	12	1	2	1	1	4	14	1403	72
10014	2	13	1	3	1	0	4	14	1403	752
10014	3	14	1	4	1	1	 	 	 	 
10014	4	15	1	5	4	1	 	 	 	 
10015	1	11	1	6	1	1	4	14	1407	82
10015	2	12	1	7	1	1	 	 	 	 
10015	3	13	1	8	1	1	 	 	 	 
10015	4	14	1	9	4	0	4	14	1407	12
10016	1	12	1	7	1	1	1	14	1404	1569
10016	2	13	1	8	1	1	 	 	 	 
10016	3	14	1	9	1	1	 	 	 	 
