CHILDCODE	MOVEIDR5	YRMOVER5	WHMOVER5	TYPKEBR5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVOTRLR5	MVNONHR5	RSNMVR51
10011	1	2008	1	6	0	Y	 	 	 	 	 	 	 	15
10011	2	2008	3	4	2	N	N	N	N	N	N	N	Y	12
10016	1	2007	2	6	0	N	Y	Y	Y	N	N	Y	N	7
10017	1	2008	3	6	0	N	N	Y	N	N	N	N	N	15
10017	2	2007	3	3	2	N	N	Y	N	N	N	N	N	12
10023	1	2006	2	6	0	Y	 	 	 	 	 	 	 	7
10024	1	2008	3	2	0	N	N	N	N	N	N	Y	N	7
10026	1	2009	3	2	0	N	Y	N	N	N	N	N	N	15
10026	2	2008	3	2	1	N	Y	N	N	N	N	N	N	12
10028	1	2007	3	6	0	Y	 	 	 	 	 	 	 	12
10050	1	2007	3	6	0	N	N	Y	N	N	N	N	N	5
10074	1	2006	3	3	0	N	N	Y	N	N	N	N	N	9
10077	1	2006	2	6	0	N	N	N	N	N	Y	N	N	15
10096	1	2007	2	6	0	N	Y	Y	Y	N	N	N	N	7
20022	1	2006	3	1	0	N	Y	Y	Y	N	N	N	N	15
20048	1	2009	2	6	0	Y	 	 	 	 	 	 	 	12
20048	2	2008	2	6	10	Y	 	 	 	 	 	 	 	7
20059	1	2009	3	6	0	N	Y	Y	N	N	N	N	N	7
20077	1	2009	3	6	0	N	N	Y	N	N	N	N	N	12
20077	2	2008	3	2	2	N	N	Y	N	N	N	N	N	12
20081	1	2008	3	6	0	N	N	N	Y	N	N	N	N	2
20081	2	2008	3	4	2	N	N	N	Y	N	N	N	N	12
20081	3	2007	3	6	10	N	N	N	Y	N	N	N	N	2
20081	4	2007	3	4	2	N	N	N	Y	N	N	N	N	12
20084	1	2007	2	6	0	N	Y	Y	Y	N	N	N	N	7
20098	1	2009	3	6	0	N	N	N	Y	N	N	N	N	2
20098	2	2008	3	5	2	N	N	N	Y	N	N	N	N	7
20098	3	2008	3	6	10	N	N	N	Y	N	N	N	N	2
20098	4	2007	3	5	2	N	N	N	Y	N	N	N	N	7
20098	5	2007	3	6	10	N	N	N	Y	N	N	N	N	2
20098	6	2006	3	5	2	N	N	N	Y	N	N	N	N	7
30002	1	2008	2	6	0	N	Y	Y	Y	N	N	N	N	7
30005	1	2007	3	6	0	N	N	N	N	N	N	N	Y	12
30005	2	2006	3	4	2	N	N	N	N	N	N	N	Y	12
30010	1	2009	2	6	0	Y	 	 	 	 	 	 	 	12
30010	2	2008	3	6	3	Y	 	 	 	 	 	 	 	12
30010	3	2007	3	5	12	Y	 	 	 	 	 	 	 	1
30014	1	2008	1	2	0	N	Y	Y	Y	N	N	N	N	6
30016	1	2008	3	6	0	N	N	Y	N	N	N	N	N	12
30016	2	2007	3	4	1	N	N	Y	N	N	N	N	N	12
30019	1	2008	2	6	0	N	Y	Y	Y	N	N	N	N	7
30032	1	2008	2	6	0	N	Y	Y	Y	N	N	N	N	7
30032	2	2007	2	6	6	N	Y	Y	Y	N	N	N	N	7
30033	1	2007	2	6	0	N	Y	Y	N	N	N	N	N	12
30044	1	2009	2	6	0	Y	 	 	 	 	 	 	 	12
30044	2	2008	3	6	2	Y	 	 	 	 	 	 	 	15
30046	1	2009	3	6	0	N	N	N	N	N	N	N	Y	12
30046	2	2008	3	2	3	N	N	N	N	N	N	N	Y	12
30048	1	2009	2	6	0	Y	 	 	 	 	 	 	 	12
30048	2	2008	2	6	2	Y	 	 	 	 	 	 	 	12
30071	1	2009	2	3	0	N	N	N	N	N	N	N	Y	10
30071	2	2007	2	3	12	N	N	N	N	N	N	N	Y	10
30073	1	2008	2	6	0	N	N	N	N	N	N	Y	N	7
30082	1	2009	2	6	0	N	N	N	N	N	N	Y	N	12
30082	2	2008	3	4	1	N	N	N	N	N	N	Y	N	12
40009	1	2008	2	3	0	Y	 	 	 	 	 	 	 	5
40009	2	2008	2	4	5	Y	 	 	 	 	 	 	 	1
40011	1	2008	1	2	0	N	N	N	N	N	N	Y	N	15
40021	1	2009	2	3	0	Y	 	 	 	 	 	 	 	12
40021	2	2007	2	3	3	Y	 	 	 	 	 	 	 	12
40029	1	2009	2	3	0	N	N	N	Y	N	N	N	N	12
40029	2	2008	3	3	1	N	N	N	Y	N	N	N	N	12
40037	1	2009	1	3	0	Y	 	 	 	 	 	 	 	2
40039	1	2007	3	2	0	N	Y	N	N	N	N	N	N	12
40039	2	2007	3	6	3	N	Y	N	N	N	N	N	N	3
40040	1	2008	2	2	0	N	N	N	Y	N	N	N	N	2
40040	2	2007	2	4	2	N	N	N	Y	N	N	N	N	15
40044	1	2009	3	3	0	Y	 	 	 	 	 	 	 	12
40044	2	2008	2	6	2	Y	 	 	 	 	 	 	 	12
40047	1	2007	3	2	0	N	N	Y	N	N	N	N	N	12
40047	2	2006	3	6	15	N	N	N	Y	N	N	N	N	3
40050	1	2006	3	3	0	N	N	N	Y	N	N	N	N	9
40054	1	2008	3	2	0	Y	 	 	 	 	 	 	 	12
40054	2	2008	3	5	3	Y	 	 	 	 	 	 	 	12
40058	1	2008	3	1	0	N	N	N	N	N	N	N	Y	15
40081	1	2009	1	2	0	N	Y	Y	N	N	N	N	N	12
40081	2	2009	1	1	4	N	Y	Y	N	N	N	N	N	3
40084	1	2009	1	2	0	N	N	N	N	N	N	N	N	12
40084	2	2008	1	3	1	N	N	N	N	N	N	N	N	12
40100	1	2007	1	3	0	Y	 	 	 	 	 	 	 	7
50003	1	2008	3	1	0	N	N	Y	N	N	N	N	N	2
50003	2	2006	3	3	12	N	N	Y	N	N	N	N	N	2
50006	1	2008	1	3	0	N	Y	Y	Y	N	N	N	N	15
50007	1	2009	2	1	0	N	N	N	Y	N	N	N	N	12
50007	2	2008	2	2	2	Y	 	 	 	 	 	 	 	10
50008	1	2009	1	1	0	N	Y	N	N	N	N	N	N	11
50008	2	2009	1	1	3	N	Y	N	N	N	N	N	N	12
50008	3	2008	2	1	2	N	Y	N	N	N	N	N	N	12
50034	1	2009	2	2	0	Y	 	 	 	 	 	 	 	2
50036	1	2007	1	3	0	Y	 	 	 	 	 	 	 	1
50036	2	2007	1	1	9	Y	 	 	 	 	 	 	 	2
50036	3	2006	1	3	3	Y	 	 	 	 	 	 	 	1
50039	1	2007	1	3	0	Y	 	 	 	 	 	 	 	1
50040	1	2009	2	3	0	Y	 	 	 	 	 	 	 	2
50040	2	2008	2	3	2	Y	 	 	 	 	 	 	 	15
50043	1	2008	2	1	0	N	N	Y	N	N	N	N	N	12
50043	2	2007	2	4	4	N	N	Y	N	N	N	N	N	15
50045	1	2008	2	1	0	N	N	N	N	N	N	N	N	12
50045	2	2007	2	4	2	N	N	N	Y	N	N	N	N	15
50048	1	2008	2	1	0	N	N	N	N	N	N	N	Y	12
50048	2	2008	2	4	4	N	N	N	N	N	N	N	Y	12
50049	1	2009	2	1	0	N	N	Y	N	N	N	N	N	12
50049	2	2008	2	3	1	N	N	Y	N	N	N	N	N	12
50050	1	2007	2	1	0	N	N	N	N	N	N	N	Y	2
50053	1	2008	2	2	0	N	N	N	N	N	N	N	Y	1
50054	1	2009	2	4	0	Y	 	 	 	 	 	 	 	2
50055	1	2006	2	1	0	N	N	N	N	N	N	Y	N	7
50063	1	2009	2	1	0	Y	 	 	 	 	 	 	 	12
50063	2	2008	2	1	4	Y	 	 	 	 	 	 	 	2
50070	1	2008	1	1	0	Y	 	 	 	 	 	 	 	2
50070	2	2008	1	3	2	N	N	Y	N	N	N	N	N	5
50072	1	2009	1	1	0	N	N	N	N	N	N	N	N	12
50072	2	2008	1	3	2	N	N	N	N	N	N	N	Y	2
50077	1	2009	1	3	0	Y	 	 	 	 	 	 	 	2
60003	1	2008	2	1	0	N	Y	N	N	N	N	N	N	12
60003	2	2008	2	1	1	N	Y	N	N	N	N	N	N	12
60023	1	2006	1	1	0	Y	 	 	 	 	 	 	 	12
60043	1	2008	1	1	0	Y	 	 	 	 	 	 	 	5
60043	2	2008	1	1	30	Y	 	 	 	 	 	 	 	12
60050	1	2008	1	1	0	Y	 	 	 	 	 	 	 	9
60068	1	2009	2	1	0	N	Y	N	N	N	N	Y	N	12
60068	2	2008	2	5	2	N	Y	N	N	N	N	Y	N	3
60078	1	2008	1	3	6	Y	 	 	 	 	 	 	 	15
60082	1	2007	2	1	0	Y	 	 	 	 	 	 	 	7
60086	1	2008	1	3	0	N	Y	Y	N	N	N	Y	N	15
60093	1	2009	2	1	0	N	N	N	N	N	N	N	Y	12
60093	2	2008	2	5	2	N	N	N	N	N	N	N	Y	2
60100	1	2007	2	1	0	N	N	N	N	N	N	Y	N	12
70023	1	2008	1	3	0	N	Y	N	N	N	N	N	N	2
70023	2	2008	1	3	11	N	N	N	N	N	N	Y	N	2
70029	1	2009	2	1	0	N	N	N	N	Y	N	N	N	7
70029	2	2007	2	1	2	N	N	N	N	Y	N	N	N	7
70039	1	2009	2	1	0	N	N	N	N	N	N	N	Y	12
70039	2	2008	2	1	2	N	N	N	N	N	N	N	Y	2
70050	1	2009	2	1	0	Y	 	 	 	 	 	 	 	2
70050	2	2008	1	2	2	Y	 	 	 	 	 	 	 	10
70060	1	2006	1	1	0	Y	 	 	 	 	 	 	 	12
70060	2	2006	1	2	7	Y	 	 	 	 	 	 	 	5
70072	1	 	 	 	 	 	 	 	 	 	 	 	 	 
70074	1	2009	2	3	0	Y	 	 	 	 	 	 	 	12
70074	2	2009	2	3	3	Y	 	 	 	 	 	 	 	15
70079	1	2009	2	3	0	N	Y	N	N	N	N	N	N	2
70079	2	2008	2	3	12	N	Y	N	N	N	N	N	N	2
70082	1	2008	2	1	0	N	N	N	N	N	N	N	Y	12
70082	2	2008	2	5	5	N	N	N	N	N	N	Y	N	2
70088	1	2007	2	1	0	Y	 	 	 	 	 	 	 	2
70088	2	2007	2	5	4	N	N	N	N	N	N	N	Y	1
70097	1	2007	2	3	0	Y	 	 	 	 	 	 	 	12
70097	2	2007	2	5	12	Y	 	 	 	 	 	 	 	5
70100	1	2008	2	1	0	N	N	N	N	N	N	N	N	15
70100	2	2006	2	3	22	Y	 	 	 	 	 	 	 	12
80009	1	2009	1	2	0	Y	 	 	 	 	 	 	 	12
80009	2	2008	1	2	0	Y	 	 	 	 	 	 	 	12
80011	1	2009	1	1	0	Y	 	 	 	 	 	 	 	12
80011	2	2008	1	1	2	Y	 	 	 	 	 	 	 	10
80022	1	2009	1	3	0	Y	 	 	 	 	 	 	 	1
80022	2	2009	1	1	4	Y	 	 	 	 	 	 	 	1
80029	1	2009	1	1	0	N	N	N	N	N	N	N	Y	12
80029	2	2008	3	1	3	N	N	Y	N	N	N	N	N	12
80054	1	2009	1	1	0	N	N	N	N	N	Y	N	N	12
80054	2	2008	1	1	4	Y	 	 	 	 	 	 	 	12
80055	1	2009	1	1	0	N	Y	N	N	N	N	N	N	12
80055	2	2007	1	1	24	N	N	N	N	N	N	Y	N	1
80063	1	2009	2	1	0	N	N	N	N	N	N	Y	N	12
80063	2	2007	2	2	24	N	N	N	N	N	N	Y	N	15
80068	1	2009	1	1	0	N	N	N	N	Y	N	N	N	15
80068	2	2007	1	1	24	N	N	N	N	Y	N	N	N	15
80076	1	2009	1	1	0	Y	 	 	 	 	 	 	 	12
80076	2	2008	2	1	2	Y	 	 	 	 	 	 	 	2
80084	1	2009	1	1	0	N	N	N	N	N	N	N	Y	12
80084	2	2008	1	1	2	Y	 	 	 	 	 	 	 	15
80098	1	2009	1	1	0	Y	 	 	 	 	 	 	 	8
80098	2	2009	2	3	2	N	N	N	N	Y	N	N	N	5
90002	1	2009	1	3	0	N	Y	Y	Y	Y	Y	N	N	5
90002	2	2007	1	3	2	N	Y	Y	Y	N	N	N	N	5
90008	1	 	 	 	 	 	 	 	 	 	 	 	 	 
