CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10001	1	Y	1	2000
10001	2	N	 	 
10001	3	N	 	 
10001	4	N	 	 
10001	5	N	 	 
10001	6	N	 	 
10001	7	Y	1	300
10001	8	N	 	 
10001	9	Y	1	500
10001	10	N	 	 
10001	11	N	 	 
10001	12	N	 	 
10001	13	Y	2	500
10001	14	N	 	 
10001	15	N	 	 
10001	16	N	 	 
10001	17	N	 	 
10001	18	N	 	 
10001	20	N	 	 
10001	21	N	 	 
10002	1	Y	1	2000
10002	2	Y	1	300
10002	3	N	 	 
10002	4	N	 	 
10002	5	N	 	 
10002	6	Y	1	150
10002	7	Y	3	1200
10002	8	Y	1	300
10002	9	Y	4	1200
10002	10	N	 	 
10002	11	Y	1	2000
10002	12	Y	1	4500
10002	13	Y	2	1050
10002	14	N	 	 
10002	15	Y	1	600
10002	16	N	 	 
10002	17	N	 	 
10002	18	N	 	 
10002	20	N	 	 
10002	21	Y	1	2500
10004	1	Y	1	1000
10004	2	Y	1	50
10004	3	N	 	 
10004	4	N	 	 
10004	5	N	 	 
10004	6	N	 	 
10004	7	Y	4	1100
10004	8	N	 	 
10004	9	Y	1	3000
10004	10	N	 	 
10004	11	Y	2	5000
10004	12	N	 	 
10004	13	Y	1	100
10004	14	N	 	 
10004	15	N	 	 
10004	16	N	 	 
10004	17	N	 	 
10004	18	N	 	 
10004	20	Y	2	900
10004	21	Y	1	200
10005	1	N	 	 
10005	2	Y	1	200
10005	3	N	 	 
10005	4	N	 	 
10005	5	N	 	 
10005	6	N	 	 
10005	7	Y	1	300
10005	8	Y	2	200
10005	9	N	 	 
10005	10	N	 	 
10005	11	N	 	 
10005	12	N	 	 
10005	13	N	 	 
10005	14	N	 	 
10005	15	N	 	 
10005	16	N	 	 
10005	17	N	 	 
10005	18	N	 	 
10005	20	N	 	 
10005	21	N	 	 
10006	1	Y	1	1000
10006	2	N	 	 
10006	3	N	 	 
10006	4	N	 	 
10006	5	N	 	 
10006	6	N	 	 
10006	7	Y	4	3300
10006	8	N	 	 
10006	9	Y	1	500
10006	10	N	 	 
10006	11	Y	1	850
10006	12	Y	1	2000
10006	13	Y	2	260
10006	14	N	 	 
10006	15	N	 	 
10006	16	N	 	 
10006	17	N	 	 
10006	18	N	 	 
10006	20	Y	2	800
10006	21	Y	1	1500
10007	1	Y	1	2000
10007	2	Y	1	1000
10007	3	N	 	 
10007	4	N	 	 
10007	5	N	 	 
10007	6	N	 	 
10007	7	Y	2	2000
10007	8	N	 	 
10007	9	Y	1	5000
10007	10	N	 	 
10007	11	N	 	 
10007	12	N	 	 
10007	13	Y	2	2000
10007	14	N	 	 
10007	15	N	 	 
10007	16	N	 	 
10007	17	N	 	 
10007	18	N	 	 
10007	20	N	 	 
10007	21	N	 	 
10008	1	Y	1	2000
10008	2	Y	1	1500
10008	3	N	 	 
10008	4	N	 	 
10008	5	N	 	 
10008	6	N	 	 
10008	7	Y	5	4700
10008	8	Y	6	700
10008	9	Y	1	5000
10008	10	N	 	 
10008	11	Y	2	2500
10008	12	Y	1	3000
10008	13	N	 	 
10008	14	N	 	 
10008	15	N	 	 
10008	16	N	 	 
10008	17	N	 	 
10008	18	N	 	 
10008	20	Y	1	600
10008	21	Y	1	1000
10009	1	Y	1	12000
10009	2	Y	1	200
10009	3	N	 	 
10009	4	N	 	 
10009	5	N	 	 
10009	6	Y	1	100
10009	7	Y	3	5000
10009	8	N	 	 
10009	9	Y	1	2000
10009	10	N	 	 
10009	11	Y	3	5500
10009	12	Y	1	6000
10009	13	Y	3	2400
10009	14	N	 	 
10009	15	Y	1	1800
10009	16	N	 	 
10009	17	N	 	 
10009	18	N	 	 
10009	20	Y	1	12000
10009	21	Y	1	4000
10010	1	Y	1	3000
10010	2	Y	1	500
10010	3	N	 	 
10010	4	N	 	 
10010	5	N	 	 
10010	6	N	 	 
10010	7	Y	2	1100
10010	8	N	 	 
10010	9	N	 	 
10010	10	N	 	 
10010	11	Y	1	500
10010	12	N	 	 
10010	13	N	 	 
10010	14	N	 	 
10010	15	N	 	 
10010	16	N	 	 
10010	17	N	 	 
10010	18	N	 	 
10010	20	Y	1	500
10010	21	Y	1	1000
10011	1	Y	1	1500
10011	2	Y	1	200
10011	3	N	 	 
10011	4	N	 	 
10011	5	N	 	 
10011	6	N	 	 
10011	7	Y	4	6000
10011	8	N	 	 
10011	9	N	 	 
10011	10	N	 	 
10011	11	N	 	 
10011	12	N	 	 
10011	13	Y	2	2000
10011	14	N	 	 
10011	15	N	 	 
10011	16	N	 	 
10011	17	N	 	 
10011	18	N	 	 
10011	20	N	 	 
10011	21	N	 	 
10012	1	Y	1	2500
10012	2	N	 	 
10012	3	N	 	 
10012	4	N	 	 
10012	5	N	 	 
10012	6	N	 	 
10012	7	Y	3	5000
10012	8	N	 	 
10012	9	Y	1	800
10012	10	N	 	 
10012	11	N	 	 
10012	12	N	 	 
10012	13	Y	2	600
10012	14	N	 	 
10012	15	N	 	 
10012	16	N	 	 
10012	17	N	 	 
10012	18	Y	1	12000
10012	20	N	 	 
10012	21	N	 	 
10014	1	Y	1	1000
10014	2	N	 	 
10014	3	N	 	 
10014	4	N	 	 
10014	5	N	 	 
10014	6	N	 	 
10014	7	Y	3	1800
10014	8	Y	4	300
10014	9	N	 	 
10014	10	N	 	 
10014	11	Y	1	500
10014	12	N	 	 
10014	13	N	 	 
10014	14	N	 	 
10014	15	N	 	 
10014	16	N	 	 
10014	17	N	 	 
10014	18	N	 	 
10014	20	Y	2	8001
10014	21	Y	1	400
10015	1	Y	1	1500
10015	2	N	 	 
10015	3	N	 	 
10015	4	N	 	 
10015	5	N	 	 
10015	6	N	 	 
10015	7	Y	2	400
10015	8	Y	22	300
10015	9	N	 	 
10015	10	N	 	 
10015	11	Y	1	2000
10015	12	N	 	 
10015	13	N	 	 
10015	14	N	 	 
10015	15	N	 	 
10015	16	N	 	 
10015	17	N	 	 
10015	18	N	 	 
10015	20	N	 	 
10015	21	Y	1	1500
10016	1	Y	1	22000
10016	2	N	 	 
10016	3	N	 	 
10016	4	N	 	 
10016	5	N	 	 
10016	6	N	 	 
10016	7	Y	3	3800
10016	8	Y	8	2000
10016	9	Y	1	4000
10016	10	N	 	 
10016	11	Y	3	5500
10016	12	N	 	 
10016	13	Y	3	2500
10016	14	N	 	 
10016	15	Y	1	1800
10016	16	N	 	 
10016	17	N	 	 
10016	18	N	 	 
10016	20	N	 	 
10016	21	Y	1	4000
10017	1	N	 	 
