CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10001	1	 	 	 	 	 	 	 	 
10001	2	 	 	 	 	 	 	 	 
10001	3	 	 	 	 	 	 	 	 
10002	1	 	 	 	 	 	 	 	 
10002	2	 	 	 	 	 	 	 	 
10002	3	 	 	 	 	 	 	 	 
10004	1	47	4	4	4	4	2	1	7
10004	2	38	 	 	2	2	25	16	7
10004	3	88	 	 	 	 	 	 	 
10005	1	36	 	4	 	 	7	 	 
10005	2	38	 	 	 	3	16	88	 
10005	3	88	 	 	 	 	 	 	 
10006	1	42	 	3	3	4	2	7	 
10006	2	47	2	2	4	4	1	2	7
10006	3	88	 	 	 	 	 	 	 
10007	1	 	 	 	 	 	 	 	 
10007	2	 	 	 	 	 	 	 	 
10007	3	 	 	 	 	 	 	 	 
10008	1	47	4	4	4	4	8	18	7
10008	2	88	 	 	 	 	 	 	 
10008	3	88	 	 	 	 	 	 	 
10009	1	47	 	 	2	2	9	88	 
10009	2	88	 	 	 	 	 	 	 
10009	3	88	 	 	 	 	 	 	 
10010	1	 	 	 	 	 	 	 	 
10010	2	 	 	 	 	 	 	 	 
10010	3	 	 	 	 	 	 	 	 
10011	1	 	 	 	 	 	 	 	 
10011	2	 	 	 	 	 	 	 	 
10011	3	 	 	 	 	 	 	 	 
10012	1	61	 	 	 	3	7	 	 
10012	2	88	 	 	 	 	 	 	 
10012	3	88	 	 	 	 	 	 	 
10014	1	39	 	4	4	3	25	9	7
10014	2	47	 	 	3	3	1	2	7
10014	3	88	 	 	 	 	 	 	 
10015	1	 	 	 	 	 	 	 	 
10015	2	 	 	 	 	 	 	 	 
10015	3	 	 	 	 	 	 	 	 
10016	1	 	 	 	 	 	 	 	 
10016	2	 	 	 	 	 	 	 	 
10016	3	 	 	 	 	 	 	 	 
10017	1	39	 	3	3	3	1	9	7
10017	2	12	 	2	2	3	9	7	 
10017	3	88	 	 	 	 	 	 	 
10018	1	 	 	 	 	 	 	 	 
10018	2	 	 	 	 	 	 	 	 
10018	3	 	 	 	 	 	 	 	 
10020	1	36	 	4	 	 	18	7	 
10020	2	38	 	3	4	4	25	7	 
10020	3	88	 	 	 	 	 	 	 
10021	1	34	 	4	 	 	9	18	2
10021	2	16	 	 	4	4	18	2	7
10021	3	88	 	 	 	 	 	 	 
10022	1	 	 	 	 	 	 	 	 
10022	2	 	 	 	 	 	 	 	 
10022	3	 	 	 	 	 	 	 	 
10023	1	 	 	 	 	 	 	 	 
10023	2	 	 	 	 	 	 	 	 
10023	3	 	 	 	 	 	 	 	 
10024	1	 	 	 	 	 	 	 	 
10024	2	 	 	 	 	 	 	 	 
10024	3	 	 	 	 	 	 	 	 
10025	1	 	 	 	 	 	 	 	 
10025	2	 	 	 	 	 	 	 	 
10025	3	 	 	 	 	 	 	 	 
10026	1	 	 	 	 	 	 	 	 
10026	2	 	 	 	 	 	 	 	 
10026	3	 	 	 	 	 	 	 	 
10028	1	 	 	 	 	 	 	 	 
10028	2	 	 	 	 	 	 	 	 
10028	3	 	 	 	 	 	 	 	 
10029	1	1	 	 	4	 	7	 	 
10029	2	88	 	 	 	 	 	 	 
10029	3	88	 	 	 	 	 	 	 
10030	1	 	 	 	 	 	 	 	 
10030	2	 	 	 	 	 	 	 	 
10030	3	 	 	 	 	 	 	 	 
10031	1	34	 	4	 	 	12	9	18
10031	2	88	 	 	 	 	 	 	 
10031	3	88	 	 	 	 	 	 	 
10032	1	 	 	 	 	 	 	 	 
10032	2	 	 	 	 	 	 	 	 
10032	3	 	 	 	 	 	 	 	 
10033	1	 	 	 	 	 	 	 	 
10033	2	 	 	 	 	 	 	 	 
10033	3	 	 	 	 	 	 	 	 
10035	1	16	4	4	4	 	9	2	1
10035	2	38	 	4	 	 	9	25	7
10035	3	47	 	 	4	4	1	2	7
10036	1	16	 	 	3	4	2	7	 
10036	2	37	 	2	2	4	16	2	25
10036	3	47	4	4	4	4	1	2	7
10037	1	 	 	 	 	 	 	 	 
10037	2	 	 	 	 	 	 	 	 
10037	3	 	 	 	 	 	 	 	 
10038	1	16	 	4	4	4	7	 	 
10038	2	88	 	 	 	 	 	 	 
10038	3	88	 	 	 	 	 	 	 
10040	1	 	 	 	 	 	 	 	 
10040	2	 	 	 	 	 	 	 	 
10040	3	 	 	 	 	 	 	 	 
10041	1	40	4	 	 	 	9	18	7
10041	2	88	 	 	 	 	 	 	 
10041	3	88	 	 	 	 	 	 	 
10042	1	39	 	 	3	2	9	2	88
10042	2	88	 	 	 	 	 	 	 
10042	3	88	 	 	 	 	 	 	 
10043	1	 	 	 	 	 	 	 	 
10043	2	 	 	 	 	 	 	 	 
10043	3	 	 	 	 	 	 	 	 
10044	1	 	 	 	 	 	 	 	 
10044	2	 	 	 	 	 	 	 	 
10044	3	 	 	 	 	 	 	 	 
10045	1	47	4	4	4	4	1	18	7
10045	2	88	 	 	 	 	 	 	 
10045	3	88	 	 	 	 	 	 	 
10046	1	 	 	 	 	 	 	 	 
10046	2	 	 	 	 	 	 	 	 
10046	3	 	 	 	 	 	 	 	 
10047	1	 	 	 	 	 	 	 	 
10047	2	 	 	 	 	 	 	 	 
10047	3	 	 	 	 	 	 	 	 
10049	1	 	 	 	 	 	 	 	 
10049	2	 	 	 	 	 	 	 	 
10049	3	 	 	 	 	 	 	 	 
10050	1	 	 	 	 	 	 	 	 
10050	2	 	 	 	 	 	 	 	 
10050	3	 	 	 	 	 	 	 	 
10051	1	 	 	 	 	 	 	 	 
10051	2	 	 	 	 	 	 	 	 
10051	3	 	 	 	 	 	 	 	 
10052	1	 	 	 	 	 	 	 	 
10052	2	 	 	 	 	 	 	 	 
10052	3	 	 	 	 	 	 	 	 
10053	1	16	 	 	4	 	8	16	2
10053	2	88	 	 	 	 	 	 	 
10053	3	88	 	 	 	 	 	 	 
10055	1	 	 	 	 	 	 	 	 
10055	2	 	 	 	 	 	 	 	 
10055	3	 	 	 	 	 	 	 	 
10057	1	61	 	 	2	 	17	4	88
10057	2	88	 	 	 	 	 	 	 
10057	3	88	 	 	 	 	 	 	 
10060	1	 	 	 	 	 	 	 	 
10060	2	 	 	 	 	 	 	 	 
10060	3	 	 	 	 	 	 	 	 
10061	1	47	 	2	2	 	2	88	 
10061	2	88	 	 	 	 	 	 	 
10061	3	88	 	 	 	 	 	 	 
10062	1	 	 	 	 	 	 	 	 
10062	2	 	 	 	 	 	 	 	 
10062	3	 	 	 	 	 	 	 	 
10063	1	 	 	 	 	 	 	 	 
10063	2	 	 	 	 	 	 	 	 
10063	3	 	 	 	 	 	 	 	 
10064	1	 	 	 	 	 	 	 	 
10064	2	 	 	 	 	 	 	 	 
10064	3	 	 	 	 	 	 	 	 
10065	1	 	 	 	 	 	 	 	 
10065	2	 	 	 	 	 	 	 	 
10065	3	 	 	 	 	 	 	 	 
10066	1	39	 	4	4	3	25	9	17
10066	2	47	3	3	4	4	2	18	7
10066	3	88	 	 	 	 	 	 	 
10067	1	 	 	 	 	 	 	 	 
10067	2	 	 	 	 	 	 	 	 
10067	3	 	 	 	 	 	 	 	 
10068	1	 	 	 	 	 	 	 	 
10068	2	 	 	 	 	 	 	 	 
10068	3	 	 	 	 	 	 	 	 
10069	1	 	 	 	 	 	 	 	 
10069	2	 	 	 	 	 	 	 	 
10069	3	 	 	 	 	 	 	 	 
10070	1	 	 	 	 	 	 	 	 
10070	2	 	 	 	 	 	 	 	 
10070	3	 	 	 	 	 	 	 	 
10071	1	 	 	 	 	 	 	 	 
10071	2	 	 	 	 	 	 	 	 
10071	3	 	 	 	 	 	 	 	 
10072	1	36	2	 	 	 	9	7	 
10072	2	88	 	 	 	 	 	 	 
10072	3	88	 	 	 	 	 	 	 
10073	1	 	 	 	 	 	 	 	 
10073	2	 	 	 	 	 	 	 	 
10073	3	 	 	 	 	 	 	 	 
10074	1	39	 	 	3	 	16	88	 
10074	2	23	2	 	 	 	6	88	 
10074	3	88	 	 	 	 	 	 	 
10075	1	39	 	 	 	3	7	 	 
10075	2	38	 	 	 	2	7	 	 
10075	3	88	 	 	 	 	 	 	 
10076	1	 	 	 	 	 	 	 	 
10076	2	 	 	 	 	 	 	 	 
10076	3	 	 	 	 	 	 	 	 
10077	1	45	4	 	 	 	6	2	18
10077	2	88	 	 	 	 	 	 	 
10077	3	88	 	 	 	 	 	 	 
10079	1	 	 	 	 	 	 	 	 
10079	2	 	 	 	 	 	 	 	 
10079	3	 	 	 	 	 	 	 	 
10080	1	 	 	 	 	 	 	 	 
10080	2	 	 	 	 	 	 	 	 
10080	3	 	 	 	 	 	 	 	 
10081	1	 	 	 	 	 	 	 	 
10081	2	 	 	 	 	 	 	 	 
10081	3	 	 	 	 	 	 	 	 
10082	1	47	 	 	4	 	18	88	 
10082	2	88	 	 	 	 	 	 	 
10082	3	88	 	 	 	 	 	 	 
10083	1	 	 	 	 	 	 	 	 
10083	2	 	 	 	 	 	 	 	 
10083	3	 	 	 	 	 	 	 	 
10084	1	 	 	 	 	 	 	 	 
10084	2	 	 	 	 	 	 	 	 
10084	3	 	 	 	 	 	 	 	 
10085	1	 	 	 	 	 	 	 	 
10085	2	 	 	 	 	 	 	 	 
10085	3	 	 	 	 	 	 	 	 
10086	1	16	 	 	4	 	2	7	 
10086	2	88	 	 	 	 	 	 	 
10086	3	88	 	 	 	 	 	 	 
10087	1	39	 	 	2	 	16	18	88
10087	2	88	 	 	 	 	 	 	 
10087	3	88	 	 	 	 	 	 	 
10088	1	36	2	 	 	 	9	7	 
10088	2	88	 	 	 	 	 	 	 
10088	3	88	 	 	 	 	 	 	 
10089	1	16	 	 	4	 	18	2	88
10089	2	42	3	3	3	 	2	7	 
10089	3	88	 	 	 	 	 	 	 
10091	1	 	 	 	 	 	 	 	 
10091	2	 	 	 	 	 	 	 	 
10091	3	 	 	 	 	 	 	 	 
10093	1	38	3	3	3	3	7	 	 
10093	2	88	 	 	 	 	 	 	 
10093	3	88	 	 	 	 	 	 	 
10094	1	38	2	2	2	2	7	 	 
10094	2	88	 	 	 	 	 	 	 
